[Tue 11:05:02] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0008.html
[Tue 11:46:46] <dlongley>	bsletten: Yes. I think having a larger example-driven write up and these things we're talking about and how to protect against them. If this exists please point me to them. I'd like to work with you on this and expand the discussion so it isn't just in your head, etc. It's useful.
[Tue 11:47:12] <dlongley>	m4nu: Definitely. It's something we want to put in the spec. It would show up with "You shall not serve your @context over HTTP" etc.
[Tue 11:47:31] <dlongley>	m4nu: We need to do that and we need a security consideration section in the spec and that's where we'd elaborate on that and we'd love to have your help on that.
[Tue 11:48:32] <dlongley>	Victoriano: May I also suggest that we keep in mind -- there are effective MITM for HTTPS, if the user trusts some certification authority and some of the network appliances now do that in the universities, ask for things like key pinning, etc. Things like that, so if people fiddle with certificates along the way -- we should consider those attack vectors.
[Tue 11:48:51] <dlongley>	m4nu: Yes, absolutely. Security is like an onion -- many layers to get the right security you want. That should go in the security section.
[Tue 11:49:54] <dlongley>	m4nu: You can do multiple levels of digital signatures -- you can digitally sign JSON-LD @contexts, etc. We can secure via HTTPS certificate, we can sign HTTP headers (HTTP Signatures) we can include a header of the content and sign that, we can sign the JSON-LD message itself. There are 3 layers there that need to be compromised to fake a credential in transmission.
[Tue 11:50:09] <dlongley>	m4nu: That's more security than a lot of systems now; we feel that we have a strong security solution.
[Tue 11:50:19] <dlongley>	m4nu: This are all very good comments and should go in the security section in the spec.
[Tue 11:50:25] <m4nu>	http://manu.sporny.org/2013/sm-vs-jose/
[Tue 11:50:51] <dlongley>	m4nu: For those that don't deal with digital signatures that much this will feel abstract/foreign, but if you go the blog post via the link in IRC... the header is called "JSON Web Signatures vs. Secure Messaging"
[Tue 11:51:20] <dlongley>	m4nu: There are two examples of what the signatures look like. The top is the JOSE-based signature the bottom is JSON-LD.
[Tue 11:52:01] <dlongley>	m4nu: That's the difference between the two mechanisms. If you look at "kid" in the top example that means "Key ID". This is the other problem we have with JOSE is that they use a bunch of 3 letter acronyms instead of spelling things out.
[Tue 11:52:12] <voip-cr>	952131415 (SIP/85.62.72.19-0000006a) has left the conference.
[Tue 11:52:26] <dlongley>	m4nu: Which makes it more difficult to figure out. Anyway, the "kid" is known to the receiver and how keys are registered/understood is out of band.
[Tue 11:52:41] <dlongley>	m4nu: With the JSON-LD signature you can see "creator" which is the URL for the creator of the signature which is the public key.
[Tue 11:52:48] <voip-cr>	952131415 (SIP/85.62.72.19-0000006b) has joined the conference.
[Tue 11:53:13] <dlongley>	m4nu: The advantage with the JSON-LD signature is that we use URLs for everything, you can go to that URL and get the public key and check the owner of it, etc. You can see the data that was signed and you can discover the key.
[Tue 11:53:25] <dlongley>	m4nu: Just with that, you can verify if the signature is valid.
[Tue 11:53:43] <dlongley>	m4nu: In the first system there's no explanation for how to get the key (out of band) and in the second, there's a clear way to get it.
[Tue 11:54:12] <dlongley>	m4nu: The Secure Messaging approach turns the entire Web into a PKI -- and does it in a machine readable way. When you get a message you don't have to figure out a way to get the key of the person that sent the message to you.
[Tue 11:55:06] <dlongley>	Victoriano: May I just say I really like the idea, I was teaching PGP to the students a week ago. I really like the idea of turning the whole Web into a PKI. We just need to make sure it's secure, but once that's figured out it's a great idea.
[Tue 11:56:04] *	erok has quit (Quit: Page closed)
[Tue 11:56:15] <m4nu>	dlongley: technically speaking, you can get away w/ an HTTP URL in that case - you have to follow the key back to the owner.
[Tue 11:56:22] *	erok (ad0341da@gateway/web/freenode/ip.173.3.65.218) has joined #credentials
[Tue 11:57:02] <dlongley>	Victoriano: Having things be machine readable for university document exchange and if you give that to a machine the machine can also make sense of it. I really like this concept that we're presenting here.
[Tue 11:57:57] <dlongley>	m4nu: Something else to mention is that we're not going into this with no support. There are a number of other groups at W3C that are using JSON-LD as their primary syntax. Like the Linked Data Platform group, where you must support JSON-LD.
[Tue 11:58:29] <dlongley>	m4nu: Because of that requirement, there are knock-on effects, like they have to be able to prove data came from somewhere and the easiest way for them to do that is to reuse the JSON-LD signature mechanism.
[Tue 11:58:53] <dlongley>	m4nu: So it works really nicely with the Linked Data Platform because the digital signature mechanism doesn't just work with JSON-LD it works with any linked data syntax.
[Tue 11:59:16] <dlongley>	m4nu: The Social Web WG has also just adopted JSON-LD as their primary data format and they have to have a digital signature/secure messaging mechanism and that's a requirement there.
[Tue 11:59:58] <dlongley>	m4nu: The Web Annotations group (e-book readers, etc) ... like if you want to go to a website and mark something up and annotate it -- anyone can do that with the tech they are working on. They need a digital signature mechanism.
[Tue 12:00:08] <dlongley>	m4nu: This is what happens at W3C TPAC -- each one of these groups said they want to see this work happen.
[Tue 12:00:35] <dlongley>	m4nu: So it's not just this group acting on its own, it's us acting with those groups and -- it's too early to tell now -- but we're pushing for this work in the Web Payments group as well.
[Tue 12:00:41] <dlongley>	m4nu: Hopefully that made sense.
[Tue 12:01:44] <dlongley>	m4nu: We're almost out of time; the thing that makes me nervous about it is that we really need to have people from the JOSE community make counterarguments. We need to find some real strong supporters of JOSE and JWS; mostly people that have implemented it to see why they picked it/if they have counterarguments against Secure Messaging/JSON-LD stuff. So if anyone knows anyone like that we can reach out to and pull into this discussion that would be great.
[Tue 12:02:23] <dlongley>	m4nu: I know people that have used JWS and they really didn't like it ... and they say they'd much rather use the JSON-LD stuff, but we really need is someone who is really sold on JWS and has done a big deployment of it, someone from Google, etc.
[Tue 12:02:36] <dlongley>	m4nu: I don't think we can say we've fully done our due diligence without having that debate.
[Tue 12:03:17] <dlongley>	Victoriano: I don't think it's a big deployment around the mobile applications/identity frameworks, I know someone who has implemented OpenID Connect the validator through IETF and European org work and I can ask this guy if he's been happy.
[Tue 12:03:58] <dlongley>	m4nu: That would be great. We had one person chime in on the mailing list but it wasn't a ringing endorsement -- but we should follow up.
[Tue 12:04:23] <dlongley>	m4nu: Please try to get your guy involved in the work here, it would be great to talk with him and get his thoughts.
[Tue 12:04:29] <dlongley>	Victoriano: I'll try to get him involved.
[Tue 12:04:47] <dlongley>	m4nu: I think that's the call for today, are there any other thoughts in general on the JSON-LD/JOSE stack?
[Tue 12:05:04] <dlongley>	m4nu: We'll have more discussion on the mailing list and circle back around on any point that needs further discussion and add to the call. Thanks everyone!
[Tue 12:06:13] <dlongley>	Present+ taaz,Sunny,Rob
[Tue 12:06:13] <voip-cr>	Brian Sletten (SIP/192.168.1.161-00000062) has left the conference.
[Tue 12:06:14] <voip-cr>	SunnyLee (SIP/104.173.54.237-00000066) has left the conference.
[Tue 12:06:14] <voip-cr>	Rob (SIP/sip.linphone.org-00000068) has left the conference.
[Tue 12:06:15] <voip-cr>	Manu Sporny (SIP/6000-00000061) has left the conference.
[Tue 12:06:16] <voip-cr>	Dave Longley (SIP/6002-00000063) has left the conference.
[Tue 12:06:16] <voip-cr>	Dave Lehn (SIP/6003-00000065) has left the conference.
[Tue 12:06:16] <voip-cr>	952131415 (SIP/85.62.72.19-0000006b) has left the conference.
[Tue 12:06:16] <voip-cr>	marybold (IAX2/diamondcard-306) has left the conference.
[Tue 12:06:16] <voip-cr>	Eric (IAX2/diamondcard-14091) has left the conference.
