[2021-01-27T18:01:30.965Z]	<JoeAndrieu>	present+
[2021-01-27T18:08:30.535Z]	<dlongley>	wayne: Thanks for being here, we're happy to support your contributions.
[2021-01-27T18:09:29.172Z]	<dlongley>	kaliya: I'm now at the Covid Credentials Initiative. Along with John Walker and Lucy Wang. Anyone interested in VCs we're interested too. I'll be posting a link for subscribing to a newsletter around this and this community.
[2021-01-27T18:09:58.823Z]	<dlongley>	wayne: The only announcement coming is the Thoughtful Biometrics Workshop, link...
[2021-01-27T18:10:07.327Z]	<dlongley>	identitywoman: It's moved to March 8th, 10th, and 12th.
[2021-01-27T18:10:12.973Z]	<identitywoman>	https://newsletter.identosphere.net/
[2021-01-27T18:10:15.686Z]	<dlongley>	wayne: Any other announcements?
[2021-01-27T18:10:21.394Z]	<identitywoman>	present+
[2021-01-27T18:10:46.468Z]	<by_caballero>	https://medium.com/@decentralized.identity/89e78cb80f54
[2021-01-27T18:10:49.812Z]	<dlongley>	wayne: The DIF F2F happened last Tuesday, it would be great to get someone to report out on a future call. If anyone is interested in doing that please email the list, the chairs would be very interested.
[2021-01-27T18:10:52.084Z]	<by_caballero>	^DIF F2F highlights :D
[2021-01-27T18:10:55.011Z]	<rgrant>	present+
[2021-01-27T18:11:25.845Z]	<wayne>	https://github.com/w3c-ccg/community/issues?q=is%3Aopen+is%3Aissue+label%3A%22action%3A+review+next%22
[2021-01-27T18:11:27.348Z]	<dlongley>	wayne: We're not going to spend too much time on issue discussion, but there are a few things to spend time on, elections, infrastructure task force kick off, charter amendments.
[2021-01-27T18:11:50.488Z]	<dlongley>	wayne: Link in IRC for these issues. Because there are so many issues, one of the issues we decided we can handle so many issues is because some are related to outstanding PRs.
[2021-01-27T18:12:16.322Z]	<dlongley>	wayne: We can start with the ones related to the work item process, we have made recent updates to those. Heather, could you talk about some of those issues? Best practices, work items, code of conduct, etc.?
[2021-01-27T18:12:43.823Z]	<heathervescent> Topic: Work Item Process
[2021-01-27T18:12:43.852Z]	<heathervescent> https://w3c-ccg.github.io/workitem-process/
[2021-01-27T18:12:47.748Z]	<dlongley>	heathervescent: Yeah, I don't think we need to go over each of them individually because we've reviewed them multiple times in the past. I did update the work item process and I will put the link in the jitsi chat.
[2021-01-27T18:13:06.703Z]	<dlongley>	heathervescent: Right now it says edits for review, because I wanted a visual notification that these edits were happening. After this meeting if there are no...
[2021-01-27T18:13:20.962Z]	<dlongley>	heathervescent: objections then I'll change the title.
[2021-01-27T18:13:55.411Z]	<dlongley>	heathervescent: All of these issues are related. I can go over what these edits are. Under section 2, terminology task force, there was no task force category. We added that as a category/work item.
[2021-01-27T18:14:08.187Z]	<dlongley>	heathervescent: To 212, this is additional CCG requirements, these are requirements that this CG has for work items.
[2021-01-27T18:14:16.180Z]	<heathervescent>	https://w3c-ccg.github.io/workitem-process/
[2021-01-27T18:14:54.904Z]	<dlongley>	heathervescent: Going 212, additional requirements, we added a link to the W3C code of ethics. That addresses the concerns that were in 169.
[2021-01-27T18:15:58.699Z]	<dlongley>	heathervescent: We also added "address the work item questions below". We put them here. For item 215 we added work item best practices, that's also 174. Other questions are 173. The best practices for running a work item ... if anyone has good best practices they want to share about managing or running a work item that would be good to put that here to help everyone.
[2021-01-27T18:16:30.187Z]	<dlongley>	heathervescent: After 212 I put the work item category and in the third category I added text about the task force requirements. It's supposed to have the charter in here too but I'm not sure what happened. A previous edit that had a request for the charter.
[2021-01-27T18:16:55.486Z]	<dlongley>	heathervescent: Which addresses 172 that somehow got deleted during the PR. I thought I had that. Anyway, under the task force requirements they must have a leader and a charter.
[2021-01-27T18:17:05.574Z]	<dlongley>	heathervescent: For the task force to remain active it must provide a status update.
[2021-01-27T18:17:32.188Z]	<dlongley>	heathervescent: The initial idea was that task forces need to give updates to the chairs on an ongoing basis, but we don't want to make it overly burdensome on either the chairs or the task force.
[2021-01-27T18:17:44.117Z]	<dlongley>	heathervescent: We wanted to have a way that that task forces -- where they aren't active that we can close them out.
[2021-01-27T18:17:48.612Z]	<Manu_Sporny>	q+ to say thank you
[2021-01-27T18:17:53.827Z]	<dlongley>	heathervescent: I think everything else is pretty much the same.
[2021-01-27T18:17:53.859Z]	<wayne>	q?
[2021-01-27T18:17:58.420Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:18:18.066Z]	<by_caballero>	+1
[2021-01-27T18:18:24.919Z]	<dlongley>	manu: Just to say thank you, this is really awesome to see everything documented so well. It's been something we've been needing to do as a community for a long time, so thanks to Heather, Wayne, and Kim.
[2021-01-27T18:18:45.352Z]	<dlongley>	wayne: Credit where it's due, Kim did the prototype document, Heather contributed, so did TallTed and others, thank yuo.
[2021-01-27T18:18:48.547Z]	<dlongley>	s/yuo/you/
[2021-01-27T18:19:03.680Z]	<dlongley>	heathervescent: I'll close out these action items except the one and we'll touch base on that next time we talk.
[2021-01-27T18:19:13.557Z]	<dlongley>	wayne: Anyone can comment on a closed issue if you think it should be reopened.
[2021-01-27T18:19:58.791Z]	<dlongley>	wayne: Next time is proposed infrastructure task force item -- it looks like there are no objections here and we can move forward. We're going to start with low stakes items.
[2021-01-27T18:20:25.902Z]	<wayne>	q?
[2021-01-27T18:20:31.309Z]	<dlongley>	wayne: If you want the history there you can read that, it's been approved by the chairs, you can expect an email if you are interested in participating in the kick off, about 2 weeks out, then it will pick up steam from there.
[2021-01-27T18:21:07.618Z]	<heathervescent>	q+
[2021-01-27T18:21:23.553Z]	<dlongley>	wayne: 158 -- CCG work item templates as github templates. With the closing out of the other issues we can use these templates to make things more convenient for everyone. Status update on the recommended CCG license, we need to ensure that all the repos have the updated licenses for IPR reasons. We've been working with Wendy Seltzer from W3C management on this.
[2021-01-27T18:21:31.788Z]	<wayne>	ack heathervescent
[2021-01-27T18:21:31.874Z]	<dlongley>	wayne: We are just waiting on a few repos that haven't updated the license on that.
[2021-01-27T18:21:44.989Z]	<heathervescent>	https://github.com/w3c-ccg/community/issues/142
[2021-01-27T18:22:21.776Z]	<Manu_Sporny>	q+ to weigh in on the ones I know of
[2021-01-27T18:22:28.022Z]	<dlongley>	heathervescent: I manually changed all these. If you look at the issue. I would love, since we're on the call, I'd like to look at this. Three comments from the top -- I have a list of links, these are the 5 repos that currently do not adhere to the CCG license. My question is, do we need to have them adhere to the CCG license and are there any objections to changing them to the CCG license?
[2021-01-27T18:22:37.855Z]	<dlongley>	heathervescent: These are called out because they listed a different license.
[2021-01-27T18:22:41.259Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:22:45.924Z]	<dlongley>	heathervescent: If you know about these, please advise.
[2021-01-27T18:23:20.144Z]	<dlongley>	manu: I know of at least 4 of them. The DID test suite should be shutdown, redirected, and can change to the CCG license. I think switching to the CCG license applies to everything except the sovrin one.
[2021-01-27T18:23:48.119Z]	<dlongley>	manu: So DID test suite, LD merkleproof, other LD ones, only the sovrin one I don't know about.
[2021-01-27T18:23:52.804Z]	<dlongley>	manu: Can all have the new license.
[2021-01-27T18:23:53.574Z]	<TallTed>	I think this is the "20 days ago" comment?  https://github.com/w3c-ccg/community/issues/142#issuecomment-756380871
[2021-01-27T18:24:15.882Z]	<TallTed>	(direct links to comments hide under their timestamp)
[2021-01-27T18:24:21.021Z]	<dlongley>	manu: Orie is the official keeper of the DID test suite. It's in the official W3C DID WG at this point and we need to say it's in an official WG now and we just link to it and then close it.
[2021-01-27T18:24:29.141Z]	<dlongley>	heathervescent: And then we switch to the CCG license?
[2021-01-27T18:24:42.327Z]	<by_caballero>	https://github.com/w3c/did-test-suite
[2021-01-27T18:24:44.341Z]	<dlongley>	manu: Yes, just switch to the new CCG, then say it's moved to the DID WG, then archive the repo, in that order.
[2021-01-27T18:24:46.093Z]	<dlongley>	wayne: Ok, great.
[2021-01-27T18:24:51.066Z]	<heathervescent>	Thank Manu
[2021-01-27T18:24:56.456Z]	<dlongley>	wayne: We can continue the discussion over there and we can check with Wendy on doing that.
[2021-01-27T18:25:20.867Z]	<dlongley>	wayne: The Sovrin repo we can actually archive, I got confirmation from the contributors that it can be archived, it's way out dated.
[2021-01-27T18:25:32.475Z]	<wayne>	https://github.com/w3c-ccg/community/issues/136
[2021-01-27T18:25:48.781Z]	<heathervescent>	q+
[2021-01-27T18:26:14.656Z]	<dlongley>	wayne: Long discussion, we wanted membership criteria and a lot of people decided it might be too onerous to have membership requirements for voting. To summarize some of the issues we had in the first election -- we're trying to improve the process. A link was shared with the changes and I emailed the mailing list and called for strong objections.
[2021-01-27T18:26:42.706Z]	<dlongley>	wayne: The only outstanding discussion point is that the membership requirements may be too constraining. The other issue was about using ranked choice voting (we are using it in the new charter and no objections thus far).
[2021-01-27T18:27:04.288Z]	<dlongley>	wayne: It seems that the discussion between Joe and Kim is leaning toward just being a member of the community group and signing the contributor agreement.
[2021-01-27T18:27:10.752Z]	<wayne>	ack heathervescent
[2021-01-27T18:27:57.938Z]	<dlongley>	heathervescent: My concern here is that the comments that were initially documented by Christopher Allen are like anonymous and then the rest of the comments on here are not anonymous and those go against those comments. I don't think I have a good understanding of what the community wants. I'm not sure what people want because the comments are in conflict. I don't know who those anonymous comments were from.
[2021-01-27T18:28:21.278Z]	<dlongley>	heathervescent: We made the changes based on those anonymous comments and now we've gotten push back on it and I haven't heard from those anonymous people with their concerns not being addressed.
[2021-01-27T18:28:22.791Z]	<Manu_Sporny>	q+ to ask exactly what's being asked?
[2021-01-27T18:28:36.798Z]	<dlongley>	wayne: Joe, if you're able to discuss -- we're considering your recommendation of removing the membership requirements.
[2021-01-27T18:28:37.383Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:28:51.098Z]	<dlongley>	manu: I didn't quite understand what question is being asked. I'm not sure are you saying -- open debate on the topic?
[2021-01-27T18:28:56.259Z]	<Joe_Andrieu>	q+
[2021-01-27T18:29:11.465Z]	<dlongley>	manu: I think we should just trust the community, I don't think anyone has abused the voting process. If you agree to the contributer agreement you can vote.
[2021-01-27T18:29:39.700Z]	<dlongley>	manu: When it comes to process and taking anonymous input into account is super dangerous. I don't think we should take anonymous input into account unless it's fairly benign.
[2021-01-27T18:29:46.746Z]	<wayne>	ack JoeAndrieu
[2021-01-27T18:29:53.198Z]	<dlongley>	wayne: That's a fair point. The question is -- does anyone want to talk to this?
[2021-01-27T18:30:15.821Z]	<heathervescent>	q+
[2021-01-27T18:30:33.368Z]	<dlongley>	JoeAndrieu: The idea here is that the chairs propose something and that's adopted if no objections it's accepted OR if there are objections we discuss and see if those are easily resolved or we can go to the larger community if not.
[2021-01-27T18:30:42.617Z]	<dlongley>	JoeAndrieu: I don't think we can consider anonymous comments as a principled objection.
[2021-01-27T18:31:05.145Z]	<wayne>	ack heathervescent
[2021-01-27T18:31:07.990Z]	<dlongley>	wayne: Those are fair points. They weren't only just anonymous comments, for example, Dan Burnett for example was a large supporter of meeting attendance for membership, or that was my interpretation.
[2021-01-27T18:31:15.151Z]	<rgrant>	+1 asking for pointer to anon comments.
[2021-01-27T18:31:18.269Z]	<agropper>	present+
[2021-01-27T18:31:31.935Z]	<rgrant>	q+ asking for pointer to anon comments.
[2021-01-27T18:31:39.454Z]	<dlongley>	heathervescent: Thank you everyone for this conversation, my question was "do we ignore the anonymous comments?" and the answer is "yes". I say we explicitly say that and then we move forward.
[2021-01-27T18:31:49.478Z]	<Joe_Andrieu>	+1
[2021-01-27T18:32:00.074Z]	<dlongley>	heathervescent: I wasn't comfortable without a resolution on how to handle the anonymous comments and we have one now.
[2021-01-27T18:32:19.035Z]	<dlongley>	wayne: Yes, and I'm on the side of trusting the community here as well, so no extra requirements.
[2021-01-27T18:32:42.188Z]	<dlongley>	heathervescent: So does that mean you'll make an edit of this and once you send this to the list we'll start the 2 weeks?
[2021-01-27T18:32:52.143Z]	<dlongley>	wayne: No, I think if we get rid of the objections it should be fine.
[2021-01-27T18:32:56.453Z]	<dlongley>	heathervescent: Prior to the 2 weeks?
[2021-01-27T18:32:57.967Z]	<dlongley>	wayne: Yeah.
[2021-01-27T18:33:10.392Z]	<dlongley>	heathervescent: Once resolved I'll put together the election timeline.
[2021-01-27T18:33:22.516Z]	<dlongley>	wayne: I think 2021 will be a big year for the CG, expecting even more growth.
[2021-01-27T18:33:41.846Z]	<dlongley>	wayne: It's important that we have a good fundamental process for elections, work items, task forces, etc. So anyone can step up and take on the chair role.
[2021-01-27T18:33:41.823Z]	<heathervescent> Topic: Discussion on VC Interactions & Data Models
[2021-01-27T18:34:25.941Z]	<dlongley>	wayne: Moving on, we have a bunch of people from the mailing list discussing extensions to the VC spec. That was kicked off by Gabe who worked at Workday at the time, has since transitioned. We are happy to have him and others here to talk about verifiable requests.
[2021-01-27T18:34:43.631Z]	<dlongley>	wayne: Gabe, you started off the thread here, could you take 2-5 minutes to set the context here.
[2021-01-27T18:34:54.286Z]	<Gabe>	https://docs.google.com/presentation/d/16pcCj1VtJ0r2OcLM1GznpDreWSgedeBAB8lZtLlkIYM/edit?usp=sharing
[2021-01-27T18:34:54.451Z]	<dlongley>	wayne: About why you sent the email to the list, summarize, recommendations.
[2021-01-27T18:35:43.190Z]	<dlongley>	Gabe: The VC data model defines claims, presentations; I was thinking about why there was no opposite for presentations, nothing for requests. You're often responding to a request, maybe not always.
[2021-01-27T18:35:55.130Z]	<dlongley>	Gabe: If the VC spec is the right place to define the presentation, it could also define the request without too many changes.
[2021-01-27T18:36:26.661Z]	<dlongley>	Gabe: The VC doesn't need to or want to define a protocol, that's understood. What I'm most interested in is a common data model to request VCs in a common manner. It will be created in numerous places and different ways if there is no standard.
[2021-01-27T18:36:39.708Z]	<dlongley>	Gabe: Defining what the request looks like is not necessary, but the wrapping for a request could be worth while.
[2021-01-27T18:37:00.335Z]	<dlongley>	Gabe: I'd like to create a VerifiableRequest and standardize that. The idea is that there is some meta data about the request(s) and the proofs from the requester to authenticate the request.
[2021-01-27T18:37:11.609Z]	<dlongley>	Gabe: I modified the example in the spec to show what it would be like.
[2021-01-27T18:38:00.204Z]	<dlongley>	Gabe: Brief Pros and Cons, probably didn't cover the Cons as well as I could have. I want to avoid multiple formats for requests. Adding a data model would add value for the community. I think it's important to verify the authenticity of the request to be able to confidently respond.
[2021-01-27T18:38:23.973Z]	<dlongley>	Gabe: The cons could be that the spec is hinting a protocol without declaring one. We could be really clear about indicating there's no protocol, just a data model.
[2021-01-27T18:38:39.371Z]	<Manu_Sporny>	q+ to note "yes, we need this", and some history of how we ended up where we are.
[2021-01-27T18:38:46.500Z]	<dlongley>	Gabe: Daniel Hardman mentioned that authenticity of a request is normally not needed or handled in other ways.
[2021-01-27T18:39:02.699Z]	<dlongley>	Gabe: You'll notice in this example that there's no standard for a request.
[2021-01-27T18:39:22.182Z]	<dlongley>	Gabe: There are options I've enumerated, I think it's a good idea, it should belong in this spec, or it's a bad idea.
[2021-01-27T18:39:36.346Z]	<dlongley>	Gabe: Or if you think maybe we should remove VerifiablePresentations from the spec.
[2021-01-27T18:39:42.344Z]	<agropper>	q+
[2021-01-27T18:40:15.505Z]	<wayne>	q?
[2021-01-27T18:40:16.695Z]	<dlongley>	wayne: This is a really good candidate for a work item and take your examples and verbiage around VRs and see how it would work. See if there are other work items where it could be put as well. Once more refined as a work item, we could decided as a group whether it should be in the spec or not.
[2021-01-27T18:40:23.421Z]	<wayne>	ack Joe_Andrieu
[2021-01-27T18:40:37.604Z]	<wayne>	ack rgrant
[2021-01-27T18:40:47.931Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:41:35.154Z]	<dlongley>	manu: +1 to Gabe, this is great. Absolutely we need a request format. We probably need more than 1 unfortunately. Let me go back to what was in the VC WG's mind when we put the spec into shape it was in. We were getting pretty big objections to working on a protocol. So we worked on a data model only because of that pressure.
[2021-01-27T18:41:47.548Z]	<dlongley>	manu: Large W3C member companies saying don't do a protocol yet. So that's why.
[2021-01-27T18:42:22.420Z]	<Liam_McCarty>	q+
[2021-01-27T18:42:26.376Z]	<dlongley>	manu: We know that we will need to a protocol at some point, we don't know what the query mechanism will be yet, we wanted to give time for multiple options to form in the market. One of those options is CHAPI (Credential Handler API), it has a query-by-example model. There's another that the Aries community uses. Your proposing one now as well.
[2021-01-27T18:42:49.289Z]	<dlongley>	manu: That's all good, we predicted that there would be multiple different query mechanisms and it would be ideal to have just 1 but it's not yet clear how to combine everything and keep it simple.
[2021-01-27T18:43:04.461Z]	<dlongley>	manu: There's the ZKP mechanism, OIDC/SIOP, query by example.
[2021-01-27T18:43:21.638Z]	<Gabe>	q+
[2021-01-27T18:43:26.940Z]	<dlongley>	manu: Totally agree with you, we need to define this, there is interoperability work going on in the DHS SVIP program and also people implementing things in Aries and we should make sure things are aligned.
[2021-01-27T18:43:43.748Z]	<dlongley>	manu: We're going to need to have one or more work items and figure this out or we won't get to interop.
[2021-01-27T18:43:46.088Z]	<wayne>	ack Gabe
[2021-01-27T18:44:23.128Z]	<dlongley>	Gabe: I agree with you, Manu. There need to be a number of these different options. I'm thinking about it from the perspective, I'm using VPs for my responses, what should I use for my requests? For Aries they use VPs to respond, but for the request they have nothing.
[2021-01-27T18:44:32.768Z]	<wayne>	q?
[2021-01-27T18:44:33.821Z]	<dlongley>	Gabe: So someone wanting to use VPs -- there should be a VR.
[2021-01-27T18:44:35.109Z]	<wayne>	ack agropper
[2021-01-27T18:44:53.528Z]	<Manu_Sporny>	q+ dlongley to explain query by example (manu will scribe)
[2021-01-27T18:44:57.931Z]	<Manu_Sporny>	q-
[2021-01-27T18:45:00.843Z]	<Manu_Sporny>	q+ dlongley
[2021-01-27T18:45:41.074Z]	<dlongley>	agropper: I have almost 10 years of experience and implementation experience around request and authorization protocols. As they are used in the real world. I have moved my attention to the GNAP work that's in IETF. I don't represent a huge economic interest here but represent the community. I think we should align the data model work around the GNAP protocols going forward.
[2021-01-27T18:46:11.607Z]	<wayne>	q?
[2021-01-27T18:46:14.714Z]	<dlongley>	agropper: It makes the level of sophistication is unmatched in this particular domain -- and we'll be reinventing a number of wheels over 5 years or more if we don't consider that work.
[2021-01-27T18:46:16.388Z]	<wayne>	ack Liam_McCarty
[2021-01-27T18:46:30.587Z]	<wayne>	q?
[2021-01-27T18:46:33.410Z]	<wayne>	ack dlongley
[2021-01-27T18:46:34.175Z]	<dmitriz>	@manu - have we brought up the vp-request-spec spec?
[2021-01-27T18:46:35.341Z]	<Liam_McCarty>	Audio isn't working sorry
[2021-01-27T18:47:01.451Z]	<dmitriz>	q+ to mention vp-request over GNAP
[2021-01-27T18:47:03.489Z]	<manu>	dlongley: Doing requests on CHAPI -- CHAPI accepts ay data format that can use JSON. We have a work item around defining a number of these formats.
[2021-01-27T18:47:42.664Z]	<manu>	dlongley: You can ask for different credential types, properties claims inside of VCs that you are interested in receiving. In addiiton you can specifiy types of issuers you trust, types of credentials that issuers would hold. It's a powerful mechanism for composing a request around the type of thing you would like to see.
[2021-01-27T18:47:54.987Z]	<manu>	dlongley: There is already a work item that Digital Bazaar and Secure Key have been working on where this work might land.
[2021-01-27T18:48:36.161Z]	<Manu_Sporny>	q+ to cover "signing requests"
[2021-01-27T18:48:44.857Z]	<Manu_Sporny>	q-
[2021-01-27T18:48:55.628Z]	<dlongley>	Gabe: So I was thinking about requests more as a noun than a verb. How do you know that what's being requested is actually correct? More like you're signing a request "what credentials are being asked for"? That, to me is independent of protocol. The goal is more is about ensuring that what's being requested for is cryptographically verifiable.
[2021-01-27T18:48:56.521Z]	<Manu_Sporny>	q+ to cover "signing requests" and data model vs. protocol for requests.
[2021-01-27T18:48:56.678Z]	<wayne>	q?
[2021-01-27T18:49:08.766Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:49:45.232Z]	<dmitriz>	https://w3c-ccg.github.io/vp-request-spec/
[2021-01-27T18:49:51.814Z]	<dlongley>	manu: There are classes of requests where you want them to be signed and others where it doesn't matter or not. The query-by-example mechanism could be digitally signed, for example. I'm not sure where the signature is needed, but there are mechanisms for it, there are often other trust signals.
[2021-01-27T18:50:05.623Z]	<dmitriz>	^ data model spec of the 'query-by-example' method manu is talking about
[2021-01-27T18:50:22.038Z]	<wayne>	ack dmitriz
[2021-01-27T18:50:24.677Z]	<dlongley>	manu: Thinking about as a data model vs. a protocol is a good thing to do. These are data model things that can travel over different protocols, but how you ask for information is a data model solution, not a protocol, that's a good way to think about it.
[2021-01-27T18:50:27.699Z]	<wayne>	q?
[2021-01-27T18:50:55.828Z]	<dlongley>	dmitriz: I wanted to +1 Adrian's comments about GNAP, that is an excellent protocol. In the SDS group we'd also investigating using GNAP for authorization.
[2021-01-27T18:51:26.367Z]	<dlongley>	dmitriz: But, specifically, GNAP is very much data model agnostic, so I would highly encourage considering GNAP as a protocol in conjunction with data models from the VP request spec work item and the proposal from Workday/Gabe.
[2021-01-27T18:51:31.393Z]	<Gabe>	q+
[2021-01-27T18:51:34.636Z]	<wayne>	ack Gabe
[2021-01-27T18:51:38.091Z]	<dlongley>	dmitriz: GNAP is a pretty decent protocol, we need a data model to use it.
[2021-01-27T18:51:54.305Z]	<Manu_Sporny>	q+ to note CCG and query spec
[2021-01-27T18:51:57.889Z]	<dlongley>	Gabe: Now that we have this agreement that the data model is important, where is the best place to add it? Here or somewhere else? Who can assist in that process?
[2021-01-27T18:52:00.378Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:52:54.927Z]	<Liam_McCarty>	q+
[2021-01-27T18:52:55.643Z]	<wayne>	q+
[2021-01-27T18:53:03.909Z]	<dlongley>	manu: Absolutely, the CCG is the right place to work on it. Primarily, you'd expect it to go into a W3C WG and it's aligned with the VC spec. It's a separate work item, it's its own world and has a lot of things to consider that are different from what's in the VC spec. There's more leeway that way. If it becomes clear that it should be part of the core spec we can do that, but don't do it too early, could create artificial boundaries.
[2021-01-27T18:53:04.475Z]	<wayne>	ack Liam_McCarty
[2021-01-27T18:53:30.084Z]	<Manu_Sporny>	q+ to note history is due to multiple approaches -- we couldn't come to consensus on ONE format.
[2021-01-27T18:53:39.626Z]	<Joe_Andrieu>	q+
[2021-01-27T18:53:49.012Z]	<wayne>	ack Manu_Sporny
[2021-01-27T18:53:49.662Z]	<dlongley>	Liam: I would love to hear from you, Manu about the asymmetry. Presentations may contain data that's derived from VCs, not the VCs themselves. What's the history? What was the motivation for including VPs?
[2021-01-27T18:54:36.915Z]	<dlongley>	manu: Two pressures: Large companies telling us not to a protocol and the other reason for no VRs in the spec is different ways of doing it. Not alignment yet, no single way to do it (premature). Those are the two reasons, pressure to not do a protocol and no single way to do it yet.
[2021-01-27T18:54:39.725Z]	<wayne>	ack wayne
[2021-01-27T18:54:44.222Z]	<dlongley>	manu: There's a desire to work on it, so we should work on it.
[2021-01-27T18:55:16.571Z]	<wayne>	ack JoeAndrieu
[2021-01-27T18:55:20.284Z]	<dlongley>	wayne: CCG has a relationship with the VC Maintenance WG, because it's in maintenance mode it might be a hurdle to add breaking changes to a spec, that's one thing to consider. But a work item is a great way to consider the ecosystem wants to move forward.
[2021-01-27T18:55:20.344Z]	<wayne>	ack Joe_Andrieu
[2021-01-27T18:55:59.497Z]	<wayne>	q?
[2021-01-27T18:56:01.773Z]	<wayne>	q+
[2021-01-27T18:56:05.485Z]	<wayne>	ack wayne
[2021-01-27T18:56:06.191Z]	<dlongley>	JoeAndrieu: In addition to the notes Manu suggested, part of where VP came from, lacking a protocol, we didn't have a way to prove a VC is under control of the person presenting it. So when you, for example, give your driver's license to someone we also have the assertion "this is mine" in the presentation.
[2021-01-27T18:56:38.183Z]	<Liam_McCarty>	q+
[2021-01-27T18:56:40.246Z]	<agropper>	q+
[2021-01-27T18:56:41.055Z]	<dlongley>	wayne: Whether we sign something or not has to do with non-repudiation. A digital signature plays a piece in that overall puzzle, there's an opportunity to talk about how non-repudiation effects things here.
[2021-01-27T18:56:49.135Z]	<wayne>	ack Liam_McCarty
[2021-01-27T18:57:04.360Z]	<agropper>	https://www.federalregister.gov/documents/2020/11/03/2020-24283/request-for-comments-on-federal-information-processing-standard-fips-201-3
[2021-01-27T18:57:08.960Z]	<dlongley>	liam: Thanks both of you, that's very helpful. Things like phishing, is a very important concern.
[2021-01-27T18:57:10.657Z]	<dlongley>	q+
[2021-01-27T18:57:36.368Z]	<wayne>	ack agropper
[2021-01-27T18:57:39.633Z]	<dlongley>	liam: Some of the privacy concerns that are highlighted in the spec, the use cases people are focused on ... are less important to our work we're concerned about security more than correlation.
[2021-01-27T18:57:45.072Z]	<Manu_Sporny>	q+ to talk about phising risk and mitigations.
[2021-01-27T18:58:20.989Z]	<dlongley>	agropper: There's an update to the NIST specification processes and so on that's quite valuable in this context. The commentary is over on Monday, I haven't figured out what I'll comment on yet, if anything, but quite worthwhile, state of the art.
[2021-01-27T18:58:26.674Z]	<wayne>	ack dlongley
[2021-01-27T18:58:31.334Z]	<Gabe>	q+
[2021-01-27T18:58:36.307Z]	<wayne>	scribe+
[2021-01-27T18:58:56.466Z]	<Manu_Sporny>	q-
[2021-01-27T18:59:14.987Z]	<wayne>	dlongley: regarding the phishing concerns, some of that might fall under the protocol layer. For example, if you're using CHAPI to ship your credentials, then you're getting signals directly from the browser around which party you're talking with. There might be a place for this kind of authentication in the data model _or_ the protocol, which allows user familiarity.
[2021-01-27T18:59:46.653Z]	<wayne>	dlongley: It may be tricky to figure out when we should be using authentication in the request, and when the protocol should handle that. If we introduce the option in both places, we need some guardrails to advise the user when to use which.
[2021-01-27T18:59:50.799Z]	<wayne>	q?
[2021-01-27T18:59:53.147Z]	<wayne>	ack Gab
[2021-01-27T18:59:57.141Z]	<Gabe>	https://github.com/w3c-ccg/community/issues/179
[2021-01-27T19:00:07.147Z]	<dlongley>	Gabe: I just opened up an issue for the work item.
[2021-01-27T19:00:30.425Z]	<dlongley>	wayne: Thanks to all and to the scribe! See everyone next week.
[2021-01-27T19:01:19.210Z]	<Wayne_Chang>	kicking everyone soon to shut down the bot. please don't take it personally :)
