[2024-01-22T15:53:27.231Z]	<Simone_Ravaioli_(Co-Chair)> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jan/0005.html
[2024-01-22T16:10:19.660Z]	<Transcriber>	Kerri_Lemoie: You have 13 members I'm around the world and the silver six different countries and with 93 code Repose which we just did an inventory of and checked that count all of these libraries sort of building into the work that are contributing some way to the work that I'm going to show you today just like many of you the D.C.'s vision is to revolutionize how academic achievements are issued manage verified and valued we develop open.
[2024-01-22T16:10:19.994Z]	<Transcriber>	Kerri_Lemoie:  in source.
[2024-01-22T16:10:53.036Z]	<Transcriber>	Kerri_Lemoie: Applications that can help anyone Implement trusted and verifiable digital academic credentials and they're they're issuing systems and we believe also like many of you that Open Standards like the w3c verifiable credentials and open source software lead to the most effective solutions that can most easily cost you place be opted right through Global interoperability so this is what we work on together as a with our members and also our team that supports our members.
[2024-01-22T16:10:53.329Z]	<Transcriber>	Kerri_Lemoie:  is some of the.
[2024-01-22T16:11:15.506Z]	<iodeslykos>	present+
[2024-01-22T16:11:51.128Z]	<Xavi_Aracil>	present+
[2024-01-22T16:11:55.832Z]	<Rick_Barfoot>	present+
[2024-01-22T16:13:06.355Z]	<CEL>	present+
[2024-01-22T16:13:24.272Z]	<Deb_Everhart_(Credential_Engine)>	Credential Engine greatly appreciates the DCC engagement and expertise in CTDL advisory groups!
[2024-01-22T16:14:13.692Z]	<Charles_E._Lehner>	present+
[2024-01-22T16:18:22.162Z]	<Simone_Ravaioli_(Co-Chair)>	q?
[2024-01-22T16:19:49.195Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	Simone_Ravaioli_(Co-Chair) , Kerri_Lemoie -- transcriber needs a kick
[2024-01-22T16:20:26.035Z]	<Simone_Ravaioli_(Co-Chair)>	@Ted - not sure why it is not working for some participants...
[2024-01-22T16:20:34.950Z]	<Simone_Ravaioli_(Co-Chair)>	definetly something we will look into it
[2024-01-22T16:20:49.041Z]	<Simone_Ravaioli_(Co-Chair)>	we will have the audio recording anyways...
[2024-01-22T16:21:18.671Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	Simone Ravaioli (Co-Chair) -- it cut out mid-sentence from Kerri. I think this is not the partial-deafness (which is usually browser-related).
[2024-01-22T16:21:29.015Z]	<Taylor_-_LEF>	present+
[2024-01-22T16:22:28.548Z]	<Dmitri_Zagidulin>	oooh, yeah, that's not good
[2024-01-22T16:22:43.358Z]	<Dmitri_Zagidulin>	@Kerri or @Simone - might make sense to hit Record again
[2024-01-22T16:22:54.442Z]	<Glib_(Raccoon_Gang)>	present+
[2024-01-22T16:23:10.457Z]	<Kerri_Lemoie>	I think if we hit record again, it deletes the previous recording.
[2024-01-22T16:23:17.906Z]	<Simone_Ravaioli_(Co-Chair)>	Recording is ON. If I turn it off and on, we might loose the audio until now.
[2024-01-22T16:23:34.100Z]	<Dmitri_Zagidulin>	good point!
[2024-01-22T16:23:37.765Z]	<Dmitri_Zagidulin>	as long as the audio's still on
[2024-01-22T16:23:46.303Z]	<Leah_Houston_(HPEC)>	huh?
[2024-01-22T16:23:56.891Z]	<Leah_Houston_(HPEC)>	I missed what he just said re contact info
[2024-01-22T16:23:59.273Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	ugh... sorry. I thought restarting recording appended new to old.
[2024-01-22T16:24:06.336Z]	<Simone_Ravaioli_(Co-Chair)>	q?
[2024-01-22T16:25:01.525Z]	<Leah_Houston_(HPEC)>	Jackson - if you could please share the contact info/website you mentioned- i did not get it when you spoke
[2024-01-22T16:26:26.071Z]	<Sudesh_Sangelkar>	Jackson - This is Sudesh from Phoenix Arizona. Does entire credential cycle ready for apps to integrate starting from issuance to verification? Which standards are supported at this point?
[2024-01-22T16:26:36.167Z]	<Glib_(Raccoon_Gang)>	present+
[2024-01-22T16:26:57.193Z]	<Taylor_-_LEF>	Here you go Leah:https://www.learningeconomy.io
https://www.learncard.com
[2024-01-22T16:27:30.399Z]	<Taylor_-_LEF>	present+
[2024-01-22T16:28:57.134Z]	<Glib_(Raccoon_Gang)>	present+
[2024-01-22T16:29:56.875Z]	<Leah_Houston_(HPEC)>	Kerri - Which Student informtion systems are you integrated with and what is the opt in/opt out process?
[2024-01-22T16:30:30.382Z]	<Jacksón>	Thanks Taylor for sharing the links! @Sudesh - yes, we support integration from issuance to verification. We support DIDs (web, key, and more), VC-API, OIDC4VCI, CHAPI, Ed25516, Secp256k1 - we have participated in community Plugfest 1, 2, and 3 as well! Happy to have a chat if you have more questions!
[2024-01-22T16:30:36.054Z]	<Jacksón>	jackson@learningeconomy.io
[2024-01-22T16:30:40.017Z]	<Dmitri_Zagidulin>	@Leah - so, it's just a CSV, so the issuer/registrar uploads a spreadsheet of students
[2024-01-22T16:31:51.168Z]	<Leah_Houston_(HPEC)>	where is the agency for the *TRUE* owner of the credentials (the student/learner?)
[2024-01-22T16:32:06.654Z]	<Dmitri_Zagidulin>	@leah - that begins when the student picks up the credential
[2024-01-22T16:32:10.103Z]	<Dmitri_Zagidulin>	agency passes to them
[2024-01-22T16:32:41.729Z]	<Leah_Houston_(HPEC)>	yes I understand that - but only if the school opts in/sends it to them - it is not automatically available- correct?
[2024-01-22T16:32:59.958Z]	<Dmitri_Zagidulin>	correct. same as with a paper credential
[2024-01-22T16:33:22.988Z]	<Sudesh_Sangelkar>	This Is Sudesh & Ramakant from SOLO …  
S - Skills: SOLO focuses on developing and showcasing skills.
O - Opportunities: SOLO connects learners with valuable opportunities.
L - Learning: SOLO promotes continuous learning and growth.
O - Outcomes: SOLO helps individuals achieve meaningful career outcomes.

We will have few questions and will send it via email.
[2024-01-22T16:33:47.590Z]	<Sudesh_Sangelkar>	Thanks Jackson!
[2024-01-22T16:33:53.473Z]	<Simone_Ravaioli_(Co-Chair)>	@Leah - you might want to ask to Jacskon about integration with SIS... I think the LearnCloud has a strong integration feature
[2024-01-22T16:34:11.372Z]	<Leah_Houston_(HPEC)>	present+
[2024-01-22T16:34:40.888Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	Simone Ravaioli (Co-Chair), Dmitri Zagidulin -- If I knew the repo, I'd log an issue to make the recording file title include datetime (perhaps rounded to the minute) instead of just date. This would make moving them around a bit more complicated, but given the frequency of the recording failing mid-meeting, this seems important. Especially if the recording includes voices that the transcriber doesn't hear.
[2024-01-22T16:34:59.725Z]	<Dmitri_Zagidulin>	@tallted - lemme see if I can find the repo, it's somewhere on CCG
[2024-01-22T16:35:17.651Z]	<Nate_Otto_(he/him)>	Is the verifier plus link generation something that can be done with any credential in this wallet, or is it specific to credentials issued via this coordinator?
[2024-01-22T16:35:30.434Z]	<Dmitri_Zagidulin>	@Nate - any credential
[2024-01-22T16:35:33.908Z]	<Kerri_Lemoie>	@nate - any credential in the wallet
[2024-01-22T16:35:39.358Z]	<Ashutosh_pagi>	present+
[2024-01-22T16:36:18.241Z]	<Kerri_Lemoie>	The links expire in one year and can be destroyed and recreated at any time by the earner.
[2024-01-22T16:36:39.812Z]	<Jacksón>	@Leah yes LearnCloud connects directly with LMS/SIS/HR for seamless integration into existing systems!
[2024-01-22T16:36:59.427Z]	<Dmitri_Zagidulin>	@TallTed - I think the generating code is the .sh files in https://github.com/w3c-ccg/meetings
[2024-01-22T16:37:26.475Z]	<Deb_Everhart_(Credential_Engine)>	looks like it would be fairly straightforward to use the badge alignment field in the template to include a link to CTDL Registry data for further context-- which could then be a link in the credential display in the wallet-- does that make sense?
[2024-01-22T16:38:09.803Z]	<Ildiko_Mazar_(ELM)>	@Kerrie, can you please share the share link to the demo cred, so we can explore the details?
[2024-01-22T16:38:11.814Z]	<Dmitri_Zagidulin>	@Deb - definitely! I think the ASU Corner Pocket team is looking to explore that integration, and DCC team is very interested as well!
[2024-01-22T16:38:29.498Z]	<Kerri_Lemoie>	I forgot to go into revoking or credential status checking.
[2024-01-22T16:38:40.389Z]	<Deb_Everhart_(Credential_Engine)>	:+1:
[2024-01-22T16:39:02.537Z]	<Karen_Passmore>	Why do links expire??
[2024-01-22T16:39:17.312Z]	<Dmitri_Zagidulin>	@Karen - just for data retention policy reasons
[2024-01-22T16:39:19.382Z]	<Karen_Passmore>	(ignore that dbl question mark ;)
[2024-01-22T16:39:29.587Z]	<Dmitri_Zagidulin>	the issuer could set them to not expire
[2024-01-22T16:39:35.515Z]	<Karen_Passmore>	ok perfect, thanks
[2024-01-22T16:40:15.016Z]	<Ashutosh>	present+
[2024-01-22T16:40:15.544Z]	<Dmitri_Zagidulin>	@Deb - we'd love to do a VC Edu call, showing the CTDL integration for the wallet, once that launches!
[2024-01-22T16:40:20.506Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-01-22T16:40:30.928Z]	<Deb_Everhart_(Credential_Engine)>	that would be great!
[2024-01-22T16:41:09.430Z]	<Kerri_Lemoie>	DCC Docker Hub: https://hub.docker.com/orgs/digitalcredentials/repositories
[2024-01-22T16:41:35.374Z]	<Simone_Ravaioli_(Co-Chair)>	q?
[2024-01-22T16:42:59.125Z]	<Nate_Otto_(he/him)>	revoking: 95% for stuff that was issued by mistake
[2024-01-22T16:43:02.698Z]	<Ramakant>	This is Ram  & Sudesh from SOLO.
Which credential standards are supported?
Does it support verifiable credential request to have selective disclosure of credentials in wallet?
[2024-01-22T16:43:36.205Z]	<Dmitri_Zagidulin>	@Nate - lol great point
[2024-01-22T16:44:04.882Z]	<Ildiko_Mazar_(ELM)>	Can we also take a look at the revocation list on Github, if it's public?
[2024-01-22T16:44:14.295Z]	<Dmitri_Zagidulin>	@Ildiko - of course, one sec
[2024-01-22T16:44:18.809Z]	<Sudesh_Sangelkar>	thanks!! Kerrie
[2024-01-22T16:44:35.637Z]	<Ramakant>	Thanks!
[2024-01-22T16:44:38.062Z]	<Simone_Ravaioli_(Co-Chair)>	q?
[2024-01-22T16:44:39.650Z]	<Kayode_Ezike>	Actually, LCW does support VPR for the exchange of credentials
[2024-01-22T16:45:03.546Z]	<Dmitri_Zagidulin>	but not the selective disclosure
[2024-01-22T16:46:05.515Z]	<Kayode_Ezike>	Correct
[2024-01-22T16:46:06.567Z]	<Ildiko_Mazar_(ELM)>	So it's not like a CSV with binary values for revocation status.
[2024-01-22T16:46:21.320Z]	<Dmitri_Zagidulin>	@Ildiko right, it's a bit more compressed than that
[2024-01-22T16:46:29.651Z]	<Nate_Otto_(he/him)>	https://www.w3.org/TR/vc-bitstring-status-list/ in this format
[2024-01-22T16:46:33.364Z]	<Dmitri_Zagidulin>	here's an example status VC: https://digitalcredentials.github.io/credential-status-playground/JWZM3H8WKU#3
[2024-01-22T16:46:45.094Z]	<Dmitri_Zagidulin>	and yeah, Otto's link is a good example of what the VC looks like
[2024-01-22T16:47:04.669Z]	<Kerri_Lemoie>	https://github.com/digitalcredentials/credential-status-manager-git
[2024-01-22T16:47:06.795Z]	<Ildiko_Mazar_(ELM)>	Thank you both @Nate and @Dmitri, very much appreciated.
[2024-01-22T16:47:07.104Z]	<Sudesh_Sangelkar>	How to get details for APP integrations ?
[2024-01-22T16:48:21.814Z]	<Sudesh_Sangelkar>	whats the process for APP integrations ?
[2024-01-22T16:48:32.671Z]	<Dmitri_Zagidulin>	@Ildiko - here's some example credentials with status code, towards the bottom of https://github.com/digitalcredentials/docs/issues/10
[2024-01-22T16:49:06.591Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	Dmitri, Simone -- FYI, https://github.com/w3c-ccg/meetings/issues/92
[2024-01-22T16:49:19.032Z]	<Simone_Ravaioli_(Co-Chair)>	Thank you Ted !
[2024-01-22T16:50:01.723Z]	<Ildiko_Mazar_(ELM)>	This is perfect! Thanks, @Dmitri
[2024-01-22T16:50:02.986Z]	<Nate_Otto_(he/him)>	@Jacksón I have a question for offline about LearnCard Wallet, how to troubleshoot a ~"not verified" error message on a credential, could you let me know where to reach you or email me: nate@skybridgeskills.com
[2024-01-22T16:50:10.947Z]	<Sudesh_Sangelkar>	Is it possible to get on the call for a quick meet ? i am in MST zone
[2024-01-22T16:50:14.549Z]	<Kerri_Lemoie>	Plugfest links here: https://w3c-ccg.github.io/vc-ed/
[2024-01-22T16:50:33.486Z]	<Jacksón>	@Nate yes! Please shoot me an email at: jackson@learningeconomy.io
[2024-01-22T16:50:39.360Z]	<Jacksón>	Happy to help troubleshoot 😃
[2024-01-22T16:50:41.572Z]	<Sudesh_Sangelkar>	Thanks dmitri
[2024-01-22T16:50:54.538Z]	<Deb_Everhart_(Credential_Engine)>	thank you for all this valuable work!
[2024-01-22T16:50:59.911Z]	<Sharon_Leu>	Thanks, DCC team!
[2024-01-22T16:51:04.018Z]	<Jacksón>	(my guess is it is because of static vs dynamic contexts @Nate!)
[2024-01-22T16:51:12.057Z]	<Kerri_Lemoie>	Thanks James & Dmitri!
[2024-01-22T16:51:12.298Z]	<Jacksón>	Thanks DCC team! 🙌🎉
[2024-01-22T16:51:13.205Z]	<Sudesh_Sangelkar>	THANK YOU ALL
[2024-01-22T16:51:27.307Z]	<Taylor_-_LEF>	Thanks all 🙏
[2024-01-22T16:52:46.301Z]	<Kerri_Lemoie>	DCC Resources: https://digitalcredentials.mit.edu/resources
[2024-01-22T16:53:29.508Z]	<Kerri_Lemoie>	Verifier Plus url for the credential I created in the LCW: https://verifierplus.org/credentials/79dc4958-f4f2-4720-9ff0-6c8c36e08522
[2024-01-22T16:53:52.394Z]	<Kerri_Lemoie>	Anyone can use VerifierPlus to check a credential: https://verifierplus.org/
[2024-01-22T16:53:53.175Z]	<Ildiko_Mazar_(ELM)>	Awesome, thanks @Kerri
[2024-01-22T16:54:07.513Z]	<Jeff_O_/_HumanOS>	Thank You All
[2024-01-22T16:54:12.297Z]	<Sharon_Leu>	thanks!
[2024-01-22T16:54:16.816Z]	<Karen_Passmore>	Thank you!
[2024-01-22T16:54:20.129Z]	<Ildiko_Mazar_(ELM)>	Thank you all!
[2024-01-22T16:54:20.882Z]	<Geun-Hyung>	Thanks!
[2024-01-22T16:54:21.932Z]	<Xavi_Aracil>	Thanks!
[2024-01-22T16:54:27.277Z]	<Dave_McCool_(Muzzy_Lane)>	Thank you!
[2024-01-22T16:54:32.474Z]	<Sheela_Kiiskila>	Thank you! very interesting
