[Tue 11:06:23] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0002.html
[Tue 11:26:23] <manu>	https://www.w3.org/Payments/IG/wiki/ProposalsQ42015/VerifiableClaimsTaskForce#Open_Questions
[Tue 11:26:53] <dlongley>	manu: If you don't have the time to read and formulate your own response, we do have a set of questions we can ask you.
[Tue 11:27:02] <dlongley>	manu: Link is in IRC for some of these.
[Tue 11:27:06] <David_C>	that is mirrors the use of plastic cards in the physical world, because they work
[Tue 11:27:29] <dlongley>	manu: [lists questions at link]
[Tue 11:28:05] <jheuer>	We've worked on - and demoed at occasions - a system that relies on a user-centric flow with corporate-centric credential objects... is that close to what you think of, Dick? (like in the good old 'info card' days)
[Tue 11:28:06] <voip-vctf>	Karen O'Donoghue [SIP/173.226.66.171-0000054b] has joined the conference.
[Tue 11:28:33] <voip-vctf>	Karen O'Donoghue [SIP/173.226.66.171-0000054b] has left the conference.
[Tue 11:28:36] <dlongley>	manu: The other point to make about these questions is that they are just suggestions. During your interview, please feel free to discuss whatever you want. They are just there to help you figure out the type of input we're looking for.
[Tue 11:28:44] <dlongley>	manu: Any feedback on open questions or general feedback?
[Tue 11:28:47] <Drummond>	I don't see a question focused directly on portable identifiers (it's inherent in the "moving claims" topic).
[Tue 11:29:11] <manu>	q+
[Tue 11:29:13] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:29:14] <manu>	q-
[Tue 11:29:15] <voip-vctf>	manu has been removed from the queue:
[Tue 11:29:16] *	dlongley you can do q+ if you want to put yourself on the queue to speak
[Tue 11:29:43] <dlongley>	Drummond: It's a pretty good question list. Maybe the question of portable identifiers is important enough that there isn't a direct question about that. It's a good list, it's comprehensive.
[Tue 11:29:51] <dlongley>	manu: I'll add a question about portable identifiers.
[Tue 11:29:53] <ShaneM>	that's a good point!
[Tue 11:29:57] <DSinger>	We need to know if W3C is the right place, and has the right people and skills
[Tue 11:30:03] <dick>	I don't think portable identifiers are a required part of the architecture.
[Tue 11:30:26] <David_C>	I agree with Dick re portable IDs
[Tue 11:30:35] <dick>	I think there is an important problem to be solved. It is unclear what role W3C should or could play.
[Tue 11:30:41] <dlongley>	ShaneM: Are service-centric identifiers a problem?
[Tue 11:31:11] <voip-vctf>	Karen O'Donoghue [SIP/173.226.66.171-0000054c] has joined the conference.
[Tue 11:31:23] <dlongley>	manu: Ok, great input, that's the type of stuff we hope come up in the interviews.
[Tue 11:31:32] <Kerri_Lemoie>	Kerri: Should the distributed web be explored? Blockchain, bittorrent....
[Tue 11:31:35] <dlongley>	manu: Dick is saying the problem is important but unclear what role W3C should play.
[Tue 11:31:38] <voip-vctf>	Karen O'Donoghue [SIP/173.226.66.171-0000054c] has left the conference.
[Tue 11:31:40] <Drummond>	That's a great question, given that aspects of this problem have been tackled by IETF and OASIS and OpenID Foundation and Open Identity Exchange as well.
[Tue 11:31:47] <Drummond>	I'm sure I've left out others.
[Tue 11:31:57] <dlongley>	manu: Brad Hill together a real quick document giving us his thoughts before this call happened.
[Tue 11:31:59] <manu>	Brad Hill's feedback so far: https://docs.google.com/document/d/1aFAPObWUKEiSvPVqh9w1e6_L3iH4T08FQbJIOOlCvzU/edit?usp=sharing
[Tue 11:32:24] <dlongley>	manu: That's a list of all of the concerns he's had so far. General concerns about problem statement, fraud abuse, trust, all that stuff.
[Tue 11:32:45] <dlongley>	manu: This is the type of feedback that is super helpful. We want to make sure we're considering all the pitfalls with the problem statement as proposed, etc.
[Tue 11:33:09] <dlongley>	manu: If you have time to provide that kind of input that would be super helpful. Written input is good, at some point we're going to document what you tell us one way or another.
[Tue 11:33:35] <dlongley>	manu: Putting it in a google doc is good because we can iterate one that, but also showing up on a call and rambling about everything you're concerned about for an hour is also good. We'll have someone scribe it.
[Tue 11:34:05] <dlongley>	manu: Any questions on how to provide feedback or the questions or type of input we're looking for? Does everyone feel comfortable, if we get on a call with you one-on-one you can let us know what you think directly?
[Tue 11:34:12] <Drummond>	Yes, this is great background.
[Tue 11:34:28] <voip-vctf>	jasonweaver [SIP/sip2sip.info-0000054d] has joined the conference.
[Tue 11:34:28] <dlongley>	Drummond: Absolutely, this is excellent background.
[Tue 11:34:31] <dlongley>	manu: David Singer, Ted?
[Tue 11:34:34] <dlongley>	manu: Karen?
[Tue 11:34:37] <Drummond>	I also like the idea of putting feedback and thoughts in a Google doc.
[Tue 11:34:46] <DSinger>	Good so far
[Tue 11:34:50] <dlongley>	Topic: The Interviews
[Tue 11:34:50] <dlongley>	manu: After listening to this, reading the minutes again would you be able to provide some input?
[Tue 11:35:18] *	jasonweaver (~jasonweaver@public.cloak) has joined #vctf
[Tue 11:35:22] <dlongley>	manu: We're hoping to do interviews in the last two weeks of January and we're hoping to get them finished as quickly as possible so we can iterate and keep our rapid progress going.
[Tue 11:35:36] <dlongley>	manu: Let me bring up the questionaire on your availability
[Tue 11:35:56] <manu>	If you have been asked to do an interview - please sign up for some times that work for you during the last two weeks of January: http://goo.gl/forms/RY4f5h36Y5
[Tue 11:36:09] <dlongley>	manu: Please let us know what time works for you on that form.
[Tue 11:36:11] *	erok210 (~eric.korb@public.cloak) has joined #vctf
[Tue 11:36:25] <dlongley>	manu: When you let us know, it will be the same dial number as now ... hopefully with any issues resolved.
[Tue 11:36:36] <dlongley>	manu: We're going to go through anything that's on your mind, any concerns, etc.
[Tue 11:36:51] <dlongley>	manu: That's it as far as background and what the problem statement and scope is and the key questions we're going to ask you and the type of feedback expected.
[Tue 11:37:00] <dlongley>	manu: Any other questions from the people doing an interview? Do you feel well-prepared?
[Tue 11:37:09] <dlongley>	Drummond: I certainly do.
[Tue 11:37:24] <dlongley>	manu: We're going to try and circle back around with Dick Hardt and Brad Hill because they couldn't dial in.
[Tue 11:37:27] <DSinger>	I am sure more questions will come up in internal discussion, ...
[Tue 11:37:31] <dick>	I don't really know what I missed by not being on the call.
[Tue 11:38:00] <voip-vctf>	Brian Sletten [SIP/sip2sip.info-0000051f] has left the conference.
[Tue 11:38:01] <dlongley>	manu: If there aren't any other questions please fill out that form and let us know what time works for you. Thanks everyone so much for your time, it's really appreciated.
[Tue 11:38:02] <voip-vctf>	Rob Trainer [SIP/192.168.61.110-00000536] has left the conference.
[Tue 11:38:03] <ShaneM>	Good briefing!  Thanks!
[Tue 11:42:03] <manu>	Apologies to those that had connectivity issues, we'll try to figure out what happened.
[Tue 11:42:03] <manu>	Present+ Tibbetts, Burnett, DeLorenzo, hober, Carla
