[2024-09-23T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Sep/0001.html
[2024-09-23T14:45:59.223Z]	<Ildiko_Mazar> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, September the 23rd. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites, but please note that you'll need to have a W3C account, but if you don't have one yet, it is also easy to register one online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, that is Micro-Credentials from a University Alliance - the ECIU experience. I would like to welcome and invite our guest speaker Johan Peterson to take the floor.
[2024-09-23T15:14:06.013Z]	<Dmitri_Zagidulin>	present+
[2024-09-23T15:14:45.456Z]	<Ildiko_Mazar>	https://europass.europa.eu/en/description-eight-eqf-levels
[2024-09-23T15:15:25.451Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	A link to this deck (here, during the session, or later, via email to the group) will be very helpful.
[2024-09-23T15:15:37.434Z]	<Ildiko_Mazar>	That's an interesting question, i.e. whether a MC can have a qualification framework level or not. We can put a pin in this for a later discussion.
[2024-09-23T15:18:59.023Z]	<Sheela_Kiiskila>	currently in EU Commission recommendation it says to add it with the words "if possible" :)
[2024-09-23T15:20:52.436Z]	<Ildiko_Mazar>	FYI the Annex to the European Council Recommendation on Micro-Credentials, listing mandatory and optional credential properties: https://data.consilium.europa.eu/doc/document/ST-9237-2022-INIT/en/pdf
[2024-09-23T15:31:22.608Z]	<Dmitri_Zagidulin>	present+
[2024-09-23T15:32:59.939Z]	<Ildiko_Mazar>	What mechanism do you apply to transform textual information into attributes? What level and who's responsible for entering the data into the system?
[2024-09-23T15:34:29.674Z]	<Sheela_Kiiskila>	Usually the education specialist from each university works with the teachers to understand the learning outcomes and either together or with information from the teacher, tag the learning outcomes with the competences from our taxonomy as well as ESCO skills. The specialists are usually the people who enter into the conductor
[2024-09-23T15:37:25.549Z]	<Ildiko_Mazar>	:+1:
[2024-09-23T15:37:53.255Z]	<Phil_Long>	q+ Is the EBSCO skill repository open source? Does it have an API to access it?
[2024-09-23T15:38:28.131Z]	<Ildiko_Mazar>	https://esco.ec.europa.eu/en/use-esco/use-esco-services-api
[2024-09-23T15:39:04.093Z]	<Transcriber>	Sheela_Kiiskila: Sure uh 1 thing I would add if anybody is considering doing this is um.
[2024-09-23T15:39:09.470Z]	<Transcriber>	Sheela_Kiiskila: Try to consider the amount of work that uh that is needed um.
[2024-09-23T15:39:15.116Z]	<Phil_Long>	The e-seal appears to be a physicial device that is propreitary and therefore the e-seal process, which appears to be the writing of the proof process is a commercial monooply.  Is that accurate?
[2024-09-23T15:40:02.159Z]	<Transcriber>	Sheela_Kiiskila: I because especially uh you know when you add new features uh it's not just about issuing the micro credentials as ecio we decided that okay we also want to help the Learners by telling them what competences and what skills they are learning in each of these micro credentials and um while it's a really great idea and uh you know when we see the results and everything it looks awesome and EDC already has a way to include uh Esco skills but um it it was a lot of work for uh all the universities because locally in most of the universities are almost all the universities while they do have uh learning outcomes you know as a a study program or a um this but for they usually don't have learning outcomes written for every single course.
[2024-09-23T15:40:25.558Z]	<Transcriber>	Sheela_Kiiskila: Because we needed the learning outcomes for every single course and then uh somebody has to tag them saying okay this learning outcome belongs to this competence from our taxonomy and this learning outcomes will also give these particular Esco skills that knowledge usually is with the teacher right the teacher is the only 1 who knows what skills they are teaching the students.
[2024-09-23T15:41:27.273Z]	<Transcriber>	Sheela_Kiiskila: But the teachers don't have time to you know do all of this for a or entirely different organization apart from teaching you know in their own University and these courses and you know a whole bunch of other things so we have education Specialists who usually enter the data into our ECI system because uh everything has to be in our platform and uh while doing it so now uh we were training them how to use the system how to do the tagging you know what are these Esco skills how can they get if we we are missing somehow do they get them from the um actual Esco framework itself but also then the education Specialists also have to go and work with the teacher so now there's a process but it took time it took a long time for everybody to uh get the process right and so now we have a nice process it is still extra work for the teacher as well as the specialist but at least uh the education specialist.
[2024-09-23T15:41:27.983Z]	<Transcriber>	Sheela_Kiiskila:  is getting better.
[2024-09-23T15:41:28.544Z]	<Transcriber>	Sheela_Kiiskila: And better and.
[2024-09-23T15:41:28.890Z]	<Transcriber>	Sheela_Kiiskila: Has to be done.
[2024-09-23T15:41:44.492Z]	<Transcriber>	Sheela_Kiiskila: Per course and when then when a new course is offered then they have to do it again so we really need to understand uh how much work is involved and uh you know get Buy in from everybody and uh training is absolutely.
[2024-09-23T15:41:46.985Z]	<Transcriber>	Sheela_Kiiskila: And necessary item here.
[2024-09-23T15:41:52.999Z]	<Transcriber>	Sheela_Kiiskila: That was 1 of the biggest lessons I learned at least while doing this.
[2024-09-23T15:42:01.224Z]	<Ildiko_Mazar>	In Europe, to ensure that credentials are legally recognised across the member states, the eSeal has to be eIDAS compliant  (see https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.257.01.0073.01.ENG)
[2024-09-23T15:43:14.415Z]	<Ildiko_Mazar>	q?
[2024-09-23T15:43:41.641Z]	<Transcriber>	Sheela_Kiiskila: It also helps with the um trust when you use all the standardized uh uh things like what we are doing with the eqf uh levels and uh uh you know having learning outcomes for everything and using the Esco framework which is a um you know uh standardized framework then it helps with the trust to okay ah yeah okay if you are using those levels you know within Europe all the universities know what eqf levels are if it says eqf level 7 it means that that course is at a master student level uh so it's uh it's known very well so it increases the um Trust.
[2024-09-23T15:44:39.052Z]	<Transcriber>	Phil_Long: Yes um well the my first question thank you you answered it for me the other question that I had which is more General is it appears as though the signature process that the ecl process sounds like it must be done by an actual piece of Hardware that is certified um by the by the EU and that there there's no standard set of uh proof methods that 1 can um demonstrate compliance with for uh signing these documents electronically directly by the algorithms of associated with them is that correct.
[2024-09-23T15:46:08.971Z]	<Transcriber>	Phil_Long: Thank you that that answers the question that makes it difficult for individuals organizations to comply with the particular specification of pki.
[2024-09-23T15:46:18.460Z]	<Transcriber>	Phil_Long: Certified and then just do it themselves that that's that's the their security is uh in requires the physicality of the of the check.
[2024-09-23T15:46:21.429Z]	<Transcriber>	Phil_Long: Okay thank thank you.
[2024-09-23T15:48:19.404Z]	<Ildiko_Mazar>	BTW, @Phil_Long, very often (like in the very case of ECIU) a mandated issuer (i.e. ECIU) can use their eSeal to issue credentials on behalf of other education providers / awarding bodies.
[2024-09-23T15:48:31.312Z]	<Transcriber>	Sheela_Kiiskila: Yeah I think I muted and was talking.
[2024-09-23T15:48:31.592Z]	<Transcriber>	Phil_Long: Yeah I think I muted it.
[2024-09-23T15:48:34.726Z]	<Transcriber>	Phil_Long: So when we started the project we actually.
[2024-09-23T15:48:57.486Z]	<Transcriber>	Sheela_Kiiskila: When we started the project we actually had uh all the partners participate in the early adopter program and we asked every single partner explain to them the different levels of the uh e sales and asked what they would think what they would feel comfortable with using and it was a unanimous uh this thing amongst the partners saying uh we prefer to have the qualified because that will give us more Trust.
[2024-09-23T15:50:09.838Z]	<Transcriber>	Sheela_Kiiskila: Um we are uh we are still waiting for more information and to see um we have 1 um.
[2024-09-23T15:50:39.177Z]	<Transcriber>	Sheela_Kiiskila: Um yesterday I think I got an update saying that they are looking into it in within the university uh to see what to do because all the uh most of the well we issue micro credentials only for the formal learning opportunities right they have they they have ects they have all the other stuff so uh we still feel like you know we should and but it depends on if Netherlands all the micro credentials coming from Netherlands we cannot issue.
[2024-09-23T15:51:12.288Z]	<Transcriber>	Sheela_Kiiskila: Um at at that point you know we leave it to our you know uh you know 10 pay grades higher than us to make the decision but if the decision is that we cannot include then you know we'll probably bring it up with um uh you guys and uh you commission to see okay either the recommendation needs to be changed or uh it needs to be put in a different way because um at that point we are we'll follow as much as possible but if it is not possible to add eqf levels.
[2024-09-23T15:51:17.078Z]	<Transcriber>	Sheela_Kiiskila: Uh also because ECI is a foundation from Netherlands.
[2024-09-23T15:51:26.099Z]	<Transcriber>	Sheela_Kiiskila: We are not yet sure if that would affect uh that uh we cannot add that to any of the micro credentials.
[2024-09-23T15:51:26.618Z]	<Phil_Long>	Are micro-credentials something that can be issued for the completion of an individual course in a degree program. Can they be used in that way?
[2024-09-23T15:51:43.801Z]	<Transcriber>	Sheela_Kiiskila: Yeah not standard.
[2024-09-23T15:51:43.968Z]	<Ildiko_Mazar>	Yes, absolutely, Phil.
[2024-09-23T15:51:44.160Z]	<Transcriber>	Sheela_Kiiskila:  goes back.
[2024-09-23T15:51:48.807Z]	<Transcriber>	Sheela_Kiiskila: To as talking about you know we want to do as much standard as possible.
[2024-09-23T15:52:24.018Z]	<Ildiko_Mazar>	q?
[2024-09-23T15:52:34.349Z]	<Transcriber>	Sheela_Kiiskila: Yeah yes all our micro credentials that we issue are uh single courses um they could be challenges that are coming from cities or the industry itself but there are quite a few courses that are actually uh courses of from the study program that we offer as micro credentials as well.
[2024-09-23T15:52:43.315Z]	<Transcriber>	Sheela_Kiiskila: And yes you can you can do it Standalone for every single course in a study program you can issue a micro credential in today.
[2024-09-23T15:52:43.796Z]	<Phil_Long>	They can be shorter modules too, as well yes?
[2024-09-23T15:53:08.476Z]	<Transcriber>	Phil_Long: Never no worries I was just wanting to see whether there was a granularity associated with the amount of learning expected the time involved the depth of it Etc before a microcredential is considered appropriate to apply or whether that's in the.
[2024-09-23T15:53:12.435Z]	<Transcriber>	Phil_Long: Jurisdiction or the Judgment of the individual Institution.
[2024-09-23T15:53:23.906Z]	<Transcriber>	Sheela_Kiiskila: For now um because we give this for mostly um formal learning opportunities which are which usually carry ects um.
[2024-09-23T15:53:24.243Z]	<Transcriber>	Sheela_Kiiskila:  so the.
[2024-09-23T15:53:32.549Z]	<Transcriber>	Sheela_Kiiskila: Smallest dcts can be 1 so yeah our lowest microcredential is for 1 acts um.
[2024-09-23T15:53:34.568Z]	<Ildiko_Mazar>	No restriction on volume of MCs in the European Council Recommendation.
[2024-09-23T15:53:39.546Z]	<Transcriber>	Sheela_Kiiskila: Acts is in Europe is described as somewhere between 24 to 28 hours required for it.
[2024-09-23T15:53:46.917Z]	<Transcriber>	Phil_Long: Thank you yes I so basically in our context it would be equivalent to a credit.
[2024-09-23T15:54:21.443Z]	<Transcriber>	Sheela_Kiiskila: When there is no assessment and quality Frameworks around it.
[2024-09-23T15:54:33.498Z]	<Transcriber>	Phil_Long: Could you add an assessment or uh to a digital credential is that you could do so if you wished.
[2024-09-23T15:54:34.470Z]	<Transcriber>	Sheela_Kiiskila: Yes it's it's the same.
[2024-09-23T15:54:37.001Z]	<Transcriber>	Sheela_Kiiskila: In the description that's different.
[2024-09-23T15:55:23.415Z]	<Transcriber>	Sheela_Kiiskila: Um we do have a recognition Accord uh among all our universities uh saying that uh the learning opportunities that are offered by 1 University are recognized in the others.
[2024-09-23T15:55:59.736Z]	<Transcriber>	Sheela_Kiiskila: But there is a um uh caveat right it depends on the study program it depends on uh if a student is coming from say engineering and they are taking some other course that cannot be part of the uh their study program they might not get credit towards the their uh studies or towards their degree or diploma but they'll still get recognized as as a course the data tcts and the um and the ects also recognized it might or might not apply to towards their degree that's a different issue.
[2024-09-23T15:56:09.641Z]	<Transcriber>	Sheela_Kiiskila: But in all our um Johan do we have the recognition Accord also as a URL attached to every micro credential.
[2024-09-23T15:56:11.550Z]	<Ildiko_Mazar>	@Phil, FYI the full doc: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52021DC0770
[2024-09-23T15:56:21.855Z]	<Transcriber>	Sheela_Kiiskila: Art and uh right.
[2024-09-23T15:56:27.325Z]	<Transcriber>	Sheela_Kiiskila: And we also have the addendum for ECU being the.
[2024-09-23T15:56:38.378Z]	<Ildiko_Mazar>	Q?
[2024-09-23T15:56:49.572Z]	<Phil_Long>	q-
[2024-09-23T15:56:55.351Z]	<Transcriber>	Phil_Long: It's an old.
[2024-09-23T15:57:02.593Z]	<Transcriber>	Sheela_Kiiskila: It has been an immensely satisfying project.
[2024-09-23T15:57:19.651Z]	<Transcriber>	Sheela_Kiiskila: With Johan and team working on this I mean seeing the progress and having a whole product ready that you know from beginning to end you can put in the courses you can students can learn from it and microcredential gets issued to them.
[2024-09-23T15:57:20.135Z]	<Transcriber>	Sheela_Kiiskila:  it has been.
[2024-09-23T15:57:20.606Z]	<Transcriber>	Sheela_Kiiskila: In a great.
[2024-09-23T15:57:21.473Z]	<Transcriber>	Sheela_Kiiskila: And I have.
[2024-09-23T15:57:22.080Z]	<Transcriber>	Sheela_Kiiskila: I have to.
[2024-09-23T15:57:33.652Z]	<Transcriber>	Sheela_Kiiskila: Say uh EDC team especially Indigo uh the amount of help she gave us is always coming up with questions.
[2024-09-23T15:57:36.153Z]	<Ildiko_Mazar>	Don't make me blush :-D
[2024-09-23T15:57:38.137Z]	<Transcriber>	Sheela_Kiiskila: It was a great great effort.
[2024-09-23T15:58:37.961Z]	<Sheela_Kiiskila>	I am the only one who took that pain for piloting
[2024-09-23T15:58:54.488Z]	<Ildiko_Mazar>	:blush:
[2024-09-23T15:59:03.523Z]	<Transcriber>	Sheela_Kiiskila: Yeah during piloting process I'm I created in XML uh I was not a big fan of it.
[2024-09-23T15:59:10.018Z]	<Transcriber>	Sheela_Kiiskila: Neither was a fan of using the Excel for it um I think Jason is much much better.
[2024-09-23T15:59:53.600Z]	<Transcriber>	Sheela_Kiiskila: Thank you good evening.
