[2020-11-10T16:56:54.353Z]  <> agenda: https://lists.w3.org/Archives/Public/public-credentials/2020Nov/0038.html
[2020-11-10T16:56:54.353Z]  <> scribe: gannan
[2020-11-10T17:47:45.129Z]  <gannan>    ... hands-on engineering is fundamental for any standard
[2020-11-10T17:47:54.727Z]  <gannan>    ... IETF is open, please join the mailing list
[2020-11-10T17:48:09.726Z]  <gannan>    ... thank you, everyone.
[2020-11-10T17:48:22.572Z]  <wayne> q?
[2020-11-10T17:48:37.123Z]  <wayne> q+
[2020-11-10T17:48:40.886Z]  <wayne> ack wayne
[2020-11-10T17:48:42.451Z]  <econnell>  is there a link to this presentation?
[2020-11-10T17:48:57.436Z]  <gannan>    wayne: is there a link to the presentation?
[2020-11-10T17:49:05.376Z]  <heathervescent>    and are there links to the github and group + mailing list?
[2020-11-10T17:49:08.127Z]  <gannan>    justin_r: I can work on putting the slides
[2020-11-10T17:49:11.654Z]  <econnell>  great, thank you
[2020-11-10T17:49:18.301Z]  <justin_r>  Links you're about to see in the presentation:      https://datatracker.ietf.org/wg/gnap/about/       https://github.com/ietf-wg-gnap/core-protocol/          https://www.ietf.org/mailman/listinfo/txauth       https://www.ietf.org/archive/id/draft-ietf-gnap-core-protocol-01.html
[2020-11-10T17:49:21.958Z]  <gannan>    ... the links I put are to the actual work, I believe that should be helpful
[2020-11-10T17:49:26.442Z]  <heathervescent>    Thank you!
[2020-11-10T17:49:34.745Z]  <gannan>    ... those are the same links from before
[2020-11-10T17:49:59.046Z]  <gannan>    wayne: with respect to before, looks like there are some similarities to UMA permission tickets...
[2020-11-10T17:50:10.705Z]  <gannan>    ... how would you formalize this?
[2020-11-10T17:50:21.256Z]  <gannan>    justin_r: I served as co-editor to the UMA 2 spec...
[2020-11-10T17:50:33.679Z]  <gannan>    ... a lot of the issues comes from having to live in the oauth world
[2020-11-10T17:50:37.944Z]  <gannan>    ... we had many limits
[2020-11-10T17:50:55.773Z]  <gannan>    ... the value of permission tickets gives us the ability to model ongoing requests
[2020-11-10T17:51:01.084Z]  <wayne> q?
[2020-11-10T17:51:04.466Z]  <gannan>    ... we called this a transaction
[2020-11-10T17:51:22.243Z]  <gannan>    ... the whole idea that you start something by connecting the client to the server
[2020-11-10T17:51:26.820Z]  <gannan>    ... and augmenting it over time
[2020-11-10T17:51:37.202Z]  <gannan>    ... is similar in concept to an UMA permission ticket
[2020-11-10T17:51:52.038Z]  <gannan>    ... as far as the ticket itself, there's less of analog in GNAP
[2020-11-10T17:52:05.772Z]  <gannan>    ... we have a way to start and continue this, it is more API driven
[2020-11-10T17:52:24.972Z]  <gannan>    ... one of the issues is that it's an API access token protected API to get more tokens
[2020-11-10T17:52:37.739Z]  <gannan>    ... you could make our Auth Server completely stateless and use JWTs
[2020-11-10T17:52:48.290Z]  <gannan>    ... you could use more stateful access
[2020-11-10T17:53:10.364Z]  <gannan>    ... GNAP is currently silent about any such things to allow for flexibility for different deployment patterns that we know people want to do
[2020-11-10T17:53:21.049Z]  <gannan>    wayne: any other questions? world class consulting?
[2020-11-10T17:53:39.407Z]  <gannan>    justin_r: I want to remind everyone that we have the co-editors on this call too
[2020-11-10T17:53:40.603Z]  <wayne> q+
[2020-11-10T17:53:46.734Z]  <wayne> ack wayne
[2020-11-10T17:54:19.576Z]  <gannan>    wayne: could you walk through the photo printer scenario on the mailing list?
[2020-11-10T17:54:35.619Z]  <gannan>    justin_r: this is a canoncial example...
[2020-11-10T17:54:46.992Z]  <gannan>    ... the photo printer can kick things off with more information
[2020-11-10T17:55:07.266Z]  <gannan>    ... it can describe what it wants "just image data" or "just image data in a specific folder"
[2020-11-10T17:55:20.552Z]  <gannan>    ... being able to describe this is similar to how the mechanics work in oauth
[2020-11-10T17:55:34.516Z]  <gannan>    ... the printer talks to the server
[2020-11-10T17:55:53.012Z]  <gannan>    ... the storage server turns around and says I understand what you're asking for
[2020-11-10T17:56:03.748Z]  <gannan>    ... the storage server says it needs the user to approve
[2020-11-10T17:56:11.290Z]  <gannan>    ... the user then approves
[2020-11-10T17:56:25.791Z]  <gannan>    ... this all gets wrapped in an access token
[2020-11-10T17:56:49.735Z]  <gannan>    ... the other main thing GNAP allows... is to step up and ask for more access rights
[2020-11-10T17:57:31.761Z]  <gannan>    ... the printer can ask for ask for more access and the storage server could grant that without intervention from the user
[2020-11-10T17:58:00.030Z]  <gannan>    wayne: this looks like we have more degrees of freedom. we see some adoption problems in SAML2
[2020-11-10T17:58:17.936Z]  <gannan>    justin_r: this issue with SAML and XAML is carrying the policies...
[2020-11-10T17:58:24.668Z]  <gannan>    ... this is incredibly difficult
[2020-11-10T17:59:08.710Z]  <gannan>    ... what oauth2 showed us was distilling this information in simple scopes was possible
[2020-11-10T17:59:20.374Z]  <dlongley>  q+ to ask about redirect/app/callback interaction extensibility
[2020-11-10T17:59:24.057Z]  <gannan>    ... we do not assume everyone has a policy engine
[2020-11-10T17:59:29.502Z]  <wayne> ack dlongley
[2020-11-10T17:59:34.689Z]  <gannan>    dlongley: thank you for the presentation
[2020-11-10T17:59:54.944Z]  <gannan>    ... we are working with technologies such as CHAPI and ZCAPs that can interface with GNAP
[2020-11-10T18:00:20.053Z]  <gannan>    ... how do we use GNAP to kick off negotiation processes?
[2020-11-10T18:00:52.264Z]  <gannan>    ... saw you had re-direction and app callback mechanisms. how extensible are they?
[2020-11-10T18:00:59.208Z]  <gannan>    justin_r: important question...
[2020-11-10T18:01:06.573Z]  <gannan>    ... this is the most important extensibility
[2020-11-10T18:01:12.540Z]  <gannan>    ... you are going in the right direction
[2020-11-10T18:01:26.577Z]  <gannan>    ... the client declares "I can facilitate CHAPI interactions"
[2020-11-10T18:01:52.775Z]  <gannan>    ... the authorization server sees that and says "this is how you do CHAPI to fulfill this"
[2020-11-10T18:02:16.690Z]  <gannan>    ... the question before the group is how to package those things
[2020-11-10T18:02:27.398Z]  <gannan>    ... in oauth2 we have a grant type
[2020-11-10T18:02:42.964Z]  <gannan>    ... in GNAP it's presented as here is a menu of things that I'm capable of
[2020-11-10T18:02:56.614Z]  <gannan>    ... whatever combination of those fit, that's what is picked
[2020-11-10T18:03:23.574Z]  <gannan>    ... GNAP is being driven to be a protocol for dynamism
[2020-11-10T18:03:35.057Z]  <gannan>    wayne: thank you Justin
[2020-11-10T18:03:52.485Z]  <gannan>    ... if you would like to participate, join the group
[2020-11-10T18:04:06.098Z]  <cel>   thanks
[2020-11-10T18:04:07.783Z]  <heathervescent>    Thanks Ganesh! And Justin!
[2020-11-10T18:04:21.166Z]  <justin_r>  Thanks Ganesh! I don't make scribing easy. :)
