[Tue 12:02:53] <dlongley>	scribe: dlongley
[Tue 12:10:08] <voip-vctf>	ChristopherA has been removed from the queue: manu
[Tue 12:10:54] <ChristopherA>	q+
[Tue 12:10:54] <voip-vctf>	ChristopherA has been added to the queue: manu, ChristopherA
[Tue 12:11:06] <dlongley>	manu: Right so, I wanted to clarify some thoughts on the work items in the document. Having reviewed them. Question was raised in the VCWG call today ... would these be better done by that WG instead of this one with potential input from this group. Terminology is one of those things. That's a critical item for the WG. I'm trying to say that the WG will do that with input from this group. I'm making a note on terminology that this is a WG potential item.
[Tue 12:11:13] <ChristopherA>	Terminology includes DIDs and such
[Tue 12:11:46] <JoeAndrieu>	q+
[Tue 12:11:47] <voip-vctf>	JoeAndrieu has been added to the queue: manu, ChristopherA, JoeAndrieu
[Tue 12:11:59] <dlongley>	manu: Lifecycle of a VC, I think I understand that, the more than just claims one and direct vs. indirect claims, I'm not quite sure what that work is about. I understand ... it feels like it's a fairly large vision. As far as work items are concerned they tend to get done when narrowly scoped. These seem important but scope is large and so they may hang out forever. Wondering if we can narrow those.
[Tue 12:13:13] <ChristopherA>	q?
[Tue 12:13:13] <voip-vctf>	The current speaker queue is: manu, ChristopherA, JoeAndrieu
[Tue 12:13:14] <dlongley>	manu: The other thing I noticed is that it feels like there are core specifications and supporting documentation. There might be a tension in the group with wanting to dive into the core specs because a number of us have commercial interests, vs. supporting documentation which we need to convince W3C to pick up the work with a WG. Both are important, but I foresee some tension on those because some want to dive into core specs without supporting docs and others wanting to do supporting docs. Wondering if chairs or others have put into how we deal with the tension.
[Tue 12:13:30] <dlongley>	manu: We can't really prevent anything from happening if people want to work on different things.
[Tue 12:14:06] <stonematt>	q?
[Tue 12:14:06] <voip-vctf>	The current speaker queue is: manu, ChristopherA, JoeAndrieu
[Tue 12:14:30] <dlongley>	manu: The other question has more to do with the DVCG. If we want to rebrand the CCG, it feels like a lot of what we're doing is actually about digital verification. And the Digital Verification group is more about signature formats, it's about signing data. I'm wondering if the group has thought about that. Maybe this group becomes the Digital Verification Community Group and then we rebrand the current one as a signatures group.
[Tue 12:14:34] <dlongley>	manu: Just a bunch of thoughts.
[Tue 12:14:44] <manu>	ack manu
[Tue 12:14:44] <voip-vctf>	manu has the floor.
[Tue 12:14:47] <manu>	ack ChristopherA 
[Tue 12:14:47] <voip-vctf>	ChristopherA has the floor.
[Tue 12:15:16] *	dlongley core
[Tue 12:15:34] *	manu Supporting Argumentation vs. Core Specifications
[Tue 12:15:52] *	manu or Specifications vs. Supporting Documentation
[Tue 12:16:57] <dlongley>	ChristopherA: I spent a bit of time organizing this, etc. I do feel like there is a tension between the fundamentals as supporting docs. It falls into a difference of credential work items and digital verification CG to me. Terminology, one of the things I was thinking of here is that there's a lot of things we want to be consistent with the WG. There are things like DIDs, trust anchors, etc. Part of the reason I like DV is that it includes timestamps which aren't signatures, etc. I feel like there's a role, it should be closely aligned maybe 80% in VC and 20% that isn't. The lifecycle of a VC is somewhat of a response to not being able to talk about protocols easily in the VCWG because of charter and as that WG can start accepting we can move over there.
[Tue 12:18:48] <dlongley>	ChristopherA: I wanted Noah and Harlan at this meeting because they directly faced a problem ... R3 introduced self-sovereign identity and they separated evidences and assertions from the claims. We need to be careful that we're... if I've heard once before that you can express these other things as claims as well and if that's true I want to make sure that it works for some of these other people who have taken an independent look at it and split things off. It's an important issue and it feels appropriate ... also applies to direct vs. indirect claims. I can see the browser API and polyfill is more of a spec and it's deeper down. Maybe that can be fit into the verification work items and the Web of Trust schema and could directly go to the VCWG. That's my quick overview.
[Tue 12:18:59] *	dlongley yes
[Tue 12:19:57] <kimhd>	q?
[Tue 12:19:57] <voip-vctf>	The current speaker queue is: JoeAndrieu
[Tue 12:21:07] <dlongley>	JoeAndrieu: I think the more than claims/direct vs. indirect claims may be part of the terminology section. Some of that is semantics, what do you mean by these things and how they fit in. I like Manu's assertion that the terminology is part of WG. What happens when we run into terminology that's out of scope for that WG? How do we talk about the terms that can't be addressed by that group. I wanted to talk about this tension, which I agree, supporting vs core. It's an inevitable thing. Since I'm a requirements engineer I like this upfront work. It's not so much about documenting but figuring out what you really need. I think we're really missing what would drive terms of use, scope or expiration of a claim. Or how to present selected claims for different but multiple credentials. Part of that is a rush is given the mental model of a productive I'm developing that's what I think.
[Tue 12:21:38] <ChristopherA>	q+
[Tue 12:21:38] <voip-vctf>	ChristopherA has been added to the queue: JoeAndrieu, ChristopherA
[Tue 12:21:47] <JoeAndrieu>	q-
[Tue 12:21:47] <voip-vctf>	JoeAndrieu has been removed from the queue: ChristopherA
[Tue 12:21:49] <ChristopherA>	ack JoeAndrieu
[Tue 12:21:50] <voip-vctf>	JoeAndrieu isn't on the speaker queue.
[Tue 12:22:20] <dlongley>	kimhd: Developing some more nodes in our decision tree... there may be some topics more properly owned by the WG but there are some where that might make sense we also want to be actively contributing, where we encounter use cases that differ. I am curious to ask, do we have anyone on the call right now who sees themselves more as part of the DVCG ... and do they think should they be separate groups or join, etc.?
[Tue 12:22:25] <kimhd>	q?q?
[Tue 12:22:25] <voip-vctf>	The current speaker queue is: ChristopherA
[Tue 12:23:38] *	harlan (~harlan@public.cloak) has joined #vctf
[Tue 12:23:53] *	manu Haarlaaaaaan! :)
[Tue 12:23:55] *	manu hi :)
[Tue 12:23:59] <dlongley>	ChristopherA: It does feel like there are as many as four different categories now. We have a number of items that are clearly fit into the VCWG, things like defining requirements, foundational docs. Things more spec oriented, two categories, one of which is the DV, DIDs also. We kind of need it, no one else is doing it, it's here for now, but it's a separate group of people potentially. And we have items, I know Kim expressed deep interest in getting down ... reference implementations of things to see if it works.
[Tue 12:24:05] <kimhd>	q+
[Tue 12:24:05] <voip-vctf>	kimhd has been added to the queue: ChristopherA, kimhd
[Tue 12:24:06] *	dlongley hi :)
[Tue 12:24:14] <ChristopherA>	ack ChristopherA
[Tue 12:24:14] <voip-vctf>	ChristopherA has the floor.
[Tue 12:24:21] <ChristopherA>	ack kimhd
[Tue 12:24:21] <voip-vctf>	kimhd has the floor.
[Tue 12:24:45] <ChristopherA>	q+
[Tue 12:24:45] <voip-vctf>	ChristopherA has been added to the queue: ChristopherA
[Tue 12:25:26] <manu>	q+ to note that we probably want some umbrella group... and it's probably a Digital Verification CG... and we dump all of the specs in here. :(
[Tue 12:25:26] <voip-vctf>	manu has been added to the queue: ChristopherA, manu
[Tue 12:25:34] <dlongley>	kimhd: So we're sliding into DVCG integration and maybe that's better to just let that happen. One thing I was wondering ... does anyone have any thoughts on where to go from here on making these decisions. I know there are certain areas I've very interested in and the ones I can champion and would gladly sign up for and will do no matter what I know what that is, maybe we can have people who are interested in Championing and put forward what those are and maybe use the voting system that Manu or Christopher described ... where should we go/approach this?
[Tue 12:26:50] <kimhd>	q+
[Tue 12:26:50] <voip-vctf>	kimhd has been added to the queue: ChristopherA, manu, kimhd
[Tue 12:28:08] <dlongley>	ChristopherA: I wanted to come back to ... now that we've opened this up to the bigger thing of DV, I've been reaching out to a variety of parties that haven't been as active or active at all in the credentials community, cryptographers, security professionals, blockchain space, like block stack should be technically using this family of stuff but not participating in the WG or VC task force, etc. Something in my gut says that because we aren't doing spec level things or have specs for people to review is maybe why they aren't participating as much. There is maybe a need for separating the DV out as more spec oriented. I've got one cryptographer in mind ... I really like his work at hyperledger and will see if I can't get him in here because he is a person that can look at these specs and say "wait you haven't addressed this etc" maybe even willing to be a co-chair that could attract more like him. So I'm inclined to keep the groups separate. We can change the name for things that are at the spec stage in that group somehow...
[Tue 12:28:17] <dlongley>	ChristopherA: As an operational thing.
[Tue 12:28:25] <stonematt>	q?
[Tue 12:28:25] <voip-vctf>	The current speaker queue is: ChristopherA, manu, kimhd
[Tue 12:28:33] <stonematt>	ack ChristopherA
[Tue 12:28:33] <voip-vctf>	ChristopherA has the floor.
[Tue 12:28:35] <stonematt>	ack manu
[Tue 12:28:36] <voip-vctf>	manu has the floor (to note that we probably want some umbrella group... and it's probably a Digital Verification CG... and we dump all of the specs in here. :().
[Tue 12:29:17] <nage>	+1 on having fewer groups if possible
[Tue 12:29:29] <stonematt>	+1 on fewer calls per week :)
[Tue 12:29:41] <kimhd>	:)
[Tue 12:30:08] <stonematt>	+1 on moving away from the term "credential" based on historical friction.
[Tue 12:30:21] <dlongley>	manu: I'm wondering, during last week's call that we want to be careful with merging groups because we just separated them out. I may be reverse that hearing this discussion. We don't want to lose momentum in groups. Splitting out for the survival of the group because of too much momentum makes sense but it sounds like the vast majority of items that we want to do have to do with DV and that's incredibly broad which is good for a CG. We could shove all of these items into a DV CG and no one would question whether the spec or supporting material belonged. If you did the same with the CCG, people could argue against it. I think this is an argument to rebrand all the work under the DVCG and go forth... and only split work off when it feels like we have critical mass.
[Tue 12:30:21] <stonematt>	q?
[Tue 12:30:21] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:30:22] *	burn_ plus we could stop using vctf as the irc channel name and use dvcg instead
[Tue 12:30:29] <dlongley>	manu: The only issue is if people object to doing that.
[Tue 12:30:45] <stonematt>	q?
[Tue 12:30:45] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:31:16] <dlongley>	manu: Renaming and concerns we'll have to talk with W3C systems team and they might just say we can't rename the group and we'll have move everyone over and we'll lose 60 members who aren't paying attention to the mailing list on a weekly basis. Rebranding everything under DVCG would be the proposal, move all the specs there.
[Tue 12:31:25] <dlongley>	manu: People work on the things they really want to work on, telling us priorities.
[Tue 12:31:30] <ChristopherA>	q?
[Tue 12:31:30] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:31:36] <ChristopherA>	ack kimhd
[Tue 12:31:36] <voip-vctf>	kimhd has the floor.
[Tue 12:31:47] <stonematt>	q+
[Tue 12:31:47] <voip-vctf>	stonematt has been added to the queue: stonematt
[Tue 12:32:50] <dlongley>	kimhd: I think that makes a lot of sense. I think the renaming alone describes more clearly what we're working on. Depending on who's interested in a topic, what you will get out of it. I think one thing we could do is combine champions and supporters in a way, so that if I'm working on a prototype that would lead into a specification but I don't have as much experience there others could help out. So I think because of that I'm liking the idea that we're under an umbrella group. If we have a concrete deliverable we're working on and have people with different strengths that could work really well.
[Tue 12:32:58] *	manu did Kim just say a "Strongbad" team? ... I want to be on that team.
[Tue 12:33:19] <harlan>	Scrum I think ;)
[Tue 12:33:26] <ChristopherA>	q+
[Tue 12:33:26] <voip-vctf>	ChristopherA has been added to the queue: stonematt, ChristopherA
[Tue 12:33:28] *	manu oooh, that makes way more sense.
[Tue 12:33:55] <kimhd>	let the record state strongbad ;)
[Tue 12:34:13] *	manu laughs.
[Tue 12:34:22] <dlongley>	stonematt: I think having two groups sort of forces us to have discussions like "we can't have that discussion here". That's challenging if you don't have the right parties in the call. Based on our discussions over the last few years, the term "credential" has turned into a land mine that would be nice if we could just move away from. DV is a pretty good fit for what we're trying to do. That may be a better feeder from big ideas to implementable standards without having a land mind of credentials thrown into it all the time.
[Tue 12:34:22] <voip-vctf>	The current speaker queue is: stonematt, ChristopherA
[Tue 12:34:25] <harlan>	Everyone will want to be on that team!
[Tue 12:34:27] <manu>	+1 to what Matt said
[Tue 12:34:27] <ChristopherA>	ack stonematt
[Tue 12:34:27] <voip-vctf>	stonematt has the floor.
[Tue 12:34:41] <burn_>	q?
[Tue 12:34:41] <voip-vctf>	The current speaker queue is: ChristopherA
[Tue 12:35:03] <burn_>	ack ChristopherA
[Tue 12:35:03] <voip-vctf>	ChristopherA has the floor.
[Tue 12:35:16] <manu>	ack ChristopherA 
[Tue 12:35:21] <voip-vctf>	ChristopherA isn't on the speaker queue.
[Tue 12:35:23] *	manu woops.
[Tue 12:36:25] <manu>	q+ to note that we can't control who will work on what, in what order, and what they will put into the spec... but we can vote w/ our feet and not collaborate on a document we don't think meets certain requirements.
[Tue 12:36:25] <voip-vctf>	manu has been added to the queue: manu
[Tue 12:37:19] <dlongley>	ChristopherA: I'll concede to merging the two. I don't want to get lost in the specs too deeply without also considering some of these higher level things. I have some real concerns and we keep talking about data minimization and selective disclosure but we don't say what they are and best practices, crypto techniques, reasonable, possible, etc. We could put a lot of work into a spec that doesn't focus on a privacy and data minimization property and have to throw the spec away. If I look at the list on the bottom, the redaction signature suite which has some challenges but it's one of the closest that allows for data minimization and it could be a requirement for some of these types of things. The intent of every node ... that is separate and you can just include a hash of the node or something of that nature when sending it on to another party. The current one doesn't quite work because it doesn't have nonces from a security perspective. But you've got the way to have a large signed claim and just give a small piece of it and it's still valid. Data minimization way of addressing privacy. It's not in this list but there's also CL signatures which is a true cryptographer selective disclosure method, there's u-prove, etc.
[Tue 12:38:05] <dlongley>	ChristopherA: There's some high level work that needs to be done and that's one of the reasons why RWoT has done reasonably well is that I always try to make sure that we're spending sufficient time where we can include people like Joe who has brought diversity and great knowledge, etc. You don't want to forget those.
[Tue 12:38:12] <kimhd>	q?
[Tue 12:38:12] <voip-vctf>	The current speaker queue is: manu
[Tue 12:39:30] <JoeAndrieu>	q+ to say privacy is poorly understood
[Tue 12:39:30] <voip-vctf>	JoeAndrieu has been added to the queue: manu, JoeAndrieu
[Tue 12:39:43] <ChristopherA>	ack manu
[Tue 12:39:43] <voip-vctf>	manu has the floor (to note that we can't control who will work on what, in what order, and what they will put into the spec... but we can vote w/ our feet and not collaborate on a document we don't think meets certain requirements.).
[Tue 12:40:26] <dlongley>	manu: We don't want people working on specs where the specs don't necessarily meet requirements the group has, but at the same time the group doesn't have control over what people work on or what they believe the correct requirements are etc. But spec writers will get hints from the community as to whether they are going in the right direction. In Christopher's point, if the spec doesn't have the right privacy features, implementers will say it's not meeting needs. Community Groups tend to work in a pro "fork the spec" or "submit PRs" or writing emails to the group to convince people to move another way. I don't think we should spend too much time wringing hands over people picking up and writing a spec. That's the core thing that gets things done, or people doing implementations and then writing specs after the fact. IF we're doing that we're successful, everything else is fine tuning.
[Tue 12:41:11] <dlongley>	manu: We can't control people doing things we don't want them to do, if someone goes off doing something people don't want and the spec will be forked and you'll have two competing specs, which is reasonable in a CG. Dumping all these specs into a group isn't a bad thing, the things people want to work on will get worked on and everything else will fall by the way side.
[Tue 12:41:22] <dlongley>	manu: Having a single group won't have a negative impact in that respect.
[Tue 12:41:24] <ChristopherA>	ack JoeAndrieu
[Tue 12:41:24] <voip-vctf>	JoeAndrieu has the floor (to say privacy is poorly understood).
[Tue 12:41:31] *	dlongley may be muted
[Tue 12:41:35] *	dlongley Joe can't hear you
[Tue 12:41:38] *	dlongley now we can
[Tue 12:42:39] <kimhd>	q?
[Tue 12:42:39] <voip-vctf>	The speaker queue is empty.
[Tue 12:42:41] <ChristopherA>	I don't want to repeat the bad patterns of FOAF
[Tue 12:42:41] <dlongley>	JoeAndrieu: Had a question about umbrella group with community conversation vs. spec driven work. Community place to explore bigger issues without slowing down spec. The assumption at the heart of your argument, Manu, privacy is poorly understood and companies get it wrong all the time, the notion that if we get it wrong we'll fix it later, I'm weary of that. Spec work has to go hand in hand you have to get requirements, etc together.
[Tue 12:42:43] <manu>	+1 to working in parallel :)
[Tue 12:42:56] <dlongley>	+1 ... and a lot of spec discussion happens in github
[Tue 12:42:57] <manu>	ChristopherA, it would be good to understand what those "bad patterns" were?
[Tue 12:43:27] <dlongley>	kimhd: Not sure what we need to do with W3C staff to move membership over, etc.
[Tue 12:43:43] <dlongley>	kimhd: Over the mailing list if there are further thoughts we can iterate, but maybe next week let's make a decision about going forward.
[Tue 12:44:13] <ChristopherA>	q+
[Tue 12:44:13] <voip-vctf>	ChristopherA has been added to the queue: ChristopherA
[Tue 12:44:19] <dlongley>	kimhd: Next we need to decide finalizing work items, I don't mean commitments, etc. and timeline. If we have some kind of thoughts or prioritization, urgency, any thoughts?
[Tue 12:44:28] *	dlongley muted again :)?
[Tue 12:44:57] <dlongley>	ChristopherA: I justed to also ... it's good for some people to talk about what their highest priorities are. This week is a lot of people I thought I could draft into this meeting are at the consensys conference.
[Tue 12:45:12] <harlan>	q+ Web of Trust Schema, IETF "Reputons"
[Tue 12:45:12] <voip-vctf>	harlan has been added to the queue: ChristopherA, harlan
[Tue 12:45:47] <manu>	q+ to do a poll including all items... and leave it open. Doesn't leave folks out.
[Tue 12:45:47] <voip-vctf>	manu has been added to the queue: ChristopherA, harlan, manu
[Tue 12:45:52] <dlongley>	ChristopherA: Blockstack team, MS, Drummond. Next Tuesday will be day after memorial day, so lots of people taking that off. I'd like to say the one after that we decide then.
[Tue 12:45:58] <ChristopherA>	ack ChristopherA
[Tue 12:45:58] <voip-vctf>	ChristopherA has the floor.
[Tue 12:46:03] <ChristopherA>	ack manu
[Tue 12:46:03] <voip-vctf>	manu has the floor (to do a poll including all items... and leave it open. Doesn't leave folks out.).
[Tue 12:46:43] <dlongley>	harlan: Looking over the work items, I'm especially interested in the RWoT schema at the end. We've been working with codying ratings in a JSON schema. We've been developing a similar format for schema.org ratings and I'm interested in integrating that with signed claims, that's my core interest.
[Tue 12:46:52] <dlongley>	kimhd: We don't have an item tracking that could you add that?
[Tue 12:46:54] <ChristopherA>	Reputation systems have issues — we
[Tue 12:46:59] <dlongley>	harlan: Yes, the RWoT schema, the last one.
[Tue 12:47:02] <dlongley>	kimhd: Got it.
[Tue 12:47:19] *	Kostas (~Kostas@public.cloak) has joined #vctf
[Tue 12:48:09] <dlongley>	ChristopherA: I think that reputations and ratings and whatever are going to come up more and there known ... talked about RWoT, issues and challenges on catching people up on what makes rating and reputation systems hard. Lots of half-assed things -- we've known for years flawed 5 star rating systems. We could at least try to address some best practices and point people where they can discover more. Coming up in credentials more and more.
[Tue 12:49:04] <ChristopherA>	I agree with manu if we add 1 week.
[Tue 12:49:49] <dlongley>	manu: This whole "what is the group going to do next" discussion ... we kind of staged it in a way that let everyone write down their ideas in the document and it's settling, quite a bit over the last week or so. Maybe give it till the end of the week and then convert it to a poll. You get points to allocate however you want, if you feel really strongly about one item you can put more of your points there. That gives us a lose idea of what people want to work on and the importance. We just leave that poll open and as new people come into the community they put their ideas down on what they want to work on and the chairs just keep an eye on it and see if what people want to work on shifts. Could rerun the poll every 6 months, etc.
[Tue 12:50:01] <harlan>	Link to Reputon spec I mentioned: https://tools.ietf.org/html/rfc7071
[Tue 12:50:05] <dlongley>	manu: Good way to get people's input, not everyone will talk on the phone, not how they like to communicate.
[Tue 12:50:33] <dlongley>	manu: Concrete proposal is to wait another week to add items to this google doc and one of us can convert it into a google forms poll and keep it open for a month and get consensys people and newcomers.
[Tue 12:50:39] <kimhd>	q?
[Tue 12:50:39] <voip-vctf>	The current speaker queue is: harlan
[Tue 12:50:46] <dlongley>	manu: Then chairs make determination "this is what people said they'd work on" and let people do their thing.
[Tue 12:50:51] <ChristopherA>	q+
[Tue 12:50:51] <voip-vctf>	ChristopherA has been added to the queue: harlan, ChristopherA
[Tue 12:50:52] <dlongley>	manu: That's my concrete proposal.
[Tue 12:50:57] <dlongley>	manu: Agree or better way forward?
[Tue 12:51:02] <harlan>	Link to Work.nation architecture doc, which uses "Reputons" as "signed claims" via Ethereum + IPFS + uPort: https://github.com/worknation/work.nation
[Tue 12:51:13] <burn_>	+1 to poll
[Tue 12:51:33] <dlongley>	ChristopherA: I'm fine with a poll if we can add a week, I just think people ought to be able to have two weeks to put things onto the poll.
[Tue 12:51:39] <harlan>	I have to drop off for another meeting.  Last note: 9am Pacific is better than 8am if we are choosing one of those call times.
[Tue 12:51:55] <burn_>	q+
[Tue 12:51:55] <voip-vctf>	burn_ has been added to the queue: harlan, ChristopherA, burn_
[Tue 12:51:56] <JoeAndrieu>	q+ to ask how we'll consolidate work items
[Tue 12:51:56] <voip-vctf>	JoeAndrieu has been added to the queue: harlan, ChristopherA, burn_, JoeAndrieu
[Tue 12:51:58] <dlongley>	ChristopherA: I think making sure we have all the work items that people want to do when we don't necessarily have ... some of the people who have moved on will come back if we have work items that are related to the work they are doing.
[Tue 12:52:25] <ChristopherA>	ack
[Tue 12:52:28] <ChristopherA>	ack ChristopherA
[Tue 12:52:28] <voip-vctf>	ChristopherA has the floor.
[Tue 12:52:38] <ChristopherA>	ack harlan
[Tue 12:52:38] <voip-vctf>	harlan has the floor (Web of Trust Schema, IETF "Reputons").
[Tue 12:52:41] <ChristopherA>	ack burn_
[Tue 12:52:41] <voip-vctf>	burn_ has the floor.
[Tue 12:53:08] <dlongley>	burn_: I was just going to say ... the poll idea is a good one you've seen me use that in other contexts as well. I like it from an administrative perspective as well because you can rerun it. I'd say, don't worry too much, allow an extra week but it doesn't have to be the last time you ever do it. Just a snapshot for a point in time to gauge interest.
[Tue 12:53:13] <kimhd>	https://docs.google.com/document/d/1kxm6yGnGAVgNTLMYft_cz2zW3c1AE8uSCy4i5A6OhG8/edit?usp=sharing
[Tue 12:53:51] <Kostas>	Hi all! I couldn't join you from the beginning but just wanted to introduce myself and maybe take part in the next meeting. My name is Kostas Karasavvas and I am working on the blockchain academic certificates project from the University of Nicosia. I have also briefly contributed on blockcerts and had a great collaboratation with Kim on that (hi Kim!). I look forward to get involved with the TF.
[Tue 12:53:54] <JoeAndrieu>	q-
[Tue 12:53:54] <voip-vctf>	JoeAndrieu has been removed from the queue:
[Tue 12:54:26] <burn_>	q?
[Tue 12:54:26] <voip-vctf>	The speaker queue is empty.
[Tue 12:54:36] <dlongley>	ChristopherA: We have this very long credentials statement from the existing one which manu said was based on circumstances at the time. We put together a briefer one. The main comment someone had was that they wanted to have "what is a credential" a bit more. So, we've also had discussions here about digital verification and whether or not that should be the new name of the group. But we risk losing some our less active members who could come back and can't find us because we've moved.
[Tue 12:54:51] <kimhd>	q?
[Tue 12:54:51] <voip-vctf>	The speaker queue is empty.
[Tue 12:54:54] <dlongley>	ChristopherA: I'm open on do we focus on the name change first, or do we try to revise this mission statement for the new name, etc.
[Tue 12:54:54] <manu>	Hi Kostas, great to see you here! Please join us next time... would love to have you in the group!
[Tue 12:55:01] <kimhd>	q?
[Tue 12:55:01] <voip-vctf>	The speaker queue is empty.
[Tue 12:56:19] <dlongley>	kimhd: Recapping... we finished two action items, we are going to continue to get feedback over the week, at the end of this week I can create a poll to let people allocate their points on what they want to work on. Per Christopher's feedback we won't have all the people here for deciding branding, names, separate groups, etc.
[Tue 12:56:37] <dlongley>	kimhd: So we're going to set a deadline on that decision for three Tuesdays from now.
[Tue 12:56:51] <dlongley>	kimhd: What I do propose is that if there's an area you are passionate about don't wait for that.
[Tue 12:57:08] <dlongley>	kimhd: In terms of next steps for the mission statement. Christopher do you have thoughts on that?
[Tue 12:58:20] <kimhd>	ACTION: Kim create poll for priorities
[Tue 12:58:33] <dlongley>	ChristopherA: Both things are kind of stymied on ... branding, naming things. Has to do more with whether or not we can preserve any of our existing thing if we have to go new... what are the protocol ramifications. I kind of like that credentials has been accepted by the W3C. It's pretty broad. For whatever reason I could easily see us adding to our revised mission statement, some of the text from the digital verification into the description if we want to merge the two groups. Conversely we could focus on digital verification and even if we lose a lot of people we might get more DV people who are active.
[Tue 12:58:41] *	harlan has quit (Ping timeout: 180 seconds)
[Tue 12:59:07] *	nage has to drop off, see you in two weeks! (out over the US holiday)
[Tue 12:59:12] <voip-vctf>	nage [SIP/sip2sip.info-0000000a] has left the conference.
[Tue 12:59:17] *	manu have a good break, nage! :)
[Tue 12:59:19] <kimhd>	ACTION: Chairs close poll after ~3 weeks, decide separate group, naming
[Tue 12:59:20] <dlongley>	ChristopherA: Risks for that ... their requirements become challenging for some of our goals, self sovereignty, etc. Have to be careful. I haven't been part of the larger process for this, Manu and others dealing with VCTF, CCG, Web Payments CG, may have better answers.
[Tue 12:59:24] <voip-vctf>	Adam Lake [SIP/Adam-00000011] has left the conference.
