[2020-02-20T21:13:17.003Z]	<markus_sabadello> Agenda: https://docs.google.com/document/d/1qYBaXQMUoB86Alquu7WBtWOxsS8SMhp1fioYKEGCabE/
[2020-02-20T21:45:52.791Z]	<dmitriz>	… Justin Richer has been talking about the contract (from the meeting notes of the DID face-to-face meeting)
[2020-02-20T21:46:18.783Z]	<dmitriz>	… so, my understanding was - we want to define that when we have a DID (or DID URL), what are the operations that can be executed on that?
[2020-02-20T21:46:27.349Z]	<dmitriz>	… what are the inputs/outputs of resolution?
[2020-02-20T21:46:31.003Z]	<dmitriz>	… the current approach is -
[2020-02-20T21:46:53.375Z]	<dmitriz>	… there are two abstract function, resolve() and dereference() (two corresponding chapters in the DID Resolution spec)
[2020-02-20T21:47:02.550Z]	<dmitriz>	… and they talk about what the inputs to those functions are, and the results.
[2020-02-20T21:47:22.857Z]	<dmitriz>	… the first slides summarize those in table form
[2020-02-20T21:47:42.189Z]	<dmitriz>	… a DID is something that can be resolved - you can ask a Resolver to resolve a did.
[2020-02-20T21:47:50.234Z]	<dmitriz>	… you pass in a DID url, and you get a DID and metadata
[2020-02-20T21:48:05.467Z]	<dmitriz>	… similarly, you pass in a DID URL to dereference(), and you get back content and metadata
[2020-02-20T21:49:09.853Z]	<dmitriz>	… So my question is - is this essentially what is meant by 'the contract'?
[2020-02-20T21:49:21.507Z]	<dmitriz>	… that potentially will be included in the DID Core spec?
[2020-02-20T21:49:42.939Z]	<dmitriz>	jricher: yes, this is exactly the kind of thing I was talking about
[2020-02-20T21:49:58.299Z]	<dmitriz>	… and this goes to show some of the very important differences between resolve() and dereference()
[2020-02-20T21:50:07.370Z]	<dmitriz>	… because the inputs are different, and the expected outputs are different
[2020-02-20T21:51:29.124Z]	<dmitriz>	… then there's also the read() operation (that each DID Method spec needs to define)
[2020-02-20T21:51:42.925Z]	<dmitriz>	… which seems to be the same contract (same i/o) that the resolve() function
[2020-02-20T21:52:08.280Z]	<dmitriz>	markus_sabadello: so that may mean that they're not different, that they're the same operation?
[2020-02-20T21:53:10.017Z]	<jonathan_holt>	dmitriz : the main deference is the read is basic and resolve is superset. the second output param is the diff
[2020-02-20T21:53:17.173Z]	<dmitriz>	dmitriz: the main difference between read() and resolve() is the type of metadata
[2020-02-20T21:53:42.908Z]	<dmitriz>	… read() returns method-specific meta, and resolve() returns method-specific metadata PLUS resolver-specific metadata
[2020-02-20T21:54:05.789Z]	<dmitriz>	tplooker: so if that's the only difference, maybe that points to that they're essentially the same?
[2020-02-20T21:54:46.056Z]	<dmitriz>	markus_sabadello: (discussion of DID Resolution spec section 3.2)
[2020-02-20T21:56:30.306Z]	<dmitriz>	dmitriz: isn't the difference between read() and resolve() - the format of the did document? read() can return an intermediary format, and the Resolver transforms it into the DID Doc
[2020-02-20T21:56:56.779Z]	<dmitriz>	markus_sabadello: I'm not sure I agree. I think the DID Core spec (or, each specific DID Method spec) requires that read() returns the canonical DID Doc
[2020-02-20T21:57:48.934Z]	<dmitriz>	… (discusses the third slide, which is another summary table of dereference() inputs and outputs)
[2020-02-20T21:59:16.300Z]	<dmitriz>	jonathan_holt: in my implementation, the path component is (in IPLD) what goes to the executable
[2020-02-20T21:59:22.170Z]	<dmitriz>	… (that does the resolution spec inherently)
[2020-02-20T21:59:34.929Z]	<dmitriz>	… and then the fragment contains local (non-resolver) parameters (like the decryption key)
[2020-02-20T22:00:24.246Z]	<dmitriz>	… for example, the path goes to IPLD, which is a self-describing executable
[2020-02-20T22:00:49.243Z]	<dmitriz>	… although I'm not sure everyone will want to execute random data on a path
[2020-02-20T22:01:26.637Z]	<dmitriz>	markus_sabadello: I've always figured the path is defined by the did method (or controller)
[2020-02-20T22:03:05.346Z]	<dmitriz>	dmitriz: I think the semantics of the path fragment is specified only by the DID Method. although an individual method can specify it further, and say - in our method, the path semantics differ from controller to controller (depends on the authority component)
[2020-02-20T22:03:21.876Z]	<dmitriz>	markus_sabadello: justin, what were the other contracts in the meeting?
[2020-02-20T22:03:37.769Z]	<dmitriz>	jricher: I vaguely recall a 3 part system, which defines the contracts between the two touch points in the system
[2020-02-20T22:04:10.903Z]	<dmitriz>	… so, the contract into and out of a resolver is 1 contract, and then potentially, the contract between the resolver and downstream (to the method) is the 2nd contract
[2020-02-20T22:04:33.168Z]	<dmitriz>	… the important thing is that the contract (when I call a de-referencer or a resolver) needs to specify the inputs and outputs
[2020-02-20T22:04:54.773Z]	<dmitriz>	.. this /has/ to be common across different resolvers
[2020-02-20T22:05:44.336Z]	<jonathan_holt>	markus_sabadello :  i understand now about these contracts, need to think about how to rewrite this for spec
[2020-02-20T22:06:09.644Z]	<jonathan_holt>	.... but there is enough about these interfaces, what is convered in did core vs resolution.
[2020-02-20T22:06:17.698Z]	<jonathan_holt>	.... this was helpful
[2020-02-20T22:06:32.551Z]	<jonathan_holt>	ipld:  "<base64 of 'blob <size>\0<data>'>"
[2020-02-20T22:07:39.493Z]	<jonathan_holt>	jonathan: example of ipld link for self-resolving software in git multicodec need to parse atributed.
[2020-02-20T22:08:53.498Z]	<jonathan_holt>	zakim, end meeting

