[2020-02-13T21:13:20.758Z]	<markus_sabadello>	present+
[2020-02-13T21:53:31.266Z]	<kdenhartog>	johnnycrunch: then you have the problem of the dns admin to remove control from controller of the resource
[2020-02-13T21:54:09.615Z]	<kdenhartog>	dmitriz: not necessarily, the admin can delete access to the resource, but not take control of the identifier because they don't have the private key
[2020-02-13T21:55:28.431Z]	<kdenhartog>	... using hashlinks can help prevent dns spoofing
[2020-02-13T21:56:00.762Z]	<kdenhartog>	leonardr: hashlinks is an expired spec
[2020-02-13T21:56:12.073Z]	<kdenhartog>	dmitriz: so is did:web at this point
[2020-02-13T21:56:43.741Z]	<kdenhartog>	Justin: I'm not saying they're not mature and being developed. I'm saying their not IETF spec just because they can be found in the datatracker
[2020-02-13T21:57:25.143Z]	<dmitriz>	so just for completeness/for the record, the current Hashlink spec is /not/ expired - https://tools.ietf.org/html/draft-sporny-hashlink-04
[2020-02-13T21:57:38.513Z]	<dmitriz>	but like Justin points out, is not an official working group item. (just like did:web or the DID Resolution spec)
[2020-02-13T21:57:49.981Z]	<kdenhartog>	Justin: once it's moved into a WG it's considered an IETF document
[2020-02-13T21:59:34.869Z]	<kdenhartog>	dmitriz: we don't specify the semantics of paths outside methods
[2020-02-13T21:59:53.997Z]	<kdenhartog>	dmitriz: I suspect that will change depending on the matrix params
[2020-02-13T22:00:14.869Z]	<kdenhartog>	markus_sabadello: that's a possibility, but not my preference
[2020-02-13T22:00:39.149Z]	<kdenhartog>	dmitriz: as far as did:web method, if the subject can't be a full url, then that's fine
[2020-02-13T22:01:01.871Z]	<kdenhartog>	dmitriz: I'd propose that we encode the authority path into the query param
[2020-02-13T22:01:14.620Z]	<kdenhartog>	dmitriz: I am curious about how the group rules
[2020-02-13T22:01:29.311Z]	<kdenhartog>	markus_sabadello: I want to get back to the original question about the contract
[2020-02-13T22:01:49.603Z]	<kdenhartog>	... and what was discussed at the F2F meeting
[2020-02-13T22:01:50.140Z]	<dmitriz>	er, sorry, correction: I propose that we encode the path part of the did:web URL into the authority (ie, percent-encode it)
[2020-02-13T22:02:44.263Z]	<kdenhartog>	markus_sabadello: there's now a PR regarding the contract in the did-core spec
[2020-02-13T22:03:06.965Z]	<kdenhartog>	markus_sabadello: we'll want to see what we want to pull over from the did resolution spec or if we want to rewrite the contract
[2020-02-13T22:04:05.808Z]	<kdenhartog>	... I suspect that some of the aspects of the did resolution spec could be pulled over
[2020-02-13T22:04:15.697Z]	<kdenhartog>	... this is something that we should try to figure out in the next few weeks
[2020-02-13T22:04:32.835Z]	<kdenhartog>	... Justin if your sense is that we can reuse some of the did resolution spec would that make sense?
[2020-02-13T22:04:59.763Z]	<kdenhartog>	Justin: I really don't know. Some can move over, but it's going to be an excercise to figure out where lines be drawn between the two
[2020-02-13T22:05:25.581Z]	<kdenhartog>	markus_sabadello: I wanted to make sure everyone was aware and that more resolution content will end up in the did-core spec
[2020-02-13T22:06:42.661Z]	<kdenhartog>	johnnycrunch: I don't see any discussion regarding mime-type in did-core spec
[2020-02-13T22:07:09.248Z]	<kdenhartog>	markus_sabadello: the core representations will be defining the mime-types
[2020-02-13T22:07:45.625Z]	<kdenhartog>	dmitriz: what was the consensus on the mime-type discussion for json-ld?
[2020-02-13T22:08:18.299Z]	<kdenhartog>	markus_sabadello: there's a thread still going on it. I think latest thinking is application/did+ld+json
[2020-02-13T22:09:17.767Z]	<kdenhartog>	... this isn't a final decision though
[2020-02-13T22:09:43.100Z]	<kdenhartog>	... another discusiong was to use something like a profile => application/ld+json;profile=...
