[2022-06-13T14:57:39.325Z]	<Kerri_Lemoie> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2022Jun/0012.html
[2022-06-13T15:04:07.671Z]	<Phil_T3>	present+
[2022-06-13T15:04:18.315Z]	<Stuart_Freeman>	s/cue quest/queue request
[2022-06-13T15:04:23.309Z]	<Marty_Reed>	present+
[2022-06-13T15:04:31.106Z]	<Transcriber>	Kerri_Lemoie: Now so while we're waiting see you folks are going to kill themselves keep in mind that the robot transcriber sometimes actually pretty often misunderstands us so if you see something in the chat that you think should be fixed you can do that you can help us out with the minutes by typing the following and the chat to fix your printer as /aa.
[2022-06-13T15:04:31.372Z]	<Transcriber>	Kerri_Lemoie:  Wrong Turn.
[2022-06-13T15:04:33.380Z]	<Transcriber>	Kerri_Lemoie: The correct term.
[2022-06-13T15:04:34.144Z]	<Kayode_Ezike>	s/wcg I'm ty W yes C3 and/W3C CCG/
[2022-06-13T15:04:34.498Z]	<Kerri_Lemoie>	to fix: s/wrong/correct
[2022-06-13T15:04:37.039Z]	<oliver>	present+ oliver_terbu
[2022-06-13T15:04:38.580Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:04:48.488Z]	<Transcriber>	Kerri_Lemoie: I'm ml Ian web underscore can you are in the queue you have the floor.
[2022-06-13T15:04:55.315Z]	<Taylor_(LEF)>	present+
[2022-06-13T15:04:56.637Z]	<Kerri_Lemoie>	ack mlemweb_
[2022-06-13T15:05:03.464Z]	<Transcriber>	Morgan_Lemmer-Webber: Hi hi this is my first time joining this meeting I'm Morgan Lumber Weber and I am working with digital bizarre doing Communications so I am mostly observing at this point.
[2022-06-13T15:05:03.784Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:05:03.919Z]	<Transcriber>	Kerri_Lemoie: Thank you Morgan scared to have you here.
[2022-06-13T15:05:14.092Z]	<Transcriber>	Kerri_Lemoie: He was a or anybody who wants to reintroductions or updates I work that you've been doing that you'd like to tell us about.
[2022-06-13T15:05:17.458Z]	<Transcriber>	Kerri_Lemoie: It so you can add yourself to the cube.
[2022-06-13T15:05:18.243Z]	<Manu_Sporny>	s/scared/good/
[2022-06-13T15:05:19.098Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:05:20.971Z]	<Stuart_Freeman>	s/scared/great
[2022-06-13T15:05:31.029Z]	<Transcriber>	Kerri_Lemoie: Thank you Bonnie my name is Stuart okay next does anybody have any announcements or reminders.
[2022-06-13T15:05:38.381Z]	<Manu_Sporny>	q+
[2022-06-13T15:05:38.382Z]	<Kerri_Lemoie> topic: Announcements & Reminders
[2022-06-13T15:05:43.789Z]	<Kerri_Lemoie>	https://w3c-ccg.github.io/announcements/
[2022-06-13T15:05:48.383Z]	<Transcriber>	Kerri_Lemoie: Anything that is going on and they want to let folks know about I'm one thing we normally tell folks about is if you want to know about other meetings going on in the ccg community you can go to this link money you have the floor.
[2022-06-13T15:05:51.808Z]	<Kerri_Lemoie>	ack Manu_Sporny
[2022-06-13T15:06:04.259Z]	<Stuart_Freeman>	s/Bonnie my name is/Manu and
[2022-06-13T15:06:05.290Z]	<Kayode_Ezike>	s/money/Manu/
[2022-06-13T15:06:17.324Z]	<Phil_T3>	:+1:
[2022-06-13T15:06:20.476Z]	<Transcriber>	Manu_Sporny: Hey yeah so I'm trying to find a link I should have found this before we see opal ug Charter so really great news is that the verifiable credentials 20 working group past the the charter boat passed with with flying colors like really really strong support for verify credentials Ali 3C.
[2022-06-13T15:06:20.794Z]	<Transcriber>	Manu_Sporny:  there was.
[2022-06-13T15:06:27.348Z]	<Andy_Griebel>	present+
[2022-06-13T15:06:33.686Z]	<Manu_Sporny>	https://github.com/w3c/vc-wg-charter/pull/111
[2022-06-13T15:06:41.300Z]	<Stuart_Freeman>	s/boat/vote
[2022-06-13T15:06:43.540Z]	<DavidC>	present+
[2022-06-13T15:06:52.133Z]	<Transcriber>	Manu_Sporny: One formal objection but that was addressed with a suggestion well that was that was I'll probably put in the pull request here so this is this is all public information I'm sharing you know Mozilla had objected to the group mainly because we didn't mandate testing as an exit criteria for the work that we were doing.
[2022-06-13T15:06:52.365Z]	<Transcriber>	Manu_Sporny:  doing week.
[2022-06-13T15:06:57.972Z]	<David_Chadwick>	present+
[2022-06-13T15:07:23.492Z]	<Transcriber>	Manu_Sporny: It did that's usually left up to the working groups but Mozilla wanted a stronger statement around testing mic Pro Rock are ccg chair put some language in there that addressed Mozilla has concerns right now the plane seems to be to use some of the ccg test Suites that we've been experimenting with over the past couple of months to support the exit right.
[2022-06-13T15:07:23.779Z]	<Transcriber>	Manu_Sporny:  area for the.
[2022-06-13T15:07:56.517Z]	<Transcriber>	Manu_Sporny: Credentials to a working group so this is great news it means that work is going to start soon it is the charter has basically gone out to be approved by the only threesome management which is usually just an administrative thing we expect to start meeting the for the w3c technical plenary meeting which happens in September so if you are w3c member actually even if you're a community group participant you can go to that meeting.
[2022-06-13T15:07:56.834Z]	<Transcriber>	Manu_Sporny:  in participating.
[2022-06-13T15:08:04.757Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:08:29.613Z]	<Transcriber>	Manu_Sporny: In meetings there that's happening in Vancouver this year so it's a hybrid meaning it's remote attendance and and in-person attendance in September so that's great news is verifiable credentials to a working group past a hurdle we were really concerned about there being formal objections but there was only one and that's been addressed in the group's moving forward the next Charter that is of relevance in the rdf data set.
[2022-06-13T15:08:30.047Z]	<Transcriber>	Manu_Sporny:  ization and hashing working group that's the thing that we need to like.
[2022-06-13T15:09:03.134Z]	<Transcriber>	Manu_Sporny: Verifiable credentials so that they can be signed the vote for that closes today there no oral objection so far so unless something comes in at the last second we hope that that charred to pass as well so that's good I mean that means that you know are ccg pipeline for creating working groups and moving work that we have been working in this ECG and elsewhere into Global standards bodies you know is working and it's healthy like there's a tremendous amount of.
[2022-06-13T15:09:03.577Z]	<Transcriber>	Manu_Sporny:  of support for it based on the votes that we.
[2022-06-13T15:09:11.160Z]	<Transcriber>	Manu_Sporny: Um so yeah that's it there's just good news you know across the board.
[2022-06-13T15:09:24.018Z]	<Transcriber>	Kerri_Lemoie: That's great news thank you so much for telling us about it is there a way to just sort of briefly let us know maybe what you see coming forward as part of the 2.0.
[2022-06-13T15:09:30.535Z]	<Manu_Sporny>	https://w3c.github.io/vc-wg-charter/
[2022-06-13T15:09:39.347Z]	<Tim>	present+
[2022-06-13T15:09:50.760Z]	<Transcriber>	Manu_Sporny: Yeah so the charter we had to be very explicit about you know everything we were going to work on in the charter largely let's see I'll put the charter in here so there's a link to the Charter they're sharing the group this time is Brent sundel from a vast in Christina yasuda from Microsoft of on Herman is our staff contact and has been for over a decade now I think a lot of the work.
[2022-06-13T15:09:51.069Z]	<Transcriber>	Manu_Sporny:  is going to focus on.
[2022-06-13T15:09:58.991Z]	<Colin_(LEF)>	present+
[2022-06-13T15:10:22.452Z]	<Transcriber>	Manu_Sporny: Krypto Switzer the actual digital signature stuff the proofs so there's a lot of work around you know the digital signatures that go into a verifiable credential there's also an opening to refine the data model and work on things like like display characteristics of a credential description so we can we can update the core model as well depending on.
[2022-06-13T15:10:22.706Z]	<Transcriber>	Manu_Sporny:  on needs.
[2022-06-13T15:10:53.603Z]	<Transcriber>	Manu_Sporny: Verifiable credentials verifiable presentations requests for verifiable credentials and verifiable presentations so data models around requesting credentials kind of issuing credentials things of that nature there was a pretty strong line drawn in the standby a couple of w3c members so that we would not be able to work on protocols normatively but we were able to get in that we were definitely going to work.
[2022-06-13T15:10:53.881Z]	<Transcriber>	Manu_Sporny:  work on.
[2022-06-13T15:11:25.214Z]	<Transcriber>	Manu_Sporny: Protocols in the non-normative way provide guidance around you know protocol usage and the VC data model and the doors open for enhancing verifiable credential interoperability by working on extension vocabularies like mobile driver's license like maybe open badges citizenship vocabulary for.
[2022-06-13T15:11:25.457Z]	<Transcriber>	Manu_Sporny:  like you know permanent resident card.
[2022-06-13T15:11:39.219Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:11:39.670Z]	<Transcriber>	Manu_Sporny: Ability stuff so we are able to also work on extension vocabularies in that working group the lifetime of the working groups two years from from its start that's it.
[2022-06-13T15:11:43.425Z]	<Transcriber>	Kerri_Lemoie: That's great thank you honey you did you use before.
[2022-06-13T15:11:47.812Z]	<Kerri_Lemoie>	ack Dmitri_Zagidulin
[2022-06-13T15:11:56.733Z]	<Phil_T3>	Perhaps for those unfamiliar with the W3C process and spec dev a short description of normative vs. non-normative work might be helpful.
[2022-06-13T15:12:06.097Z]	<Transcriber>	Dmitri_Zagidulin: Yes thanks cook a Shimano do you foresee any of the work being incubated in the VC API task force to make it into the VC working group as a normative note.
[2022-06-13T15:12:34.245Z]	<Transcriber>	Manu_Sporny: We can't do it as a normative note oh sorry non-normative yes absolutely that was the that was the goal I mean there are a number of us that are really pushing hard for that we wanted it as a normative thing but like I said there was one one company particularly that pushback really strongly against that and so there's a question about how we're going to do it right I mean because the VC API stuff is being incubated in ccg and there's a question of.
[2022-06-13T15:12:34.567Z]	<Transcriber>	Manu_Sporny:  like okay.
[2022-06-13T15:12:34.617Z]	<Dmitri_Zagidulin>	s/cook a Shimano/quick question for Manu,/
[2022-06-13T15:13:07.646Z]	<Transcriber>	Manu_Sporny: E2 working group going to snapshot that work every now and then are they going to actually move it into the working group and so that will become like a working group work item and if that happens how do the ccg folks participate so that's still up for debate but I think yes there are number of us that are going to push very hard for publishing that as normative note in the reason we're doing that is to set up the next re chartering.
[2022-06-13T15:13:08.255Z]	<Transcriber>	Manu_Sporny:  to work on protocols so you know issuance.
[2022-06-13T15:13:34.651Z]	<Transcriber>	Manu_Sporny: Calls verification protocols presentation protocols that kind of thing so all this stuff that we're doing in like jmf and incubating and all that kind of stuff the hope is that we're going to learn from all the plug fests that's going to influence the VC API in any other protocol work and then that is going to become normative work after this next iteration of the working group did that did that address your question.
[2022-06-13T15:13:35.176Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:13:38.632Z]	<Transcriber>	Dmitri_Zagidulin: It did that.
[2022-06-13T15:13:43.253Z]	<Transcriber>	Kerri_Lemoie: Okay thank you very much for that update.
[2022-06-13T15:13:55.071Z]	<Kerri_Lemoie>	https://lists.w3.org/Archives/Public/public-vc-edu/
[2022-06-13T15:14:16.222Z]	<Transcriber>	Kerri_Lemoie: On the only other Urban down that I have the queue is empty is it just a reminder to sign up for the VC edu email list I'm going to put that link here in the chat on this page it's actually archives page and there is a link towards like the top middle to subscribe to this list which will just be a mail to link where you can join the list we're having more and more discussions are especially about the plugfest the upcoming over to plugfest.
[2022-06-13T15:14:16.562Z]	<Transcriber>	Kerri_Lemoie:  so it'd be great if you aren't on there to join.
[2022-06-13T15:14:19.985Z]	<Transcriber>	Kerri_Lemoie: You can participate in this conversation.
[2022-06-13T15:14:20.153Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:14:38.106Z]	<Transcriber>	Kerri_Lemoie: I don't see anybody else in the queue here so why don't we get started with our agenda I'm going to share my slides and bear with me while I do this.
[2022-06-13T15:14:38.107Z]	<Kerri_Lemoie> topic: JFF VC-EDU Recap
[2022-06-13T15:14:50.056Z]	<Transcriber>	Kerri_Lemoie: I see before I share the slides I'm going to give you a link to the slides.
[2022-06-13T15:14:57.046Z]	<Transcriber>	Kerri_Lemoie: So that you have them in case you lose me for some sort you will have these sites.
[2022-06-13T15:14:58.052Z]	<Kerri_Lemoie>	slides: https://docs.google.com/presentation/d/1QtVxTIStReLDyXafJiLmsYakXDc8wz784s127iZy5aA/edit#slide=id.g133e8176409_0_297
[2022-06-13T15:15:12.823Z]	<Transcriber>	Kerri_Lemoie: So these are the slides where we're going to be discussing sort of doing a recap of what happened at the jff vcsu plugfest and what our next steps are going to be let me share that screen now.
[2022-06-13T15:15:32.548Z]	<Transcriber>	Kerri_Lemoie: I'm trying to do this well I want to run here.
[2022-06-13T15:15:42.792Z]	<Transcriber>	Kerri_Lemoie: Anybody seen my / right side right now.
[2022-06-13T15:15:58.415Z]	<Transcriber>	Dmitri_Zagidulin: Sure sure give me a sec.
[2022-06-13T15:15:59.419Z]	<Transcriber>	Kerri_Lemoie: Demetria you do me a favor if you can share them because I think you have the like on those and try thank you.
[2022-06-13T15:16:31.734Z]	<Transcriber>	Kerri_Lemoie: A multimeter he's doing that I can tell you a little bit of what happened to we we held the plugfest last Monday in New Orleans prior to the jff horizons conference and on the call today are folks who participated I think you Dimitri yeah he's already at the top would be great on the call today are some of the participants and also share and Lou Who has really been leading this effort towards interoperability and.
[2022-06-13T15:16:32.359Z]	<Transcriber>	Kerri_Lemoie: Education and then I Dimitri.
[2022-06-13T15:17:04.786Z]	<Transcriber>	Kerri_Lemoie: And I and and Simone a as part of a VC Educators help coordinate this and it also want to give a shout-out to feel along who I took great notes all day for us okay I put hello world on there because this is essentially what this was you can move there that's fine and Marty really firm and I really just sort of name that for us and it made a lot of sense to us so the whole point of this plugfest.
[2022-06-13T15:17:05.108Z]	<Transcriber>	Kerri_Lemoie:  fast was to display an open badge.
[2022-06-13T15:17:24.535Z]	<Transcriber>	Kerri_Lemoie: In a verifiable credential wallet and this is part of the team this is the team that really sort of worked on this led by Sharon and I was some definitely a lot of support from Joan Lee and then I came Hamilton Duffy and and the co-chairs okay could you move to the next slide please to meet you.
[2022-06-13T15:17:57.157Z]	<Transcriber>	Kerri_Lemoie: Thank you I stole this description of the plugfest from Sharon's introduction email so Sharon I'm going to let you take it from here but I'll read it out loud and then you can see if there's anything else to add I modified it a little bit but the point of the jff and the vcsu plugfest courage development of a large and active Market Place of learning and employment records for the technology tools and infrastructure and for the community to demonstrate true multi-vendor multi-platform.
[2022-06-13T15:17:57.568Z]	<Transcriber>	Kerri_Lemoie:  all right there's robot.
[2022-06-13T15:18:21.897Z]	<Transcriber>	Kerri_Lemoie: Is a rating over me interoperability in alignment with the VC did an edgy standards those are the standards that we've been focused on we didn't really focus on protocols and really not too much with dids or signatures but really just display of the open badges 3.0 standard-a Sharon do you have anything to add to that in terms of describing with the flood Fest are.
[2022-06-13T15:18:39.073Z]	<Manu_Sporny>	s/flood Fest/plugfests/
[2022-06-13T15:18:52.974Z]	<Transcriber>	Sharon_Leu: This is a good description I guess the only thing that I would add is that I think that this is not for jff this is not just a technical exercise our actual any goal is that there is interoperability of credentials for people so we have a theory of change around lifelong learning credential lifelong learning and in order to make that a reality for people we want Learners and workers to be able to.
[2022-06-13T15:18:53.357Z]	<Transcriber>	Sharon_Leu:  collect a large number of the.
[2022-06-13T15:19:23.428Z]	<Brian>	present+
[2022-06-13T15:19:25.076Z]	<Transcriber>	Sharon_Leu: Shows that they've earned regardless of where those credentials were I guess we're issued so whether formal institutions in formal education in the workplace the military community service any credential that attest to a person's abilities and skills we want them to be able to curate them themselves and create prison patients to pursue the opportunities so that is our ultimate goal for why we are pursuing this in a plug fast kind of way.
[2022-06-13T15:19:37.112Z]	<Transcriber>	Kerri_Lemoie: Thanks Sharon I'm doing Jan the next slide I see I just put a little bit about jmf in which I think Sharon mostly described just said sure I do anything else you want to add about jmf overall.
[2022-06-13T15:19:58.038Z]	<Transcriber>	Sharon_Leu: I guess the only one thing I'll add not about jmf necessarily is that we jmf is working with support from the Walmart Foundation as well as with our partners at the national Governors Association and a large number of organizations that are part of the national Ellie our advisory so I'll just say that.
[2022-06-13T15:20:24.011Z]	<Phil_T3>	s/Ellie our/LER
[2022-06-13T15:20:26.638Z]	<Transcriber>	Kerri_Lemoie: Great thank you and two from the VC Edge you plugfest objectives these are the ones that I listed but Dimitri feel free to jump in if you have others but you know part of our Charter is really to align education training and achievement data standards with the verifiable credentials model also to increase understanding about verifiable criminals and education training really a provide a place for us to collaborate and.
[2022-06-13T15:20:26.872Z]	<Transcriber>	Kerri_Lemoie:  work together towards this and then.
[2022-06-13T15:20:47.306Z]	<Transcriber>	Kerri_Lemoie: If that's pouring then we want to recognize the vendors and the organizations who are working towards interoperability we really appreciate the work that you do we know that it's good for your your software and your projects but also it's really good for the broader Community to meet you do you have any other objectives that you would add to this.
[2022-06-13T15:20:56.601Z]	<Transcriber>	Dmitri_Zagidulin: No I think that's I think those were our main ones thank you.
[2022-06-13T15:20:57.843Z]	<Transcriber>	Kerri_Lemoie: Great thank you next slide.
[2022-06-13T15:21:32.154Z]	<Transcriber>	Kerri_Lemoie: Kazuki's were the requirements for this breakfast we ask that the wallets display a VC in the version of an open badge 3.0 that we provided them open badges is not a is not been open Supernova has not been released yet but we set up a pilot version of this to be used specifically for this plugfest so we asked them to display the badge they're their wallet to display a badge image.
[2022-06-13T15:21:32.696Z]	<Transcriber>	Kerri_Lemoie: Which by the way is not actually.
[2022-06-13T15:22:07.121Z]	<Transcriber>	Kerri_Lemoie: You point out but we thought would be important to do that anyway as part of this and brought up really good questions also displayed issuer name the achievement name the achievement description and achievement criteria then optionally we said you could also be great if you want to display other fields such as it's it's your logo or other open badges terms and then as a stretch goal we said hey if you can also demonstrate that you are verifying that this batch data that would be great we didn't require.
[2022-06-13T15:22:07.485Z]	<Transcriber>	Kerri_Lemoie:  okay next.
[2022-06-13T15:22:38.364Z]	<Transcriber>	Kerri_Lemoie: This is our list of participants we have a lot of participants who is great we weren't sure who participate in it when did a really good job we had some people in person and we had others participating virtually in a very different time zones which we appreciate and I we had everyone create a short video but three minutes long that demonstrated what they did for the plugfest and how they are met these requirements and what I'd like to do is show you.
[2022-06-13T15:22:38.673Z]	<Transcriber>	Kerri_Lemoie:  three of those videos.
[2022-06-13T15:22:57.152Z]	<Transcriber>	Kerri_Lemoie: Because they're very short and I think you might find it interesting we do have a list of all of the videos available but I thought we do want to show them today just three of them and I do meet you because you're controlling the sharing I'm just going to give you want to put links in the chat you mind playing them.
[2022-06-13T15:22:59.333Z]	<Kerri_Lemoie>	https://www.youtube.com/watch?v=1mavfF2XK7U
[2022-06-13T15:23:02.877Z]	<Transcriber>	Dmitri_Zagidulin: Not at all go ahead go ahead.
[2022-06-13T15:23:03.918Z]	<Transcriber>	Kerri_Lemoie: Since I can't share my screen thank you alright the first one is matter it's video.
[2022-06-13T15:23:24.119Z]	<Transcriber>	Kerri_Lemoie: I don't hear any audio do you hear audio.
[2022-06-13T15:23:44.900Z]	<Transcriber>	Dmitri_Zagidulin: Yep one sec I'm going to try it out right now.
[2022-06-13T15:23:45.002Z]	<Transcriber>	Manu_Sporny: Sorry no audio but I know in this is a dangerous thing you can share video in jitsi in provide the direct YouTube link and it will play for everyone I think but I've never used the feature so I have no idea.
[2022-06-13T15:23:48.124Z]	<Transcriber>	Kerri_Lemoie: You try it okay go for it Brave New World.
[2022-06-13T15:23:49.360Z]	<Transcriber>	Dmitri_Zagidulin: Yep yep yep.
[2022-06-13T15:23:51.889Z]	<Transcriber>	Dmitri_Zagidulin: Eddie how's this.
[2022-06-13T15:23:57.888Z]	<Transcriber>	Kerri_Lemoie: Video sharing and I thought you left.
[2022-06-13T15:24:10.006Z]	<Transcriber>	Dmitri_Zagidulin: Okay one second I think it says that people need to consent to it give me just a second you stop screen sharing before sharing audio.
[2022-06-13T15:24:15.945Z]	<Transcriber>	Dmitri_Zagidulin: In to restart screen sharing and click screen share audio share okay got so one second.
[2022-06-13T15:24:19.791Z]	<Transcriber>	Kerri_Lemoie: Okay thank you.
[2022-06-13T15:24:32.431Z]	<Transcriber>	Dmitri_Zagidulin: Haha okay one moment.
[2022-06-13T15:24:40.895Z]	<Transcriber>	Dmitri_Zagidulin: Okay here we go.
[2022-06-13T15:24:49.403Z]	<Transcriber>	Kerri_Lemoie: I would get here but we can't see it.
[2022-06-13T15:25:06.841Z]	<Transcriber>	Kerri_Lemoie: Yeah all good.
[2022-06-13T15:25:11.870Z]	<Transcriber>	Dmitri_Zagidulin: This video is matter it's a mission for the JFK drop podcast one for completeness we're going to show an example as shown by one more try this is this is about you so the delay this is I'm really curious to learn how to do this for future as well so okay one second so video show okay yep I think I see it I think I see it.
[2022-06-13T15:25:12.216Z]	<Transcriber>	Dmitri_Zagidulin:  Chrome tabs.
[2022-06-13T15:25:26.595Z]	<Stuart_Freeman>	present+
[2022-06-13T15:25:26.871Z]	<Transcriber>	Kerri_Lemoie: Yep thank you.
[2022-06-13T15:25:38.023Z]	<Transcriber>	Dmitri_Zagidulin: Prince Jenny of day of its submission for the japheth and drop plugfest one for completeness we're going to show an example Assurance journey of the open badge achievement credential using matters of IDC credential provider.
[2022-06-13T15:25:50.679Z]	<Transcriber>	Dmitri_Zagidulin: This flow will result in the credential being stored and be visible and the matter wallet will start the process by using the wallet to scan a QR code that contains the discovery URL for a.
[2022-06-13T15:26:00.972Z]	<Transcriber>	Dmitri_Zagidulin: Offer the offer then gets displayed for the holder to review and decide whether to proceed what climbing the credential into their wallet.
[2022-06-13T15:26:17.061Z]	<Transcriber>	Dmitri_Zagidulin: Wallet initiates an oid see flow through an external web view that allows the holder to authenticate themselves against the jmf identity provider the claims from the oid see token are mapped into a verifiable credential and bound to the holder is dead.
[2022-06-13T15:26:38.093Z]	<David_Chadwick>	present+
[2022-06-13T15:26:48.135Z]	<Transcriber>	Dmitri_Zagidulin: Badge achievement credential is then stored in the holders wallet and made available for viewing and presentation the matter wallet renders the display of the credential by first checking if the credential type stated in the credential itself has a corresponding layout that can be utilized when displaying the credential and the wallet itself in this case the credential type is the open badge credential which does have a pre-existing overlay and is used to display the credential that we can see here let's take a quick look at some of the additional.
[2022-06-13T15:26:48.529Z]	<Transcriber>	Dmitri_Zagidulin:  National elements.
[2022-06-13T15:26:57.928Z]	<Stuart_Freeman>	s/holder is dead/holder's DID
[2022-06-13T15:27:22.779Z]	<Transcriber>	Dmitri_Zagidulin: Out of the credential first you'll notice a green verified label at the top of the credential this indicates to the holder that the credential has been verified by the wallet and is confirmed as valid meaning it hasn't been tampered with or revoked we see at the bottom of the credential display that the issuer is name and web domain also have a green techniques to them this signals that the issuer's did document with successfully resolved as valid and in this case because we've used added web is correctly bound to the mentioned equipped.
[2022-06-13T15:27:23.215Z]	<Transcriber>	Dmitri_Zagidulin:  oh mein lastly let's take a look at the Json Source behind the.
[2022-06-13T15:27:47.187Z]	<Transcriber>	Dmitri_Zagidulin: If we start from the top we see the credential type we've mentioned before is included in the credential type array inside the issuer block the issuer of this credential is represented by a dead web and just under that as the name of the credential itself which is what gets displayed and as the main heading of the credential on the wallet.
[2022-06-13T15:27:47.481Z]	<Transcriber>	Dmitri_Zagidulin:  the credentialed.
[2022-06-13T15:28:21.119Z]	<Transcriber>	Dmitri_Zagidulin: Each of the claims that are being displayed by the wallet including the image which has been resolved from the URI as well as the claims the subject block also contains The Binding of the credential to the wallet through the hold is dead in this case I did key as used to represent the holder this credential is revocable so references Aid revocation list and a specific index on that list which is carried through the credential and checked by the wallet to display the credential status as part of the UI.
[2022-06-13T15:28:21.388Z]	<Transcriber>	Dmitri_Zagidulin:  finally the bottom section of the raw credential is the proof.
[2022-06-13T15:28:36.977Z]	<Transcriber>	Dmitri_Zagidulin: Case has been created over the json-ld credential using the Ed 255 1920 18s cryptographic sweet thanks for watching this walkthrough of matter submission for phase one of the jff interop plugfest.
[2022-06-13T15:28:40.253Z]	<Phil_T3>	Very nice.
[2022-06-13T15:28:43.110Z]	<Transcriber>	Kerri_Lemoie: Thanks to retreat and just want to move on and show the next two.
[2022-06-13T15:29:27.251Z]	<Transcriber>	Dmitri_Zagidulin: Hello everyone this is Guillermo listen though from territory mmm first we are going to give you a brief introduction about our product and about the company and then we will show you the demo for the plugfest so as territorian we believe that learning happens everywhere in a classroom outside the classroom and we create a full comprehensive learner record for each student in which we map learning experiences to the skills and competencies.
[2022-06-13T15:29:28.004Z]	<Transcriber>	Dmitri_Zagidulin: Senses that there are mastering.
