[2019-07-30T15:54:39.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2019Jul/0074.html
[2019-07-30T16:07:30.261Z]	<heathervescent>	present+
[2019-07-30T16:07:41.585Z]	<drummond>	present+
[2019-07-30T16:07:45.177Z]	<rhiaro>	... Right now as of a week ago it's become a formal government policy, how they want to deal with medical identity, how they want to link it to adhaar and decentralised identity is one of the proposals, which they consider a little bit out there but it's actually under consideration
[2019-07-30T16:07:54.575Z]	<rhiaro>	JoeAndrieu: thanks for the update, very cool
[2019-07-30T16:07:58.441Z]	<rhiaro>	Topic: announcements and reminders
[2019-07-30T16:08:07.177Z]	<rhiaro>	JoeAndrieu: still doing dedicated DID calls on thursday
[2019-07-30T16:08:45.642Z]	<manu>	q+ to note that we should produce a FCGS
[2019-07-30T16:08:45.713Z]	<rhiaro>	drummond: we did skip last week, we'll be on this week and next week and then i'll be gone for 2 weeks but if markus and others are willing to keep going we'll keep going. We have until assumign there's a go ahead with the vote on the WG we have until that group formally starts, which I think would be at tpac
[2019-07-30T16:09:01.138Z]	<rhiaro>	JoeAndrieu: next week August 5-9 we have the btcr hackathon
[2019-07-30T16:09:02.693Z]	<JoeAndrieu>	https://weboftrustinfo.github.io/btcr-hackathon-2019/
[2019-07-30T16:09:09.946Z]	<JeffO-StL>	present+
[2019-07-30T16:09:11.236Z]	<rhiaro>	... It's virtual, we'll be having a conference call on a daily basis
[2019-07-30T16:09:31.956Z]	<rhiaro>	... please come join us. We're focussed on btcr, there are some other related issues around credentials and DIDs in general that are fair game
[2019-07-30T16:09:34.057Z]	<manu>	q?
[2019-07-30T16:09:35.837Z]	<rhiaro>	... We'd love to have you join us
[2019-07-30T16:09:45.424Z]	<rhiaro>	JoeAndrieu: Vienna Digital Identity Meetup September 1st, Sunday before RWOT
[2019-07-30T16:10:00.662Z]	<rhiaro>	... The idea is a conversation witht he local community in vienna and people who are going to rebooting will take the train the next day and head up there
[2019-07-30T16:10:14.515Z]	<JoeAndrieu>	http://rwot9.eventbrite.com
[2019-07-30T16:10:23.785Z]	<dlongley>	q?
[2019-07-30T16:10:27.923Z]	<rhiaro>	JoeAndrieu: And RWOT9 is after that
[2019-07-30T16:10:34.213Z]	<rhiaro>	... August 18th is our next deadline for advanced topic papers
[2019-07-30T16:10:50.615Z]	<rhiaro>	... Then after RWOT9 in Prague, the folks involved with ActivityPub are putting together a face to face
[2019-07-30T16:11:11.918Z]	<Shivam_sethi>	Q+
[2019-07-30T16:11:14.057Z]	<JoeAndrieu>	q?
[2019-07-30T16:11:16.946Z]	<JoeAndrieu>	ack manu
[2019-07-30T16:11:49.698Z]	<rhiaro>	https://dustycloud.org/blog/activitypub-conf-2019/
[2019-07-30T16:12:08.738Z]	<drummond>	Ah, I didn't realize that producing a CCG Community Final Draft take a month.
[2019-07-30T16:12:10.417Z]	<rhiaro>	manu: We need to produce a FCGS and get people to sign off on the IPR for when it goes into the WG
[2019-07-30T16:12:25.617Z]	<drummond>	q+
[2019-07-30T16:12:26.975Z]	<rhiaro>	... It takes a week to prepare the doc, a week to give people notice, then 2 weeks for the IPR committments before we move it over to the WG
[2019-07-30T16:12:35.766Z]	<rhiaro>	... Based on where we are we should start on that process this week
[2019-07-30T16:12:40.344Z]	<ChristopherA>	What day is 4 weeks before tpac
[2019-07-30T16:12:49.568Z]	<JoeAndrieu>	q?
[2019-07-30T16:13:00.716Z]	<JoeAndrieu>	ack shivam_sethi
[2019-07-30T16:13:28.335Z]	<rhiaro>	Shivam_sethi: First concern I tried to convert the minutes of the calls but there are some issues with the script, I couldn't get it working, maybe someone could help me, in future I can do that
[2019-07-30T16:14:08.003Z]	<drummond>	Agreed
[2019-07-30T16:14:11.728Z]	<rhiaro>	... Second concern was I was thinking to push a document related to ?? iot devices using DID, there won't be any personal information, openID authentication to manage IOT devices
[2019-07-30T16:14:42.201Z]	<manu>	This would be something for the DID Use Cases document...
[2019-07-30T16:15:25.160Z]	<Shivam_sethi>	Ok ,Thanks Chris
[2019-07-30T16:15:25.285Z]	<JoeAndrieu>	q?
[2019-07-30T16:15:38.385Z]	<JoeAndrieu>	ack Shivam_sethi
[2019-07-30T16:15:41.940Z]	<JoeAndrieu>	ack drummond
[2019-07-30T16:15:43.296Z]	<ChristopherA>	We do appreciate you working on converting the minutes!
[2019-07-30T16:15:55.500Z]	<rhiaro>	drummond: I had no idea it was a 4 week process to get the community final draft
[2019-07-30T16:15:58.438Z]	<manu>	q+ to summarize what I think Shivam was concerned about.
[2019-07-30T16:16:18.027Z]	<rhiaro>	... What I wanted to find out from manu is does that mean that by tpac we have to finalise something this week or can we get until next week?
[2019-07-30T16:16:21.457Z]	<ChristopherA>	I think we have 2 weeks.
[2019-07-30T16:16:44.626Z]	<sumita>	hi, may I introduce myself if we're still doing introductions? sorry for joining late
[2019-07-30T16:16:57.439Z]	<rhiaro>	manu: it takes roughly 4 weeks, the fastes I've seen it happen is 2 weeks but that was a tiny group. We could do that drummond,t he most important thing is that we get that document in shape ideally it would have been done before the charter went out for review. The next deadline is before the WG starts
[2019-07-30T16:17:03.466Z]	<rhiaro>	... In theory that should be before tpac
[2019-07-30T16:17:07.364Z]	<rhiaro>	... probably a week before tpac
[2019-07-30T16:17:13.343Z]	<rhiaro>	... that is our last date
[2019-07-30T16:17:29.486Z]	<rhiaro>	... if we work backwards from there we can start in the last week of august but that would be cutting it really close
[2019-07-30T16:17:33.895Z]	<sumita>	q+ introduction
[2019-07-30T16:17:58.336Z]	<manu>	q- introduction
[2019-07-30T16:17:59.868Z]	<manu>	q+ sumita
[2019-07-30T16:18:00.856Z]	<ChristopherA>	q+
[2019-07-30T16:18:04.666Z]	<rhiaro>	drummond: This week and next week's DID spec calls will be for that
[2019-07-30T16:18:14.697Z]	<manu>	q-
[2019-07-30T16:18:21.517Z]	<rhiaro>	... I'll make sure markus is around. Anyone else with issues youw ant resolved in the next 2 weeks, we'll get it ready for review
[2019-07-30T16:18:25.297Z]	<rhiaro>	manu: yes I can make it
[2019-07-30T16:18:34.421Z]	<rhiaro>	drummond: we can talk about what we need to get done and what the process will be like
[2019-07-30T16:18:47.275Z]	<JoeAndrieu>	ack ChristopherA
[2019-07-30T16:19:12.222Z]	<rhiaro>	ChristopherA: what I would like to see is a last day we can put into our announcements for the next couple of meetings. The first thursday that drummond is back that we say last call for comments is that thursday
[2019-07-30T16:19:25.203Z]	<rhiaro>	... That friday the editors are closing it for all comments and can take a few days to prepare a final version
[2019-07-30T16:19:35.546Z]	<manu>	q+ to suggest we don't ask for comments, just say we'll cut a version on date X.
[2019-07-30T16:19:37.293Z]	<rhiaro>	... but have that very prominent what those two days are, we announce it
[2019-07-30T16:19:44.497Z]	<JoeAndrieu>	ack manu
[2019-07-30T16:19:54.676Z]	<rhiaro>	manu: we should not ask for comments, that will open us to comments
[2019-07-30T16:20:21.075Z]	<rhiaro>	... we should say this CG.. we're cutting a version of the spec, we know it's incomplete, we're handing it over to the WG. Say that and wait for any kind of objections. But objections at this point, there's no outcome for objecting to handing it to a WG
[2019-07-30T16:20:25.156Z]	<rhiaro>	... butw e can open it up to objections
[2019-07-30T16:20:40.359Z]	<rhiaro>	... We just announce at this date the editors are cutting a final CG spec, we will be gathering IPR over the next couple of weeks and leave it at that
[2019-07-30T16:20:55.758Z]	<JoeAndrieu>	ask sumita
[2019-07-30T16:21:06.542Z]	<JoeAndrieu>	ack sumita
[2019-07-30T16:21:32.337Z]	<rhiaro>	sumita: I work at USA(?) which is a financial institution. Our interest is to pursue a blockchain solution for self sovereign identity. I've been reading a lot and it sounds like what you are doing is what we need to get involved with
[2019-07-30T16:21:41.659Z]	<rhiaro>	... Is there anyone from a financial instituion here? Do we have private sector folks involved?
[2019-07-30T16:21:42.942Z]	<drummond>	q+
[2019-07-30T16:21:47.762Z]	<JoeAndrieu>	ack drummond
[2019-07-30T16:21:49.461Z]	<heathervescent>	q+
[2019-07-30T16:22:54.279Z]	<rhiaro>	drummond: I can't say that many of us here working on this are working .. .I work for evernym.. that are doing exactly what you just said. Working on adopting self soverign identity to address the problems of financial.. I just left a call about this.. A consortium of a credit unions which focusses on blockchain tech for credit unions have chosen SSI as a focus for what they're doing. You're certainly in the right place.
[2019-07-30T16:23:02.237Z]	<rhiaro>	... THere are lots of materials available, happy to share
[2019-07-30T16:23:16.784Z]	<rhiaro>	sumita: Just wanted to make sure I stumbled into the right room, I'll bring some of my colleagues into the next meeting
[2019-07-30T16:23:18.080Z]	<rgrant>	very glad to have you!
[2019-07-30T16:23:18.836Z]	<drummond>	Great! Welcome.
[2019-07-30T16:23:22.920Z]	<JoeAndrieu>	ack heathervescent
[2019-07-30T16:23:40.959Z]	<kezike>	present+
[2019-07-30T16:23:45.319Z]	<rhiaro>	heathervescent: It's really exciting that USAA is getting involved in this. You are really innovative. I am a consultant, I've worked with a variety of different companies including banks exploring this space
[2019-07-30T16:23:51.761Z]	<ChristopherA-2nd-irc>	present+
[2019-07-30T16:23:59.559Z]	<rhiaro>	... I wrote this report with kaliya on npe identity looking at use cases or market gaps from the private sector having to do with banking and finance
[2019-07-30T16:24:03.441Z]	<rhiaro>	... you might be interested, it is public
[2019-07-30T16:24:06.808Z]	<heathervescent>	NPE report: https://app.convertkit.com/landing_pages/457406
[2019-07-30T16:24:15.677Z]	<rhiaro>	... If you want more info I'm happy to walk you through what we've learned
[2019-07-30T16:24:38.206Z]	<rhiaro>	... Primarily the report talks about the application of .. it does not specifically talk about the impact of SSI for individuals, it was exploring SSI for other legal entities and non human identity
[2019-07-30T16:24:56.679Z]	<rhiaro>	... If that's interesting regarding LEI or risk management, or if you are primarily focussed on the individual identity
[2019-07-30T16:25:10.719Z]	<rhiaro>	... I'll reiterate, ?? is doing some interesting stuff, and atb bank in canada have been doing interesting stuff on that too
[2019-07-30T16:25:13.016Z]	<JoeAndrieu>	q+ to mention RWOT8 demoes
[2019-07-30T16:25:14.478Z]	<JoeAndrieu>	ls
[2019-07-30T16:25:16.201Z]	<rhiaro>	... Feel free to reach out
[2019-07-30T16:25:17.941Z]	<JoeAndrieu>	q?
[2019-07-30T16:25:22.667Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-07-30T16:25:27.925Z]	<JoeAndrieu>	https://www.youtube.com/watch?v=7KrSw81F4Us
[2019-07-30T16:25:38.576Z]	<rhiaro>	JoeAndrieu: we do have demos from the RWOT8, there's a presentation with raabobank with SSI
[2019-07-30T16:25:54.224Z]	<JoeAndrieu>	q?
[2019-07-30T16:26:07.196Z]	<rhiaro>	JoeAndrieu: TPAC will be in Japan in September 16-20
[2019-07-30T16:26:15.800Z]	<identitywoman>	Also I've talked to Sendander bank in Spain who has dabbled in exploring SSI
[2019-07-30T16:26:17.407Z]	<rhiaro>	... The CCG does not have a space assigned but I do think we'll have a DID WG meeting of some flavour there
[2019-07-30T16:26:26.455Z]	<rhiaro>	... MyData is at the tail end of September, 25-27 in Helsinki
[2019-07-30T16:26:37.856Z]	<rhiaro>	Topic: Progresson action items
[2019-07-30T16:26:51.102Z]	<rhiaro>	... LD key format registry administrivia
[2019-07-30T16:27:03.923Z]	<rhiaro>	... Did we assign this to you last week dmitriz? Your question from 2 weeks ago is what do we need to do
[2019-07-30T16:27:14.616Z]	<rhiaro>	dmitriz: I don't know, I left the comment on the issue asking to clarify
[2019-07-30T16:27:29.699Z]	<manu>	q+ to try to clarify.
[2019-07-30T16:27:31.158Z]	<JoeAndrieu>	https://github.com/w3c-ccg/community/issues/56
[2019-07-30T16:27:43.775Z]	<rhiaro>	ChristopherA: My understanding is this particular document needed to have some sections added to it
[2019-07-30T16:27:51.904Z]	<burn_>	present+
[2019-07-30T16:27:53.957Z]	<JoeAndrieu>	ack manu
[2019-07-30T16:28:10.858Z]	<manu>	https://w3c-ccg.github.io/ld-cryptosuite-registry/
[2019-07-30T16:28:27.164Z]	<rhiaro>	manu: we had a registry called the linked data key format registry, we moved to change it to the cryptography suite registry. The purpose of the registry is to have a full list of all the crypto suites we support
[2019-07-30T16:28:40.877Z]	<rhiaro>	... anything you need for ldproofs which we use for VCs, and a few other things
[2019-07-30T16:28:54.223Z]	<rhiaro>	... the registry exists now and to finish off this issue we need to add a couple of sections in there
[2019-07-30T16:29:04.828Z]	<manu>	https://w3c-ccg.github.io/ld-cryptosuite-registry/#ed25519signature2018
[2019-07-30T16:29:05.096Z]	<rhiaro>	... right now we don't have key formats
[2019-07-30T16:29:35.137Z]	<rhiaro>	... we have a link to the spec but we don't talk about the key ???? make the registry a bit more clean
[2019-07-30T16:29:52.455Z]	<rhiaro>	... we have verification methods and key formats. We should split the registry into two things. It should have a section for verification methods and a new sectionf or key formats. That's it
[2019-07-30T16:30:03.162Z]	<rhiaro>	... that's all we need to do, add some editorial stuff around it
[2019-07-30T16:30:27.728Z]	<rhiaro>	dmitriz: I think I understand
[2019-07-30T16:30:31.499Z]	<rhiaro>	I can do it
[2019-07-30T16:30:40.958Z]	<rhiaro>	(probably :p)
[2019-07-30T16:30:45.403Z]	<manu>	thx rhiaro ! :)
[2019-07-30T16:30:55.316Z]	<manu>	also, ping me if there is any confusion, I think I know what needs to be done.
[2019-07-30T16:31:05.584Z]	<rhiaro>	dmitriz: I'll help
[2019-07-30T16:31:36.322Z]	<rhiaro>	Topic: Standards setting process
[2019-07-30T16:32:03.414Z]	<rhiaro>	JoeAndrieu: Some of the ideas we've kicked around about what's after DIDs, we've had conversations amongst chairs and community leaders, every idea that has come up has been we need to get the implementers into our conversation
[2019-07-30T16:32:17.384Z]	<rhiaro>	... What is worth spending 5 years on that will advance the work of the CCG in the most effective way?
[2019-07-30T16:32:25.346Z]	<rhiaro>	... We're going to be talkinga bout it for a couple of months, and at the meetings in september
[2019-07-30T16:32:30.377Z]	<rhiaro>	... Try to get a sense of what's over the next horizon
[2019-07-30T16:32:34.407Z]	<JoeAndrieu>	q?
[2019-07-30T16:32:47.301Z]	<rhiaro>	manu: These things tend to go in 3 stages
[2019-07-30T16:33:16.675Z]	<rhiaro>	... The first is the ideation process. This is what we depend on the IIW, RWOT, DWeb summit, conferences that happen, new ideas thrown out there, get momentum, until they get to a point people want to work on it
[2019-07-30T16:33:49.741Z]	<rhiaro>	... Eg. for VC stuff ideation happened between the RWOT was one of the first places, moved to IIW and between RWOT and IIW the idea was kicked back and forth until it got to the point that there was a spec and it moved through the rest of the process. Same with DIDs.
[2019-07-30T16:34:01.096Z]	<rhiaro>	... The first stage is ideation, doesn't happen here typically, this place is the second step in the process, which is incubation
[2019-07-30T16:34:17.677Z]	<rhiaro>	... You come up with an diea that's stage 1. Stage 2 is incubate the idea. People start writing waht the first spec might be, putting pen to paper and talking about the thing and refining it
[2019-07-30T16:34:21.174Z]	<rhiaro>	... That's more or less what this group does
[2019-07-30T16:34:56.279Z]	<rhiaro>	... What we're trying to do is take these ideas, get someone to write about them, then get devs to implement them. Refine it, play around, incubate it. That's what the CG is about. At a certain point in time it hits the stage where it's ready for global standardization
[2019-07-30T16:35:35.718Z]	<rhiaro>	... We decide where to put that work. Might go to the IETF if it's a low level protocal. OASIS if it's to do with business processes. Might go to the W3C if it has to do with the web or application layer stuff. Fundamentally we find the place where it should be globally standardized and send it off to the third stage
[2019-07-30T16:35:57.939Z]	<rhiaro>	... The third stage is standardization at a standards setting body. These are special organisations, from a legal perspective they cover what it means. The timeline for those things...
[2019-07-30T16:36:18.299Z]	<rhiaro>	The three stages, ideation, incubation, standardization. Ideation stage can take anywhere from 6 months to 5 years. Who knows, sometimes it takes a long time for certain ideas to take hold
[2019-07-30T16:36:35.467Z]	<rhiaro>	... The incubation stage takes about 1-2 years, and standardization takes 2 years
[2019-07-30T16:36:52.075Z]	<rhiaro>	... Usually a 5 year process form idea to global standard. Sounds long but it goes by really quickly. The last 5 years are a blur to many people involved in VCs
[2019-07-30T16:37:25.674Z]	<rhiaro>	JoeAndrieu: it takes a while to get this stuff. What I'm looking at as a co-chair, is trying to work out what is worth 5 years of focussed attention that is aligned with the mission and community here of the CCG
[2019-07-30T16:37:30.126Z]	<rhiaro>	... Now I want to open it up
[2019-07-30T16:37:36.342Z]	<rhiaro>	... Some other folks have had some ideas
[2019-07-30T16:37:39.118Z]	<rhiaro>	... Hop on the queue
[2019-07-30T16:37:45.021Z]	<JoeAndrieu>	q?
[2019-07-30T16:37:50.695Z]	<agropper>	q+
[2019-07-30T16:38:22.141Z]	<rhiaro>	ChristopherA: Speaking as chair with Joe and Kim, one of the question we have is where are the places that a multi year process of getting to an international standard is absolutely required or appropriate vs other things that we want to support or build that don't necessarily need to go through the entire international standardization process
[2019-07-30T16:38:42.580Z]	<rhiaro>	... There are a lot of things where we can create an API or a recommendation that does not have the standing of an international standard and it can end here. We don't have to go through the entire process end to end
[2019-07-30T16:39:11.622Z]	<rhiaro>	... Part of what I'm tryign to filter is what are the things that really deserve standardization. These are the things epople can use APIs, propocols, data formats etc, as a way to lock in to a single model, a single approach that doesn't allow for competition and collaboration
[2019-07-30T16:39:26.398Z]	<rhiaro>	... Taking my hat off I know some of my pain points are how do we ???
[2019-07-30T16:39:40.839Z]	<JoeAndrieu>	q+ to talk about a wallet API
[2019-07-30T16:40:22.826Z]	<rhiaro>	... how do you request a verifiable credential, a verifable presentation. How do you do so in a data minimizing protocol way. I do'nt want a static give me yoru VC, I want a negotiation between two parties so they can determine the max the client is going to give and the minimum the rquester is going to get. There's going to be a data minimization dance there
[2019-07-30T16:40:26.882Z]	<rhiaro>	... That's a pain point for me right now
[2019-07-30T16:40:29.114Z]	<ken>	present+
[2019-07-30T16:40:38.539Z]	<dlongley>	+1 to work on standardizing VC/VP queries
[2019-07-30T16:40:43.258Z]	<rhiaro>	... Another is that we still don't have cryptographically reviewed signature proofs and things of that nature
[2019-07-30T16:41:18.275Z]	<rhiaro>	... We need to be thinking not only about zero knowlege ways and blinding, but data minimization. Do we recommend to issuers they issue every single attirbute individually by itself so a person has a package of 100 claims with 100 attributes, or do we come up with some other scheme wehre they don't have to give proofs for all of those entries
[2019-07-30T16:41:25.401Z]	<rhiaro>	... Those are my early pain points. I need answers like, this fall.
[2019-07-30T16:41:29.138Z]	<JoeAndrieu>	q?
[2019-07-30T16:41:33.041Z]	<JoeAndrieu>	ack agropper
[2019-07-30T16:42:49.081Z]	<rhiaro>	agropper: Going forward from the data minimization. I want to put a plug in for working on the self soverign agent as a service endpoint in the DID Document. It seems there's a lot of evidence that this is really the next thing that needs to be standardized. The evidence being conversations in DIF and Hyperledger Ares around this which I don't think is converging particularly quickly and I think it needs a very strong dose of the kind of incubation
[2019-07-30T16:42:49.081Z]	<rhiaro>	that this group is able to do. To link this proposal to what Chris was just saying, a major component of having an agent as a service endpoint is to negotitate back and forth semi autonomosuly for this data minimization point
[2019-07-30T16:42:54.117Z]	<JoeAndrieu>	q?
[2019-07-30T16:42:56.974Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-07-30T16:44:02.638Z]	<rhiaro>	JoeAndrieu: One of the ideas i've floated in most conversations, may not survive the bubble up in prioritization, but it seems to me an API for how you interact with a wallet would be very useful. The wallet is one of the key points of leverage in this whole ecosystem, if we want software from different parties to be ablet o interact with a variety of wallets some sort of API there would be useufl. I see it in the way that the DOM API int he browser
[2019-07-30T16:44:02.638Z]	<rhiaro>	gives JS a standard way to interact with the Document Object Model
[2019-07-30T16:44:08.795Z]	<rhiaro>	... Also to have formal guarantees about what's behind that API
[2019-07-30T16:44:27.497Z]	<rhiaro>	... That may include guarantees about where keys are stored or what kind of keys are generated. THe idea is an API that has deep guarantees about cryptographic proof or process.
[2019-07-30T16:44:30.808Z]	<jonathan_holt>	q+
[2019-07-30T16:44:31.334Z]	<rhiaro>	... that's somethign I could see us working on
[2019-07-30T16:44:37.845Z]	<JoeAndrieu>	ack jonathon_holt
[2019-07-30T16:44:51.095Z]	<rhiaro>	jonathan_holt: Seems to be a lot of overlap with the DID comm(?) coming out of project Ares
[2019-07-30T16:44:57.594Z]	<rhiaro>	... How do we interact and create a synergistic goal with those other groups
[2019-07-30T16:45:00.198Z]	<rhiaro>	JoeAndrieu: great question
[2019-07-30T16:45:02.774Z]	<drummond>	+1 to synergy with DIDComm at the Hyperledger Aries project
[2019-07-30T16:45:05.636Z]	<JoeAndrieu>	q?
[2019-07-30T16:45:07.156Z]	<drummond>	q+
[2019-07-30T16:45:11.758Z]	<ChristopherA-2nd-irc>	q+
[2019-07-30T16:45:14.304Z]	<JoeAndrieu>	ack jonathan_holt
[2019-07-30T16:45:16.156Z]	<JoeAndrieu>	ack drummond
[2019-07-30T16:45:42.995Z]	<JoeAndrieu>	q+ to talk about working with Aries
[2019-07-30T16:46:05.507Z]	<rhiaro>	drummond: I was going to amplify what jonathan was saying. Standardizing the API for the wallet and the interactions, the protocols for key exchange and accessing and sending messages to the wallet, th whole dkms project that we've undertaken to develop interopeable decentralized key management is part of what's being implemented at hyperledger aries
[2019-07-30T16:46:17.421Z]	<rhiaro>	... I want to reinforce what jonathan was saying. We should figure out how to work togehter with that group
[2019-07-30T16:46:23.942Z]	<JoeAndrieu>	ack ChristopherA-2nd-irc
[2019-07-30T16:46:59.175Z]	<rhiaro>	ChristopherA: Want to add to the agenda the things the CCG can help with which is the area around the nature of what's in a verifiable presentation, how they're packaged up, what is the schemas within those so we can exchange things
[2019-07-30T16:47:28.027Z]	<rhiaro>	... Feels like there isn't a standard for educational claims per se that everybody agrees to. W3C already has some schemas around education. Obviously blockcerts and some of the other educational things are working on that, I'd like to see that reach anotehr level of interop
[2019-07-30T16:47:41.696Z]	<rhiaro>	... I'm very interested in peer claims, how does one person issue a claim rather than it coming from some authority that is major
[2019-07-30T16:47:47.278Z]	<rhiaro>	... How does peer claims work from an individual
[2019-07-30T16:47:55.756Z]	<dmitriz>	q+
[2019-07-30T16:48:06.900Z]	<sumita>	q+
[2019-07-30T16:48:08.399Z]	<rhiaro>	... I will say peer claims between issuers will also be imporatn. DMV giving a peer claim to one in another state	
[2019-07-30T16:48:20.588Z]	<rhiaro>	... There's a lot of stuff in the actual details of interop the claim data
[2019-07-30T16:48:43.586Z]	<rhiaro>	... There's a bunch ofinterop expectations that people have because of DIDs, and the reality is that the various domains of message can't talk with each other, they use different proof methods, different keys etc
[2019-07-30T16:48:47.987Z]	<rhiaro>	... We need to begin bridging some of those
[2019-07-30T16:49:01.495Z]	<rhiaro>	... There's a meeting in wyoming in september where I'm really hoping to be able to present some solutions around corporate records
[2019-07-30T16:49:30.381Z]	<rhiaro>	... I already know from them they don't want to select a single DID method or a single vendor. They want to say we can work with multiples of those. The reality is we can't actually meet that expectation. Sovrin can't work with btcr or veres1 or the uport variants
[2019-07-30T16:49:54.142Z]	<JoeAndrieu>	q?
[2019-07-30T16:49:56.417Z]	<ken>	q+
[2019-07-30T16:49:57.301Z]	<rhiaro>	... Figuring out where we can begin to interop, there are some small wins in being able to valdiate each others' claims and be able to have a mutual key on two chains(?) but the market will demand we can do more than that
[2019-07-30T16:49:58.498Z]	<manu>	q+
[2019-07-30T16:50:01.666Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-07-30T16:50:45.807Z]	<JoeAndrieu>	q?
[2019-07-30T16:50:46.748Z]	<rhiaro>	JoeAndrieu: There's an evolving relationship with DIF. We're glad that kim is involved over at DIF. My understanding is that's largely about implementation. I see it as proof of concept and proof of an approach which we'd like to fold into whatever standards work we might start down the pipeline
[2019-07-30T16:50:50.586Z]	<JoeAndrieu>	ack dmitriz
[2019-07-30T16:51:08.798Z]	<rhiaro>	dmitriz: Two topics hinted at
[2019-07-30T16:51:16.857Z]	<rhiaro>	... THe use of credentials in authentication and authorization
[2019-07-30T16:51:21.216Z]	<aljones15_db>	just wanted to say congratulations folks.
[2019-07-30T16:51:32.700Z]	<rhiaro>	... We've been very careful int he VC community to say VCs by themselves are not to be used for active control(?)
[2019-07-30T16:51:53.957Z]	<rhiaro>	... a lot of people view the natural next step is to build that next layer up, using DIDs and VCs in actual authentication protocols
[2019-07-30T16:52:01.602Z]	<rhiaro>	... Ir ealise that Aries and DIF have already started working on that
[2019-07-30T16:52:03.337Z]	<dlongley>	s/active control/access control/
[2019-07-30T16:52:05.577Z]	<JoeAndrieu>	q?
[2019-07-30T16:52:09.977Z]	<JoeAndrieu>	ack sumita
[2019-07-30T16:52:43.163Z]	<drummond>	q+
[2019-07-30T16:53:03.935Z]	<rhiaro>	sumita: have we heard anything from plastic manufacturers? Not sure about the international market..
