[2024-06-24T14:58:24.259Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0003.html
[2024-06-24T15:06:34.677Z]	<Transcriber>	Dmitri_Zagidulin: A fantastic welcome we're glad to have you here do you mind um.
[2024-06-24T15:06:34.693Z]	<Ildiko_Mazar>	Welcome, Juan.
[2024-06-24T15:06:41.662Z]	<Transcriber>	Dmitri_Zagidulin: Pasting in chat uh a URL to to the university or to your projects uh.
[2024-06-24T15:06:46.919Z]	<Juan>	www.kaust.edu.sa
[2024-06-24T15:06:50.102Z]	<Transcriber>	Dmitri_Zagidulin: Anyone else uh want to reintroduce introduce or reintroduce themselves if you haven't uh spoken up.
[2024-06-24T15:06:55.593Z]	<Transcriber>	Dmitri_Zagidulin: Thank you thank you Juan I see the the URL.
[2024-06-24T15:07:04.587Z]	<Transcriber>	Dmitri_Zagidulin: All right uh let's do announcements and reminders uh.
[2024-06-24T15:07:11.075Z]	<Transcriber>	Dmitri_Zagidulin: Does anybody have uh community events that they want to remind people of.
[2024-06-24T15:07:16.059Z]	<Transcriber>	Dmitri_Zagidulin: I know we have iaw coming up in the fall closer to Halloween.
[2024-06-24T15:07:23.610Z]	<Transcriber>	Dmitri_Zagidulin: Uh I know we've got badge Summit and uh Boulder Colorado coming up uh later in July.
[2024-06-24T15:07:30.032Z]	<Transcriber>	Dmitri_Zagidulin: Any other uh relevant conferences uh.
[2024-06-24T15:07:30.267Z]	<Transcriber>	Dmitri_Zagidulin:  that I'm.
[2024-06-24T15:07:40.742Z]	<Ildiko_Mazar>	Here in Europe we have a big international conference called Online Educa Berlin: https://oeb.global/
[2024-06-24T15:07:42.039Z]	<Phil_Barker>	present+
[2024-06-24T15:07:49.645Z]	<Transcriber>	Dmitri_Zagidulin: Okay uh so in that case let's uh let's move on to our we go mentions that there's the European conference in chat online educa Berlin.
[2024-06-24T15:07:52.558Z]	<Transcriber>	Dmitri_Zagidulin: Uh sounds really interesting I wish I was there.
[2024-06-24T15:07:53.764Z]	<Naomi>	present+
[2024-06-24T15:07:57.057Z]	<Transcriber>	Dmitri_Zagidulin: Any any other announcements uh while we.
[2024-06-24T15:07:59.049Z]	<Transcriber>	Dmitri_Zagidulin: What people are connecting.
[2024-06-24T15:08:15.085Z]	<Transcriber>	Dmitri_Zagidulin: All right uh so the main topic of this week's call is just free form it's uh office hours uh and uh open Agenda which means.
[2024-06-24T15:08:24.072Z]	<Transcriber>	Dmitri_Zagidulin: Free to ask questions share how your projects have been going what you've been encountering if there's any roadblocks you've been running into.
[2024-06-24T15:08:26.949Z]	<Ildiko_Mazar>	It's only in November, but registration is now open with early bird rates available. Digital credentials are one of the sub-themes.
[2024-06-24T15:08:28.054Z]	<Transcriber>	Dmitri_Zagidulin: Or what's on your mind in general in the area of.
[2024-06-24T15:08:32.029Z]	<Transcriber>	Dmitri_Zagidulin: Uh educational credentials technology and so on.
[2024-06-24T15:08:43.576Z]	<Transcriber>	Dmitri_Zagidulin: Or report outs from any interesting conferences uh you've been to.
[2024-06-24T15:08:56.562Z]	<Transcriber>	Dmitri_Zagidulin: I can start on on our end uh on so I wear several several different hats aside from uh co-chair of uh this excellent task force here.
[2024-06-24T15:08:56.767Z]	<Transcriber>	Dmitri_Zagidulin:  uh so.
[2024-06-24T15:09:00.575Z]	<Transcriber>	Dmitri_Zagidulin: I work with mostly with mit's digital credentials Consortium.
[2024-06-24T15:09:08.135Z]	<Transcriber>	Dmitri_Zagidulin: Uh where uh I'm I'm technical architect for an open-source Mobile Wallet.
[2024-06-24T15:09:11.082Z]	<Transcriber>	Dmitri_Zagidulin: A uh issuer Suite.
[2024-06-24T15:09:26.134Z]	<Transcriber>	Dmitri_Zagidulin: Uh so UI and back-end services and a verifier Suite in addition uh I also help out the Arizona State University team on very similar uh kind of things so I work on uh their corner pocket.
[2024-06-24T15:09:35.591Z]	<Transcriber>	Dmitri_Zagidulin: Mobile Wallet mobile credential wallet uh the issuer services they're verifiers and so on and I also help out.
[2024-06-24T15:09:43.622Z]	<Transcriber>	Dmitri_Zagidulin: Um Phil Long with various projects uh for Chamber of Commerce for T3.
[2024-06-24T15:09:47.590Z]	<Transcriber>	Dmitri_Zagidulin: And and so on uh so we're doing.
[2024-06-24T15:10:03.626Z]	<Transcriber>	Dmitri_Zagidulin: So with MIT and and ASU continuing work on uh just adding features to the wallet uh and so we've got a open source Mobile Wallet written in um JavaScript in react native.
[2024-06-24T15:10:03.990Z]	<Transcriber>	Dmitri_Zagidulin:  and we're.
[2024-06-24T15:10:06.610Z]	<Transcriber>	Dmitri_Zagidulin: We're preparing it to.
[2024-06-24T15:10:21.835Z]	<Eric_Shepherd>	present+
[2024-06-24T15:10:27.647Z]	<Transcriber>	Dmitri_Zagidulin: Handoff stewardship to the open Wallet Foundation uh which if you're not familiar with uh is uh part of the Linux Foundation uh it's a Linux Foundation project and its goal is not to write specifications it leaves that to the other species like ITF and w3c and ISO and so on.
[2024-06-24T15:10:30.116Z]	<Transcriber>	Dmitri_Zagidulin: But it's it's mandate is to.
[2024-06-24T15:10:32.558Z]	<Stuart_Freeman>	present+
[2024-06-24T15:10:41.135Z]	<Transcriber>	Dmitri_Zagidulin: And uh and curate a set of open-source libraries libraries and wallet implementations.
[2024-06-24T15:10:52.608Z]	<Transcriber>	Dmitri_Zagidulin: Uh also it it work it's working on a sort of best practices and architecture and security sort of paper for wallets but but in general it's much like many other Linux Foundation projects.
[2024-06-24T15:10:55.578Z]	<Transcriber>	Dmitri_Zagidulin: Like like the Apache foundation and so on.
[2024-06-24T15:11:03.610Z]	<Transcriber>	Dmitri_Zagidulin: It's it's goal is to uh sort of gather and Steward uh open source either.
[2024-06-24T15:11:11.151Z]	<Transcriber>	Dmitri_Zagidulin: Full-on wallet implementations or component libraries so we've uh.
[2024-06-24T15:11:17.097Z]	<Transcriber>	Dmitri_Zagidulin: We've been talking to the open world foundation and are in the process of migrating the.
[2024-06-24T15:11:26.099Z]	<Transcriber>	Dmitri_Zagidulin: Uh the learner credential wallet which is what the DC wallet project is called over to open Wallet Foundation.
[2024-06-24T15:11:31.098Z]	<Transcriber>	Dmitri_Zagidulin: Uh so we'll we'll MIT will continue sort of uh uh.
[2024-06-24T15:11:35.169Z]	<Stuart_Freeman>	present+
[2024-06-24T15:11:38.108Z]	<Transcriber>	Dmitri_Zagidulin: Leading the software development uh as we can we're fairly small uh development team.
[2024-06-24T15:11:46.600Z]	<Transcriber>	Dmitri_Zagidulin: But we're by moving it to the Linux Foundation we're inviting broader participation hopefully the project will be interesting to uh.
[2024-06-24T15:11:48.576Z]	<Transcriber>	Dmitri_Zagidulin: Other teams as well.
[2024-06-24T15:11:57.450Z]	<PL/T3>	present+
[2024-06-24T15:12:05.640Z]	<Transcriber>	Dmitri_Zagidulin: So if anybody has uh questions about the wall Foundation uh please feel free to ask in chat or queue up I'm probably not the best person to uh answer them but we can we can get your we can forward them to the open world Foundation folks and and.
[2024-06-24T15:12:08.593Z]	<Transcriber>	Dmitri_Zagidulin: Uh get your questions answered.
[2024-06-24T15:12:12.218Z]	<Transcriber>	Dmitri_Zagidulin: The stuff that we've been working on is uh.
[2024-06-24T15:12:17.691Z]	<Transcriber>	Dmitri_Zagidulin: Yeah so basically cleaning house for uh.
[2024-06-24T15:12:29.194Z]	<Andy_Griebel>	present+
[2024-06-24T15:12:32.192Z]	<Transcriber>	Dmitri_Zagidulin: B batching up uh various like warnings and errors and uh Tech debt uh in order to invite guests over for learning credential wallet that's handing off the.
[2024-06-24T15:12:34.592Z]	<Transcriber>	Dmitri_Zagidulin: Uh open source wallet.
[2024-06-24T15:12:41.599Z]	<Transcriber>	Dmitri_Zagidulin: To the broader Community uh and aside from that have been working on um.
[2024-06-24T15:12:49.616Z]	<Transcriber>	Dmitri_Zagidulin: Issuer Suites uh to um Consortium member universities.
[2024-06-24T15:12:55.586Z]	<Transcriber>	Dmitri_Zagidulin: We we've kicked off the.
[2024-06-24T15:13:02.624Z]	<Transcriber>	Dmitri_Zagidulin: Uh quote unquote trust Registries project I think quote unquote because trust Registries is.
[2024-06-24T15:13:05.053Z]	<Andy_Griebel>	present+
[2024-06-24T15:13:08.109Z]	<Transcriber>	Dmitri_Zagidulin: Kind of a a controversial and um not the best name.
[2024-06-24T15:13:14.112Z]	<Transcriber>	Dmitri_Zagidulin: In in our credential Community for the thing that we're studying and what do we mean by trust registries.
[2024-06-24T15:13:19.574Z]	<Transcriber>	Dmitri_Zagidulin: So anybody dealing with credentials in the.
[2024-06-24T15:13:23.623Z]	<Transcriber>	Dmitri_Zagidulin: Space but really in any space this this absolutely.
[2024-06-24T15:13:29.570Z]	<Transcriber>	Dmitri_Zagidulin: Covers any sort of credentials or anytime you sign an object digitally.
[2024-06-24T15:13:38.263Z]	<Andy_Griebel>	present+
[2024-06-24T15:13:40.121Z]	<Transcriber>	Dmitri_Zagidulin: Because what's a signature right you're you're signing it essentially with a cryptographic key or with another a baked identifier like it did at decentralized identifier.
[2024-06-24T15:13:45.075Z]	<Transcriber>	Dmitri_Zagidulin: And which which brings all sorts of useful properties.
[2024-06-24T15:13:56.624Z]	<Transcriber>	Dmitri_Zagidulin: But the major challenge with digital signature is that they identifiers opaque when you're receiving a credential you don't know who the key belong to that you signed it with.
[2024-06-24T15:14:01.121Z]	<Transcriber>	Dmitri_Zagidulin: And so you must necessarily.
[2024-06-24T15:14:23.131Z]	<Transcriber>	Dmitri_Zagidulin: Have access to directories to lists of known issuers so you can say okay this key belongs to this University or this key belongs to uh this particular company or even an individual person right we're in the area of Education we're interested in.
[2024-06-24T15:14:26.599Z]	<Dmitri_Zagidulin>	q?
[2024-06-24T15:14:29.098Z]	<Transcriber>	Dmitri_Zagidulin: Self issued credentials which presents its own.
[2024-06-24T15:14:32.672Z]	<Transcriber>	Dmitri_Zagidulin: It's kind of interesting challenges in terms of.
[2024-06-24T15:14:36.597Z]	<Transcriber>	Dmitri_Zagidulin: If we can get issuers.
[2024-06-24T15:14:45.126Z]	<Transcriber>	Dmitri_Zagidulin: Companies and organizations on a list what about uh natural persons so we can we can talk about that what some of the techniques there.
[2024-06-24T15:14:48.593Z]	<Transcriber>	Dmitri_Zagidulin: But anyway so.
[2024-06-24T15:14:53.592Z]	<Transcriber>	Dmitri_Zagidulin: Regardless of what you do with credentials regardless of what technology stack.
[2024-06-24T15:14:55.626Z]	<Transcriber>	Dmitri_Zagidulin: What sort of uh.
[2024-06-24T15:14:58.602Z]	<Transcriber>	Dmitri_Zagidulin: Specifications you're using.
[2024-06-24T15:15:06.143Z]	<Transcriber>	Dmitri_Zagidulin: You're going to need to have access to these directories to these lists of known issuers and that's what we mean by trust registry.
[2024-06-24T15:15:17.595Z]	<Transcriber>	Dmitri_Zagidulin: Uh at at Baseline it is a list mapping opaque identifiers to known entities of course that that's not all that is that it can be.
[2024-06-24T15:15:25.869Z]	<Transcriber>	Dmitri_Zagidulin: Industries can have other Advanced um features such as they can carry.
[2024-06-24T15:15:30.547Z]	<Transcriber>	Dmitri_Zagidulin: About what kind of verification steps were taken.
[2024-06-24T15:15:40.394Z]	<Transcriber>	Dmitri_Zagidulin: Get the entity on that list uh meaning we performed full uh personal kyc the know your customer.
[2024-06-24T15:15:43.382Z]	<Transcriber>	Dmitri_Zagidulin: Terminology from from Financial world.
[2024-06-24T15:15:52.918Z]	<Transcriber>	Dmitri_Zagidulin: We can say that okay this is our governance framework and in order to get it on this list you have to meet these criteria and this is these are the verification steps we're going to take.
[2024-06-24T15:15:57.941Z]	<Transcriber>	Dmitri_Zagidulin: All of these things to raise the confidence level of the verifier.
[2024-06-24T15:16:02.426Z]	<Transcriber>	Dmitri_Zagidulin: When they're hopefully will be accepting your credentials in the future.
[2024-06-24T15:16:08.460Z]	<Transcriber>	Dmitri_Zagidulin: Aside from a base level this is a list of identifiers.
[2024-06-24T15:16:12.928Z]	<Transcriber>	Dmitri_Zagidulin: These Registries have uh lots of other useful features.
[2024-06-24T15:16:23.014Z]	<Transcriber>	Dmitri_Zagidulin: To the ecosystem and so uh credential engine and uh digital credentials Consortium and many other many other groups uh have have.
[2024-06-24T15:16:32.996Z]	<Transcriber>	Dmitri_Zagidulin: Joined into this uh 1 year uh research projects uh or or practically research project where essentially we're comparing.
[2024-06-24T15:16:35.992Z]	<Transcriber>	Dmitri_Zagidulin: Um half a dozen to a dozen.
[2024-06-24T15:16:39.502Z]	<Transcriber>	Dmitri_Zagidulin: Testing or in progress specifications.
[2024-06-24T15:16:44.984Z]	<Transcriber>	Dmitri_Zagidulin: Because all these groups working with uh credentials Registries have have run into this problem.
[2024-06-24T15:16:52.008Z]	<Transcriber>	Dmitri_Zagidulin: Registries that means we need a data model and sometimes we need a protocol or an API.
[2024-06-24T15:16:54.021Z]	<Transcriber>	Dmitri_Zagidulin: Switch to interface them with.
[2024-06-24T15:16:57.995Z]	<Transcriber>	Dmitri_Zagidulin: And that leaves implementers like us.
[2024-06-24T15:17:09.607Z]	<Transcriber>	Dmitri_Zagidulin: With lots of questions okay I'm entering into this world I have a wallet or I have a verifier or I have an issuer which 1 of these trust registry specifications do we use.
[2024-06-24T15:17:33.117Z]	<Transcriber>	Dmitri_Zagidulin: And there's there's already uh a handful of choices so 1 of the 1 of the goals of This research project is we'll be uh simply comparing the specifications and trying to make sense of them these are the trade-offs that they're making uh this is a data model specification this is uh just an API these are the affordances they have for uh how to specify governance.
[2024-06-24T15:17:38.590Z]	<Transcriber>	Dmitri_Zagidulin: How terms of service how to get on that list and how to get off that list and how to.
[2024-06-24T15:17:44.094Z]	<Transcriber>	Dmitri_Zagidulin: All the information is outdated how do I simply change.
[2024-06-24T15:17:47.086Z]	<Transcriber>	Dmitri_Zagidulin: The the information right all of these things need to be.
[2024-06-24T15:17:54.085Z]	<Transcriber>	Dmitri_Zagidulin: Thought through so the trustee project will be comparing the specifications.
[2024-06-24T15:17:58.097Z]	<Transcriber>	Dmitri_Zagidulin: Selecting 1 1 or 2 and.
[2024-06-24T15:18:15.156Z]	<Transcriber>	Dmitri_Zagidulin: Standing up and implementation a a sample registry that we can operate for a while uh use in our wallets and issuers so that we can report uh knowledgeably that okay so this is what it's like to operate 1 of these these These are the downsides these are the the caveats.
[2024-06-24T15:18:18.111Z]	<Transcriber>	Dmitri_Zagidulin: So as a sort of service to the community.
[2024-06-24T15:18:22.087Z]	<Transcriber>	Dmitri_Zagidulin: So that's uh that's 1 of the projects but.
[2024-06-24T15:18:25.124Z]	<Transcriber>	Dmitri_Zagidulin: Uh does anybody else have uh.
[2024-06-24T15:18:32.246Z]	<Transcriber>	Dmitri_Zagidulin: The discussion uh things that they're working on they want to share.
[2024-06-24T15:18:37.263Z]	<Transcriber>	Dmitri_Zagidulin: Hop on the list Naomi please go ahead.
[2024-06-24T15:19:38.194Z]	<Transcriber>	Naomi: Hi there hi Dmitri um you said some interesting things and uh we'd love to stay in touch with you not only about the trust Registries I think that that was 1 thing um velocity had been inquiring around earlier um in terms of certain lists that we've seen that we were curious about how we could incorporate them into the network so that's definitely and of course we have our own tools so we definitely love to stay in touch with you on that um another um thing that you mentioned of Interest was the wallet the open wallet and um working with the Linux Foundation I'd love to follow up with you on that as well velocity had a couple components of its organization that we were interested in connecting with Linux and maybe there is some dovetailing of interests in terms of your work with um the wallet and uh Linux foundation so um would love to follow up with you on those 2 points but in addition you know you started this um opening up you know the announcements recent events and our CTO on.
[2024-06-24T15:19:38.817Z]	<Transcriber>	Naomi:  race did.
[2024-06-24T15:20:09.159Z]	<Naomi>	https://www.velocitynetwork.foundation/empowering-self-sovereign-identity-with-trusted-credentials-exploring-velocity-network-checks
[2024-06-24T15:20:13.674Z]	<Transcriber>	Naomi: At 1 of the diff um events specifically on uh empowering self Sovereign identity with trust credentials um I did post it on LinkedIn it kicked off on Thursday um but what I'll do is I'll put in the chat at least some of his recent writings and you know everyone on this call may have ideas or thoughts or feedback on that so I'll put um some of his recent writings and blogs in the chat for anyone who kind of wants to read velocities latest opinion um and then the other thing I'll put in the chat again is um.
[2024-06-24T15:20:22.242Z]	<Ildiko_Mazar>	Thanks, Naomi.
[2024-06-24T15:20:26.643Z]	<Naomi>	https://www.velocitynetwork.foundation/wp-content/uploads/2023/10/Recommended-LER-technical-and-functional-requirements-Sep-2023-.pdf
[2024-06-24T15:21:14.723Z]	<Transcriber>	Naomi: Um our Lear uh infrastructure requirements and this was kind of an early Doc and it was retrofitted I think for the Lear term being used in the US I think otherwise um it's almost like a Manifesto of some of velocities core beliefs in terms of why it works the way it works I just think that as a return this corner and we're starting to invest in various products that educate us on the notion of trust it might be a helpful document for everyone to have and and and opine on so um I just stuck those 2 in the chat and um we have a lot going on in velocity Network Foundation as well if anyone's interested in hearing more specific updates um I I believe we'll be publishing like a a quarterly or a 6-month kind of outward-facing newsletter on some of the big changes in velocity in the next week or so that hopefully everyone will take a look at and um be able to keep up on things happening in velocity network with all our members.
[2024-06-24T15:21:19.272Z]	<Transcriber>	Dmitri_Zagidulin: Thank you so much Naomi I really appreciate it.
[2024-06-24T15:21:40.824Z]	<Transcriber>	Dmitri_Zagidulin: All right well so while while people are uh searching their minds and um.
[2024-06-24T15:21:43.318Z]	<Transcriber>	Dmitri_Zagidulin: Hopefully getting on the queue.
[2024-06-24T15:21:49.300Z]	<Transcriber>	Dmitri_Zagidulin: I want to introduce a topic that's always near and dear to my heart which is self issued credentials.
[2024-06-24T15:21:54.828Z]	<Transcriber>	Dmitri_Zagidulin: Uh I think we've we've talked a bit about we presented on.
[2024-06-24T15:22:03.336Z]	<Transcriber>	Dmitri_Zagidulin: On this topic I think with Phil Long on the on the subject on the work that we're doing with link credentials author.
[2024-06-24T15:22:10.805Z]	<Transcriber>	Dmitri_Zagidulin: In the future on an open source uh resume author demo.
[2024-06-24T15:22:14.287Z]	<Transcriber>	Dmitri_Zagidulin: Uh but the reason I bring these up is that.
[2024-06-24T15:22:26.311Z]	<Transcriber>	Dmitri_Zagidulin: We've essentially got these 2 Worlds these 2 aspects of our of our credentials uh we have the in the classical institutionally issued credentials.
[2024-06-24T15:22:26.610Z]	<Transcriber>	Dmitri_Zagidulin:  which what is.
[2024-06-24T15:22:28.132Z]	<Nate_Otto>	present+
[2024-06-24T15:22:28.762Z]	<Transcriber>	Dmitri_Zagidulin: Does that mean it means.
[2024-06-24T15:22:35.802Z]	<Transcriber>	Dmitri_Zagidulin: But it's an organization our company doing it and they're likely to be on a known issue or list somewhere.
[2024-06-24T15:22:44.357Z]	<Transcriber>	Dmitri_Zagidulin: Uh whether it's by the government by the local Chamber of Commerce by uh some sort of uh third party.
[2024-06-24T15:23:05.011Z]	<Ildiko_Mazar>	:+1:
[2024-06-24T15:23:05.024Z]	<Transcriber>	Dmitri_Zagidulin: Directory something like that right but then we have this whole other world of natural persons who are not likely to be on the list and in some jurisdictions like the European Union are specifically not legally allowed to be kept on list for privacy and and you know very very good legal reasons.
[2024-06-24T15:23:12.488Z]	<Transcriber>	Dmitri_Zagidulin: Still want people to be able to.
[2024-06-24T15:23:25.024Z]	<Transcriber>	Dmitri_Zagidulin: Selfish credentials and and for various reasons right so the first time the subject is brought up to people unfamiliar with the verifiable credentials uh the question immediately comes up.
[2024-06-24T15:23:33.515Z]	<Transcriber>	Dmitri_Zagidulin: Why right what what business value what usefulness do we have in.
[2024-06-24T15:23:37.961Z]	<Transcriber>	Dmitri_Zagidulin: Issuing a claim of some sort.
[2024-06-24T15:23:55.733Z]	<Mahesh_Balan_-_pocketcred.com>	q+
[2024-06-24T15:24:00.010Z]	<Transcriber>	Dmitri_Zagidulin: The answer to that is always well just like in the current non- digital credentials world right the the the business value of it greatly depends on the person greatly depends on their qualifications capabilities reputation in the community and so on.
[2024-06-24T15:24:05.554Z]	<Transcriber>	Dmitri_Zagidulin: Ah I see we've got mahash on the Queue so I'll pause here Mah go ahead.
[2024-06-24T15:24:14.603Z]	<Dmitri_Zagidulin>	q?
[2024-06-24T15:24:15.001Z]	<Transcriber>	Dmitri_Zagidulin: But if you're talking you might be muted.
[2024-06-24T15:24:21.445Z]	<Transcriber>	Dmitri_Zagidulin: He's showing us unmuted here though.
[2024-06-24T15:24:24.962Z]	<Transcriber>	Dmitri_Zagidulin: But we can't hear you otherwise.
[2024-06-24T15:24:27.965Z]	<Transcriber>	Dmitri_Zagidulin: Or at least I can't hear you it could be a network partition.
[2024-06-24T15:24:31.946Z]	<Transcriber>	Dmitri_Zagidulin: Uh if somebody else can hear my hash let us know in chat.
[2024-06-24T15:24:33.475Z]	<Mahesh_Balan_-_pocketcred.com>	I will rejoin
[2024-06-24T15:24:34.272Z]	<PL/T3>	Nope no voice from Mahesh
[2024-06-24T15:24:38.490Z]	<Transcriber>	Dmitri_Zagidulin: Okay so my my hash is going to reconnect all right.
[2024-06-24T15:24:43.696Z]	<Transcriber>	Dmitri_Zagidulin: So yeah so so sufficient credentials.
[2024-06-24T15:24:59.261Z]	<Transcriber>	Dmitri_Zagidulin: The the value of this credential uh greatly depends and 1 of the things that we're we're claiming in in starting this project with Phil Long and others of uh.
[2024-06-24T15:25:05.239Z]	<Transcriber>	Dmitri_Zagidulin: I'm making more widely available tools for natural persons to.
[2024-06-24T15:25:14.200Z]	<Transcriber>	Dmitri_Zagidulin: Easily create verifiable credentials 1 of the things that that we're we're claiming and and are investigating as part of this project is.
[2024-06-24T15:25:18.692Z]	<Transcriber>	Dmitri_Zagidulin: Our thesis is that.
[2024-06-24T15:25:24.680Z]	<Transcriber>	Dmitri_Zagidulin: The value of self issue credentials can be greatly increased.
[2024-06-24T15:25:26.527Z]	<Ildiko_Mazar>	I am one of those individuals who has genuine interest in self-issued credentials as a lifelong non-formal learner couldn't expect an Agent to formally/informally issue credentials proving one's knowledge, skills and competences.
[2024-06-24T15:25:26.684Z]	<Transcriber>	Dmitri_Zagidulin: With 2 things.
[2024-06-24T15:25:29.680Z]	<Transcriber>	Dmitri_Zagidulin: 1 is evidence.
[2024-06-24T15:25:33.216Z]	<Transcriber>	Dmitri_Zagidulin: Let's say this is a uh.
[2024-06-24T15:25:37.697Z]	<Transcriber>	Dmitri_Zagidulin: Stuff is should claim of skills or uh.
[2024-06-24T15:25:45.332Z]	<Transcriber>	Dmitri_Zagidulin: Or a an employment history item right the things that make up potentially make up a resume.
[2024-06-24T15:25:46.512Z]	<Dmitri_Zagidulin>	q?
[2024-06-24T15:25:53.827Z]	<Transcriber>	Dmitri_Zagidulin: The veracity and the value of that can be greatly increased with just adding to the credential.
[2024-06-24T15:26:05.306Z]	<Transcriber>	Dmitri_Zagidulin: I'll link to uh a video where you demonstrating that skill a link to uh an external non digitally science certification a uh.
[2024-06-24T15:26:16.827Z]	<Transcriber>	Dmitri_Zagidulin: A code repository right literally evidence of the claim that you're making and then the second thing that that that we think greatly increases the value of the claim is of course.
[2024-06-24T15:26:31.997Z]	<Mahesh_Balan_-_pocketcred.com>	present+
[2024-06-24T15:26:36.836Z]	<Transcriber>	Dmitri_Zagidulin: Recommendations endorsements uh comments on the claimed by other people and and in the verify the credential world we have these general purpose mechanisms uh that that we're hoping to see wider use so 1 of the things that we're we're trying to demonstrate is the user interface and the data model.
[2024-06-24T15:26:42.292Z]	<Transcriber>	Dmitri_Zagidulin: On 1 approach and how this can be done uh by Sima hash has um.
[2024-06-24T15:26:45.501Z]	<Transcriber>	Dmitri_Zagidulin: Uh rejoined us so go ahead Mash.
[2024-06-24T15:26:48.100Z]	<Transcriber>	Mahesh_Balan_-_pocketcred.com: Can you can you hear me let me.
[2024-06-24T15:26:48.809Z]	<Transcriber>	Dmitri_Zagidulin: Yes we can hear you go ahead yeah.
[2024-06-24T15:26:50.436Z]	<Ildiko_Mazar>	Using common standards to convert what would normally be on a single-language un-structured CV, can this way become a multi-lingual, machine readable verifiable cradential.
[2024-06-24T15:27:02.130Z]	<Dmitri_Zagidulin>	q?
[2024-06-24T15:27:06.126Z]	<Dmitri_Zagidulin>	ack mahesh
