[2018-08-21T15:59:45.300Z]	<kimhd>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2018Aug/0070.html
[2018-08-21T16:41:15.273Z]	<drummond>	heathervescent: Inspired by a trip to Alaska.
[2018-08-21T16:41:45.093Z]	<drummond>	...Every night had to stay in a new hotel; every night having to give her identity info; had it stored all over in many systems.
[2018-08-21T16:41:53.392Z]	<ChristopherA>	(xlviii) "Network signature" means a string of alphanumeric characters that when broadcasted by a shareholder to the network address's corresponding distributed or other electronic network or database provides reasonable assurances to a corporation that the shareholder has knowledge or possession of the private key uniquely associated with the network address;
[2018-08-21T16:42:04.423Z]	<drabiv>	rgrant: Thanks!
[2018-08-21T16:42:16.441Z]	<drummond>	...Wouldn't it be great if she did not have to give her PII at every location.
[2018-08-21T16:43:03.545Z]	<drummond>	...AirBNB host she knows asks every guess to send a photo of their driver's license—very dangerous.
[2018-08-21T16:43:33.302Z]	<mike-lodder>	NSA Michael Hayden infamously stated, “We kill people based on meta- data”
[2018-08-21T16:43:33.954Z]	<drummond>	...Is there a way that we can make it so that guest can have their data secured.
[2018-08-21T16:43:46.493Z]	<JoeAndrieu>	q?
[2018-08-21T16:43:59.916Z]	<ChristopherA>	q+
[2018-08-21T16:44:08.603Z]	<JoeAndrieu>	ack ChristopherA
[2018-08-21T16:44:34.444Z]	<drummond>	ChristopherA: There seems to be a "weird alignment" with KYC here.
[2018-08-21T16:45:02.852Z]	<drummond>	...The requirements are protecting the company offering the service vs. the individual.
[2018-08-21T16:45:05.842Z]	<JoeAndrieu>	q+ about regulatory actuals
[2018-08-21T16:45:32.313Z]	<drummond>	...the idea of protecting the commercial interest of the corporation is more valid.
[2018-08-21T16:46:11.853Z]	<drummond>	heathervescent: For a period, AirBNB offered Amex card holders a special deal, thus piggybacking off of the KYC that Amex had done.
[2018-08-21T16:46:18.843Z]	<JoeAndrieu>	ack JoeAndrieu
[2018-08-21T16:46:34.898Z]	<drummond>	...this was a creative triangulation of KYC (Know Your Customer).
[2018-08-21T16:46:59.164Z]	<drummond>	JoeAndrieu: He's curious how much this data is used for law enforcement.
[2018-08-21T16:47:18.191Z]	<ChristopherA>	q+
[2018-08-21T16:47:23.631Z]	<drummond>	heathervescent: Having talked to a law enforcement official, she believes it would not interfere with that work.
[2018-08-21T16:47:40.017Z]	<drummond>	JoeAndrieu: Is curious what the regulatory frameworks are in this area.
[2018-08-21T16:47:53.072Z]	<rgrant>	q?
[2018-08-21T16:47:54.712Z]	<JoeAndrieu>	ack ChristopherA
[2018-08-21T16:48:35.021Z]	<drummond>	ChristopherA: Has done a little analysis on the KYC area, and in general the laws are not explicit about the data. They are interpreted by lawyers very conservatively.
[2018-08-21T16:48:49.660Z]	<drummond>	...There are very few explicit requirements.
[2018-08-21T16:49:19.994Z]	<drummond>	JoeAndrieu: Next use case is #18
[2018-08-21T16:50:21.593Z]	<drummond>	heathervescent: 2012 she worked for SWIFT and did several future scenarios on the future of transactions. The work was centered around a platform for the banks that was essentially a digital safe deposit box.
[2018-08-21T16:50:42.460Z]	<drummond>	...she revisited the use cases there since the are closely aligned to those of the CCG.
[2018-08-21T16:51:32.686Z]	<drummond>	...the motorcycle sale example from SWIFT could be adapted to a gun purchase or anything bought/sold with a lot of regulatory oversight.
[2018-08-21T16:52:00.496Z]	<drummond>	...It was not meant to take a position on regulation, just to address how regulations could be met with the technology.
[2018-08-21T16:52:17.724Z]	<drummond>	...the use case covered both buying from a dealer and from a private party.
[2018-08-21T16:52:41.264Z]	<drummond>	...she thinks this is one of the "juiciest" use cases.
[2018-08-21T16:53:02.937Z]	<JoeAndrieu>	q?
[2018-08-21T16:53:07.152Z]	<rgrant>	agree that it's juicy!
[2018-08-21T16:53:11.717Z]	<drummond>	...it could solve the problem of "the wrong people getting guns in their hands".
[2018-08-21T16:54:29.932Z]	<drummond>	JoeAndrieu: Wants to see Heather supported in terms of this process with a team helping on these.
[2018-08-21T16:54:33.792Z]	<drabiv>	q+
[2018-08-21T16:54:55.138Z]	<drummond>	...to put these use cases through W3C to publish a note from the CCG.
[2018-08-21T16:55:11.442Z]	<drummond>	...He invites Heather to bounce off ideas about what such a note would look like.
[2018-08-21T16:55:39.715Z]	<drummond>	heathervescent: Wants to serve the community and help build the standards and what can be built on top.
[2018-08-21T16:56:29.864Z]	<drummond>	...One next step is prioritizing these use cases. She also has ideas on how to collaborate on these, including what is needed to support the DID WG formation process.
[2018-08-21T16:57:03.025Z]	<drummond>	JoeAndrieu: Hopes to get all 20 use cases in the overall document.
[2018-08-21T16:57:16.461Z]	<drummond>	...3 of those would be chosen as "DID focal use cases".
[2018-08-21T16:57:27.337Z]	<drummond>	...it will be sad that we can't go deep on all of them.
[2018-08-21T16:57:49.582Z]	<drummond>	...if someone wants to go much deeper on these, that's still work Joe would like to support.
[2018-08-21T16:58:04.993Z]	<rgrant>	q?
[2018-08-21T16:58:31.924Z]	<drummond>	heathervescent: Needs at least 2 other people who would be equal partners to move it forward.
[2018-08-21T16:58:51.627Z]	<ChristopherA>	I'm interested in the collective use case, not only from a DID perspective, but also the cryptographic possibilities
[2018-08-21T16:58:58.051Z]	<drummond>	drabiv: Wanted to add his two cents to the group identity use case. He believes it's quite important.
[2018-08-21T16:59:00.142Z]	<ChristopherA>	…maybe RWOT?
[2018-08-21T16:59:15.015Z]	<drummond>	...He was thinking about this use case as he was designing ValidBook.
[2018-08-21T16:59:42.826Z]	<drummond>	...Multiple people working together can have individual accounts compromised, so this should be addressed.
[2018-08-21T17:00:05.979Z]	<JoeAndrieu>	q?
[2018-08-21T17:00:08.340Z]	<drummond>	JoeAndrieu: Likes group identity as potentially a focus use case, and this may be a good candidate.
[2018-08-21T17:00:11.346Z]	<JoeAndrieu>	ack drabiv
[2018-08-21T17:00:36.011Z]	<heathervescent>	Are we meeting next week/
[2018-08-21T17:00:37.593Z]	<drummond>	JoeAndrieu: Thanks to Heather for leading us through these use cases.
[2018-08-21T17:00:37.646Z]	<heathervescent>	?
[2018-08-21T17:00:58.492Z]	<drummond>	...We are meeting next week, but we are NOT meeting the day after Labor Day.
[2018-08-21T17:00:58.611Z]	<heathervescent>	Thanks everyone for your comments.
[2018-08-21T17:02:02.452Z]	<dlehn>	voip-ccg: connections?
[2018-08-21T17:02:25.232Z]	<dlehn>	voip-ccg: disconnect 090
[2018-08-21T17:02:28.199Z]	<dlehn>	voip-ccg: disconnect 0aa
[2018-08-21T17:02:53.099Z] present+ agropper, cwebber, dcc, chrisb, jungly, drummond, agropper, heather, simonas, dmitriz, jarlath, Yancy, Orgel, cycryptr
