[2024-02-19T15:57:15.201Z]	<Simone_Ravaioli> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Feb/0001.html
[2024-02-19T16:04:29.274Z]	<Transcriber>	Dmitri_Zagidulin: This uh group operates by the code of conduct etc etc.
[2024-02-19T16:04:49.828Z]	<Transcriber>	Dmitri_Zagidulin: This call where we're extremely pleased to uh to announce uh wider uh a new co-chair joining us so now bringing up the number of co-chairs to 3 that's myself that's Simona reboli and now Ile De Kazar.
[2024-02-19T16:04:55.803Z]	<Transcriber>	Dmitri_Zagidulin: Yeah welcome welcome.
[2024-02-19T16:05:00.032Z]	<Transcriber>	Dmitri_Zagidulin: So let's see uh Simone uh.
[2024-02-19T16:05:06.295Z]	<Transcriber>	Dmitri_Zagidulin: I want to hand hand it over to you if uh if you're in a place where you can talk otherwise I'll.
[2024-02-19T16:05:09.047Z]	<Transcriber>	Dmitri_Zagidulin: Continue and and hand it over to Ico.
[2024-02-19T16:05:30.218Z]	<Ildiko_Mazar_(ELM)>	:slightly_smiling_face:
[2024-02-19T16:06:37.259Z]	<Deb_Everhart_(Credential_Engine)>	welcome to the co-chair role!
[2024-02-19T16:08:09.534Z]	<Simone_Ravaioli>	https://europa.eu/europass/en/news/launch-european-learning-model
[2024-02-19T16:08:30.235Z]	<Kaliya_identity_woman>	present+
[2024-02-19T16:09:46.066Z]	<Deb_Everhart_(Credential_Engine)>	yay, thank you!
[2024-02-19T16:10:35.316Z]	<Simone_Ravaioli>	https://www.linkedin.com/in/ildikomazar/
[2024-02-19T16:11:09.581Z]	<Kaliya_identity_woman>	I cant here anything
[2024-02-19T16:11:43.508Z]	<Dmitri_Zagidulin>	@kaliya - try switching browser or machine. sorry bout that.
[2024-02-19T16:12:00.082Z]	<Simone_Ravaioli>	https://europa.eu/europass/en/stakeholders/european-digital-credentials
[2024-02-19T16:12:17.553Z]	<Transcriber>	Dmitri_Zagidulin: Yeah so uh.
[2024-02-19T16:12:21.029Z]	<Transcriber>	Dmitri_Zagidulin: I want to I want to talk about uh.
[2024-02-19T16:12:33.255Z]	<Transcriber>	Dmitri_Zagidulin: European learning Model A little bit so 1 of the things that I'd really love for us to do in this group in 2024 is to really highlight.
[2024-02-19T16:12:42.731Z]	<Transcriber>	Dmitri_Zagidulin: Trajectories uh the North American versus European versus Pacifica.
[2024-02-19T16:12:48.737Z]	<Transcriber>	Dmitri_Zagidulin: Uh verify credentials communities are taking with regards to.
[2024-02-19T16:12:54.727Z]	<Transcriber>	Dmitri_Zagidulin: Credential schemas right so so my question is is twofold uh.
[2024-02-19T16:13:02.255Z]	<Transcriber>	Dmitri_Zagidulin: 1 could you say a couple words about the trajectories of the different communities that you seeing.
[2024-02-19T16:13:12.234Z]	<Transcriber>	Dmitri_Zagidulin: In this mapping project which again is very exciting I'm really glad that it's going on do you think will will arrive at a place where.
[2024-02-19T16:13:15.727Z]	<Transcriber>	Dmitri_Zagidulin: The credentials are largely.
[2024-02-19T16:13:24.257Z]	<Transcriber>	Dmitri_Zagidulin: Equivalent in the sense that you can map between them yeah I'll start with that and I'm glad to see um Deb on the queue as well.
[2024-02-19T16:15:23.762Z]	<Deb_Everhart_(Credential_Engine)>	detailed documentation of the micro-credential mapping project https://docs.google.com/document/d/172umnUUU7Dix230FjfSUNUD1GYCkFIqD93WeWzr4_yQ/edit#heading=h.iaoab75j1kxc
[2024-02-19T16:15:51.568Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Yeah sure mostly I wanted to say thank you um I think I you Dove right into the schema mapping and um I'm really happy that we did scope it to the um micro credentials specifically and thanks to Simone for helping us come up with that strategy um because.
[2024-02-19T16:15:59.503Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Um we are ambitious about doing um a more comprehensive mapping of.
[2024-02-19T16:16:05.499Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Sitting there to Elm and other schemas around the world.
[2024-02-19T16:16:26.173Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): This is it's it's not even that small but it's um scoped and yet it's really powerful because when we look at the credential landscape and a lot of the chaos that's out there and how people have trouble figuring out which credentials mean what um.
[2024-02-19T16:16:44.650Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): It's so much confusion around microcredentials so if we can shed even a little bit of light in terms of how micro credentials from 1 jurisdiction mapped to those in another jurisdiction were super proud to be supporting that effort.
[2024-02-19T16:16:46.851Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Thank you again.
[2024-02-19T16:16:55.813Z]	<David_Ward>	present+
[2024-02-19T16:17:17.994Z]	<Simone_Ravaioli>	Draft Micro-credential Schema Mapping Project
 https://docs.google.com/document/d/1sLgq5gqc-JpRxSvarVU_DRjNzZrWzsYRtxuduwz7erc/edit
[2024-02-19T16:17:19.697Z]	<Jeff_O_-_HumanOS>	present+
[2024-02-19T16:18:14.025Z]	<Deb_Everhart_(Credential_Engine)>	overview of the project https://docs.google.com/document/d/1sLgq5gqc-JpRxSvarVU_DRjNzZrWzsYRtxuduwz7erc/edit
[2024-02-19T16:18:57.378Z]	<Deb_Everhart_(Credential_Engine)>	access to the mapping itself https://desm.credentialengine.org/mappings-list
[2024-02-19T16:20:17.492Z]	<Deb_Everhart_(Credential_Engine)>	the micro-credential mapping is completely open and Credential Engine welcomes collaborators
[2024-02-19T16:21:27.947Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Yes I do and um so I I'll I'll share something with you which is that um as some of us were you know geeking out on this mapping and how it would be done um RC our CEO very smartly said.
[2024-02-19T16:22:16.237Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Why is this important and so to provide a non-technical explanation of why this is important and why it benefits people who have Micro credentials um to be able to get better used and opportunities out of those um and so really we see the mapping um as as interesting as it is it's just the beginning in terms of taking this as a way to understand the similarities the differences the transferability whether or not these micro credentials are truly portable in terms of being useful all of those important discussions um Can emerge from better clarity about what's inside those micro credentials.
[2024-02-19T16:22:52.529Z]	<Transcriber>	Dmitri_Zagidulin: Yeah it's President's Day in the holiday in the US so I suspect a lot of people are in Holiday mode and not taking any meetings Etc.
[2024-02-19T16:23:54.032Z]	<Simone_Ravaioli>	https://www.1edtech.org/program/tmc
[2024-02-19T16:24:24.268Z]	<Ildiko_Mazar_(ELM)>	:+1:
[2024-02-19T16:24:37.196Z]	<Deb_Everhart_(Credential_Engine)>	:+1:
[2024-02-19T16:24:47.715Z]	<Simone_Ravaioli>	https://web.cvent.com/event/a230a9fe-8a0f-4547-95d5-fb3756a8ac14/websitePage:b02ad9d9-260b-4530-bdd2-b863dbc3921f?session=21c71e46-bcd1-4208-a5b6-069aaf718468
[2024-02-19T16:28:35.208Z]	<Transcriber>	Dmitri_Zagidulin: Yeah fantastic uh.
[2024-02-19T16:28:40.255Z]	<Transcriber>	Dmitri_Zagidulin: I'm totally uh totally fine with us uh ending early.
[2024-02-19T16:29:14.208Z]	<Jeff_O_-_HumanOS>	Welcome Ildiko! _/\_
[2024-02-19T16:29:30.950Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): I I do have 1 other thing to say which is um I didn't note that Phil Barker is on the call and has led a lot of that micro credential mapping work so thank you so much Phil.
[2024-02-19T16:29:39.363Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Thanks Phil have a great week everyone.
[2024-02-19T16:29:44.988Z]	<Transcriber>	Dmitri_Zagidulin: Well it's true.
[2024-02-19T16:29:51.045Z]	<Transcriber>	Dmitri_Zagidulin: Thanks all bye.
[2024-02-19T16:30:26.014Z]	<Transcriber>	Dmitri_Zagidulin: Yeah yeah just us and the Bots uh yeah shall shall we shall we hop over to zoom.
[2024-02-19T16:30:29.555Z]	<Transcriber>	Dmitri_Zagidulin:  just just.
[2024-02-19T16:30:30.592Z]	<Transcriber>	Dmitri_Zagidulin: Not too bad.
[2024-02-19T16:30:32.141Z]	<Transcriber>	Dmitri_Zagidulin: We don't have.
[2024-02-19T16:30:35.970Z]	<Transcriber>	Dmitri_Zagidulin: The transcription afterwards yeah yeah.
