[Tue 11:04:44] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jul/0022.html
[Tue 11:14:57] <bsletten>	Manu: They don't really count as they come in at $8,000 a year. The official stance is the size doesn't matter but it is helpful to bring in large members that pay larger fees and deploy things at larger scale.
[Tue 11:15:32] <voip-cr>	Nate Otto [SIP/sip2sip.info-00000114] has joined the conference.
[Tue 11:15:58] <bsletten>	Manu: The large companies that are already members, but if ETS and Pearson both went to the W3C and said, "This is incredibly important to us, why are you dragging your feet on this?" they should listen to you.
[Tue 11:17:28] <bsletten>	Manu: We're in a much better position than we were a month and a half ago. There are people in the Web Payments group that are pushing back on fintech for the poor that requires a credentialing component which is useful as a pushback to the people who thwarted the credentials.
[Tue 11:19:13] <bsletten>	Nate: Concentric Sky and some others from the badging world are low-budget and new fees are a concern.
[Tue 11:19:58] <bsletten>	Nate: Would it be helpful to have people who were concerned about the finances fill out the form?
[Tue 11:20:17] <bsletten>	Eric: Yeah, there's no financial commitment to expressing interest.
[Tue 11:20:32] <bsletten>	Manu: Yeah, "We're interested but are concerned about the money" is something we can take back to the W3C.
[Tue 11:20:49] <manu>	Topic: Glossary Document
[Tue 11:20:55] <manu>	http://opencreds.org/specs/source/glossary/
[Tue 11:20:56] <bsletten>	Manu: Let's move on to Glossary.
[Tue 11:21:10] <bsletten>	Manu: Eric, you raised the point that we have a number of glossary terms that are old.
[Tue 11:21:38] <bsletten>	Manu: Gregg took what we had and moved it over. I think Eric you've been working on one too and it would be great to move that over.
[Tue 11:22:46] <bsletten>	Eric: As we've been talking to people about this at a commercial level, we've been trying to use terms that everyone can understand. When I point them to the glossary document, there is some confusion. We're trying to differentiate between conversational (e.g. issuer) and what is more formally part of the spec technically. Those are the kinds of things we are trying to differentiate.
[Tue 11:23:20] <bsletten>	Eric: Whereas the term 'context' is an actual class in the spec as part of JSON-LD. Those are the kinds of clarifications I am trying to make.
[Tue 11:23:38] <gkellogg>	q+
[Tue 11:23:38] <voip-cr>	gkellogg has been added to the queue: gkellogg
[Tue 11:23:49] <manu>	ack gkellogg 
[Tue 11:23:49] <voip-cr>	gkellogg has the floor.
[Tue 11:24:00] <bsletten>	Eric: It's gotten difficult to separate so I agree with Manu that we should combine them again.
[Tue 11:24:11] <manu>	q+ to say that we should document all terminology in one grouping.
[Tue 11:24:11] <voip-cr>	manu has been added to the queue: manu
[Tue 11:25:34] <bsletten>	Gregg: We might want to split this section into a couple of parts. If we say "issuer" in a spec that the term is highlighted and linked to show that when we use the same term everywhere we mean the same thing. Respec has a feature that we leverage for this glossary to include aliases and linking them to term definitions. We want to use those but perhaps break those into normative and informative terms.
[Tue 11:26:35] <manu>	ack manu
[Tue 11:26:36] <voip-cr>	manu has the floor (to say that we should document all terminology in one grouping.).
[Tue 11:26:37] <bsletten>	Matt: This one term itself is easy to conflate from a technology perspective and conversational perspective. There are probably a dozen other terms that we struggle with internally. I think it probably bears some discussion on these topics to put a mark on what these terms mean when we use them.
[Tue 11:26:40] <bsletten>	Manu: Agreed.
[Tue 11:28:15] <bsletten>	Manu: We've gone through this exercise in the Web Payments work. There are multiple players and standards organizations with different terms. It's been a pain getting everyone on the same page. We did learn that it was important not to split the terms up. There is a clear understanding of what the terms mean if there is one glossary with a set of normative terms. When we talk about things in an informative document or a technic
[Tue 11:29:05] <bsletten>	Manu: What Gregg has done is create a programmatic glossary that we can link into all of our documents. If we use a term, the glossary will include that term and definition. We are set up to include the glossary in all of the documents. We just need to go in and hammer out all of the terminology.
[Tue 11:29:36] <bsletten>	Manu: I suggest Eric finishes up his first pass on the glossary and then we move the more general terms into the Credentials CG glossary. Then we can bikeshed all of the definitions.
[Tue 11:30:00] <bsletten>	Manu: Would there be any disagreement going in that direction?
[Tue 11:30:07] <bsletten>	<crickets>
[Tue 11:30:17] <NateOtto>	+1 sounds fine.
[Tue 11:31:18] <bsletten>	Matt: Eric, I would like to work with you on that.
[Tue 11:31:30] <gkellogg>	https://github.com/opencreds/website/blob/master/specs/source/common/terms.html
[Tue 11:31:39] <bsletten>	Eric: Sure, we can collaborate and then we'll get it into the ReSpec format.
[Tue 11:32:01] <bsletten>	Manu: Eric, you and Matt work on that in the next few days then ping us.
[Tue 11:32:24] <bsletten>	Gregg: Yeah, I can help with that. Let me know if there are more questions about the terms that are there. We can add the new terms and remove the old terms as they are replaced.
[Tue 11:32:52] <bsletten>	Manu: Thanks, Gregg. Eric, do you think you'll be able to done with the pass on that document by the end of the week.
[Tue 11:33:11] <bsletten>	Eric: I will try to get it done before the next meeting.
[Tue 11:33:23] <manu>	Topic: Vision Document
[Tue 11:33:31] <manu>	http://opencreds.org/specs/source/vision/
[Tue 11:33:42] <bsletten>	Manu: Eric, last week you said you wanted to spend some time talking about the vision document. Do you still want to do that?
[Tue 11:34:14] <bsletten>	Eric: I think it needs the same amount of treatment as we just did with the glossary. We should probably set up another call to have a conversation and let people dive in and edit it.
[Tue 11:34:48] <manu>	Google Doc for vision: https://docs.google.com/document/d/1Y92W2FjGKb-ECrdXqtPk-nPzfGZ1FVGIVrtex9A437E/edit
[Tue 11:34:49] <bsletten>	Eric: I am not sure if it is in the minutes who wanted to contribute to that. I'll set up another meeting so we can all make edits.
[Tue 11:36:34] <bsletten>	Manu: I don't think we've made progress on the other documents in the last week. I think we can take the time to talk about the vision document.
[Tue 11:36:57] <bsletten>	Manu: Matt, feel free to hack away at the document.
[Tue 11:37:04] <erok210>	https://docs.google.com/document/d/1Y92W2FjGKb-ECrdXqtPk-nPzfGZ1FVGIVrtex9A437E/edit
[Tue 11:37:19] <manu>	Executive summary: https://docs.google.com/document/d/1Nq543-Am1hQUIZ2hhzAFl8KexvIEBwDDc_f3Ikz1opQ/edit
[Tue 11:37:26] <bsletten>	Eric: I have Gregg, Manu, and Matt collaborating on this.
[Tue 11:37:46] <bsletten>	Manu: If you look at the goal section of the Executive Summary, I think those can be transferred over to the vision document.
[Tue 11:38:00] <erok210>	We should likely be in "suggesting" mode.
[Tue 11:39:06] <bsletten>	Manu: In the Web Payments group, we had a large vision document that ended up sounding like the Web. Rather than reiterate that stuff, we said, "We believe the system should be built on web principles, scaling, accessible, etc." That allowed us to condense a large portion of the document down into one section. We could then elaborate more on the things that were specific to what we were discussing.
[Tue 11:39:36] <bsletten>	Manu: We can talk about the verifiability of a credential, privacy, how extensible is it.....etc. Those are the kinds of things we might like to elaborate on in the vision document.
[Tue 11:39:56] <bsletten>	Manu: Do we want to take the goals in the Executive Summary and move them into the vision document? Would that be a good first draft?
[Tue 11:40:50] <bsletten>	Eric: I hear what you are saying and I think we do need to do a bit of a merge. I would like to know which elements are critical, required, what can we throw out just because they were in the Web Payments group.... what are the things that are required? Does this supplant the Executive Summary going forward?
[Tue 11:41:03] <bsletten>	Manu: I don't think it supplants the Executive Summary yet.
[Tue 11:41:17] <bsletten>	Gregg: Notice that the status of the document is added automatically.
[Tue 11:42:09] <erok210>	Could participants please introduce who is speaking until we recognize your voice?
[Tue 11:47:32] <bsletten>	Scribe note: Long back and forth discussion with specific reference to document sections.
[Tue 11:48:59] <bsletten>	Matt: I think we should move the definitions of credentials and what they are to frame what they mean in our context should exist in the vision document.
[Tue 11:49:08] <voip-cr>	John Tibbetts [SIP/sip2sip.info-0000010b] has left the conference.
[Tue 11:49:29] <bsletten>	Manu: Someone asked if the Executive Summary goes away. I guess in this case, the vision document is an elaboration of the Executive Summary.
[Tue 11:49:47] <voip-cr>	John Tibbetts [SIP/sip2sip.info-00000115] has joined the conference.
[Tue 11:50:23] <bsletten>	Manu: Maybe we move the Executive Summary content into the vision document to elaborate it, but the Executive Summary stays as a one page summary. The vision document should stay relatively small still, but it is an elaboration on the Executive Summary.
[Tue 11:51:26] <bsletten>	Eric: That is fine. My point I wanted to make about credentials. The list of all the types of credentials could be infinite. We don't want too many adjectives in front.
[Tue 11:52:07] <bsletten>	tibbetts: I think it is a good idea somewhere and early to innumerate a whole bunch of credentials once. And then lump them into a super term elsewhere.
[Tue 11:52:25] <bsletten>	Eric: I've been using the term "digital credential" because they are different that what we would use in paper.
[Tue 11:53:04] <bsletten>	Eric: What we put in the W3C document, should be generic.
[Tue 11:53:21] <bsletten>	Manu: Eric, that is an important distinction, Eric. We don't want people thinking we are doing anything with paper credentials.
[Tue 11:55:32] <bsletten>	Manu: There is a lifecycle involving the issuing, storage and management of a credential and then its consumption. The last bit that we've played around with is revocation which can go into the management bucket. Reflecting that in the vision document: we expect this to be world-wide, anyone can store and manage credentials and they can be passed on and revoked. We want to make sure that there as many issuers, storage engines, 
[Tue 11:55:54] <bsletten>	Manu: Then we can talk about the need for standards for the interoperability between the components, requesting credentials, etc.
[Tue 11:56:33] <bsletten>	Tibbetts: That was a great summary.
[Tue 11:57:04] <bsletten>	Manu: I will volunteer at making a pass and covert each of those into credentials-speak and then remove the confusion.
[Tue 12:00:21] <bsletten>	Scribe note: Manu goes on a distillation of the individual sections which you should listen to the audio to revisit.
[Tue 12:01:46] <bsletten>	Manu: Anything else on the Vision Document? Eric, Matt and I are going to hack on it in the next week? Is that the plan?
[Tue 12:02:03] <bsletten>	Eric: Perhaps the glossary needs to get done first, but we'll just do our best.
[Tue 12:02:20] <bsletten>	Manu: We had the same iterative approach in the Web Payments group.
[Tue 12:02:46] <johntib>	BTW if we enumerate regulatory constraints include FERPA for education folks
[Tue 12:03:06] <Blame>	+1 FERPA
[Tue 12:04:20] <bsletten>	Present+ Rob, taaz

