[Tue 11:05:44] <manu>	scribe: stone
[Tue 11:38:01] <dlongley>	manu: Yup, and we always end up going over time because there are more questions. About ~15 over is ok roughly.
[Tue 11:38:41] <stone>	manu: hope to get content out of the Rebooting Web of Trust the previous week
[Tue 11:39:12] <stone>	manu: 2 competing approaches, one is a standard that isn't being adopted by this community, one that is more experimental
[Tue 11:39:35] <stone>	manu: stone to run afternoon on day 2
[Tue 11:40:25] <stone>	stone: lunch?  will be provided for us on Th, maybe Fri
[Tue 11:40:27] *	Matt_Larson has quit ("Page closed")
[Tue 11:40:48] <stone>	manu: dinner - will organize a group dinner (chairs to get attendance)
[Tue 11:41:21] <ShaneM>	q+ to ask about use cases on thursdayu
[Tue 11:41:21] <voip-vctf>	ShaneM has been added to the queue: ShaneM
[Tue 11:41:25] <manu>	ack ShaneM 
[Tue 11:41:26] <voip-vctf>	ShaneM has the floor (to ask about use cases on thursdayu).
[Tue 11:42:38] <stone>	manu: day 1: use cases - joe to discuss the high level approach to use cases
[Tue 11:43:02] <stone>	manu: joe will hand off to industry specifics - each will do a 15min presentation
[Tue 11:44:23] <stone>	manu: should be wifi there.  will use this channel for minutes
[Tue 11:44:30] <NateOtto>	Have a great day all, and a great meeting in a couple weeks!
[Tue 11:44:30] <stone>	present+ mccarron, trainer, lake, lehn, longley, sporny, kellogg, burn, crocker, otto, simmons, stone, gropper, varn
