[Tue 12:02:34] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017May/0035.html
[Tue 12:13:52] <manu>	ChristopherA: What's important about that group is that these are the signature standards. For instance, reading the mission statement...
[Tue 12:14:02] <manu>	ChristopherA: The mission of the Digital Verification Community Group is to study, design, promote, and deploy systems that increase trust on the Web. These systems include, but are not limited to signature systems, data normalization algorithms, and computational proof systems.
[Tue 12:15:07] <manu>	ChristopherA: There's some interesting work going on there - Merkle Proofs, Proof of Existence, etc. I'm the Chair of the CG... mailing list isn't active... considering our role in this CG... does it include that CG? Merge back? Wanted to review that that was there. Wanted to hold off on specific proposals... There are two communities currently.
[Tue 12:15:24] <manu>	Topic: Community Group Priorities
[Tue 12:15:48] <manu>	ChristopherA: We need to figure out our priorities going forward... rename the group? revised mission? Merge CGs? Timeframe? Concrete Deliverables?
[Tue 12:16:06] *	burn_ has changed the topic to: _
[Tue 12:16:23] <manu>	ChristopherA: Maybe we can have some discussion, and then talk about the pipeline?
[Tue 12:16:31] *	manu waits to put himself on the queue... to hear from others.
[Tue 12:16:32] <manu>	q?
[Tue 12:16:32] <voip-vctf>	The speaker queue is empty.
[Tue 12:16:33] <stonematt>	q?
[Tue 12:16:33] <voip-vctf>	The speaker queue is empty.
[Tue 12:16:36] <kimhd>	q+
[Tue 12:16:36] <voip-vctf>	kimhd has been added to the queue: kimhd
[Tue 12:16:39] *	burn_ has changed the topic to: Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017May/0035.html
[Tue 12:16:43] <David_C>	q?
[Tue 12:16:43] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:16:44] <ChristopherA_>	q?
[Tue 12:16:44] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:16:54] <burn_>	ack kimhd
[Tue 12:16:54] <voip-vctf>	kimhd has the floor.
[Tue 12:17:24] <ChristopherA_>	q+
[Tue 12:17:24] <voip-vctf>	ChristopherA_ has been added to the queue: ChristopherA_
[Tue 12:17:40] <manu>	kimhd: With regard to signatures, a couple of the near timeframe items that I had a goal to work on with this group is basically coding out something around signature suites. RSA signature suites, Merkle signature suites... those are more follow your nose items... they need to be finished. It would be nice to have an active group to collaborate on with those efforts. Don't know if this is the right group for that work.
[Tue 12:17:53] <ChristopherA_>	q?
[Tue 12:17:53] <voip-vctf>	The current speaker queue is: ChristopherA_
[Tue 12:17:59] <nage>	q+
[Tue 12:17:59] <voip-vctf>	nage has been added to the queue: ChristopherA_, nage
[Tue 12:18:01] <burn_>	ack ChristopherA_
[Tue 12:18:01] <voip-vctf>	ChristopherA_ has the floor.
[Tue 12:19:07] <manu>	ChristopherA: I may be interested in seeing groups get merged back together. We may want to see the other group as a more crypto-aware group... more CFRG-like. Reviews things as a high level. I have a couple of crypto folks to entice into reviewing these specs. It's been a challenge to get those reviews, one of the ways to get that is to offer a way to have someone put something on their CV doing that sort of stuff.
[Tue 12:19:15] <manu>	q+ David_C
[Tue 12:19:15] <voip-vctf>	manu has been added to the queue: nage, David_C
[Tue 12:19:25] *	manu David_C you weren't on the queue... you have to q+
[Tue 12:19:29] *	manu David_C I put you on there.
[Tue 12:19:39] <ChristopherA_>	q?
[Tue 12:19:39] <voip-vctf>	The current speaker queue is: nage, David_C
[Tue 12:19:43] *	manu Nathan
[Tue 12:19:49] <burn_>	ack nage
[Tue 12:19:49] <voip-vctf>	nage has the floor.
[Tue 12:19:55] *	dlongley David_C you typed "q?" which will just display the queue, "q+" will add you, "q-" will remove you if you change your mind
[Tue 12:20:11] <manu>	Nathan: +1 to the idea of merging the groups... there is some interest at Hyperledger on Verifiable Claims so people outside their ledgers can see/verify the ledgers.
[Tue 12:20:13] <David_C>	<dlongley> thanks
[Tue 12:20:16] *	dlongley sure :)
[Tue 12:20:47] <manu>	Nathan: I think being able to do different signature schemes, that work would be useful to do here... we'll have to split participation across both of those forums... consolidating those may have to deal w/ real-world implementation.
[Tue 12:20:53] <dlongley>	+1 to consolidate until there's a need to split ... which there doesn't seem to be at the moment.
[Tue 12:21:02] <burn_>	ack David_C
[Tue 12:21:02] <voip-vctf>	David_C has the floor.
[Tue 12:21:05] <manu>	q+ to (slightly) argue against joining groups too early, talk about other work items.
[Tue 12:21:05] <voip-vctf>	manu has been added to the queue: manu
[Tue 12:21:13] *	dlongley you may be muted, David_C
[Tue 12:21:15] <David_C>	My question is what about the whole life cycle of using VCs, ie. inspectors telling users which VCs to send
[Tue 12:21:30] <David_C>	I could not connect by voice so am only on chat
[Tue 12:21:39] <stonematt>	+1 on that line of discussion
[Tue 12:21:57] <David_C>	users selecting the correct VCs (ie. giving consent) and then the VCs being transferred to inspectors
[Tue 12:22:01] <dlongley>	further developing a protocol/query language for inspectors and so on is definitely in this CG's domain
[Tue 12:22:03] <burn_>	q?
[Tue 12:22:03] <voip-vctf>	The current speaker queue is: manu
[Tue 12:22:18] <manu>	ChristopherA: This comes to the larger question... things that the VCWG are not chartered to do... talked a bit about the pipeline... we can incubate things early, at places like RWoT, and then feed into the CG and formalize more, and then go into WG.
[Tue 12:22:35] <stonematt>	There is a difference between the validity period of a license/degree (profession credential) vs. the term that a published claim can be used/relied upon.
[Tue 12:22:39] <manu>	ChristopherA: Potentially create Task Forces, WG... thoughts. there, Manu?
[Tue 12:22:40] <dlongley>	user selection of VCs, etc. related to a browser polyfill tech, again, something this CG should work on, IMO.
[Tue 12:22:42] <burn_>	ack manu
[Tue 12:22:42] <voip-vctf>	manu has the floor (to (slightly) argue against joining groups too early, talk about other work items.).
[Tue 12:22:46] *	dlongley will scribe for maun
[Tue 12:22:49] *	dlongley manu too :)
[Tue 12:22:56] *	burn_ thanks dlongley
[Tue 12:24:01] <dlongley>	manu: We want to be a bit careful with merging the two CGs. Primarily from a messaging layer... the W3C membership, there are 420-450 members, only 5% pay any attention to the CG space. When you come to them with a proposal, if you have something that's very clear, like "we have a new signature format under consideration and the digital verification community has been working on it for a while" that's a better message than it coming from a group with a
[Tue 12:24:01] <dlongley>	different name, etc. We have to think about branding, unfortunately.
[Tue 12:24:08] <ChristopherA_>	q?
[Tue 12:24:08] <voip-vctf>	The speaker queue is empty.
[Tue 12:24:18] <ChristopherA_>	q+
[Tue 12:24:18] <voip-vctf>	ChristopherA_ has been added to the queue: ChristopherA_
[Tue 12:24:20] <JoeAndrieu>	+1 to think about branding wrt merging & naming
[Tue 12:25:31] <kimhd>	+1 to joint meetings, sounds easier politically
[Tue 12:26:06] *	nage doesn't know how adding these signature schemes is avoidable as we try to address the privacy preserving technology requirements that were added to the WG charter
[Tue 12:26:33] <ChristopherA_>	q?
[Tue 12:26:33] <voip-vctf>	The current speaker queue is: ChristopherA_
[Tue 12:26:39] <dlongley>	manu: We have to think of a name that will put the W3C membership at ease. We don't want them wondering why things are coming from certain groups and it would take a while to educate them. The reason we split signatures out was that we had it in the payments group and people raised eye brows and then we moved it to credentials and still an eye brow raise, then moved it to the digital verification group and no more eye brows. That doesn't mean we have to
[Tue 12:26:39] <dlongley>	work on it that way -- we can work on it however we want. We can have joint meetings and say we're working on these things jointly with the digital verification group. That would, I think, be more beneficial than just combining the groups. Another way is we could have a Verifiable Claims CG and if the WG gets a good reputation and we say the CG has signatures coming out that are needed for the WG, then that's a good line of argumentation. If the brand if
[Tue 12:26:40] <dlongley>	good we can use it if it's good in a year or two, or we continue to use the digital verification branding. And make that where we put signatures and so forth there. I'm a bit hesitant to recombine the groups and we spent some effort splitting them apart.
[Tue 12:26:41] <David_C>	q+
[Tue 12:26:41] <voip-vctf>	David_C has been added to the queue: ChristopherA_, David_C
[Tue 12:27:37] <dlongley>	manu: That's the signature format stuff. The pipeline ... one of things we've worked hard to do over the last, even before the Credentials CG was formed it was in Web Payments, 4+ years. We've got a good pipeline finally setup. It's effectively, we incubate super experimental stuff at IIW/RWoT/etc any workshop that will have us. Those end up being formed into W3C like spec, we then take that spec into a CG for incubation and once it's incubated we hand it
[Tue 12:27:37] <dlongley>	off to a WG.
[Tue 12:29:41] <dlongley>	manu: We have this pipeline setup for VC, not only data format and syntax, but protocols, moving over browsers or NFC/whatever, whether we need to work on nice gen tech, blockchain, etc.  The core thing is that we have to keep the pipeline alive. Three seconds, super experimental stuff, CG prepping stuff, WG stuff. Any of those stalls or shuts down we have to go through a lot of effort to get it up and working again. We want to make sure all sections of
[Tue 12:29:41] <dlongley>	the pipeline are fed at all times and we have a fairly good idea of what the roadmap is. That might be a hint that one of the things after the mission statement is a roadmap and priorities so everyone knows the focus and where things are in the pipeline. It also helps us with TPAC presentations, etc so people get a heads up for what's coming down the pipeline. This is just a proposal on how we work, it seems to have paid off at present. We hope to
[Tue 12:29:42] <dlongley>	continue to have it working for us over the next 2 years.
[Tue 12:29:50] <burn_>	ack ChristopherA_
[Tue 12:29:50] <voip-vctf>	ChristopherA_ has the floor.
[Tue 12:30:14] <manu>	ChristopherA: We talked about the pipeline as having 3 phases, but there is a 4th phase - security/crypto review... we've talked about them, but we haven't had that kind of formal aspect of this.
[Tue 12:31:03] <manu>	ChristopherA: The Credentials CG should be doing things like talking about privacy, incorporating Joe's ideas at a high level - what do we need? What do we mean when we talk about Privacy? It's the place for Use Cases that don't fall into the VCWG charter. Human rights use cases, Web of Trust use cases.
[Tue 12:31:39] <manu>	ChristopherA: Once we get down to the details, maybe we need to get into Digital Verification CG sub community. I could see this used by other WGs to sign other JSON messages... JSON-LD messages, but are not technically a Verifiable Claim.
[Tue 12:32:18] <manu>	ChristopherA: If we can support that, that would be good. Maybe we could get two active work items... implementations and finalizing spec - two at a time, of list of things in Digital Verification CG. Separate from higher-level on issuing requirements/reports, DIDs, and other stuff.
[Tue 12:32:50] <kimhd>	q+
[Tue 12:32:51] <voip-vctf>	kimhd has been added to the queue: David_C, kimhd
[Tue 12:32:52] <manu>	ChristopherA: I'm open to it, recognize the conflict... in some ways, it's clear that we're in the bits level and Kim should be Chair of that group along w/ cryptographer... or we do Credentials CG differently.
[Tue 12:32:56] <ChristopherA_>	q?
[Tue 12:32:56] <voip-vctf>	The current speaker queue is: David_C, kimhd
[Tue 12:32:59] <burn_>	ack David_C
[Tue 12:32:59] <voip-vctf>	David_C has the floor.
[Tue 12:33:04] <David_C>	re: Privacy. At EIC last week, it was suggested that the IETF token binding spec (draft-ietf-tokbind-https-09.txt) can be used to privacy protect VCs and allow them to be transferred from issuer to inspector without the issuer knowing who the inspector is
[Tue 12:33:52] <manu>	ChristopherA: This is another example of a more detailed bit-level spec that could be a part of either group.
[Tue 12:33:56] <burn_>	ack kimhd
[Tue 12:33:56] <voip-vctf>	kimhd has the floor.
[Tue 12:34:02] <manu>	manu: +1 to looking into tokenbinding in this group.
[Tue 12:34:50] <manu>	kimhd: I'm fine either way (wrt. splitting groups) - only thing that I'm worried about is if signature folks in this group care about only one side of it. I'm curious to find out more about what the general group is interested in.
[Tue 12:34:55] <ChristopherA_>	q+
[Tue 12:34:55] <voip-vctf>	ChristopherA_ has been added to the queue: ChristopherA_
[Tue 12:34:55] <manu>	q+ to propose a poll.
[Tue 12:34:55] <voip-vctf>	manu has been added to the queue: ChristopherA_, manu
[Tue 12:35:02] <ChristopherA_>	q-
[Tue 12:35:02] <voip-vctf>	ChristopherA_ has been removed from the queue: manu
[Tue 12:35:26] <dlongley>	manu: I think we should gather a list of things we could work on and see where the most amount of interest is and a specific focus on people who would not only work on the spec but implement.
[Tue 12:35:29] <dlongley>	"champions"
[Tue 12:36:59] <dlongley>	manu: Interoperable implementations really moves things forward. Signatures we should polish up and get finished. There are other specs out there like the DID (Decentralized Identifier) specs, lots of implementer interest there. Browser API specs that we really need a long lead time on to pass by Google/Mozilla/etc. to see if they are interested in implementing in the browser. We've had a lot of people list of a number of specs/techs they are interested
[Tue 12:36:59] <dlongley>	in working on. We also have people that don't say much on the calls or people in Europe/Asia/Australia that can't join the calls. Putting out a poll with a list of things to work on and have people rank them that basically tells us what the group should be doing.
[Tue 12:37:00] <dlongley>	q+
[Tue 12:37:00] <voip-vctf>	dlongley has been added to the queue: manu, dlongley
[Tue 12:37:04] <manu>	ack manu 
[Tue 12:37:04] <voip-vctf>	manu has the floor (to propose a poll.).
[Tue 12:37:13] <dlongley>	q-
[Tue 12:37:13] <voip-vctf>	dlongley has been removed from the queue:
[Tue 12:37:30] <manu>	ChristopherA: Having 2 or 3 mailing lists could be a useful way of doing things.
[Tue 12:37:35] <dlongley>	Was just going to add that it would be good to have champions for different techs -- which are also usually the editors for specs -- important to move things forward.
[Tue 12:37:40] <manu>	q+ to push back on multiple calls / mailing lists.
[Tue 12:37:42] <voip-vctf>	manu has been added to the queue: manu
[Tue 12:37:52] <JoeAndrieu>	please add Engagement Model similar to Joram 1.0.0 to possible work, to help flesh out the pipeline/lifecycle for credentials
[Tue 12:37:53] <kimhd>	+1 on champions
[Tue 12:38:43] <burn_>	ack manu
[Tue 12:38:43] <voip-vctf>	manu has the floor (to push back on multiple calls / mailing lists.).
[Tue 12:38:48] <burn_>	q?
[Tue 12:38:49] <voip-vctf>	The speaker queue is empty.
[Tue 12:39:04] <dlongley>	manu: Just to push back a bit on splitting too early ... it's always obvious when you've got too much going on in a group and part of the group wants to split off, but it's really hard to start in three separate groups to get the momentum on any single item. Let's not do multiple telecons/mailing lists, let's just rate a bunch of stuff in this group and then get feedback on what we choose.
[Tue 12:39:25] <dlongley>	manu: (Reduce overhead until necessary) Split off when it becomes obvious when we need to do that.
[Tue 12:39:58] <ChristopherA_>	q?
[Tue 12:39:59] <voip-vctf>	The speaker queue is empty.
[Tue 12:40:03] <manu>	ChristopherA: Kim and I will take it as our charge to keep an eye on things, monitor, ask periodically. I agree, one joint call, one joint mailing list, only split when we have to seems reasonable.
[Tue 12:40:29] <David_C>	+1
[Tue 12:40:34] <manu>	Topic: Potential Work Items
[Tue 12:41:12] <manu>	q+ to become personally committed to browser API spec (aka DID Auth), DIDs
[Tue 12:41:13] <voip-vctf>	manu has been added to the queue: manu
[Tue 12:41:17] <manu>	q-
[Tue 12:41:17] <voip-vctf>	manu has been removed from the queue:
[Tue 12:41:25] <dlongley>	q+ to talk about credentials browser polyfill and spec
[Tue 12:41:25] <voip-vctf>	dlongley has been added to the queue: dlongley
[Tue 12:41:34] <manu>	ChristopherA: I'll focus on new mission statement, personal action item.
[Tue 12:41:35] <ChristopherA_>	q?
[Tue 12:41:35] <voip-vctf>	The current speaker queue is: dlongley
[Tue 12:41:38] <JoeAndrieu>	q+
[Tue 12:41:38] <voip-vctf>	JoeAndrieu has been added to the queue: dlongley, JoeAndrieu
[Tue 12:41:44] <burn_>	ack dlongley
[Tue 12:41:44] <voip-vctf>	dlongley has the floor (to talk about credentials browser polyfill and spec).
[Tue 12:41:45] <manu>	q+ to become personally committed to browser API spec (aka DID Auth), DIDs
[Tue 12:41:45] <voip-vctf>	manu has been added to the queue: JoeAndrieu, manu
[Tue 12:42:32] <ChristopherA_>	q+
[Tue 12:42:32] <voip-vctf>	ChristopherA_ has been added to the queue: JoeAndrieu, manu, ChristopherA_
[Tue 12:42:43] <manu>	dlongley: I'm interested on implementation and spec for Credentials polyfill API... this is the main piece that's missing for people that want to share credentials on the web. Digital Bazaar has built a polyfill for this a number of years ago, polyfill API has changed in tandem with Credential Management API... ours is an extension to that spec. We need to figure out if we want to continue down that path.
[Tue 12:43:02] <burn_>	ack JoeAndrieu
[Tue 12:43:02] <voip-vctf>	JoeAndrieu has the floor.
[Tue 12:43:04] <manu>	dlongley: There is a lot of different discussion that needs to happen there. Implementation work on that polyfil. Important part of ecosystem that needs to be done.
[Tue 12:43:32] <David_C>	q+
[Tue 12:43:32] <voip-vctf>	David_C has been added to the queue: manu, ChristopherA_, David_C
[Tue 12:43:34] <kimhd>	q+
[Tue 12:43:34] <voip-vctf>	kimhd has been added to the queue: manu, ChristopherA_, David_C, kimhd
[Tue 12:43:37] <manu>	JoeAndrieu: I would like to put some effort into larger use case. Engagement model for Joram is an example of that. I'd like to pick a use case and walk through it. Lifecycle of a Verifiable Claim.
[Tue 12:43:53] <manu>	JoeAndrieu: It has resonance in areas that we can't yet talk about in the VCWG and outside as well.
[Tue 12:43:58] <burn_>	ack manu
[Tue 12:43:58] <voip-vctf>	manu has the floor (to become personally committed to browser API spec (aka DID Auth), DIDs).
[Tue 12:44:03] <burn_>	q?
[Tue 12:44:03] <voip-vctf>	The current speaker queue is: ChristopherA_, David_C, kimhd
[Tue 12:44:03] <David_C>	+1
[Tue 12:45:25] <dlongley>	manu: I wanted to second Dave Longley's browser API spec thing. This speaks a bit to what David Chadwick mentioned earlier in the call. The question of how do we get these things around. How do you store verifiable claims, how do people ask for them, how do we move them around from A to B in an interoperable way. It's critical for the ecosystem to operate. I'm a bit concerned in skipping a step where we document why you can't accomplish this with
[Tue 12:45:25] <dlongley>	SAML/JOSE, we've done some of that analysis but need to write it up. That's also part of the VCWG charter and no reason the CG can't help them with that.
[Tue 12:45:51] <dlongley>	manu: I also wanted to mention the DID spec, as those involved in this group have seen over time, it started as a Mozilla Persona thing as a way to do Persona correctly...
[Tue 12:46:26] <dlongley>	manu: Eventually Evernym folks picked up the work and we helped them put out a spec. It's mature enough to turn into a W3C format style spec and getting two interoperable implementations on that spec would be good to queue that up to get into a WG.
[Tue 12:47:15] <nage>	I won't queue myself unless others think it is needed (a lot of this has already been mentinoed, and is related to the DID suite of specs): Comparisons with OAuth/OpenID Connect/SAML, Protocol work (Claim Request, Claim Response, Proof Request, Proof Response), Signature schemes for anoncreds, credential management issues (at sovrin we sometimes call this a proof solver), expanding on the use of VCs and DIDs (Authentication, API spec, non-repudiabilty of
[Tue 12:47:17] <nage>	identity owner APIs)
[Tue 12:47:38] <dlongley>	manu: That may be a heavy lift. We'd have to do some education on W3C and IETF and why the world needs DIDs. I'd rather get started on that work now, understanding that it's going to take a while for people to get it. Having a spec and interop implementations help people get it. I also agree with Kim in that the signature stuff is super important. We've gotten tired with the "why didn't you consult me/work with these crypto people to do it" -- we can't
[Tue 12:47:38] <dlongley>	wait on the "right" people to look on it ("right" being relative).
[Tue 12:47:56] <dlongley>	manu: To be clear, it's in that order ... priorities: 1. signatures, 2. browser API spec, 3. DIDs
[Tue 12:48:02] <dlongley>	manu: As far as my personal preference is concerned.
[Tue 12:48:04] <burn_>	ack ChristopherA_
[Tue 12:48:04] <voip-vctf>	ChristopherA_ has the floor.
[Tue 12:48:10] <burn_>	q?
[Tue 12:48:10] <voip-vctf>	The current speaker queue is: David_C, kimhd
[Tue 12:49:49] <manu>	ChristopherA: I'm committed to continuing to work with Community to drive that forward. Some things at a higher level - original DPKI - we need to revisit that. Now that we've done DIDs... say "This is why we're doing DIDs... here are the requirements... there is no better way to meet these use cases." Then we can dive into specifics of protocols/formats of DIDs. We do have a persuasion job... Self-sovereign identity, DPKI, we're not doing a fabulous job  explaining to uninitiated what that is and why it's important. I'd like the Credentials group to work on that.
[Tue 12:50:29] <manu>	ChristopherA: We have particular problems in data minimization and selective disclosure - I'd like to see a report - what exactly is selective disclosure, different forms of it... when I say something as a cryptographer, it means something specific. Some others think that's "data minimization".
[Tue 12:51:05] <manu>	ChristopherA: There are things like Merkle Proof signature - that may be more important than other signature formats. We don't know that yet, community hasn't accepted that yet, but we haven't decided what our privacy/public disclosure stuff is.
[Tue 12:51:09] <dlongley>	i have interest and spec+implementation input on everything discussed so far :)
[Tue 12:51:21] <burn_>	ack David_C
[Tue 12:51:21] <voip-vctf>	David_C has the floor.
[Tue 12:51:22] <kimhd>	ditto
[Tue 12:51:28] <David_C>	I more or less agree with the priority order. the W3C web auth spec is also of interest to me (https://www.w3.org/TR/webauthn/). This comes under priority 2. But under 2. we  should also consider the whole VC lifecycle model
[Tue 12:51:29] <manu>	manu: You only need another 12 hours in the day to work on those items, folks :)
[Tue 12:51:38] *	dlongley :)
[Tue 12:52:13] <manu>	ChristopherA: We are going to have to prioritize... 
[Tue 12:52:36] <dlongley>	voip-vctf: connections?
[Tue 12:52:36] <voip-vctf>	Conference participants are: KimHamilton [SIP/69.65.34.216-000004e6], ChristopherAllen [SIP/69.65.34.216-000004e7], Dave Longley [SIP/6002-000004e8], David I. Lehn [SIP/6003-000004e9], nage [SIP/sip2sip.info-000004ea], Manu Sporny [SIP/6000-000004eb], DanBurnett [SIP/69.65.34.216-000004ed], Matt Stone [SIP/sip.linphone.org-000004ee], JoeAndrieu [SIP/69.65.34.216-000004ef].
[Tue 12:52:44] *	burn_ wonders whether ChristopherA will end this call on time since he mentioned that as a worry with the WG, which ended on time :)
[Tue 12:52:55] <burn_>	q+
[Tue 12:52:55] <voip-vctf>	burn_ has been added to the queue: kimhd, burn_
[Tue 12:52:56] <manu>	ChristopherA: I'd really like to hear from some of the other players - you're spending a good chunk of time here - what are your areas of interest? What can you commit to?
[Tue 12:52:59] <burn_>	q-
[Tue 12:53:00] <voip-vctf>	burn_ has been removed from the queue: kimhd
[Tue 12:53:01] <burn_>	q?
[Tue 12:53:01] <voip-vctf>	The current speaker queue is: kimhd
[Tue 12:53:03] *	nage has been talking with folks in Sovrin about DID TLS with SNI+Token binding as well as DID Auth which more closely follows an OAuth approach
[Tue 12:53:07] <burn_>	ack kimhd
[Tue 12:53:07] <voip-vctf>	kimhd has the floor.
[Tue 12:53:43] <manu>	kimhd: I was going to ask a similar question - there was a lot of traction around DIDs at last RWoT... any areas of focus there? If not, we can follow up on mailing list. I definitely want to work on signature suite stuff.
[Tue 12:53:44] *	burn_ asks if Nathan wants that minuted.  currently not
[Tue 12:54:10] <manu>	ChristopherA: If Credentials group things we want to take in DIDs, we have 100+ people in RWoT community, we can try to broaden the community to get them in.
[Tue 12:54:16] <ChristopherA_>	q?
[Tue 12:54:16] <voip-vctf>	The speaker queue is empty.
[Tue 12:54:35] *	manu nage q+ yourself to mention that if you want it on the record... it sounds intriguing.
[Tue 12:54:55] <manu>	ChristopherA: How can we add items to this list and further the list.
[Tue 12:55:02] <nage>	The Sovrin and Decentralized Identity folks have started talking about DID TLS (using SNI hints and token binding) as well as a DID Auth spec
[Tue 12:55:41] <dlongley>	manu: What we might be able to do is put the list in a google doc and put it out the mailing list and say "If you have any other items please add them". We give people a week to weigh in, then create a poll that allows people to assign priorities, like 0-10, and items that get the most votes are the ones that we end up working on.
[Tue 12:56:25] <David_C>	Dlongley: you should also ask people what they will work on
[Tue 12:56:29] <manu>	ACTION: Manu to create preliminary list of work items for group and send out to mailing list.
[Tue 12:57:05] <nage>	q+
[Tue 12:57:05] <voip-vctf>	nage has been added to the queue: nage
[Tue 12:57:08] <manu>	ChristopherA: We may want to get a list of things that people want to work on.
[Tue 12:57:08] *	dlongley i was just scribing what manu said, but i agree that we need people who will work on the items
[Tue 12:57:13] *	dlongley @David_X^
[Tue 12:57:18] *	dlongley @David_C rather :)
[Tue 12:57:19] <manu>	ChristopherA: That is, something they are willing to commit to.
[Tue 12:57:29] <ChristopherA_>	ACTION: ChristopherA to create first draft of new credential mission
[Tue 12:57:30] *	manu David_X is David_C's evil twin.
[Tue 12:57:33] *	manu :)
[Tue 12:57:43] *	manu that dude doesn't like spec work.
[Tue 12:58:06] <manu>	ChristopherA: Please get back to me on mission statement. 
[Tue 12:58:12] <nage>	q- because of time
[Tue 12:58:13] <voip-vctf>	because isn't on the speaker queue.
[Tue 12:59:29] <manu>	ChristopherA: We'll meet at same time next week. Progress on action items, we can continue to dive into the potential projects here. I'm reluctant to recruit a cryptographer to do sigantures group yet until we know that that's the way we're going to be running things. Potential action item - decision to keep those things separate as a repo. What are our requirements there? Any other action items for next week?
[Tue 12:59:29] <manu>	Present+ sporny, longley, lehn, nage, kimhd, ChristopherA, burn, stone, andrieu, David_C
[Tue 12:59:58] <ChristopherA_>	ACTION: Christopher to create a new proposal for how digitial verificaton group integrates.
[Tue 13:00:05] <manu>	ChristopherA: Let's the Chairs know if you have further agenda items.
