[2019-10-31T20:07:03.288Z]	<markus_sabadello>	lucas: I will try to scribe today
[2019-10-31T20:46:34.682Z]	<lucas>	dmitriz: probably something that needs to be handled by each did method
[2019-10-31T20:47:00.807Z]	<lucas>	kyle: issue could be that the method is not maintained and hasn't determined a method for handling forking
[2019-10-31T20:47:35.267Z]	<burn>	q+ to talk about forking
[2019-10-31T20:47:35.998Z]	<lucas>	dmitriz: in our template/recommendations for did methods, we should point out forking as something that should be handled
[2019-10-31T20:49:20.594Z]	<lucas>	dmitriz: one of the proposed methods of deactivation is to call it deactivated when it no longer has valid keys. Not necessarily a specific flag, but actually a validation state. There could still be value in having a flag. Several did methods already use this strategy. Recommend against returning a 404, these should not just go away if immutability is an important property
[2019-10-31T20:50:08.950Z]	<lucas>	marcus_sabadello: should this be defined in the did spec, or is it just something that did methods implement and that's a differentiator. Some did methods may choose to make it as if a did never existed
[2019-10-31T20:51:34.923Z]	<lucas>	dmitriz: we should call it out in the implementation notes at the very least. Give some examples of common implementations. Ledger based vs. non-ledger will have different options, self-certifying are different in that they can't be expired/revoked per say
[2019-10-31T20:52:24.779Z]	<lucas>	marcus_sabadello: update and deactivate are optional. Could in theory support different mechanisms for resolution
[2019-10-31T20:53:39.644Z]	<lucas>	jonnycrunch: it depends on the reason it was deactivated. if it was because it was compromised vs. trying to disassociate from the did document.
[2019-10-31T20:54:09.492Z]	<burn>	q?
[2019-10-31T20:54:32.557Z]	<lucas>	marcus_sabadello: if a did document is deactivate you probably shouldn't be able to re-activate it.
[2019-10-31T20:54:33.045Z]	<burn>	ack dmitriz
[2019-10-31T20:55:01.127Z]	<burn>	q?
[2019-10-31T20:55:51.697Z]	<lucas>	jonnycrunch: different methods might have different timeouts for when they return a null
[2019-10-31T20:56:38.470Z]	<burn>	ack burn
[2019-10-31T20:56:52.721Z]	<lucas>	johnnycrunch: demo'd something where there were wifi issues but if they were on the same network they still might be able to resolve the did
[2019-10-31T20:57:08.331Z]	<burn>	file:///Users/dan/Downloads/IIWXXVIII_Book_of_Proceedings_2019A.pdf
[2019-10-31T20:57:23.217Z]	<burn>	s;file:///Users/dan/Downloads/IIWXXVIII_Book_of_Proceedings_2019A.pdf;;
[2019-10-31T20:57:58.310Z]	<burn>	https://github.com/windley/IIW_homepage/raw/gh-pages/assets/proceedings/IIWXXVIII_Book_of_Proceedings_2019A.pdf
[2019-10-31T20:58:00.069Z]	<burn>	page 88
[2019-10-31T20:58:12.356Z]	<lucas>	burn: re: forking - at IIW last spring, Andrew Hughes ran a session (struggles to paste a link haha) talking about what are the "failure modes" of DIDs
[2019-10-31T20:58:40.333Z]	<lucas>	burn: no answers, but a good brainstorm of possible things that could go wrong and could be a good starting point
[2019-10-31T20:59:24.148Z]	<lucas>	marcus_sabadello: will start a new issue to discuss failure modes
[2019-10-31T20:59:51.911Z]	<lucas>	jonnycrunch: ethereum has an interesting way of handling forks
[2019-10-31T21:00:02.739Z]	<lucas>	dmitriz: how do you get from an existing identifier to a forked one?
[2019-10-31T21:00:46.779Z]	<lucas>	dmitriz: how do you go from did:btcr:123 before the fork to the new identifier after the fork
