[Tue 11:05:06] <m4nu>	scribe: NateOtto
[Tue 11:30:02] <NateOtto>	dlongley: A couple other points
[Tue 11:30:32] <NateOtto>	bsletten: It seemed pushback was being driven by other issues: presented as a standard when it isn't -- presented by a community group not a standards grou
[Tue 11:30:56] <NateOtto>	bsletten: It seems this is the point of community group process, to explore problems and standards
[Tue 11:31:11] <eric>	Yes, very contradictory position W3C is taking.
[Tue 11:31:33] <NateOtto>	bsletten: I'm curious if my understanding of the CG process is skewed, or if it's really intended to address things at a technical level that aren't being explored in the Working Groups
[Tue 11:32:22] <NateOtto>	dlongley: CGs were places for people with good technical advice, to incubate ideas and move them into the official space.
[Tue 11:32:46] <NateOtto>	dlongley: allows work to be fast tracked once it becomes part of the official space, because a lot of background had already had been done. That was the intent.
[Tue 11:33:06] <NateOtto>	dlongley: It seems the CGs are viewed as an outlet for people who aren't in the official space
[Tue 11:33:48] <NateOtto>	dlongley: With the email thread, it's almost disparaging to all the people in community groups who try to further the web
[Tue 11:34:19] <NateOtto>	dlongley: every email that comes out that says "that's just a community group; it doesn't really matter" is damaging to the w3c
[Tue 11:34:43] <NateOtto>	manu: It's mainly Ian Jacobs (sp) and ____ who created Community Groups
[Tue 11:35:02] <NateOtto>	manu: It came out of the XHTML2 effort, which the w3c lost.
[Tue 11:35:26] <NateOtto>	manu: a group led by Ian Hixson forked the standards body, and created a spec that eventually became HTML5
[Tue 11:35:47] <NateOtto>	manu: W3C had lost credibility on its ability to pick the right standard
[Tue 11:36:19] <NateOtto>	manu: community groups are basically a way for w3c to allow experimentation to happen without the years-long process of getting the blessing of all of its members
[Tue 11:36:51] <NateOtto>	manu: I'm sure dlongley and dlehn remember how nasty people were to us in the beginning. It was presented as this crap specification that will go nowhere
[Tue 11:37:09] <NateOtto>	manu: In the end of the day the thing that won out was the fundamentally beautiful ideas that were in the specification
[Tue 11:37:47] <NateOtto>	manu: I think Harry's reponse as a w3c staffer reflects the thinking that w3c was doing in the XHTML2 days, everybody singing kumbayaa and declaring victory, and now you this small group is trying to split the specification
[Tue 11:38:07] <NateOtto>	manu: instead of talking about the technical issues, what we're seeing are a whole bunch of process issues being thrown in front of us
[Tue 11:38:38] <NateOtto>	manu: This is way out of line from my standpoint and my experience from working with w3c. It's happening because the SM spec is a threat to the JOSE spec.
[Tue 11:39:06] <NateOtto>	manu: We could very well be wrong. Everybody who's worked on the secure messaging spec knows we do have some very solid criticisms of JOSE
[Tue 11:39:18] <NateOtto>	manu: JOSE is so far down the standards path that they can't very well change direction at this point.
[Tue 11:39:43] <NateOtto>	manu: When you're in a group for so long, it starts to become kind of an echo chamber. You stop hearing that you might have made a mistake after a few years.
[Tue 11:39:57] <NateOtto>	manu: CGs are meant to do what they're doing: explore new technologies & ...
[Tue 11:40:14] <NateOtto>	manu: We've been through this and we're seeing the same attitude again with the Secure Messaging stuff
[Tue 11:40:24] <NateOtto>	manu: Assume we're wrong and we find that SM is a pile of crap.
[Tue 11:41:05] <NateOtto>	manu: (hypothetical), and we have to swap JOSE in. We would still have the ability to sign documents, but we have the downsides with JOSE that we mentioned.
[Tue 11:41:26] <NateOtto>	manu: It wouldn't mean we can't have digitally signed credentials
[Tue 11:41:40] <NateOtto>	manu: The secure messaging spec is the only piece of our stack that is getting any pushback
[Tue 11:42:06] <NateOtto>	manu: I'll put a pin in that for right now. I want to get Dale McCrory to introduce himself.
[Tue 11:42:08] <m4nu>	Topic: Introduction to Dale McCrory
[Tue 11:42:44] <NateOtto>	dmccrory: I gave an intro on an earlier call as well. I work at CourseLoad as a director of product management. I replied to the thread on the JSON jwt approach.
[Tue 11:42:57] <NateOtto>	dmccrory: I had built a significant JOSE implementation before
[Tue 11:43:35] <NateOtto>	dmccrory: I'm an enterprise pragmatist by nature; how does enterprise integration happen? I've seen WS-* with good features and extensibility points not get implemented.
[Tue 11:43:55] <NateOtto>	dmccrory: I saw that spec not get implemented because it didn't work on all the platforms.
[Tue 11:44:27] <NateOtto>	dmccrory: I'm here because I'm interested in higher education and identity and how students can use credentials across their lifetime
[Tue 11:44:12] <m4nu>	Topic: Digital Signature Strategy
[Tue 11:44:40] <NateOtto>	manu: We have a number of potential paths forward
[Tue 11:45:14] <NateOtto>	manu: One of them is to give up on the SM stuff and go with JOSE. That would be the easiest way forward to a technical standard. The downsides being the ones dlongley, cmcavory, and NateOtto have raised.
[Tue 11:45:41] <NateOtto>	manu: I'm sure Harry and the JOSE group would love it if we went that path
[Tue 11:46:15] <NateOtto>	manu: One path is to say, "if JOSE is the best technological solution, show us how we can overcome these barriers we've identified"
[Tue 11:46:33] <NateOtto>	manu: We have some experience in the Badge Alliance of this maybe happening, that JOSE wasn't picked up.
[Tue 11:46:58] <NateOtto>	manu: There absolutely can be competing specfications between w3c and IETF. Harry's right that this is problematic.
[Tue 11:47:20] <NateOtto>	manu: there is inflexibility in the JOSE group -- they didn't change anything in response to our review, but we really weren't expecting them to.
[Tue 11:47:30] <NateOtto>	manu: sometimes the only way to get that change is a competing tech stack
[Tue 11:47:51] <NateOtto>	manu: it's also important to note that JOSE and SM don't have to fight one another. For example the JOSE key format is a great key format.
[Tue 11:48:20] <NateOtto>	manu: There may be way that we could constrain JOSE binary blobs to certain fields. There are hybrid approaches we could pursue here
[Tue 11:48:37] <NateOtto>	manu: "We'd like to proceed with the SM spec, but we have a plan B that uses JOSE"
[Tue 11:49:05] <NateOtto>	manu: we got down the path far enough to see that JOSE didn't look like the right solution, but we could have a contingency plan if SM is shot down. (This would require a lot of work)
[Tue 11:49:31] <NateOtto>	dlongley: What's going to be the same regardless: We need RDF normalization alg. We need this regarless of signature technology.
[Tue 11:49:50] <NateOtto>	eric: what's the importance?
[Tue 11:50:10] <NateOtto>	dlongley: Linked Data is about meaning. these technologies allow you to use any of the syntaxes to express the same meaning.
[Tue 11:50:43] <NateOtto>	dlongley: It will effectively produce the blob that you don't need to interact with. JOSE produces that blob at the transport layer
[Tue 11:51:02] <NateOtto>	manu: Turtle, RDF-XML, JSON-LD, all use the same data model
[Tue 11:51:23] <NateOtto>	manu: Graph normalization produces the same output from any of these formats that express the same meaning
[Tue 11:51:58] <NateOtto>	manu: The JOSE approach would basically to take the input syntax, shove it into the base64 format for signing.
[Tue 11:52:41] <NateOtto>	eric: I suggest that you emphasize this as the top reason for this effort
[Tue 11:52:59] <NateOtto>	dlongley: Harry did acknowledge that this is of interest and potentially that it should be standardized
[Tue 11:53:33] <NateOtto>	dlongley: but that's just a piece of the whole signature puzzle. That makes it possible to get a single serialized representation of linked data. Regardless of the signing technology, this is the input that will be signed.
[Tue 11:53:57] <NateOtto>	dlongley: That's where the paths diverge. We could transmit the data as linked data, or we could use a JOSE container
[Tue 11:54:28] <NateOtto>	manu: What we'll be signing is N-Quads. This is a very foreign format for web developers
[Tue 11:54:46] <NateOtto>	dlongley: They'll have to do two steps, base64decode and then convert to JSON-LD
[Tue 11:55:02] <NateOtto>	eric: This is essentially what we're doing now in our APIs (at Accreditrust)
[Tue 11:55:05] <NateOtto>	dlongley: That's right
[Tue 11:55:25] <NateOtto>	dlongley: That's how the SM spec works. You're defining a property that corresponds to the signature, and you're putting that into its native format
[Tue 11:55:44] <NateOtto>	manu: At this point, I wonder if we're close to a consensus or figuring out a path forward
[Tue 11:56:05] <NateOtto>	manu: one of the things Dale said is very important; we need to be pragmatic about this
[Tue 11:56:22] <NateOtto>	manu: we don't want to be in a fight with IETF with w3c blocking
[Tue 11:56:37] <NateOtto>	manu: we can get around this if there are enough groups who want to try out the SM spec
[Tue 11:57:17] <NateOtto>	bsletten: I think we're not doing the spirit of the community group justice if we just roll over and say "I'll use JOSE" - That said, having a contingency plan is also important
[Tue 11:57:54] <NateOtto>	bsletten: we want to keep exploring and vetting the SM ideas further, but we have to have a contingency plan too. I wouldn't want everything else going on in this group to be blocked by this point.
[Tue 11:58:14] <NateOtto>	eric: I agree with Brian's first comment, but maybe not the second stance.
[Tue 11:58:53] <NateOtto>	eric: our fallback is JOSE, they'll see that crack in the armor and say, "why don't you just fall back now". We don't want to give them that option.
[Tue 11:59:59] <NateOtto>	dlongley: We could [missed]
[Tue 11:59:59] <NateOtto>	eric: I think what dlongley just said was a better fallback position than "let's just use JOSE"
[Tue 12:00:14] <NateOtto>	bsletten: If it's that simple, why are we even talking about SM then?
[Tue 12:00:28] <NateOtto>	bsletten: I'm fine with that as a backup plan, I'm just saying I think we need a backup plan
[Tue 12:00:48] <NateOtto>	dlongley: I think that highlights that there shouldn't be as much push back on the messaging spec as there is
[Tue 12:01:00] <NateOtto>	dlongley: We should emphasize that this is a mechanism for LINKED data
[Tue 12:01:12] <NateOtto>	dlongley: Maybe it would be less of a threat if they saw it that way
[Tue 12:01:20] <NateOtto>	bsletten: The name is a point of contention as well
[Tue 12:01:38] <NateOtto>	dlongley: Let's come up with a better name and avoid that point entirely
[Tue 12:02:18] <NateOtto>	eric: If we switching things around, ... can our mechanism work with OpenID?
[Tue 12:02:58] <NateOtto>	dlongley: It can be made to work like that, but... you can always create a context for JSON data where you could make it linked Data
[Tue 12:03:12] <NateOtto>	dlongley: We're trying to be able to compare meaning between two different syntaxes
[Tue 12:03:34] <NateOtto>	manu: With the secure messaging stuff, you're digitally signing the meaning; with the JOSE stuff, you're signing a blob
[Tue 12:03:43] <NateOtto>	dlongley: You're always signing a blob
[Tue 12:03:57] <NateOtto>	dlongley: The difference is that with SM you don't have to see the blob
[Tue 12:04:51] <NateOtto>	dlongley: With JOSE you have to take the exact same blob to give to someone else so they can check it. With SM, the data can be transformed into a variety of syntaxes and passed around the web, but as long as you pass it through the algorithm that signature can always be checked.
[Tue 12:05:30] <NateOtto>	eric: if JOSE didn't exist, would Social Web group be required to use linked data?
[Tue 12:05:53] <NateOtto>	manu: That group is close to using JSON-LD as a must requirement, but for some reasons some of their members resist that, so it's not a requirement
[Tue 12:06:02] <NateOtto>	manu: It's in their charter to explore linked data
[Tue 12:06:41] <NateOtto>	manu: if JOSE didn't exist, and (we had a standard already), and they needed to sign something, they would probably be able to pick up our standard on Social Web
[Tue 12:07:01] <NateOtto>	manu: Harry's saying that JOSE has first mover advantage and an international standard, but it's still a draft.
[Tue 12:07:21] <NateOtto>	manu: It probably will be a standard in a few years, but SM may be as well
[Tue 12:07:36] <eric>	what does it take to become a WG?
[Tue 12:07:57] <NateOtto>	dlongley: To clarify, there is a standards level working group at the IETF working on JOSE, we are just a community group
[Tue 12:08:11] <NateOtto>	manu: We'll take some of this to a mailing list
[Tue 12:08:35] <NateOtto>	manu: Soon we'll want to start directly engaging the JOSE group, see if they're interested in responding to some of these ideas
[Tue 12:09:09] <NateOtto>	manu: If 20 member companies vote in favor of a group becoming a standard, it can become an official working group. We have 10 interested.
[Tue 12:09:35] <NateOtto>	manu: It also helps to have a finished spec. We have a spec that is roughly 80% done
[Tue 12:10:03] <voip-cr>	Manu Sporny (SIP/6000-00000071) has left the conference.
[Tue 12:10:04] <voip-cr>	Brian Sletten (SIP/192.168.1.161-00000072) has left the conference.
[Tue 12:10:05] <voip-cr>	Dave Longley (SIP/6002-00000075) has left the conference.
[Tue 12:10:09] <voip-cr>	Dave Lehn (SIP/6003-00000076) has left the conference.
[Tue 12:10:12] <voip-cr>	ekorb (IAX2/diamondcard-15681) has left the conference.
[Tue 12:10:13] <voip-cr>	Mark (SIP/sip.linphone.org-00000073) has left the conference.
[Tue 12:10:16] *	Mark__ has quit (Quit: Page closed)
[Tue 12:10:17] <NateOtto>	Present+ Mark, Lehn
[Tue 12:10:17] <NateOtto>	manu: We'll talk again next week. Happy Thanksgiving to those in the US or look forward to not talking with your American colleagues later this week for everyone else!
[Tue 12:10:26] <voip-cr>	Dale (IAX2/diamondcard-10105) has left the conference.
