[Tue 11:05:07] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Dec/0029.html
[Tue 11:19:48] <dlongley>	mark: Another aspect is demonstration of the concept.
[Tue 11:19:57] <dlongley>	mark: My interest is in the latter.
[Tue 11:22:20] <voip-cr>	11 (SIP/85.62.72.19-000000bd) has left the conference.
[Tue 11:22:38] <dlongley>	manu explains what the roadmap is trying to do (vision, macro level exchanges, detail how standards align w/ the ecosystem we're trying to create).
[Tue 11:22:38] <dlongley> manu: Roadmap should outline how we go from where we are today to full blown credentials ecosystem that we want. Basically, we create roadmap, convince Web Payments IG (or W3C membership) that roadmap on credentials is worth doing. Roadmap outlines the ecosystem - schools, universities, trade schools, recruiters, corporations/universities/non-profits that hire people, expiration of credentials, etc. We move the specs we create into W3C WGs, put them through the W3C process. Then in parallel focus on implementations/helper libraries that make the ecosystem easier to implement for everyone in the ecosystem.
[Tue 11:22:50] <voip-cr>	11 (SIP/85.62.72.19-000000be) has joined the conference.
[Tue 11:22:51] <manu>	Mark: I'd really like to also get involved in the latter - appreciate the explanation.
[Tue 11:22:58] *	elf-pavlik who joined?
[Tue 11:23:18] <dlongley>	manu: So that addresses the first question, "What do we want to deliver in this document"
[Tue 11:23:57] *	elf-pavlik voip: connections?
[Tue 11:24:05] <dlongley>	manu: After weeks of discussion that's kind of the approach we're settling on (from web payments group), we're just reusing the thinking from that group and take this and feed it into the Web Payments IG.
[Tue 11:24:16] <dlongley>	manu: It may be more digestible by them with that approach.
[Tue 11:24:32] <dlongley>	manu: General thoughts from the gruop?
[Tue 11:25:04] <manu>	eric: I'm wondering what we have to do regarding the concept of integration/support of other standards or proposed standards. For example, Open Badge Interface specification are different from Identity Credentials. Do we need to think about interoperability or not?
[Tue 11:25:55] <dlongley>	manu: In general, W3C frowns on standards that don't reuse existing standards, the official stamped by W3C 400 member vote, etc. The space that we're in with the credential stuff, nothing really exists. As a secondary thing, no standards body wants to see two standards that do the same thing out there.
[Tue 11:26:09] <dlongley>	manu: That's why we want to align with BA and don't create two standards that do the same thing in the space.
[Tue 11:26:51] <dlongley>	manu: To specifically answer your question we absolutely have to think about interop with open badges, but that doesn't mean historical interop, what we have to say is here is the vision for the future for the next year, and say the BA and what we're doing is interoperable. Our roadmap needs to say something to that effect.
[Tue 11:26:58] <manu>	eric: Ok, I agree... have another point, but will pass until I get my thoughts together.
[Tue 11:27:29] <manu>	eric: Context and vocabularies - is that in the roadmap? 
[Tue 11:27:36] <manu>	manu: yes, without those, we don't have interoperability.
[Tue 11:27:38] <dlongley>	manu: Yes, if we don't have JSON-LD contexts and vocabs our systems won't interop.
[Tue 11:28:49] <manu>	dlongley: What we can do is look at most basic credential that we've been working with... based on that, these are the minimum things required in a credential.
[Tue 11:29:14] <manu>	eric: What about a validator?
[Tue 11:29:23] <dlongley>	manu: Out of scope typically.
[Tue 11:29:53] <dlongley>	manu: The group can decide to create a validator... let me break it down, things for the standardization process and things for being successful. We need technical specification, 2 interop implementations and a test suite. That gets us through the standards process.
[Tue 11:30:12] <dlongley>	manu: That doesn't get you a market adopting what you build, that just gets you a technology to be reviewed by companies, etc.
[Tue 11:30:46] <dlongley>	manu: Next we need things like helper libraries like the JSON-LD signatures lib, commercial implementations, companies saying they back the work, etc. these are things that are needed to make sure the technology can be successful in the market.
[Tue 11:31:26] <dlongley>	manu: If we can get some hot new startup to say they are using the credentials spec/OBI stuff/badges to express things that's a big win. If we can get a c-sharp JSON-Ld signatures implementation and a credentials creation library that's another big win.
[Tue 11:31:34] <dlongley>	manu: To help make this stuff successful getting off the ground.
[Tue 11:31:52] <dlongley>	bsletten: Are there any good roadmaps for this stuff to use as examples?
[Tue 11:32:09] <dlongley>	manu: No, a good question, but no, traditionally W3C hasn't had those sorts of things this early on.
[Tue 11:32:16] <dlongley>	manu: Let me try and think a bit on that though.
[Tue 11:32:24] <dlongley>	manu: Might be able to find a good example, but not off the top of my head.
[Tue 11:32:35] <manu>	eric: I think there was a conversation we had w/ lessons learned w/ JSON-LD.
[Tue 11:32:57] <manu>	eric: many of you did JSON-LD, but we have new people.
[Tue 11:33:36] <dlongley>	manu: Prepping all these docs in a CG so a WG has a set of docs to pick up and run with. That's one of the biggest things you can do, it cuts 1-2 years off WG time just by doing that. And we have much more leeway in how we create those docs ... we can move quickly, they can't move as fast (in WG).
[Tue 11:33:42] <dlongley>	manu: Having a roadmap doc is also good.
[Tue 11:34:37] <dlongley>	manu: The thing that made the JSON-LD work different is that one of the WG has already decided that they wanted to solve the problem. W3C companies said they wanted to solve the problem and we had a solution ready to go. The W3C has not to date said they wanted to solve credentials on the Web. That's one reason we need to have a roadmap to say why we want to solve this on the Web and how we will solve it so we can propose it to the IG.
[Tue 11:34:51] *	marybold has quit (Quit: Page closed)
[Tue 11:35:17] <manu>	Here you go: https://github.com/opencreds/website/tree/master/specs/source
[Tue 11:35:34] <manu>	https://github.com/opencreds/website/blob/master/specs/source/roadmap/index.html
[Tue 11:36:06] <dlongley>	manu: W3C has stopped creating wikis for CGs, i don't know if you have to request one or not, if we want to work in wikis we can do that, typically we've just been working in respec docs.
[Tue 11:36:44] <dlongley>	manu: The editors can use whatever editors they want, just in general W3C wants people to work in collaborative environments, and non-proprietary, like wiki/respec, google docs is next, ms docs are probably last.
[Tue 11:36:58] <dlongley>	manu: Mark and Mary are the task leaders for the roadmap.
[Tue 11:37:09] <dlongley>	manu: Every check in to the opencreds repo goes live immediately.
[Tue 11:37:18] <dlongley>	manu: Any modifications made on the spec show up on the website within 15 seconds.
[Tue 11:37:39] <dlongley>	manu: Elf, if you want to work on any of this stuff we'd be happy to grant you access and do PRs, things of that nature.
[Tue 11:37:43] *	dlongley no problem :0
[Tue 11:37:46] *	dlongley :)
[Tue 11:38:34] <voip-cr>	11 (SIP/85.62.72.19-000000be) has left the conference.
[Tue 11:38:49] <dlongley>	manu: How do we go from the roadmap to the future we want. The strategy is that we're going to work on technical specs on what we believe the ecosystem should look like, we're going to demonstrate how various players interop, propose to the IG, IG will make WGs to work on the work items. The WGs start up and standardize the work we're doing here while we work on parallel on the tooling necessary for success of the standards in the market.
[Tue 11:39:05] <dlongley>	manu: That's the general strategy we've come to consensus on in the last couple of months, thoughts?
[Tue 11:39:06] <voip-cr>	11 (SIP/85.62.72.19-000000bf) has joined the conference.
[Tue 11:39:10] <dlongley>	bsletten: Sounds good.
[Tue 11:39:14] <manu>	bsletten: That sounds like a reasonable strategy.
[Tue 11:39:16] <dlongley>	+1
[Tue 11:39:39] <manu>	eric: Does it make sense to setup a timeline for goals?
[Tue 11:40:41] <elf-pavlik>	example of optimistic timeline: https://www.w3.org/wiki/Socialwg#sched
[Tue 11:40:44] <dlongley>	manu: All working groups have to set up a timeline and say when they have to be done, and it always takes way longer than they think it will take. But it may be a useful exercise to set some goals and say by when, etc. If we want to give people the idea that we could be done in 2-4 years, we don't want people to think it will take 15 years to do, they are going off the wheels, etc. A timeline would be good with the understanding it will take way longer than we think it will.,
[Tue 11:41:55] <dlongley>	manu: If someone wants to take a hack at the timeline, please do, it would be a good discussion for the CG to have.
[Tue 11:42:12] <dlongley>	manu: The roadmap doc might not be done for another 3 months, hopefully sooner, but it might take that long to get reviews, comments on it, etc.
[Tue 11:42:21] <dlongley>	manu: Any other thoughts on the roadmap doc?
[Tue 11:42:45] <dlongley>	manu: If possible, mark and mary, do you think both of you working together, could you get a draft of this document out by the second week of january?
[Tue 11:42:53] <dlongley>	mark: I believe we can.
[Tue 11:43:05] <dlongley>	mary: Agreement from me, I'll back him up.
[Tue 11:43:25] <dlongley>	manu: This will be our last call for a while to focus on getting documents in shape and because of the holidays.
[Tue 11:43:39] <dlongley>	manu: When we come back in January we should have something to review as a group, that's the goal.
[Tue 11:43:48] <dlongley>	manu: The goal I'd like the group to set today.
[Tue 11:43:49] <dlongley>	+1
[Tue 11:44:21] <dlongley>	manu: Mary, Mark - remind me to show you the docs
[Tue 11:44:48] <manu>	Topic: Hosted vs. Signed
[Tue 11:46:06] <dlongley>	elf-pavlik: I noticed that Open Badges supports both hosted/signed, but the stuff this group is working on is largely signed. Is there still support for hosted badges?
[Tue 11:46:06] <dlongley>	manu: There are still hosted vs. signed. The vast majority of the open badges (in the previous minutes) is hosted, not signed. I think there are a number of people in this group that would like to see this trend change; so the default will be signed and if an issuer site goes away you can still get to the badge. We want people to have the ability to self-host these badges and we want the badges to be valid when they self-host it.
[Tue 11:46:36] <dlongley>	manu: Hopefully that kind of answers that question, both are supported (hosted and signed) in open badges, mostly hosted today, many members here want to do signed as the default, and we want people to be able to host their own badges.
[Tue 11:47:33] <dlongley>	elf-pavlik: So hosting a badge would be possible but verification would be linked off elsewhere, etc.
[Tue 11:48:58] <elf-pavlik>	manu: wrt. working on documents, please try to take advantage of the mailing list, so community can follow conversations.
[Tue 11:49:01] <elf-pavlik>	+1
