[Tue 11:03:01] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0018.html
[Tue 11:06:16] *	Jason_Law (~Jason_Law@public.cloak) has joined #vctf
[Tue 11:06:18] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-00000790] has joined the conference.
[Tue 11:06:28] *	simmonsr (~simmonsr@public.cloak) has joined #vctf
[Tue 11:06:35] *	StuartSutton (~StuartSutton@public.cloak) has joined #vctf
[Tue 11:07:04] <dlongley>	manu: We were going to try and integrate everyone's feedback into the final interview and were going to ask for piecemeal input, but John Tibbett's email was much more helpful, we've already got expertise from people in the CG but we didn't capture their input view interview. So what I think we should do is interviews over email, Matt Stone, Richard Varn, John Tibbetts, etc. I'll ask you to write an email and I'll send a template for you to use. We'd like to hear from you, people who have been participating to get your thoughts on the VCTF charter, etc.
[Tue 11:07:29] <dlongley>	manu: My hope is to get input from the folks who want to move on this stuff, not just input from people who don't yet have skin in the game or those who are critical.
[Tue 11:08:12] <dlongley>	manu: Heads up to you guys -- we'll be sending out a template and if you can just respond with an email that will be super helpful, send it to the mailing list, we'll put it down on the record and we'll report those findings to the Web Payments IG at the end of the month. Any questions about the interviews or that template?
[Tue 11:08:51] <dlongley>	JohnTib: I want to make sure ... I put in the email the second time to the two forums you gave me ... did you not get those? I just wanted to makes sure.
[Tue 11:09:10] <dlongley>	manu: When you send it to the IG it will be held for moderation, but your one from the Credentials CG should have gone through, I'm not seeing it there.
[Tue 11:09:28] <dlongley>	manu: As long as you send it to those two mailing lists we can reference it from there.
[Tue 11:09:30] <dlongley>	JohnTib: Ok.
[Tue 11:09:41] <dlongley>	manu: Any other questions ... Richard, specifically, do you think you'll have time this week to write something up?
[Tue 11:09:56] <dlongley>	Varn: I was waiting for a prompt.
[Tue 11:10:09] <dlongley>	manu: Yeah, you were going to get one, but we changed the format slightly to parallelize, we'll give you a template.
[Tue 11:10:15] <dlongley>	Varn: Ok, yes, I'll respond this week.
[Tue 11:10:36] <dlongley>	manu: Colleen, if you want to respond on behalf of Pearson or get Matt Stone to that would be great.
[Tue 11:10:39] <dlongley>	Colleen: Ok.
[Tue 11:10:57] <dlongley>	manu: Rebecca it would be great to capture your unique perspective, but if you feel uncomfortable because you haven't been engaged in the work as deeply as some of the other folks.
[Tue 11:11:09] <dlongley>	Rebecca: I'd like to, I'm afraid it won't be as useful as the other folks.
[Tue 11:11:25] <dlongley>	manu: No, just having an opinion about the fact you've been involved in work like this it would be helpful.
[Tue 11:11:37] <dlongley>	manu: Same goes for anyone who feels they would have anything helpful to add that the other interviewees haven't said.
[Tue 11:12:13] <dlongley>	manu: I'll try to get that template out today and if we can get responses before Friday that would be great, but any time before the 20th (the F2F meeting is around then) that's the deadline. But we want responses by Friday to get them integrated into the presentation.
[Tue 11:12:19] <dlongley>	manu: Any questions?
[Tue 11:12:27] <dlongley>	none
[Tue 11:12:26] <manu>	Topic: Verifiable Claims Task Force Final Report
[Tue 11:12:32] <manu>	https://docs.google.com/document/d/1dYup3KC2nak3LVTzyapr996TKxDj1w5Eyp4g13rQQBA/edit
[Tue 11:12:57] <voip-vctf>	ShaneM [SIP/callcentric.com-0000077c] has left the conference.
[Tue 11:13:08] <dlongley>	manu: I was able to put some time into this over the weekend, it's not going as quickly as I had hoped but the basic structure of the document is there as well as the first couple of sections. The sections are kind of filled out. Going from the top of the document down ..
[Tue 11:13:27] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000791] has joined the conference.
[Tue 11:13:36] <dlongley>	manu: The purpose of this document ... it will be circulated to 300+ W3C member companies, giving them a background on the work we've been doing to make a case to start work at W3C, proving our due diligence.
[Tue 11:14:20] <dlongley>	manu: We start out with a background on VCTF and the problem statement then go into a summary of findings. These member companies have reps that are really busy and they may only read the first page and a half. The rest is supporting documentation so people can find all the assertions in the doc.
[Tue 11:14:33] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000792] has joined the conference.
[Tue 11:14:35] <dlongley>	manu: We assert a number of things about broad consensus on the problem statement, etc.
[Tue 11:14:44] <ShaneM>	voip: 792 is ShaneM
[Tue 11:14:44] <voip-vctf>	Associated ShaneM with SIP/callcentric.com-00000792.
[Tue 11:14:51] <dlongley>	manu: We have clear use cases documented in banking, finance, education, etc.
[Tue 11:14:56] *	ShaneM is muted (again) and has given up on SIP from mobile
[Tue 11:15:07] <voip-vctf>	BillDeL [SIP/sip2sip.info-00000793] has joined the conference.
[Tue 11:15:25] <dlongley>	manu: Current tech doesn't address those use cases, and so on. A summary of findings there. If the group participants can take a look at that doc and highlight issues with things they have concerns with that would be super helpful.
[Tue 11:15:30] *	Richard (~Richard@public.cloak) has joined #vctf
[Tue 11:15:41] <Richard>	joined
[Tue 11:16:12] <dlongley>	manu: We go into what we mean by privacy enhancing and user centric ... it's continuing point of confusion, we list the survey, we have 43 orgs we've surveyed, etc. We list them out. That's more supporting material showing there's a desire to solve the problem.
[Tue 11:16:38] <dlongley>	manu: Then interviews on page 4. We listed all experts W3C staff wanted us to interview and anything from the Credentials CG experts that want to respond.
[Tue 11:17:05] *	CarlaCasilli (~CarlaCasilli@public.cloak) has joined #vctf
[Tue 11:17:11] <dlongley>	manu: I hate to say this but the bigger the company you're with the more weight the interview may carry; while we want to hear from small orgs, they may not be as convincing as large orgs to W3C.
[Tue 11:17:34] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-00000794] has joined the conference.
[Tue 11:17:42] <dlongley>	manu: The rest of the doc elaborates on things we have clear consensus on and things we don't and potential pitfalls, etc. We need to point out all the things people are worried about us messing up.
[Tue 11:18:44] <dlongley>	manu: That's the shape of the VCTF final report, there will be a presentation on the Monday of the F2F meeting. We've been given 90 minutes which is a pretty large chunk of time. We need to figure out if the Web Payments IG will back our charter proposal and use cases or not. We need very clear payments use cases or they will feel that they don't have much to see there. The chairs have said they only need to see a couple of payments use cases (not a majority).
[Tue 11:18:51] <dlongley>	manu: Any questions?
[Tue 11:19:03] <dlongley>	manu: Do folks feel like this is the right approach or is something missing?
[Tue 11:19:13] <dlongley>	bsletten: Do you need any assistance?
[Tue 11:20:35] <voip-vctf>	22 [SIP/192.168.1.16-0000078a] has left the conference.
[Tue 11:20:36] <dlongley>	manu: I could use all the help I could get, I'm very thin on time these days but will get it done regardless. I don't know how to parallelize the work at this point, the best idea I have is for people to go into the topics where we talk about consensus and pitfalls and then scan the interviews and make sure we aren't missing anything. In each section we need to copy and paste quotes from people or link to the interviews that raise any concerns. Looking at page six, each topic should have a paragraph summarizing what the topic is about and then referencing all the interviews related and showing quotes that show agreement or concern.
[Tue 11:20:40] <dlongley>	manu: Make sense?
[Tue 11:20:43] <dlongley>	bsletten: Yes.
[Tue 11:21:19] <dlongley>	manu: At this point, if you have time, please fill out anything that isn't filled out in the document, that will really help. We were hoping to have it done this Friday but it won't be on my own, I'll get it as soon as I can, it will be done before F2F, but the more people we have the tighter we can make the message.
[Tue 11:21:37] <dlongley>	bsletten: I'll take a look at ... I don't have more time than you but maybe we can each stay up until 2am instead of 4am :)
[Tue 11:21:39] <voip-vctf>	22 [SIP/192.168.1.16-00000795] has joined the conference.
[Tue 11:21:43] <dlongley>	manu: Sounds like a plan, a sad plan, but a plan! :)
[Tue 11:22:05] <ShaneM>	The semi-final report
[Tue 11:22:06] <voip-vctf>	22 [SIP/192.168.1.16-00000795] has left the conference.
[Tue 11:22:19] <voip-vctf>	22 [SIP/192.168.1.16-00000796] has joined the conference.
[Tue 11:22:30] <dlongley>	manu: What we may do is suggest that what we do is provide the report as a draft -- that will give the IG some kind of buy in to let them change the content so if they ask us to elaborate we can do that and demonstrate our responsiveness to their desires.
[Tue 11:22:42] <manu>	Topic: Use Cases Document
[Tue 11:22:43] <voip-vctf>	±493048308001 [SIP/192.168.1.16-00000797] has joined the conference.
[Tue 11:22:46] <voip-vctf>	22 [SIP/192.168.1.16-00000796] has left the conference.
[Tue 11:23:01] <manu>	http://opencreds.org/specs/source/use-cases/
[Tue 11:23:10] <voip-vctf>	±493048308001 [SIP/192.168.1.16-00000797] has left the conference.
[Tue 11:23:23] <dlongley>	ShaneM: So everyone is on the same page, a couple of weeks ago I offered to take lead on the use cases pulled together from various sources. Gregg and Dan, Brian assisting.
[Tue 11:23:40] <voip-vctf>	22 [SIP/192.168.1.16-00000798] has joined the conference.
[Tue 11:24:07] <voip-vctf>	22 [SIP/192.168.1.16-00000798] has left the conference.
[Tue 11:24:18] <voip-vctf>	±493048308001 [SIP/192.168.1.16-00000799] has joined the conference.
[Tue 11:24:28] <manu>	q+ to ask about 8-ish core use cases we can propose to Web Payments IG.
[Tue 11:24:28] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:24:39] <dlongley>	ShaneM: We're gathering a lot of use cases and organizing them together into a structure where similar use cases are grouped together under certain requirements. Requirement X has scenario Y and use cases. We're going to try and get a consistent editorial style over the next week and get the payment-related scenarios floated to the top of the list. For each requirement we want payment scenarios there. If there isn't a requirement related to payments (and I can't find one) we can relegate those to a "someday" pile or find a use case that does.
[Tue 11:24:43] <dlongley>	ShaneM: Any questions?
[Tue 11:24:45] <voip-vctf>	±493048308001 [SIP/192.168.1.16-00000799] has left the conference.
[Tue 11:24:51] <dlongley>	manu: Deep thank you.
[Tue 11:24:55] *	dlongley thanks guys!
[Tue 11:25:15] <voip-vctf>	22 [SIP/192.168.1.16-0000079a] has joined the conference.
[Tue 11:25:42] <voip-vctf>	22 [SIP/192.168.1.16-0000079a] has left the conference.
[Tue 11:25:50] <dlongley>	manu: The use cases doc is in way better shape than it was two weeks ago so that's great and we've been able to circulate to people and say it's in rough shape but people have responded positively to it. Clear we have done due diligence and people have seen their own use cases in there and these are people in finance/banking. People understand it's rough but it's resonating.
[Tue 11:26:30] <ShaneM>	q+ to talk about how to prioritize use cases
[Tue 11:26:30] <voip-vctf>	ShaneM has been added to the queue: manu, ShaneM
[Tue 11:26:35] <ShaneM>	ack manu
[Tue 11:26:35] <voip-vctf>	manu has the floor (to ask about 8-ish core use cases we can propose to Web Payments IG.).
[Tue 11:27:11] <voip-vctf>	491715518533 [SIP/69.71.222.196-0000079b] has joined the conference.
[Tue 11:27:46] <manu>	ack ShaneM 
[Tue 11:27:46] <voip-vctf>	ShaneM has the floor (to talk about how to prioritize use cases).
[Tue 11:27:51] <dlongley>	manu: Ian Jacobs has pushed back on the use cases document and said that we should focus on eight core use cases and associate a charter with that rather than shotgun a ton of use cases their way, some we can't deal with in phase I. The argument that he made for the Web Payments use cases was that we get a bunch of use cases together and then prioritize. It feels like they are asking for something different here from Web Payments Use cases, I don't know if that's because those use cases didn't work out how folks wanted or if there was push back. I know when W3C starts is to list a minor set of use cases. The problem is that they are not very descriptive of the ecosystem that the Credentials CG is trying to build and that's the point of contention... Shane, do you have any thoughts on that? We have this big document but can we paste maybe some payments ones into a Phase I doc so we can show that if they push back?
[Tue 11:28:54] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000791] has left the conference.
[Tue 11:29:05] <dlongley>	ShaneM: That's a strategy. We can do required and nice to have phases ... those are all ways to do it. If you wanted me to create a version of the document of Phase I and related to payments use cases ... that's trivial so that will just fall out. Are you suggesting that, when we have lots of scenarios that support a use case... are you suggesting we hide some scenarios so only payment ones are shown so it's not overwhelming?
[Tue 11:29:12] <burn>	q+
[Tue 11:29:12] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:29:16] <dlongley>	manu: So I don't know.
[Tue 11:29:26] <dlongley>	manu: That's frustrating as an editor.
[Tue 11:29:43] <dlongley>	ShaneM: It means I get to pick and that's fine. I only heard feedback from Ian what I heard was that "don't waste your time on things that don't have to do with payments".
[Tue 11:30:00] <voip-vctf>	ShaneM [SIP/callcentric.com-00000792] has left the conference.
[Tue 11:30:09] <ShaneM>	lol.....
[Tue 11:30:24] <dlongley>	manu: What I think Ian typically wants is to not overwhelm the membership with too much data. Whittle it down to eight use cases that resonate with the membership, make sure a couple are payments so the IG can act and make sure the charter is scoped to those use cases.
[Tue 11:30:24] <voip-vctf>	David I. Lehn [SIP/6003-0000079c] has joined the conference.
[Tue 11:30:28] *	manu did we lose ShaneM
[Tue 11:30:35] <voip-vctf>	Shane McCarron [SIP/callcentric.com-0000079d] has joined the conference.
[Tue 11:30:37] <manu>	ack burn
[Tue 11:30:37] <voip-vctf>	burn has the floor.
[Tue 11:30:44] <ShaneM>	voip: 79d is ShaneM
[Tue 11:30:44] <voip-vctf>	Associated ShaneM with SIP/callcentric.com-0000079d.
[Tue 11:30:47] <manu>	q+ ShaneM
[Tue 11:30:47] <voip-vctf>	manu has been added to the queue: ShaneM
[Tue 11:31:33] <dlongley>	burn: I understand the value of focus, there's definitely value there. But as we've seen, recently, and actually you've seen for a long time now. There's this back and forth thing that happens. When your reduce people will say "I can think of a way to solve this that's simpler" ... "but we have all these other use cases" ... "yeah but you didn't show me those" ... "because you didn't want to see them."
[Tue 11:31:51] <ShaneM>	q+ to say that there is substantial benefit in showing how various requirements support payments AND the rest of the community
[Tue 11:31:51] <voip-vctf>	ShaneM has been added to the queue: ShaneM, ShaneM
[Tue 11:31:58] <manu>	ack ShaneM
[Tue 11:31:58] <voip-vctf>	ShaneM has the floor.
[Tue 11:31:59] <manu>	ack ShaneM
[Tue 11:31:59] <voip-vctf>	ShaneM has the floor (to say that there is substantial benefit in showing how various requirements support payments AND the rest of the community).
[Tue 11:32:03] <dlongley>	burn: If you don't understand why we're suggesting certain directions you can look at these other use cases. People can read the first eight and if they can't see justification then they can read the rest.
[Tue 11:32:45] <dlongley>	ShaneM: That's a really good point, thank you. We want to show how we're supporting a lot of things. We want to have all the data. Maybe a strategy is to have the either or ten that are the highest priority in section three and then there's an appendix with all of the rest of the things. We are bringing all the data to the table.
[Tue 11:33:07] <dlongley>	burn: Yes, that's exactly what I was talking about. What Ian was asking for you don't make the entire document, it's the front of the document and then you have an appendix that's the rest of the document.
[Tue 11:33:16] <dlongley>	ShaneM: If we get pushback I'll add a button to hide the appendix.
[Tue 11:33:22] <dlongley>	+1 to that direction!
[Tue 11:33:31] <CarlaCasilli>	+1 to that direction, too
[Tue 11:33:36] <ShaneM>	+1
[Tue 11:33:46] <StuartSutton>	+1
[Tue 11:33:47] <manu>	+1 to that direction
[Tue 11:33:48] <dlongley>	manu: Ok, that sounds like our direction for the use cases.
[Tue 11:33:55] <dlongley>	manu: Sounds good. Anything else on that, Shane?
[Tue 11:34:07] <dlongley>	ShaneM: Everyone who is not editing say a little prayer for us, we'll get there.
[Tue 11:34:18] <burn>	the reason for this is that some people will use lack of focus to nix the work, while others will use lack of context to nix it.  This provides both.
[Tue 11:35:24] <dlongley>	manu: If either of you guys want to present the Deutsche Telekom work on Credentials you guys are welcome to present that to this group.
[Tue 11:35:47] <dlongley>	Peter: I will do that, I think the user centric approach is very much in line with what we are doing. At the moment I am just new to the group.
[Tue 11:35:47] <voip-vctf>	victoriano [SIP/90.161.204.253-0000079e] has joined the conference.
[Tue 11:36:13] <manu>	Topic: Draft Charter Proposal
[Tue 11:36:13] <dlongley>	manu: Jorg and I have talked a lot about the work we're doing here and what you're doing and we agree there's a tremendous amount of alignment. It would just be getting everyone up to speed in this area.
[Tue 11:36:14] <voip-vctf>	victoriano [SIP/90.161.204.253-0000079e] has left the conference.
[Tue 11:36:20] <manu>	http://w3c.github.io/vctf/charter/proposal.html
[Tue 11:39:48] <dlongley>	manu: We need to make a decision on the proposal pretty soon. The proposal ... we haven't been asked to provide a charter proposal but we'll do it anyway because it helps the Web Payments IG see what we're asking for, it's a solid ask. I think we're to the point where we can do solid asks and see what the team and IG thinks. We're having trouble formulating what the solid ask is for however, ... through the interviews we asked if the problem was in data models or formats, like how to express digital credentials like drivers license, debt obligations, whatever. What's the data model and format to do that, how do you do that online ... OR is the focus on how to issue, request, and transmit the credentials? If we split the work up like that can they be independent; can you do one and then the other? The current charter is about getting the data model and format down ... and talk about how to express a claim and get it nicely locked down. Then the vision is to work on the protocol. How do you move those around on the Web and internet that is private, secure, easy, etc. First group just wants to work on the data model and data format, don't work on protocol. The other group of folks says don't just work on the data model and format, because until you can move things around you don't have a healthy ecosystem. If you don't specify the ecosystem you may actually do damage because you won't have interop.
[Tue 11:40:19] <dlongley>	manu: Does anyone have strong feelings one way or another for what to put in the charter? If we make it too big, it sounds like it will take many years to do ... they will be less prone to do the work.
[Tue 11:40:24] <dlongley>	q+
[Tue 11:40:24] <voip-vctf>	dlongley has been added to the queue: dlongley
[Tue 11:40:29] <manu>	ack dlongley 
[Tue 11:40:29] <voip-vctf>	dlongley has the floor.
[Tue 11:40:49] <manu>	dlongley: I feel like if we don't cover both of these things, we'll get pushback from one of the two groups - data format is not important, if all you're going to do is data format, don't bother.
[Tue 11:41:01] *	StuartSutton (~StuartSutton@public.cloak) has left #vctf
[Tue 11:41:02] <CarlaCasilli>	how might the data model work tie into the CTI work?
[Tue 11:41:03] <manu>	dlongley: Other's feel that data format is really important and we shouldn't do protocol yet.
[Tue 11:41:06] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-00000790] has left the conference.
[Tue 11:41:24] <manu>	dlongley: Some might find that there is nothing for them to work on. We can try to limit the scope in a number of ways.
[Tue 11:41:50] <manu>	dlongley: We could focus on doing only the browser API - make it clear that work should be done at W3C - disadvantage of not having HTTP API. So, that might give us limitd scope to get something done.
[Tue 11:42:25] <manu>	dlongley: The other thing we can do is to be clear about providing simple means to store information in the browser and share it via the browser - we don't try to do anything other than that. If we keep it limited to that - we need a format for the data and we need to have the simplest version of the ecosystem.
[Tue 11:42:28] <ShaneM>	+1 for browser api - sharing / storing; need callout to ensure that third party apps can do it
[Tue 11:42:29] <manu>	q+ to talk about browser vendors.
[Tue 11:42:29] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:44:09] <dlongley>	manu: Here's my primary concern with that approach -- we have zero browser vendors joining the calls and a few of them disagree with the approach we're taking. Mike West, for example, is skeptical of the work and Richard Barnes of Mozilla ... and Brad Hill from facebook. If we proposed a browser API without vendors behind it, I'm pretty strongly convinced it won't happen because we've gone through this in the Web Payments group ... we proposed an API and there was ignoring/rejection of that. It does no good to propose a browser API with no vendors behind it.
[Tue 11:44:16] <dlongley>	q+
[Tue 11:44:16] <voip-vctf>	dlongley has been added to the queue: manu, dlongley
[Tue 11:44:18] <manu>	ack manu
[Tue 11:44:18] <voip-vctf>	manu has the floor (to talk about browser vendors.).
[Tue 11:44:22] <manu>	ack dlehn 
[Tue 11:44:23] <voip-vctf>	dlehn isn't on the speaker queue.
[Tue 11:44:24] <manu>	ack dlongley 
[Tue 11:44:25] <voip-vctf>	dlongley has the floor.
[Tue 11:45:11] <ShaneM>	q+ to mention the web authentication working group https://www.w3.org/2015/12/web-authentication-charter.html
[Tue 11:45:11] <voip-vctf>	ShaneM has been added to the queue: ShaneM
[Tue 11:45:30] <manu>	dlongley: My response would be - yes, Mike West is skeptical - but there is already a Credential Management API that we intend to try to extend. We already got Mike West to say in that spec, that the Credentials CG intended to extend the spec and do some other things. We could point to it and say this is what we're doing. So, we can build polyfills on top of that, I think we have some of that groundwork where we might otherwise be starting entirely from scratch.
[Tue 11:45:59] <manu>	q+ to note that the "hook" can be overruled by browser vendors - who is going to get behind us?
[Tue 11:45:59] <voip-vctf>	manu has been added to the queue: ShaneM, manu
[Tue 11:46:02] <manu>	ack ShaneM 
[Tue 11:46:02] <voip-vctf>	ShaneM has the floor (to mention the web authentication working group https://www.w3.org/2015/12/web-authentication-charter.html).
[Tue 11:46:03] <voip-vctf>	ShaneM [SIP/callcentric.com-0000079d] has left the conference.
[Tue 11:46:08] <dlongley>	ShaneM: Longley, I don't disagree, we have a hook. Maybe we don't want to use the hook or the hook is broken. We have some sort of existing W3C browser API. I would also note there is some Web Authentication activity, I don't know how it dovetails with what we've been doing.
[Tue 11:46:14] <manu>	q+ ShaneM
[Tue 11:46:14] <voip-vctf>	manu has been added to the queue: manu, ShaneM
[Tue 11:46:22] <dlongley>	manu: I'll put him back on the queue, hopefully he'll reconnect.
[Tue 11:46:32] <ShaneM>	wow I was super eloquent
[Tue 11:46:43] <dlongley>	manu: It doesn't have any overlap as far as we can tell, the Web Authentication WG is not allowed to work on multi-origin credentials or federated identity.
[Tue 11:46:49] <burn>	q+
[Tue 11:46:49] <voip-vctf>	burn has been added to the queue: manu, ShaneM, burn
[Tue 11:46:56] <manu>	ack manu
[Tue 11:46:56] <voip-vctf>	manu has the floor (to note that the "hook" can be overruled by browser vendors - who is going to get behind us?).
[Tue 11:46:57] <dlongley>	manu: That's effectively what we're working on.
[Tue 11:47:06] <dlongley>	manu: So we're what's "out of scope" for that WG.
[Tue 11:47:26] <ShaneM>	perfect
[Tue 11:47:34] *	ShaneM phone went insane
[Tue 11:47:48] <Richard>	add varn to cue
[Tue 11:48:05] <manu>	q+ Richard
[Tue 11:48:05] <voip-vctf>	manu has been added to the queue: ShaneM, burn, Richard
[Tue 11:48:09] <dlongley>	manu: We still do not have a browser saying "we will back this" and without that I don't think we can get anywhere. I think Mike West and the Google folks are saying "We'd be interested in seeing a proposal and we'll think about it once it's on the table ..." but I think once we say that they'll say "this API was never intended to work that way, you should build on something else." and as a result we're completely stonewalled.
[Tue 11:48:12] <manu>	ack burn
[Tue 11:48:12] <voip-vctf>	burn has the floor.
[Tue 11:48:46] <manu>	q+ to note clear path that doesn't require browser vendor buy in at the beginning.
[Tue 11:48:46] <voip-vctf>	manu has been added to the queue: ShaneM, Richard, manu
[Tue 11:48:53] <manu>	ack Richard
[Tue 11:48:53] <voip-vctf>	Richard has the floor.
[Tue 11:48:54] <dlongley>	burn: +1 I've had that experience in multiple groups. If you need anything implemented by browsers and they aren't participating, it won't happen. I agree Manu's concern is a major one and we don't want to go down a road that ends up with no implementations.
[Tue 11:50:32] <CarlaCasilli>	+1 to what Richard is saying. The combination of use cases is the complexity that extends beyond what edu wants right now.
[Tue 11:50:50] <dlongley>	Richard: I was going to add that we always run into a danger that we have a scope so large that it swallows discussion. The education community is involved because they want to exchange credentials, discover them, etc. The protocol as you're describing it, no one really cares what it is in that use case world, they just want it to work, and one or more of them to plug into the data to build a trust model around it that's adequate to its use. If we can express that without trying to cover every area of interest here ... if we can cover some areas in how to format or express these credentials then that's the unique contribution we can make. The other thing I see is the Web Auth WG has our stuff out of scope so they will be helpful and so will the Web Payments group, so I'm trying to make sure we make a contribution that is unique and link it to shared contributions and I'm not sure how to do that.
[Tue 11:51:28] <voip-vctf>	Shane McCarron [SIP/callcentric.com-000007a0] has joined the conference.
[Tue 11:51:40] <ShaneM>	voip: 7a0 is ShaneM
[Tue 11:51:40] <voip-vctf>	Associated ShaneM with SIP/callcentric.com-000007a0.
[Tue 11:53:24] <ShaneM>	q+ to ask if you want use cases that seem to require protocols pushed to "phase 2" ?
[Tue 11:53:24] <voip-vctf>	ShaneM has been added to the queue: ShaneM, manu, ShaneM
[Tue 11:53:29] <dlongley>	manu: The answer to Carla's question is that it's the same way this work ties into other credentialing initiatives. They all need a data model and format to express this stuff in an interop/verifiable way. It sounds like the bare minimum we could do is do just that. We can say we know we're going to need a protocol in the future but we don't have browser buy in yet. The protocol stuff is somewhat controversial because it seems like we're trying to boil the ocean there and all we're left with is data model and data format. The hope is that we can through that in a years time. We're already working with Badge Alliance, CTI to pull that stuff together and we can bring that into the working group and in a year we can build a case to having a browser API. After hearing some of the input I think the thing that everyone seems to have in common right now is a common way to express these claims and make sure they are verifiable. When it comes to browser API then people start fragmenting and we can't say we have consensus on those things. That just comes down to let's work on data model and format in the charter until we get consensus and buy in on browser API.
[Tue 11:53:32] <manu>	ack ShaneM 
[Tue 11:53:32] <voip-vctf>	ShaneM has the floor.
[Tue 11:53:34] <manu>	ack manu
[Tue 11:53:34] <voip-vctf>	manu has the floor (to note clear path that doesn't require browser vendor buy in at the beginning.).
[Tue 11:53:36] <manu>	ack ShaneM 
[Tue 11:53:36] <voip-vctf>	ShaneM has the floor (to ask if you want use cases that seem to require protocols pushed to "phase 2" ?).
[Tue 11:53:43] <CarlaCasilli>	:)
[Tue 11:54:15] <manu>	q+ to be clear that he wants data model, data format, and protocol.
[Tue 11:54:15] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:54:25] <dlongley>	ShaneM: I understand what you're saying Manu with "gets some points on the board" if you will. If the group agrees with the direction you're pushing for, do you want us to push use cases that aren't protocol related to go up to Phase I?
[Tue 11:55:12] <dlongley>	manu: Ian has pushed back on phases and said just talk about a charter ... to be clear I think the answer to your question is "yes", meaning we'll want to put something to the order of "phase I/phase II" or "VC Data Format WG" and "VC Protocol WG".
[Tue 11:55:14] <victoriano>	q+ to express a personal view of what "edu want", about browser API
[Tue 11:55:14] <voip-vctf>	victoriano has been added to the queue: manu, victoriano
[Tue 11:55:16] <dlongley>	manu: And stage it.
[Tue 11:55:31] <dlongley>	manu: I think we all want data model/format and protocol to be done. That's when it has a tremendous amount of value to us.
[Tue 11:56:03] <dlongley>	manu: I'm finding it difficult to put the protocol stuff in there because we already know W3C management will push back hard on it. If so, it's hard to get it front of the membership, which means giving them something they think they can sell.
[Tue 11:56:04] <manu>	ack manu
[Tue 11:56:04] <voip-vctf>	manu has the floor (to be clear that he wants data model, data format, and protocol.).
[Tue 11:56:19] <manu>	ack victoriano 
[Tue 11:56:19] <voip-vctf>	victoriano has the floor (to express a personal view of what "edu want", about browser API).
[Tue 11:56:34] *	dlongley no audio from your victoriano
