[Fri 14:03:36] <dlongley>	scribe: dlongley
[Fri 14:24:18] <dlongley>	bsheets: I was thinking the only thing I'm seeing now ... not in the generic sense you're talking about. In our world, the credentialing world, there's a big debate now over this question the context of those people who historically provided different credentials for people like transcript services. Then the question becomes what if the student wants to hold that transcript and then a university doesn't own the statements and it's contributing to someone else. That's an idea ... it's created a lot of discussion "how would all this work?" I'm suggesting for communicating into our world an example would be that.
[Fri 14:24:26] <dlongley>	manu: Great, that's very helpful.
[Fri 14:26:17] <dlongley>	manu: The fundamental notion for this work is we want a rich and vibrant ecosystem for thousands of different issuers, consumers, storage locations, etc. It's up to the credential holder to decide where to store their credentials. We're not trying to push any particular control model over those credentials; it's perfectly viable for a university to issue a credential and let a person carry it around but they can still revoke it. You can also hand people credentials and say they won't be revoked. No particular control model there, we're just trying to create an interoperable ecosystem with options and the mechanism used to represent and exchange credentials is the same regardless of industry.
[Fri 14:26:39] <dlongley>	bsheets: You've mentioned all the different orgs you've brought this forward to. This would be very interesting to the standards bodies that deal with the HR systems that deal with employers, etc.
[Fri 14:27:19] <dlongley>	manu: Yes, we are talking. The HR folks "we would love to consume these credentials, who will start generating them?" Then you got to the universities, some are on board, but others will ask "Ok, who will start consuming them?" And we point at HR systems.
[Fri 14:27:49] <dlongley>	bsheets: What I'm saying is they are trying to consume old credentials now and have a hard problem. They are trying to push them into applicant tracking systems and there are a lot of problems they have now. My suggestion is ... it's not that they aren't trying to consume now.
[Fri 14:28:03] <dlongley>	manu: What would you say are some of the problems with getting existing credentials into these tracking systems?
[Fri 14:29:01] <manu>	topic: Data Format
[Fri 14:29:11] <dlongley>	bsheets: In a non-technical way, many employers are getting three million applications and a lot of times they are trying to figure out how to parse out a resume that should be like a database ... and how do I parse out a resume into my data fields for screening on eligibility. Sometimes those conditions would be like age, something about work history, minimal credential health, etc. They need to be able to parse that into an infrastructure they can use, so many times they make applicants fill out a structured form online.
[Fri 14:29:49] <dlongley>	bsheets: That can make sense for small employers and 20-30 applicants, but the Web allows people to apply for hundreds of jobs and then people say "Just attach your resume and transcript". You can't immediately get that into a data structure or data base.
[Fri 14:30:16] <dlongley>	manu: Yes, that's a data modeling and data format problem. We're asserting there is no standard data model or format that you could put a credential into today that IBM/Oracle or a small software vendor could build something around.
[Fri 14:30:46] <dlongley>	bsheets: In the old credential world that's a problem that's not resolved, in the new credential world we have things called competencies that add a level of complexities that overwhelms the old problem that still hasn't been solved.
[Fri 14:30:59] <dlongley>	manu: Jeanne you said you're looking at W3C tech to solve this problem, which techs and how far along are you?
[Fri 14:31:11] <manu>	Topic: Technical Advisory Committee on Metadata
[Fri 14:31:57] <dlongley>	jeanne: We have a tech advisory committee and tech advisor and we're working through that process and looking at the domain model and figuring out the properties and vocab to fully describe the credentials, I can't give you a percentage on how far along we are but we have that information available to the public on our website. We have placeholders for the infrastructure and what that design looks like.
[Fri 14:32:05] <dlongley>	manu: Do you have a link to that?
[Fri 14:32:20] <dlongley>	jeanne: Sure, one moment.
[Fri 14:32:52] <dlongley>	manu: Bob, what do you see as the ideal ecosystem here? If CTI's successful and there's a set of technologies in place, what do you see as the future?
[Fri 14:33:58] *	jeanne has quit ("Page closed")
[Fri 14:34:06] *	jeanne (~jeanne@public.cloak) has joined #vctf
[Fri 14:35:11] <dlongley>	bsheets: I'm really excited about what you are all doing because you're dealing with a related problem that we all have. What we're trying to address is to allow any cred org to clearly say when someone holds my cred, an individual, these are the cred requirements that they met to hold it. That declaration is in version control allowing them to say that when I awarded creds during a time period and actually no one can do and they had other requirements. And they are issuing creds in a way that provides an authN service and... certain creds are time limited sometimes and other cases they aren't. This infrastructure would allow any credentialing org to publish on the Web comparing information about those declarations and make links to other types. We need others like you all to figure out the solutions around what you're describing is a service for individuals to hold a variety of creds that they can make available to employers, other cred orgs, or any other sort of users. We see this as a necessarily, complementary development to what we're trying to do.
[Fri 14:35:30] <manu>	http://credreg.net/
[Fri 14:36:56] <manu>	Draft domain model: https://drive.google.com/file/d/0Bye25TO-7pllenhGUWctWHlVb2c/view
[Fri 14:37:38] <dlongley>	manu: I'm trying to give the W3C membership an idea of what you're doing. It looks like you're using Linked Data with some prototypes and examples in JSON-LD.
[Fri 14:37:40] <dlongley>	jeanne: Yes.
[Fri 14:37:43] <dlongley>	bsheets: Yes.
[Fri 14:37:48] <dlongley>	jeanne: There are some examples and viewers on the website.
[Fri 14:38:02] <manu>	Linked Data properties viewer: http://credreg.net/page/propertiesviewer
[Fri 14:38:11] <dlongley>	jeanne: In step three, under description, that's where you'd see the evolving Linked Data format.
[Fri 14:38:38] <dlongley>	manu: Ok, this will help us demonstrate that CTI is looking at W3C technology.
[Fri 14:39:31] <dlongley>	Topic: Need for Credentials Technology
[Fri 14:39:31] <dlongley>	manu: If we were not able to get this work started, how would that impact the work you're trying to do? We're talking about a cred ecosystem, that can issue credentials, store them at cred holder's choice, and then a credential consumer like an HR department could technically request a set of creds from someone and get them in a machine readable format. If the membership votes down this proposal, what would the effect be on your initiative?
[Fri 14:40:40] <dlongley>	bsheets: We would have a hard time because it's part of a three legged stool. We need to have the cred orgs publish comparable info in the marketplace, we need individuals to be able to communicate claims and send to their employers, etc. If someone doesn't address the problems you're dealing with on your leg that would be a problem ... if someone isn't working on the individual side of this and how the information is held and communicated in the marketplace that is one building block of the cred marketplace that isn't being addressed and we hope you all do it.
[Fri 14:41:21] <dlongley>	bsheets: Think about this on the employer side. I'm not just dealing wit hthings a cred org would give to a individual, employers want a variety of other things like citizenship, and other things an individual is attesting they are that go along with the cred info we're talking about, which is why I like what you're doing.
[Fri 14:41:30] <dlongley>	bsheets: It all needs to be handled in the same way.
[Fri 14:41:50] <dlongley>	manu: Yes, that's what we're proposing, the way all of these credentials would be handled in the same way. We have some CG technical proposals showing how that can be done.
[Fri 14:42:04] <dlongley>	bsheets: That's why I love the power of your guys vision because it needs to be handled in the same way.
[Fri 14:44:02] <dlongley>	manu: There's currently some back and forth going on with what the technical work might be. There are two views, all at once and a phased approach. Phased approach would be first, figure out the data model and format for expressing these credentials. There are orgs saying that should be easy and we can get it done in a year and let's focus on that. How the creds flow around the ecosystem can wait. Another camp says we need that, but without a protocol for saying how you transmit these credentials around (request creds, store them, etc). then it's not good enough. The questions is should we phase this work or have it done all in one go? Would it be worth while to focus on the data model and data format and determine how to express this from a technical format, or do you feel like just expressing them isn't enough?
[Fri 14:44:15] <dlongley>	jeanne: I'm not sure how to answer that, but I understand the question.
[Fri 14:45:32] <dlongley>	bsheets: Same here. I know one thing that keeps coming up ... question we keep getting is what is the protocols for controlling the information by the issuers of the credentials. That is the biggest deal, most cred orgs ... I'm constantly being asked about authentication services and maintaining my brand in the marketplace. That gets at protocols. My worry is that to introduce it to people that we deal with that aren't the technical people ... the people who would have to buy on as stakeholders if you don't convince people you've given sufficient thought to the protocols you may get some resistance.
[Fri 14:45:57] <dlongley>	manu: The resistance is primarily around "can we take baby steps to try and address this issue or can we not see any benefit until we see both data model+format and protocol in place?"
[Fri 14:46:16] <dlongley>	bsheets: If you had just laid out what the questions are on the protocol that need to be addressed, that would give people more confidence that it's been scoped out sufficiently.
[Fri 14:46:51] <dlongley>	manu: Ok, that's helpful. From both of your standpoints, would it be better to do data format+model and protocol together or can we wait a couple years to do the data format+model and then wait to get the protocol done after trying it out in the marketplace?
[Fri 14:47:29] <dlongley>	bsheets: I have a hard time addressing that question, whatever it takes to get your group started and on the map and doing work the better. I would urge the group start up and get a center of gravity because it would bring coordination that won't be fruitful without a stake in the ground. That would be wonderful as soon as possible.
[Fri 14:48:19] <dlongley>	manu: Thanks, very helpful. This question we ask more to the more technical people, but do you have any opinions on which standards bodies should be involved? We're proposing W3C could do some work and IMSGlobal is participating with the task force.
[Fri 14:48:50] <dlongley>	bsheets: I would suggest look at [missed] whether they'd be a good partner. You may have to interview them.
[Fri 14:49:38] <dlongley>	bsheets: What I'd like to do ... We're trying to coordinate with all these different standards groups. I'll be attending the HR consortium meeting in March, I'll know more then I'd be more than happy to connect with them in this space.
[Fri 14:49:46] <dlongley>	manu: That would be fantastic. We need connections in that space.
[Fri 14:49:58] <dlongley>	bsheets: I'll be talking with them in the middle of March I'll send information or suggest connections after that.
[Fri 14:50:02] <dlongley>	manu: Thank you very much for that.
[Fri 14:51:25] <dlongley>	manu: We've gone through many of the things we wanted to cover today, now that you have a bit more of an idea of what we're trying to do... If we're able to get a W3C WG to work on this, ... once they are chartered the group could produce an international recommendation for how to express credentials/potentially a protocol, do you have any other ideas or concerns about that space? Maybe about how difficult it is to deploy that stuff, business models, etc.?
[Fri 14:51:49] <dlongley>	bsheets: No reservations at all. As long as you are coordinating with IMS Global, etc. in this space, it's really important work and if W3C can coordinate related initiatives in this work that would be very valuable.
[Fri 14:52:44] <dlongley>	manu: To put a finer point on it, whatever CTI ends up creating, you've got a registry and this is what these credentials mean, one of the use cases we're going to be putting in here would be that you could take something from the CTI registry and issue a digital credential that someone can store someone using this W3C technology. That's the kind of coordination we kind of see 6-18 months down the road. Are both of you under the same impression?
[Fri 14:53:04] <dlongley>	bsheets: Yes, exactly I'm real excited. Because of the importance of having that connection, especially on authentication services, that is such a critical connection.
[Fri 14:53:12] <dlongley>	manu: Anything else for the interview today?
[Fri 14:53:18] <dlongley>	bsheets: How do we keep in contact w/ where you're at?
[Fri 14:53:26] <manu>	http://w3c.github.io/vctf/meetings/
[Fri 14:53:46] <manu>	https://www.w3.org/community/credentials/
[Fri 14:54:09] <dlongley>	manu: Jeanne has my email address, there's a VCTF page showing the meetings, all recorded and transcribed. There's also a Credentials CG I recommend people from CTI join, we do have some people already joining VCTF, such as Stuart Sutton who is fantastic and knows what's going on.
[Fri 14:54:20] <dlongley>	bsheets: That's wonderful. As long as Stuart and Jeanne are connected that's wonderful.
[Fri 14:55:17] <dlongley>	manu: Thank you, Jeanne and Bob, we really appreciate you taking the time and talking about CTI, etc. We will publish these minutes publicly within the next day or two and we'll give you a link to the final report on these interviews (probably around end of this month). We'd like to get a WG started up if we can convince 300+ companies. :)
[Fri 14:55:19] <voip-vctf>	Manu Sporny [SIP/6000-000007ce] has left the conference.
[Fri 14:55:24] <voip-vctf>	Dave Longley [SIP/6002-000007d0] has left the conference.
[Fri 14:55:25] <voip-vctf>	David I. Lehn [SIP/6003-000007cf] has left the conference.
[Fri 14:55:29] <manu>	voip: connections?
[Fri 14:55:29] <voip-vctf>	Conference participants are: JeanneAndBob [SIP/69.71.222.196-000007d2].
[Fri 14:55:33] <manu>	voip: disconnect 7d2
[Fri 14:55:33] <voip-vctf>	Disconnecting JeanneAndBob [SIP/69.71.222.196-000007d2].
[Fri 14:55:33] <voip-vctf>	JeanneAndBob [SIP/69.71.222.196-000007d2] has left the conference.
[Fri 14:55:33] <voip-vctf>	No one is in the conference.
[Fri 14:55:34] *	voip-vctf has quit ("Shutting down...")
[Fri 14:55:42] *	jeanne has quit ("Page closed")
