[2019-03-19T15:57:10.064Z]	<brent>	present+ Brent_Zundel
[2019-03-19T16:15:15.624Z]	<rhiaro>	... Right now that means having a written spec
[2019-03-19T16:15:18.499Z]	<kimhd>	present+
[2019-03-19T16:15:33.880Z]	<rhiaro>	... The next issue is the DID exlpainer for the TAG and integration into the DID Primer
[2019-03-19T16:15:47.098Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/38
[2019-03-19T16:16:07.134Z]	<rhiaro>	... This was assigned to me and burn, and burn has his hands full with VC today
[2019-03-19T16:16:19.463Z]	<rhiaro>	... THere was a question on this. Namely around whether or not the explainer is something we need for the charter?
[2019-03-19T16:16:33.461Z]	<rhiaro>	... I think that relates in particular to does the w3c TAG do anything wrt to the charter?
[2019-03-19T16:16:46.091Z]	<rhiaro>	... I was hoping manu would be on the call because I think he knows something about that... Anyone else know the process well enough?
[2019-03-19T16:17:35.939Z]	<rhiaro>	dlongley: I would say we definitely want an explainer when the charter goes out, it helps people understand who the technology is going to be used for, what it's trying to do, educate people why they should be voting for the charter
[2019-03-19T16:18:09.039Z]	<rhiaro>	JoeAndrieu: I agree we need something, but the explainer is a particular structure the TAG asked for. We now have 3 active publications. The explainer, the Primer, and a document drummond started at rebooting. I feel like we have too many documents trying to scratch the itch you just described
[2019-03-19T16:18:14.098Z]	<drummond>	q+
[2019-03-19T16:18:23.891Z]	<rhiaro>	... To me the issue is that explainer as requested by the TAG, ie something more than what we have in the primer
[2019-03-19T16:18:26.639Z]	<JoeAndrieu>	ack drummond
[2019-03-19T16:18:50.848Z]	<rhiaro>	drummond: We wanted to make sure the document we started at Rebooting was not to start any confusion about what is needed for the w3c applicaiton process for the DID charter
[2019-03-19T16:19:07.870Z]	<rhiaro>	... whatever is needed there we want to design specifically for the DID charter. We weren't intending that document to be part of the DID charter
[2019-03-19T16:19:11.372Z]	<rhiaro>	JoeAndrieu: thanks for that clarification
[2019-03-19T16:19:23.414Z]	<rhiaro>	... I'm going to leave this issue as it is. I'd like to check in with someone who understands the TAG's role in chartering
[2019-03-19T16:19:27.489Z]	<rhiaro>	... We'll review this again next week
[2019-03-19T16:19:39.323Z]	<rhiaro>	... Apparently this needed to be done by mid January..
[2019-03-19T16:19:46.945Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/21
[2019-03-19T16:19:55.403Z]	<rhiaro>	... Last issue in that set is #21
[2019-03-19T16:19:58.035Z]	<kimhd>	q+
[2019-03-19T16:20:05.287Z]	<JoeAndrieu>	ack kimhd
[2019-03-19T16:20:53.139Z]	<rhiaro>	kimhd: I put myself on the q to disagree with that latest comment. It's the various ethereum ?? 725 is one.. There's some publications like the one uPort has published.. Chris's latest comment is that it shouldn't be closed until there is documentation in one of our repos
[2019-03-19T16:21:00.665Z]	<rhiaro>	... My personal opinion is that that's just not really required here
[2019-03-19T16:21:08.861Z]	<rhiaro>	... I don't know why we're putting that burden on ourselves
[2019-03-19T16:21:27.409Z]	<JoeAndrieu>	q?
[2019-03-19T16:21:32.780Z]	<rhiaro>	... The things that we care about are covered in the DID method registry. If they want things to be.. if they want to reference a DID method there it's appropriate, but we don't have that reuqirement for anything else. Documentation of a different community's efforts are not required
[2019-03-19T16:21:35.232Z]	<rhiaro>	... I'll comment saying that
[2019-03-19T16:21:43.580Z]	<rhiaro>	JoeAndrieu: Thanks kim
[2019-03-19T16:21:45.264Z]	<rhiaro>	... Chris?
[2019-03-19T16:21:47.498Z]	<markus_sabadello>	q+
[2019-03-19T16:21:55.142Z]	<JoeAndrieu>	ack markus_sabadello
[2019-03-19T16:22:08.226Z]	<rhiaro>	markus_sabadello: At some point there was someone who volunteered to do that research on documentation but I guess that didn't happen
[2019-03-19T16:22:23.054Z]	<rhiaro>	... I just know that erc725 proposal is changing quite a bit, there's a new version of that, version 2 or something like that
[2019-03-19T16:22:33.460Z]	<kimhd>	drabiv is assigned this
[2019-03-19T16:22:38.081Z]	<rhiaro>	... I also know that jolocom people have some documentation or information that lives in thier FAQ on their website that explains
[2019-03-19T16:22:44.960Z]	<rhiaro>	... why they create their own ethereum based DID method
[2019-03-19T16:22:45.422Z]	<dlongley>	what i'll say about the explainer and similar docs is that any supplemental material that helps the AC understand *why* they should vote for something is extremely important -- if we want a successful vote, we want to educate the AC as best we can (without giving them reams of material to go through ... and an explainer can help significantly with that) ... so it's less about what is strictly required and more about what we can do to get a successful vote
[2019-03-19T16:22:45.472Z]	<dlongley>	to get a WG started.
[2019-03-19T16:23:07.461Z]	<rhiaro>	JoeAndrieu: I don't know what next steps are for this
[2019-03-19T16:23:07.987Z]	<kimhd>	q+
[2019-03-19T16:23:17.144Z]	<JoeAndrieu>	ack kimhd
[2019-03-19T16:23:36.014Z]	<rhiaro>	kimhd: I just don't think we need it here. It's useful in general for people to have access to, but it's not an action item for the CCG
[2019-03-19T16:23:51.144Z]	<rhiaro>	... Maybe chairs can discuss on friday. But I'll ping bohdan to see if he has plans to address it. Otherwise I think we can close it
[2019-03-19T16:23:53.546Z]	<rhiaro>	JoeAndrieu: I agree
[2019-03-19T16:24:04.959Z]	<JoeAndrieu>	q?
[2019-03-19T16:24:08.719Z]	<jonathan>	q+
[2019-03-19T16:24:09.605Z]	<rhiaro>	... Those were our open issues for this week
[2019-03-19T16:24:28.492Z]	<JoeAndrieu>	https://github.com/w3c-ccg/did-method-registry/pull/25
[2019-03-19T16:24:51.104Z]	<rhiaro>	TOPIC: https DID method spec, and more
[2019-03-19T16:24:57.138Z]	<rhiaro>	JoeAndrieu: Please read this
[2019-03-19T16:25:07.934Z]	<jonathan>	q-
[2019-03-19T16:25:10.603Z]	<markus_sabadello>	q+
[2019-03-19T16:25:21.167Z]	<JoeAndrieu>	ack markus_sabadello
[2019-03-19T16:25:24.542Z]	<rhiaro>	... I want the conversation to be more than about the https method spec. Markus proposed tongue-in-cheek the facebook method spec. Ther eis a wider question about do DID methods need to be decentralised at a method level
[2019-03-19T16:25:26.204Z]	<dmitriz>	q+
[2019-03-19T16:25:44.382Z]	<rhiaro>	markus_sabadello: the facebook proposal is not a serious proposal, just an attempt to add colour to the discussion when I saw the https method
[2019-03-19T16:26:03.099Z]	<kimhd>	q+
[2019-03-19T16:26:13.324Z]	<rhiaro>	... my opinion is that neither facebook usernames or domain names are decentralized identifiers. Every presentation about zooko's triangle, you here domain names as an example of identifiers that are unique and human readable but not decentralized
[2019-03-19T16:26:29.719Z]	<rhiaro>	... I believe that is the essence of what distinguehes user centric identity vs self sovereign identity
[2019-03-19T16:26:35.274Z]	<rhiaro>	... Doesn't fulfil strict assumptions of ssi
[2019-03-19T16:26:45.585Z]	<rhiaro>	... Also don't satisify the original assumptions of the dpki infrastrcture
[2019-03-19T16:26:55.231Z]	<rhiaro>	... which says identifiers don't depend on any central authority or intermediary
[2019-03-19T16:27:17.287Z]	<rhiaro>	... The challenge we have here is that with DID documents we're inventing a discovery and document format that describes metadata about identifiers. that could be useful also for identifiers that are not DIDs. That's the challenge here
[2019-03-19T16:27:38.359Z]	<rhiaro>	... We're building DIDs but we are also building DID Documents, and DID Docs as a discovery format could be useful for identifiers that are not decentralised, just domain names
[2019-03-19T16:27:46.262Z]	<JoeAndrieu>	q?
[2019-03-19T16:27:52.064Z]	<JoeAndrieu>	ack dmitriz
[2019-03-19T16:27:54.143Z]	<JoeAndrieu>	q+
[2019-03-19T16:27:56.981Z]	<drummond>	q+
[2019-03-19T16:27:57.662Z]	<rhiaro>	dmitriz: I'd like to provide a counterpoint
[2019-03-19T16:28:59.824Z]	<rhiaro>	... I think an https did method could provide a really valuable bridge technology for the various providers. It's a way to include a section of the decentralised identity community, like timbl's solid project and similar ecosystems. It's a way to get them to join the conversation, join the ecosystem. After they've joined we can make an arguement that okay you took this step, here's why a ledger based DID is even better than an https based DID. But to
[2019-03-19T16:28:59.825Z]	<rhiaro>	 deny them entrance on the groudns that they're not decentalised enough is really unhelpful
[2019-03-19T16:29:01.720Z]	<JoeAndrieu>	q?
[2019-03-19T16:29:06.139Z]	<JoeAndrieu>	ack kimhd
[2019-03-19T16:29:47.472Z]	<rhiaro>	kimhd: Never used facebook, but I love this method. I liek that markus called it out. For me and a lot of us are trying to present DIDs and their different properties, it's very useful from an educational perspective. To build on what dmitri was saying, it's good for teasing apart.. if you work with a facebook DID method it's easy for people to understnad what that is
[2019-03-19T16:30:08.108Z]	<rhiaro>	... One of the points of failure of using facebook as your ledger.. a good way to point out the boundaries and the strengths of other DID methods
[2019-03-19T16:30:16.079Z]	<JoeAndrieu>	q?
[2019-03-19T16:30:19.672Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-03-19T16:30:37.539Z]	<drummond>	To pre-scribe what I'm about to say, I feel *very strongly* that the DID spec needs to take a strong stance about the actual decentralization of DIDs. Perhaps even objective tests about the level of decentralization of any DID method.
[2019-03-19T16:30:49.120Z]	<rhiaro>	JoeAndrieu: question for markus: I was left wondering what your position was. It seemed like you started out saying if the underlying method isn't itself decentralised then it shouldn't be a DID but then you made a case that the discovery method might make that interesting and therefore allowed?
[2019-03-19T16:31:05.121Z]	<rhiaro>	... Two things - we may already be decentralised. Which really gets to.. what does it  mean to be decentralised?
[2019-03-19T16:31:34.329Z]	<rhiaro>	... The fact that I can use different DID methods is a form of decentralisation. There is no central authority in charge of what methods are out there. The registry is a lookup, it's not definitive. We don't have that level of decentralisation of DNS
[2019-03-19T16:31:43.591Z]	<rhiaro>	... I don't have an opportunity in a domain namem to say I want to use this other root. But with DIDs you can
[2019-03-19T16:31:52.341Z]	<rhiaro>	... The ability to vary the method is in fact a form of decentralisation at the platform level
[2019-03-19T16:31:55.679Z]	<drummond>	I do not, however, believe the DID spec should prohibit DID methods that are based on centralized systems. I just thing we should properly warn about them in the DID spec editorial text.
[2019-03-19T16:32:14.805Z]	<rhiaro>	... Even if that's not sufficient, the quesiton is what does decentralisation mean with enough clarity so that we could make a judgement about whether or not a particular method qualifies as a DID method
[2019-03-19T16:32:18.534Z]	<rhiaro>	... I don't think there is such a defnition
[2019-03-19T16:32:21.801Z]	<jonathan>	q+
[2019-03-19T16:32:21.879Z]	<markus_sabadello>	q+
[2019-03-19T16:32:22.031Z]	<rhiaro>	... I haven't heard a compelling one
[2019-03-19T16:32:31.273Z]	<JoeAndrieu>	q?
[2019-03-19T16:32:33.426Z]	<rhiaro>	... I don't know how to define it to be rigourous
[2019-03-19T16:32:36.031Z]	<JoeAndrieu>	ack drummond
[2019-03-19T16:33:51.469Z]	<rhiaro>	drummond: I love markus' post. We had good discussions at rebooting about 'centralised' DID methods. I believe we should not prohibit because we really can't, DID methods based on centralised registries. But the spec should be very clear about what decentralisation really means and that the level of trust or assurance that you can have in DID methods that rely on centralised registires is different. We shoul dnot mince words about the point of the
[2019-03-19T16:33:51.469Z]	<rhiaro>	spec being DEcentralized identifiers
[2019-03-19T16:33:57.479Z]	<rhiaro>	... But I don't think we should prohibit other ones
[2019-03-19T16:34:10.453Z]	<rhiaro>	... It be comes a different question what we should do about methods that are clearly based on centralized registires in the DID method registry
[2019-03-19T16:34:38.842Z]	<JoeAndrieu>	q+ To ask Drummond for a definition that handles Sovrin correctly
[2019-03-19T16:34:41.398Z]	<JoeAndrieu>	q?
[2019-03-19T16:34:42.490Z]	<rhiaro>	... I might consider that we look at categorising or having a separate category section fo that for if we do start to register DID methods based on centralised registiry. We could put them in a separate sectiona nd cearly warn that these methods are not based on decentralized systems
[2019-03-19T16:34:43.543Z]	<mwherman2000>	+1 for the emphasis on *decentralized* identifiers
[2019-03-19T16:34:46.034Z]	<JoeAndrieu>	ack jonathan
[2019-03-19T16:34:48.992Z]	<jonathan>	did:ipid:jonnycrunch.me
[2019-03-19T16:35:01.521Z]	<jonathan>	"dnslink=/ipld/zdpuB1oR3vjYmkDc9ALfY7o6hSt1Hrg2ApXaYAFyiAW5E4NJP"
[2019-03-19T16:35:08.604Z]	<rhiaro>	jonathan: In the IPID spec we do support DID syntax, human readable names that resolve. I don't like it, it relies on DNS in the background, in particular the text field being a DNS link
[2019-03-19T16:35:17.585Z]	<rhiaro>	... This will resolve and be cached into the DHT
[2019-03-19T16:35:21.362Z]	<chrisboscolo>	q+
[2019-03-19T16:35:28.060Z]	<mwherman2000>	...especially in the spirit of the @OpenForInnovation Principle: https://hyperonomy.com/2019/03/12/internet-protocols-and-standards-not-only-need-to-be-open-but-more-importantly-open-to-innovation/
[2019-03-19T16:35:32.602Z]	<rhiaro>	... It's human readable and convenient but opens all sorts of vulnerabilities. But like dmitri says, it's a bridge tech
[2019-03-19T16:36:05.941Z]	<rhiaro>	... I demo'd this in barcelona
[2019-03-19T16:36:20.728Z]	<rhiaro>	... It was resolving offline. Opens up issues of security, that's why it came up
[2019-03-19T16:36:22.413Z]	<JoeAndrieu>	q?
[2019-03-19T16:36:28.714Z]	<JoeAndrieu>	ack markus_sabadello
[2019-03-19T16:37:06.823Z]	<rhiaro>	markus_sabadello: decentralization is hard to define. There are a lot of ways to argue. There's one attempt to define a metric of decentralisation in the dpki paper. And one of the comments on the PR by sandro that says control is often obfuscated and it's not black and white
[2019-03-19T16:37:23.424Z]	<Identitywoman>	I am quite concerned
[2019-03-19T16:37:30.691Z]	<rhiaro>	... But facebook user names just like domain names are with all the background and history we have with user centric identity and ssi I don't think we can consider them decentralised identifiers
[2019-03-19T16:37:44.002Z]	<Identitywoman>	I think we have to remember about the capture of OpenID abt the big guys
[2019-03-19T16:37:52.907Z]	<rhiaro>	... If we add them to the method registry, the http smethod.. I understand the convenience and how it can be a bridge, but it will be a contradiction to what the dpki paper and the DID spec itself says in the abstract
[2019-03-19T16:38:00.244Z]	<rhiaro>	... It simply doesn't apply to domain names
[2019-03-19T16:38:24.459Z]	<Identitywoman>	The original vision was so nice and idealist. But it was coopted by them
[2019-03-19T16:38:32.679Z]	<rhiaro>	... The challenge is that we're defining an interesting discovery format, called the DID Document, which can be very useful for metadata about centralised identifiers, but we should not call them DIDs. People who are working with domain names or https URLs, they could use webfinger
[2019-03-19T16:38:56.109Z]	<rhiaro>	... But if they want to use DID Docuemnts, because they're cool.. there's also WebID profiles, that's another discovery format, in the solid space
[2019-03-19T16:39:02.599Z]	<rhiaro>	... There's a WebID profile in the standard
[2019-03-19T16:39:14.353Z]	<rhiaro>	... What people want to do is use DID Documents as a useful and smart new discovery format on identifiers that are not DIDs
[2019-03-19T16:39:24.445Z]	<rhiaro>	... Maybe we should rename the format. Maybe not DID Document but instead something else
[2019-03-19T16:39:26.941Z]	<JoeAndrieu>	q?
[2019-03-19T16:39:32.352Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-03-19T16:40:01.887Z]	<rhiaro>	JoeAndrieu: I love the contributions that Sovrin and Evernym have brought to DIDs and VCs but there's a legitimate positoin that says permission blockchains have a centralising function
[2019-03-19T16:40:20.899Z]	<rhiaro>	... Those who give permission can be subject to action by the state, via subpoena or force
[2019-03-19T16:40:29.382Z]	<rhiaro>	... Both of those ideas of what it means to be decentralised are valuable
[2019-03-19T16:40:34.119Z]	<samchase>	q+
[2019-03-19T16:40:48.999Z]	<drummond>	Sovrin is "Decentralization by Design" - to have enough stewards in enough jurisdictions that no government actor could interfere with the network as a whole.
[2019-03-19T16:40:51.540Z]	<rhiaro>	... I like what drummond said in terms of we probably shouldn't deny methods that are in some way decentralised, becasue we can't, but that we should advocate for some notion of decentralized identifiers
[2019-03-19T16:40:57.106Z]	<rhiaro>	... We just need to come up with that that notion is
[2019-03-19T16:40:59.430Z]	<JoeAndrieu>	q?
[2019-03-19T16:41:01.088Z]	<markus_sabadello>	q+
[2019-03-19T16:41:07.110Z]	<JoeAndrieu>	ack chrisboscolo
[2019-03-19T16:41:36.799Z]	<rhiaro>	chrisboscolo: instead of trying to frame it was whether it's centralised or decentralised, can we frame it in terms of the seciruty guarantees the creator of the DID has over the DID. With https for exmaple, I can create a DID and lose control over the ability to replace the DID Document
[2019-03-19T16:41:48.265Z]	<drummond>	For the full set of Sovrin Decentralization by Design principles, see https://docs.google.com/document/d/1WqUOqdTBc3JACIlRviJoWJRcJHTNTNzk9_As9v-jwrY/edit#heading=h.bdrt4wmem38w
[2019-03-19T16:42:02.666Z]	<rhiaro>	... There's some guarantee based on the method that the creator of the DID can at least identify if the Document has been tampered with or is different. Can we frame the requirements in terms of the securiyt of the lookups?
[2019-03-19T16:42:05.064Z]	<JoeAndrieu>	q?
[2019-03-19T16:42:08.884Z]	<rhiaro>	JoeAndrieu: That's a great suggestion
[2019-03-19T16:42:10.626Z]	<JoeAndrieu>	ack samchase
[2019-03-19T16:43:07.861Z]	<rhiaro>	samchase: I was trying to get clear on.. maybe you could give an example of the use cases behind whether you'd want it to resolve to something like your facebook. In terms of something like machine readable terms or consent for .. ?? have expressed interest in DIDs. Would the use case be something like these are my adPreferences or my trackingTerms and that woudl resolve to somewhere that already tracks me, but now has a document that alreayd tracks
[2019-03-19T16:43:07.861Z]	<rhiaro>	me
[2019-03-19T16:43:13.819Z]	<rhiaro>	... Would that be the arguement for using something like that?
[2019-03-19T16:43:13.983Z]	<JoeAndrieu>	q?
[2019-03-19T16:43:20.131Z]	<kimhd>	+1 to Chris Boscolo's suggestion. Degree of centralization/decentralization has more of a value judgment attached; whereas creator guarantees (or something along those lines) allows more nuanced, use-case-dependent discussion
[2019-03-19T16:43:25.039Z]	<JoeAndrieu>	q+
[2019-03-19T16:43:33.259Z]	<JoeAndrieu>	ack markus_sabadello
[2019-03-19T16:44:10.569Z]	<rhiaro>	markus_sabadello: besides decentralisation, what we also claim for DIDs is persistence. Domain names and usernames are not persistent either. THat's a known problem in the identity space, since the days of OpenID
[2019-03-19T16:44:14.660Z]	<JoeAndrieu>	q?
[2019-03-19T16:44:18.684Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-03-19T16:44:24.068Z]	<rhiaro>	JoeAndrieu: To respond to sam, two things
[2019-03-19T16:44:26.567Z]	<dmitriz>	-1 to persistence requirement. since that doesn't address ephemeral / on-the-wire DID methods
[2019-03-19T16:44:33.360Z]	<achughes>	+1 to @chrisboscolo - the notion of ‘decentralization’ as a philosophy to resist central authorities makes using it as a technical categorization approache very difficult
[2019-03-19T16:44:33.526Z]	<dlongley>	technical considerations and control guarantees are much better measures for determining the validity of DID methods or categorizing them
[2019-03-19T16:44:45.009Z]	<rhiaro>	... Ideally the DID Document should not contain any persionally identifiable information, which to my mind is likely to include preferences of the kind you mentioned
[2019-03-19T16:44:53.088Z]	<rhiaro>	... DIDs can be a gateway to look up prefs, but they shouldn't be in the document
[2019-03-19T16:44:59.019Z]	<drummond>	+1 to Markus' point about persistence. DIDs have *four* core qualities: 1) global uniqueness, 2) persistence, 3) cryptographic verifiability, 4) no centralized registry required.
[2019-03-19T16:45:04.221Z]	<dlongley>	vs value judgments using squishy definitions of "decentralized"
[2019-03-19T16:45:15.549Z]	<dmitriz>	drummond: /some/ DIDs have the persistence quality. not all fo them.
[2019-03-19T16:45:15.939Z]	<drummond>	If it doesn't meet those four qualities, it should not be called a DID.
[2019-03-19T16:45:19.110Z]	<rhiaro>	... That use case might be out of scope. But I think the use case is simply to say, for example right now, facebook doesn't pvoide a way to attach a public key to my facebook login. So people who trust facebook can bootstrap a key that's associated with me
[2019-03-19T16:45:44.568Z]	<dmitriz>	q+
[2019-03-19T16:45:44.919Z]	<rhiaro>	... That only has a security guarantee that fb provided it, so fb could have faked it, but for those who are willing to rely on that guarantee, at least they have a public key on which we can bootstrap other forms of interactions
[2019-03-19T16:45:48.707Z]	<samchase>	thanks joe
[2019-03-19T16:45:48.993Z]	<rhiaro>	... that's my attempt at a usecase
[2019-03-19T16:45:54.140Z]	<JoeAndrieu>	ack dmitriz
[2019-03-19T16:46:04.510Z]	<samchase>	muted
[2019-03-19T16:46:08.748Z]	<JoeAndrieu>	q?
[2019-03-19T16:46:49.061Z]	<JoeAndrieu>	q?
[2019-03-19T16:46:56.514Z]	<rhiaro>	dmitriz: About the 4 core qualities of DIDs.. only cryptographic verifiablity is a worthwhile one to focus on. Ephemeral DIDs, off ledger, on the wire DIDs, especially Sovrin ones from rebooting don't have the persistence reuqirement
[2019-03-19T16:47:03.188Z]	<JoeAndrieu>	q?
[2019-03-19T16:47:18.299Z]	<drummond>	q+
[2019-03-19T16:47:49.252Z]	<JoeAndrieu>	ack drummond
