[Tue 11:05:16] <manu>	scribe: bsletten
[Tue 11:24:28] *	Joe_K1 (~Joe@c-73-160-79-182.hsd1.nj.comcast.net) has joined #credentials
[Tue 11:24:33] <manu>	interesting "future work is here": https://github.com/jden/web-login
[Tue 11:24:55] <manu>	Technical Review part 1 is here: https://lists.w3.org/Archives/Public/public-credentials/2015Apr/0027.html
[Tue 11:25:10] <manu>	Technical Review part 2 is here: https://lists.w3.org/Archives/Public/public-credentials/2015Apr/0029.html
[Tue 11:25:16] <voip-cr>	16617480240 [SIP/69.71.222.196-000000a4] has joined the conference.
[Tue 11:25:20] <voip-cr>	19084525210 [SIP/69.71.222.196-000000a5] has joined the conference.
[Tue 11:25:57] <bsletten>	Manu: To summarize: There's a lot of information here and will continue to be so over the next couple of weeks. In general, this is what is going on. The WebAppSec is considering publishing a FWPD of credential management.
[Tue 11:26:28] <bsletten>	Manu: There is disagreement with how much overlap there is between this initiative and the Credentials CG and what the Web Payments IG wants.
[Tue 11:27:34] <bsletten>	Manu: There are a number of issues that I have raised so far. Adrian has raise. Dave Longley has raised. A lot of other people have not weighed in yet. The call for consensus started last Friday and ends this Friday. For those that care about the CG work it is important that you get your mind wrapped around what is going on here. The problems, potentials solutions and the path forward.
[Tue 11:27:44] <bsletten>	Manu: Dave Longley, do you want to go down the list?
[Tue 11:27:54] *	bshambaugh (~brent@adsl-172-0-215-103.dsl.okcyok.sbcglobal.net) has joined #credentials
[Tue 11:27:58] *	bshambaugh has quit (Client Quit)
[Tue 11:28:22] <manu>	voip: a5 is JoeKaplan
[Tue 11:28:23] <voip-cr>	Associated JoeKaplan with SIP/69.71.222.196-000000a5.
[Tue 11:28:33] <manu>	voip: a4 is Kerri
[Tue 11:28:33] <voip-cr>	Associated Kerri with SIP/69.71.222.196-000000a4.
[Tue 11:28:36] <manu>	voip: connections?
[Tue 11:28:37] <voip-cr>	Conference participants are: Adrian [SIP/sip2sip.info-00000094], Brian Sletten [SIP/sip2sip.info-00000096], Gregg Kellogg [SIP/sip2sip.info-00000097], Rob Trainer [SIP/192.168.61.3-00000099], Manu Sporny [SIP/6000-0000009b], Dave Longley [SIP/6002-0000009c], Sunny [SIP/142.136.76.105-0000009d], Dave Lehn [SIP/6003-0000009e], LFowler [SIP/69.71.222.196-0000009f], Kerri [SIP/69.71.222.196-000000a0], Hassan Almas [SIP/6004-000000a1], 15413668863
[Tue 11:28:37] <voip-cr>	[SIP/69.71.222.196-000000a2], Eric Korb [SIP/sip.linphone.org-000000a3], Kerri [SIP/69.71.222.196-000000a4], JoeKaplan [SIP/69.71.222.196-000000a5].
[Tue 11:29:55] <bsletten>	Longley: My read on this spec that they are calling for consensus. I think it is primarily designed to allow web pages access to password managers and are trying to be forward-looking about potentially doing more with credentials in the future. I think the short-term efforts are not as overlapping, but that the future work definitely will and won't work well.
[Tue 11:30:59] <bsletten>	Longley: There is no mechanism to sync credentials between browsers. Browser-based password managers don't do this now so they don't think it is a problem. We don't want to build specs based upon what is only available now. We want to avoid credentials getting locked into browsers.
[Tue 11:31:51] <voip-cr>	Sunny [SIP/142.136.76.105-0000009d] has left the conference.
[Tue 11:32:14] <bsletten>	Longley: Allowing plugins to replace part of the browser API for credential management might help migration in the short term, but has security implications.
[Tue 11:32:40] <bsletten>	Longley: Let's make the core api work the right way rather than design for what is now and work around it in the future.
[Tue 11:33:41] *	bshambaugh (~brent@adsl-172-0-215-103.dsl.okcyok.sbcglobal.net) has joined #credentials
[Tue 11:34:05] <voip-cr>	Eric Korb [SIP/sip.linphone.org-000000a3] has left the conference.
[Tue 11:34:36] <bsletten>	Longley: The api doesn't really seem to be about killing the password. They do talk about federated logins via super providers (Twitter, Facebook, Google). This will guarantee super providers because developers have to iterate over them. Mike West suggests maybe you can specify which providers you support, the sites can specify who they support and the browsers can show  you the overlap/intersection. Our approach suggests t
[Tue 11:34:49] <bsletten>	Longley: and doesn't need to be handled specially.
[Tue 11:35:25] <voip-cr>	19087694252 [SIP/69.71.222.196-000000a7] has joined the conference.
[Tue 11:35:44] <bsletten>	Longley: The spec assumes that there will be two different apis in the future. It will be difficult for us to work with their api without creating a new api (and therefore two different apis). It would be difficult to support (if not impossible) the use cases we have.
[Tue 11:36:31] <bsletten>	Manu: These are just the high level issues with this spec. The second email above goes into a number of issues we have with the design. Does anyone have any questions?
[Tue 11:37:03] <NateOtto>	Thanks, dlongley, your explanation over email and audio was fairly clear.
[Tue 11:37:17] *	dlongley sure :)
[Tue 11:37:33] <bsletten>	Eric: My biggest concern is how much impact this will have on us if they push forward without our consideration. Where are we in our stage vs where they are in their stage in a WG?
[Tue 11:39:11] <bsletten>	Manu: It's unclear how damaging this could be. If they don't listen to our concerns, we could have two different credential apis. One doing login/sso credentials and ours digitally-signed credentials. That's kind of the worst case scenario. It's Google. They could ignore us and be very successful getting it into Chrome. They are also close with Mozilla which means it could be shoe-in to the platform. We want an api built into t
[Tue 11:39:56] <bsletten>	Manu: It won't be good if they don't want to collaborate. Strategy should be: How can we make the minimum number of changes to what Mike is proposing to ensure that the kind of credentials we are talking about and the ability to store them in a vault is supported as a first class feature in their api.
[Tue 11:40:56] <bsletten>	Manu: That would be a huge win for the Credentials CG because it would be in the browser before we expected. It would be a win for them because we have done a lot of the future work for them. And they would get a few more CG/WGs using their api.
[Tue 11:42:11] <NateOtto>	WebAppSec seems like a good group to be doing the part of this that has to do with the browser API. If they want to push on the browser vendors, we should do our best to show how our use cases are valuable and explain what it means to have credential == signed claim about an identity/identifier.
[Tue 11:42:13] <bsletten>	Manu: We know what kind of changes we'd like to see to their api. The question is whether they will listen and want to slow down their work or not. There is still quite a bit of miscommunication. I don't think they are up to speed on what we are doing. They haven't engaged yet despite multiple attempts (last fall).
[Tue 11:42:26] <KerriLemoie>	Does w3c have a process of arbitrating this?
[Tue 11:43:21] <bsletten>	Manu: If people stay silent, the FPWD will go through and we'll have to fix it later.
[Tue 11:43:38] <bsletten>	Manu: If you agree and care about this stuff, send in an email.
[Tue 11:43:43] <bshambaugh>	Will anyone see them in person?
[Tue 11:43:52] <NateOtto>	Do you have to sign up on the public-webapps mailing list before your messages to that address would be visible?
[Tue 11:44:14] <bsletten>	Manu: In the next month, we need to see how to collaborate and get them up to speed. We need to get the staff contact up to speed as well.
[Tue 11:44:22] <dlongley>	NateOtto: no, it's a public list, it may just take a few minutes to clear your first email to the list
[Tue 11:44:38] <NateOtto>	Thanks, dlongley
[Tue 11:45:11] <bsletten>	Eric: Thanks Manu. This is what I was looking for. We need an api and working with them would be great.
[Tue 11:46:16] <KerriLemoie>	:)
[Tue 11:48:06] <bsletten>	Manu: We don't want to go down the Formal Objection route.
[Tue 11:48:23] <bsletten>	Longley: We just want to let them know that they don't have consensus.
[Tue 11:48:47] <bsletten>	Adrian: I agree. We need to emphasize the win-win nature of us working together.
[Tue 11:50:53] <bsletten>	Manu: Any other questions or concerns about this stuff?
[Tue 11:51:14] <manu>	Topic: Credentials/Badges Vocabulary Update
[Tue 11:52:47] <bsletten>	Nate: Badge Alliance is finalizing 1.1 version, we're waiting for input on the canonical URL. After that, we're going to move forward to 2.0 and see what it means to do badges with Linked Data.
[Tue 11:53:08] <bsletten>	Manu: Any other business before we close the call?
[Tue 11:53:39] <bsletten>	Manu: The highest priority is responding to the email and requesting coordination before the FPWD.
[Tue 11:53:41] <voip-cr>	Rob Trainer [SIP/192.168.61.3-00000099] has left the conference.
[Tue 11:53:41] <voip-cr>	Adrian [SIP/sip2sip.info-00000094] has left the conference.
[Tue 11:53:42] <voip-cr>	Dave Lehn [SIP/6003-0000009e] has left the conference.
[Tue 11:53:42] <voip-cr>	Dave Longley [SIP/6002-0000009c] has left the conference.
[Tue 11:53:42] <voip-cr>	15413668863 [SIP/69.71.222.196-000000a2] has left the conference.
[Tue 11:53:43] <voip-cr>	LFowler [SIP/69.71.222.196-0000009f] has left the conference.
[Tue 11:53:43] <voip-cr>	Brian Sletten [SIP/sip2sip.info-00000096] has left the conference.
[Tue 11:53:44] <voip-cr>	Hassan Almas [SIP/6004-000000a1] has left the conference.
[Tue 11:53:46] <voip-cr>	19087694252 [SIP/69.71.222.196-000000a7] has left the conference.
[Tue 11:53:46] <voip-cr>	Manu Sporny [SIP/6000-0000009b] has left the conference.
[Tue 11:53:46] <voip-cr>	Kerri [SIP/69.71.222.196-000000a4] has left the conference.
[Tue 11:53:47] <voip-cr>	JoeKaplan [SIP/69.71.222.196-000000a5] has left the conference.
[Tue 11:53:39] <manu>	Present+ kaplan, fowler, trainer, lehn, almas
