[2024-05-13T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024May/0001.html

[2024-05-13T14:45:59.223Z]	<Ildiko_Mazar> Hello everyone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand, or type “q+” in the chat to add yourself to the queue.
[2024-05-13T14:50:59.223Z]	<Ildiko_Mazar> If we have any new people in the call, or somebody who would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to the main agenda topic, that are Projects supporting LERs for learners and employers.
[2024-05-13T15:17:08.449Z]	<Transcriber>	Lucy_Yang: So that was the challenge we're having and then we asked ourselves the questions of like you know what are some of the you know potential ways what also what are some of the you know um what is some of the uh the the approaches people were already taking that at the point of time so 1 thing like we saw a lot is really countries are doing better exchanges it really you know you know pretty much each country have to whether they have to work with it you know was existing ecosystem where we have to kind of like really doing you know country by country we didn't see a large kind of like ecosystem like you know for Co credentials in Asia Pacific so I know a lot a lot of Asian you know Pacific countries they really have to gather keys from like you know so many different different parties so that that is a lot of work that is really a lot and it's not only just like technical just understanding technical um Center but also kind of deep at the Diplomatic level a lot of you know policy agreement also really that kind of like discussions are happening you need needed to happen or what happening at the point in time it's really time consuming and also it's you know what especially when you're actually just really getting getting information.
[2024-05-13T15:17:09.413Z]	<Transcriber>	Lucy_Yang:  manually download.
[2024-05-13T15:17:09.745Z]	<Transcriber>	Lucy_Yang: What you know what what.
[2024-05-13T15:17:17.476Z]	<Transcriber>	Lucy_Yang: Happens once you know someone updated their their information you know up to their keys and stuff that's this is all that that that was not a sustainable way of of.
[2024-05-13T15:17:52.558Z]	<Transcriber>	Lucy_Yang: Of of doing things and then like another kind of model is like okay is it possible that you know we can have kind of a giant centralization of things like and everyone kind of is in 1 day basis where like the keys are there you know the metadata there like all the revocation and business rules all the kind of relevant data is in that 1 place and then as a matter of like whoever you is accessing using that service as they have to do what they had to kind of pretty much like Download You Know download everything and all download everything to their own own thing but but if you're thinking about like Co you know Co where even like you're thinking about like in education spaces right it's not just like.
[2024-05-13T15:17:52.908Z]	<Transcriber>	Lucy_Yang:  we don't.
[2024-05-13T15:18:12.406Z]	<Transcriber>	Lucy_Yang: A limited where a defined number of of parties were actually issuing so you there's actually a growing number going growing number of entities were actually issuing credentials like even like in educational space you have universities right and you also probably have those online platforms so like if you have a growing kind of like um.
[2024-05-13T15:18:53.558Z]	<Transcriber>	Lucy_Yang: Kind of a list of of like issuing ecosystem or a growing list of of ecosystem how you're able to have a centralized services like and all especially for someone who's verifying actually downloading everything into their when they don't into their own like back-end server without knowing who you know they want to deal with who they don't want to deal with that's actually a lot and also even uh also if you think about like the different kind of natures of ecosystem whether it's co you know where is educational ecosystem is like how how having 1 Central Federation service what roles are you going to put in place that everyone can follow the same roles is it it is is really hard so these kind of like are are some of the models like we already did like before.
[2024-05-13T15:18:53.989Z]	<Transcriber>	Lucy_Yang:  before before.
[2024-05-13T15:18:54.200Z]	<Transcriber>	Lucy_Yang: We think about.
[2024-05-13T15:18:59.857Z]	<Transcriber>	Lucy_Yang: What what what could be you know what could be a better better solution.
[2024-05-13T15:19:05.864Z]	<Transcriber>	Lucy_Yang: Um so so 1 of the 1 of the takeaways like we we had while we're really kind of um.
[2024-05-13T15:19:44.204Z]	<Transcriber>	Lucy_Yang: Getting the space of different um Co ecosystems there's that kind of 2 2 um kind of like problem like 2 kind of like problem space that we're like oh this is something that is not being properly addressed we're like very very lack of efforts um so that that first 1 is discoverability and second 1 we call Trust interoperability what what do I mean by trust discoverability is is really who is out there right because it really is no so 1 of 1 of the work um I remember clearly and I were doing at CCS which is really helping you know and and helping governments and Industry understand who is actually issuing right who is actually you know where this you know.
[2024-05-13T15:20:02.426Z]	<Transcriber>	Lucy_Yang: And words credentials are all coming from because they're you know keep like keep new entities keep showing up and issuing right where where how how can we discover something so that's 1 1 challenge another thing is like trust right with all these um kind of ecosystem emerging big and small like you know government fund or private sector run.
[2024-05-13T15:21:04.016Z]	<Transcriber>	Lucy_Yang: How we're able to kind of build trust because you know and that you know for for for at Ko time because it's kind of emergency situation so you know so those there's like kind of lack of really kind of there's a protocol that everyone is even lack of time to figure out what of the would be the protocol and a lot of time it's just really like okay let's get the keys and let's get the you know C to verify you know as long as we can access public keys but but this this this is something because we are dealing with this emergency situation and it's not there's no no policies like if you're looking at the government um government you know run ecosystem they're definitely policies that you know they have to have in place and the government had evaluate but it got it got quite chaotic right how someone can learn how 1 E system can learn enough about another ecosystem kind of like policies and governance to be able to comfortably say okay we are okay accepting that credential and even also keeping up to date of who is out there and also how the policies have changed over time it's really a really difficult I'm not not not that you know.
[2024-05-13T15:21:04.800Z]	<Transcriber>	Lucy_Yang:  the other 2 like technical.
[2024-05-13T15:22:02.925Z]	<Transcriber>	Lucy_Yang: And it can interoperability or not are not important and like semantic interoperability pretty much is the end goal is like you know 1 eosinophils.
[2024-05-13T15:22:14.908Z]	<Transcriber>	Lucy_Yang: I have no idea how these kind of things are being you know vetted are how the clinic clinics are being vetted right and also if 1 Clinic has actually updated information and stuff how these things are.
[2024-05-13T15:22:22.934Z]	<Transcriber>	Lucy_Yang: You know are are they updated in a timely manner and also when I'm clicking a link but I don't know whether whether there's kind of like you know.
[2024-05-13T15:22:55.540Z]	<Transcriber>	Lucy_Yang: Security you know in place where I I'm sure that I'll be directed to a new you know to a page that I think is the clinics there's a lot of information you know a lot of the kind of challenges was like the way we're presenting information these days but I mean you know some of the stuff probably is fine but some of the use cases were higher level Insurance are needed you know we we want like kind of a more a better model like to build more trusted and secure um Yellow Pages so that's kind of like how if you're trying to simplify you know what what what what we're hoping to find like what kind of solution we're trying to find.
[2024-05-13T15:23:04.410Z]	<Transcriber>	Lucy_Yang: So then we so so when when we realized that you know the kind of the problem space like what we want to get into um.
[2024-05-13T15:23:04.757Z]	<Transcriber>	Lucy_Yang:  and what.
[2024-05-13T15:24:05.706Z]	<Transcriber>	Lucy_Yang: You know our you know our tech tech tech person or Tech Team like John he actually went out there and really doing research regarding of what are already like existing technology out there that's when he found train um for those of you who trained is as as developed as part of the EU as of lab um project and by a German in German German Research Institute called fronhofer so I have a I missed a space here but anyways so it it initially came actually the the prior work to train is there's a project called light test project you know as his name suggests I mean I'm going to read it out loud it's lightweight infrastructure for Global heterogeneous trust Management in support of an open ecosystem stakeholders and Trust schemes it's a long name but I you know it's it's pretty kind of self-explanatory like what kind what problem they're trying to solve and train is kind of like um a evolvement and also continuation of that that project and the goal like training is is training is really enable secure and trustable digital interactions and and it's.
[2024-05-13T15:24:06.433Z]	<Transcriber>	Lucy_Yang:  it's in.
[2024-05-13T15:24:51.167Z]	<Transcriber>	Lucy_Yang: Rocked a call like we're conventional xca you know type of structure so also like they they try by leveraging like existing internet infrastructure or DNS DNS sacks that also try and kind of to you know to prevent fraud fraud and in you know to the best extent possible so what we call like a training approach is decentralized Federation which I'll explain it later what we mean like by decentralized Federation for the publication Discovery and inquiring of trust information so these are some of the.
[2024-05-13T15:25:05.404Z]	<Transcriber>	Lucy_Yang: Tracking the cost certificate project we're working on today so first it provides agnostic support for all types of would of trust architecture whether you're using you know x509 where you know did you know it doesn't really matter to us we can support all of that and.
[2024-05-13T15:25:05.896Z]	<Transcriber>	Lucy_Yang:  and I can.
[2024-05-13T15:25:06.806Z]	<Transcriber>	Lucy_Yang:  like I listed some of the very very um core kind of functionalities that um that you know because of these functionalities we chose to use train for for at least for for solving our our Co problem at the point of time um and also the same is we're still building trained for for the for the W project.
[2024-05-13T15:25:07.365Z]	<Transcriber>	Lucy_Yang: Defined to our scheme.
[2024-05-13T15:25:33.598Z]	<Transcriber>	Lucy_Yang: What I talked about earlier is if your ecosystem you can have your own policies right we we don't want to be like oh you know everyone has to follow the same because that's also not realistic and third is really design you know we support and it's kind of like the relevant the same kind of similar to the second point that we're naming a few some of a few established were emerging trust schemes like AI does like Pine Canadian trust framework you know tap tapa.
[2024-05-13T15:26:34.310Z]	<Transcriber>	Lucy_Yang: And for training itself adopts so so trained so we're talking about like training is used is used for Federate federating trust registry is but actually you know if you you can you can you can also use it if you if someone comes like okay we want a trust registry ourself and also we have a need for a federating trust trust registry is within our ecosystem more like across from with other ecosystem that um that you can also like use train to build your trust list but train particularly you know do a pattern from Etsy that's Etsy trusted list actually today when I just spoke with the train team prior to this call they're they're actually they've have um come up with new kind of patterns for for their own kind of trust list but anyway so that's you know there's but if you're using train definitely you know and also asked these standards aligned with you that's that will be a you know very easy for you to to implement and as you trust list as part of the training framework and as mentioned they're using like DNS sack to secure the chain of authentic authenticity and and lastly and they also have like at least they have like started kind of like AP.
[2024-05-13T15:26:34.945Z]	<Transcriber>	Lucy_Yang:  Pi for for.
[2024-05-13T15:26:48.949Z]	<Transcriber>	Lucy_Yang: Verify our app just really for Discovery and verification of trusted endpoints the point for the for the for the verifier is just really how you know how can it verify can can integrate with different kind of trust Registries to be able to kind of.
[2024-05-13T15:26:51.901Z]	<Transcriber>	Lucy_Yang: To to kind of to help with you know.
[2024-05-13T15:27:24.790Z]	<Transcriber>	Lucy_Yang: Integrated with different kind of trust registry out there so so what what you're using trained for federations like the um you know it it infrastructure can speak with different kind of trust Registries for interoperability and also for some automating some of the tasks rather than just you know doing kind of manually investigation um so so this is kind of like the core core things like we we look at and in training provided that's reason why like we we chose training for and also to be honest like we still today I still haven't find anything else that I actually do that you know that Federation at that level and also in a decentralized way.
[2024-05-13T15:27:25.370Z]	<Transcriber>	Lucy_Yang:  a few.
[2024-05-13T15:27:25.711Z]	<Transcriber>	Lucy_Yang: Things I want to.
[2024-05-13T15:27:55.484Z]	<Transcriber>	Lucy_Yang: Highlight especially as a business person why and I'm not only just business person also our Tech our Tech team is really kind of like you know pointed out the fact that training is a very it's a high like from hers is highly reputable like research and Engineering works in the nation like we really like that that and also we can see how the team has really kind of really driven to solve real world problems but also like doing really rigorous research and development to be able to to make sure they're actually developing technologies that can solve problems and also based on sound kind of.
[2024-05-13T15:28:57.346Z]	<Transcriber>	Lucy_Yang: Work right it's not like you know you you you just come up with something and then you just develop its really they've done their research and and also like when we're working with them is really they can they can see how thoughtful they are in terms of like thinking through some of the real world uh scenarios um and second like um we really like that they they leverage as well established and well adopted internet infrastructure and also with a the thing was a DNS and DNS sack is not is not we're not all not the only person who are building on it right it's really they're a huge community of stakeholders and Implement implementers working diligently to improve it because you know we we keep seeing that there are some some security challenges with DNS DNS that and we know that there's a it's not only us there's actually a lot of people are working on some of the commonly recognized challenges with these in existing infrastructure and and thirdly um so it is a open source project and building on existing Open Standards if not if I'm not wrong probably 80% of like train is like based on Open Standards and also wherever there's need like the the the team at front Huffer also.
[2024-05-13T15:28:58.405Z]	<Transcriber>	Lucy_Yang:  to keep identifying where.
[2024-05-13T15:29:20.514Z]	<Transcriber>	Lucy_Yang: The things that and you know because our necessarily being further standard because like it's not like you have to do everything everything stand around because some of the stuff probably is not doesn't make sense really really standardized but like the team that team is really really dedicated to really identifying pieces 1 1 of the things that I think like they're leading on they're leading is a WCC like verifier Ensure.
[2024-05-13T15:30:00.289Z]	<Transcriber>	Lucy_Yang: Oh my God that's what what what 1 of like how how you can actually give um uh a verifier issue on the trust registry credential so they can prove that they are they are they are on a transportation that's something that they are working to standardize at wsbc so this is kind of an additional piece they've identified from their their their work to to to know that they actually did that kind of standardization makes sense we like that approach and also like a lot of like the partners we work with especially someone that who they really really want Open Standards and also they want established standards so these kind of factors like we like about um working on training um then I'm going to dive a little bit more into like what what um.
[2024-05-13T15:30:37.806Z]	<Transcriber>	Lucy_Yang: Is um so you're looking at the the chart and I also if you're thinking about like the earlier kind of like 2 kind of approaches we thought about 1 is like the bilateral exchanges and another 1 is like the the fully kind of centralized service centralized Federation service what happened that like you know if when we're using train is so all these ecosystem they they they you know they exist but we don't kind of trying to move everything they have like into into a giant platform where we're trying to do is we're we're actually giving them a tool to create a profile so the create a profile and I'll show that what that profile means so what actually if you're using.
[2024-05-13T15:30:38.375Z]	<Transcriber>	Lucy_Yang:  I'm like.
[2024-05-13T15:30:55.660Z]	<Transcriber>	Lucy_Yang: What is when you're looking at a yellow page we have different profiles from different ecosystem and that profile includes information that you know we we believe what we work with and stakeholders to kind of Define a list of information that we need to see from ecosystem to be for them to be able to.
[2024-05-13T15:31:03.136Z]	<Transcriber>	Lucy_Yang: Evaluate by another by by verifiers but what about other ecosystem whether this ecosystem is trusted and then.
[2024-05-13T15:31:54.996Z]	<Transcriber>	Lucy_Yang: And then and then if for example if a verifier like say in the code example a country verifier but they can decide okay among all these you know based on the profiles and also the and the informations like it you know because and the information is provided through the profiles what who who are like the parties we want to trust and and and they end up only having to getting information we're downloading the keys and into their backs over the the parties they they they can trust and also like the the kind of the downloading the data part also facilitates it through through like the the platform but at the end of the day they're actually the platform itself like enabled by training doesn't hold you know we don't have public you know we don't have need you know to have public key data where we don't have to have like all where you know all the governance data all the the metadata stuff like you know we we are hosting metadata but we're not actually hosting the actual data from the ecosystem um.
[2024-05-13T15:31:56.145Z]	<Transcriber>	Lucy_Yang: Give you an example.
[2024-05-13T15:32:26.412Z]	<Transcriber>	Lucy_Yang: Um so on on the on the left like it's it's really it's those are kind of a fake information like we're just like created as like just like strong um uh like uh for you to kind of to for for demonstration purposes but if you're looking at the left and the network entry so like that's kind of the Yellow Page we're talking about you you're going to have like um and the profiles like you look at whose profile are actually on on a on a train enabled platform and then when you click into it so that's on on the right like the picture pretty much shows like these you know.
[2024-05-13T15:32:59.427Z]	<Transcriber>	Lucy_Yang: Who who is it like Ministry of Health and Welfare support so this is what's the what's the Dutch Ministry we worked out an example actually that the link and we had there is actually a real links um in a way it's like we so we we we defined a lot of information we would need uh from um from from uh an ecosystem so like the the Dutch Ministry provided like you know their their name and also all these like links are actually pointing to the information provided by them and the idea is like we're we're we're only having the metadata on the platform and then like you know the.
[2024-05-13T15:33:47.461Z]	<Transcriber>	Lucy_Yang: And so whether like some of the some of the links are actually pointing to to your probably a static information page some of the information pointing to a key directly so what what you know we're we are doing is really if for example if there's a key it's pointing to a key will enable like our system will enable like the the verifiers to actually get the key from from the the Ministry of Health house W welfare and support so they're able to kind of verify um a certificate from from from this ministry so this is kind of just give you an idea like we're not actually housing those data um but we're actually having like the metadata like the the profile of this particular ecosystem and also facilitate kind of the data exchanges through the platform without having to host everything and and the idea of using um using like DNS and DNS sack this is.
[2024-05-13T15:33:59.289Z]	<Transcriber>	Lucy_Yang: Very kind of high level if so each each 1 of the participants actually they're not so they have their own so they have we assume that you know everyone already have their like you know a donate domain.
[2024-05-13T15:35:00.268Z]	<Transcriber>	Lucy_Yang: Well it's pretty much they have a zone that they created I'm not technical I'm trying to use the use the right language here but they actually each 1 of them they have a zone that actually they host on all the data and and then they have they create a profile on on the train enabled platform and then that's how like so each time like we're actually we're not we're dealing like the the the decentralized uh decentralized decentralized Federated platform is just really kind of presenting presenting that metadata and also directing you know people to the to you know through the link in your eyes to to the right information they would need to investigate further some of that still have to be done kind of more like manually just looking through things for example like the governance policies but some of the technical stuff we can definitely actually build Integrations already um and when I mean when when there so what we're ALS guarantee is when someone is publishing on the on on on a training platform is is the is actually there's their information signed so pretty much like through like DNS stack they can actually sign.
[2024-05-13T15:35:01.357Z]	<Transcriber>	Lucy_Yang:  that information so where.
[2024-05-13T15:35:01.648Z]	<Transcriber>	Lucy_Yang: Making sure when we're.
