
[2021-05-17T22:03:15.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021May/0069.html
[2021-05-17T22:10:39.130Z]	<Kerri_Lemoie>	So it may be more like the examples down below.
[2021-05-17T22:10:42.730Z]	<Kerri_Lemoie>	So we have we have five different Examples of these are all the different examples, so this is the one where i'm.
[2021-05-17T22:10:50.590Z]	<Kerri_Lemoie>	Sorry Oh, where we have some of the properties that are in the has potential yeah we have.
[2021-05-17T22:10:59.530Z]	<Kerri_Lemoie>	We are we are using primarily the vc.
[2021-05-17T22:11:02.830Z]	<Kerri_Lemoie>	properties here so we're treating the vcs the instance and the credential subject and the schema as like a badge class.
[2021-05-17T22:11:11.440Z]	<kimhd>	Okay, in and i'm putting myself on the queue after nate to because as we're talking I.
[2021-05-17T22:11:17.260Z]	<Phil-T3>	Have a tentative with.
[2021-05-17T22:11:18.610Z]	<kimhd>	pros and cons so far.
[2021-05-17T22:11:21.820Z]	<kimhd>	nate you're talking about this example, so can you go ahead and go next.
[2021-05-17T22:11:28.480Z]	<ottomomy>	Sure, I just two Kerris point Miranda investigating the characteristics of these various different examples, the the idea of this rapper if we just look at it, what claim is being made, we have learned a record.
[2021-05-17T22:11:42.880Z]	<ottomomy>	There is a learner that I.
[2021-05-17T22:11:44.440Z]	<ottomomy>	was identified by a particular did here, and then the claim is that this learner has a payload and then the payload has evidence and the payload has an issue date.
[2021-05-17T22:11:54.400Z]	<ottomomy>	That potentially is separate from the wrapping date at the verifiable credential level so as we compare this to other.
[2021-05-17T22:12:03.700Z]	<ottomomy>	Examples sort of restating what we're seeing in the data in English like this learner has a payload that payload has evidence that payload has a issue or or, I guess, a type of data that that could be a useful comparison to what we see next.
[2021-05-17T22:12:22.300Z]	<Phil-T3>	neda's if the payload itself has those capabilities in it does the rapper need to restate that or does it need to tell.
[2021-05-17T22:12:32.110Z]	<Phil-T3>	The relying party or the recipient that's processing it what it what it needs to treat the payload and nothing more.
[2021-05-17T22:12:41.890Z]	<ottomomy>	i'm not sure I didn't mean I always tried to think about this from the perspective of what would it take to build software that consumes this data.
[2021-05-17T22:12:51.730Z]	<ottomomy>	and
[2021-05-17T22:12:53.230Z]	<ottomomy>	If we're trying to consume the claim this learner has a payload of a certain type, then you just build handling for that type and as long as that type is.
[2021-05-17T22:13:03.130Z]	<ottomomy>	standardized enough, you can get away with the sort of extra layer that you've you've placed into the structure here, but we may find other.
[2021-05-17T22:13:14.320Z]	<ottomomy>	examples that have similar capabilities, without needing the extra layer and then the other thing to think about is with this rapper idea is that there's many possible different payload types and in order to be able to train going by very inconvenient.
[2021-05-17T22:13:32.500Z]	<ottomomy>	In order to be able to build software that consumes us, you need to be able to understand all of the different types.
[2021-05-17T22:13:39.100Z]	<ottomomy>	That might exist that you want to consume, otherwise you need to be able to make it clear to users, that they have a one in 10 chance of you being able to parse this payload.
[2021-05-17T22:13:49.870Z]	<ottomomy>	or something like that, if there's 10 different options and your software only consumes one so building an ecosystem around very payloads is quite a bit more challenging from a user experience perspective, because how often you might run into user frustration due to embedded.
[2021-05-17T22:14:06.430Z]	<Phil-T3>	Good Thank you so what i'm expecting wanted to make sure was clear.
[2021-05-17T22:14:11.530Z]	<Jim_Goodell>	I like the way that you explain that the layers nate.
[2021-05-17T22:14:19.360Z]	<Jim_Goodell>	And if if we lived in a world where there was only one kind of record to exchange, then we don't need the extra layer, but if we're building towards a world where.
[2021-05-17T22:14:33.280Z]	<Jim_Goodell>	Many different kinds of records need to be processed and the kinds of payloads need to be identified so that the system can figure out do I know how to interpret this payload or, can I just read present it and then.
[2021-05-17T22:14:50.410Z]	<Jim_Goodell>	The extra layer is helpful.
[2021-05-17T22:14:58.990Z]	<kimhd>	In gym you are actually I was going to propose that you jump the queue ahead of me because I wanted to start a summary of pros and cons so go ahead.
[2021-05-17T22:15:10.210Z]	<Jim_Goodell>	yeah so I guess part of where I understand that there's there's tension around this because.
[2021-05-17T22:15:22.690Z]	<Jim_Goodell>	The lie, our approach is not as simple as it could be, and maybe there's we can find ways of simplifying it but there I don't know that we can get around the notion of a layer that says.
[2021-05-17T22:15:44.800Z]	<Jim_Goodell>	That identifies what payloads are there were payload or payloads.
[2021-05-17T22:15:51.460Z]	<Jim_Goodell>	And then you have a way of unpacking that I I envision that we can get to a place where we have.
[2021-05-17T22:16:02.020Z]	<Jim_Goodell>	translators that.
[2021-05-17T22:16:06.940Z]	<Jim_Goodell>	kind of that can either plug into something like a learner wallet or be web services that.
[2021-05-17T22:16:18.550Z]	<Jim_Goodell>	That are consuming system may say I can I know how to interpret these five different kinds of payloads.
[2021-05-17T22:16:26.950Z]	<Jim_Goodell>	If you have something in a different format that can be translated into one of these five.
[2021-05-17T22:16:34.300Z]	<Jim_Goodell>	Then, then I can go to a web service that can do the translation for me and get the data back and in one of the five that I know how to.
[2021-05-17T22:16:49.270Z]	<Phil-T3>	That some part of me.
[2021-05-17T22:16:51.790Z]	<Phil-T3>	Go ahead, I was gonna say that sounds very much like kind of having on the one hand, a manifest and then a a.
[2021-05-17T22:17:03.280Z]	<Phil-T3>	pointer to resolve that if something does not in fact.
[2021-05-17T22:17:09.370Z]	<Phil-T3>	list in the manifest.
[2021-05-17T22:17:14.590Z]	<kimhd>	Let me start through a tentative list of pros and cons and if if we need to start iterating on them i'll dump them into a shared document.
[2021-05-17T22:17:24.760Z]	<kimhd>	In simoni that's a great question about verifiable presentation i'm going to propose that we move that towards the end of the discussion because.
[2021-05-17T22:17:36.040Z]	<kimhd>	We I don't know i'm starting to we're starting to get instincts for her when we get off the rails in.
[2021-05-17T22:17:44.890Z]	<kimhd>	In that that's one of them, so so coming back to the pros and cons.
[2021-05-17T22:17:51.580Z]	<kimhd>	Okay, so I think that this is easy to bootstrap in terms of it's easy to understand how to jam existing credentials in there.
[2021-05-17T22:18:04.960Z]	<kimhd>	And that also means it's pretty easy to get started from an issuer perspective, so I think past open badges all these different payloads you know the the Elio rapper aspect makes it really clear how to get started.
[2021-05-17T22:18:22.690Z]	<kimhd>	Cons so.
[2021-05-17T22:18:25.990Z]	<kimhd>	At some level all consumers have it need an interpreter to make sense of the payload so that could exist in different ways that could be.
[2021-05-17T22:18:36.160Z]	<kimhd>	web service, it could be, you know plugins or drivers in no wallet or something you know so they can be achieved in different ways, but in order to really understand the data.
[2021-05-17T22:18:47.860Z]	<kimhd>	For all of these different payload types that needs to exist, somewhere, I have another con as being evidence is confusing from an open badges perspective which will.
[2021-05-17T22:19:00.460Z]	<kimhd>	let's not linger on that because we're getting into that in the subsequent sections and then Lastly, I had as a question mark that the issuer role is confusing.
[2021-05-17T22:19:11.410Z]	<kimhd>	But there's also that park it's kind of weird because, like it seems like each payload could also have a concept of.
[2021-05-17T22:19:20.290Z]	<kimhd>	Its own you know authoritative entities so maybe that's still confusing because those roles are unclear, so that that con i'm less confident with.
[2021-05-17T22:19:33.310Z]	<kimhd>	Before turning overall also say that I think it's still possible, that we have that we do both like you know, so I get what Jim is saying that we could have these translators, to help make sense of it, and you know it's it's really seeming like a.
[2021-05-17T22:19:53.230Z]	<kimhd>	ridiculous amount of work for a given the effort we're going through to open badges and you know, so I think the thing is like.
[2021-05-17T22:20:02.650Z]	<kimhd>	Maybe maybe we're we persevere on open badges and a few ones, but we can't necessarily expect all issuers to do this exercise so maybe we need a path for both like the backwards can pat one and ones who are doing verifiable credentials native.
[2021-05-17T22:20:20.290Z]	<kimhd>	formats, which would be you know, certainly Anthony is saying that in his use cases they're just going to be native verifiable credulous is not going to be need for a backpack path, those are my summary of pros and cons Kerri do you have anything that you want to add.
[2021-05-17T22:20:42.670Z]	<Kerri_Lemoie>	Do excuse me I think the issuer.
[2021-05-17T22:20:48.880Z]	<Kerri_Lemoie>	is a big one, and I think, because with the verifiable credential we have this context of like this authority it's a, how do we know how to verify or know.
[2021-05-17T22:20:59.560Z]	<Kerri_Lemoie>	Who the authority is authority of music very loosely here so we'll see because no coffee.
[2021-05-17T22:21:06.430Z]	<Kerri_Lemoie>	Or is it the information and the lender records, so this was an open badge and there's your information in here this issue or here.
[2021-05-17T22:21:13.240Z]	<Kerri_Lemoie>	And there's an issue date here, and if she didn't hear you know there's a conflict there at the verify APP I would know how to resolve, and I think that's a big calm and this approach, avoid the self contained ones, I think.
[2021-05-17T22:21:29.650Z]	<Jim_Goodell>	yeah that the rapper can contain contain more than one thing, so that each each of those items could have separate dates that I okay.
[2021-05-17T22:21:43.630Z]	<Kerri_Lemoie>	Within that somebody else I think phil Berger put that in the chat too, and then I guess how do we don't want to get into today was do we want to have multiple records right and the vc vc pegasi both allow for that, or do we just want presentations to have them.
[2021-05-17T22:22:06.040Z]	<kimhd>	Okay let's see so i'm going to add backs it actually Let me share this link that we can iterate on.
[2021-05-17T22:22:18.220Z]	<kimhd>	pros and cons so feel free to add your own an adding back confusing issue role.
[2021-05-17T22:22:26.680Z]	<kimhd>	So I noticed, we have a q, kerri I want to ask you like, should we work through the Q first, or should we like i'm kind of tempted to keep looking at a couple more examples of payloads and then work through the queue because some of these will be questions that apply to all.
[2021-05-17T22:22:48.610Z]	<kimhd>	So maybe I guess what.
[2021-05-17T22:22:50.890Z]	<kimhd>	might be like if your questions are specific to the proposal then go ahead, but otherwise we're will work through them and then we'll get we'll start working through the queue.
[2021-05-17T22:23:03.280Z]	<kimhd>	So that we can you know sort of see the breadth of the examples first.
[2021-05-17T22:23:17.890Z]	<Kerri_Lemoie>	Why don't we why don't we get back to the chat.
[2021-05-17T22:23:21.820Z]	<Kerri_Lemoie>	The next example.
[2021-05-17T22:23:25.780Z]	<Kerri_Lemoie>	this example, right here badges as verifiable credentials is very similar to.
[2021-05-17T22:23:33.310Z]	<Kerri_Lemoie>	This one right here that I wrote up, which is a prioritize of badge as a vc.
[2021-05-17T22:23:39.010Z]	<Kerri_Lemoie>	Which is a good number, it was in the slides, but it is basically saying pair that the verifiable credential is the this is as close to the native approaches you're kind of forced to get.
[2021-05-17T22:23:52.540Z]	<Kerri_Lemoie>	Without the rapper, so this is, we have we are relying on the verify what potential properties.
[2021-05-17T22:23:59.860Z]	<Kerri_Lemoie>	And straight up and then we're saying in the credential subject there's a has credentials in schema and in here is a is a batch class.
[2021-05-17T22:24:07.840Z]	<Kerri_Lemoie>	Which references the issuer which there is still that issuer like confusion, but you'll see that there the other information, the instance date is in here.
[2021-05-17T22:24:16.150Z]	<Kerri_Lemoie>	And if there was evidence my assumption is that the evidence would be outside or maybe within the credential subject about sure what that would be, but that would be not part of the.
[2021-05-17T22:24:27.610Z]	<Kerri_Lemoie>	The badge class description, so this is the second one and the other one i'll show you at the same time, but it's very similar.
[2021-05-17T22:24:33.850Z]	<Kerri_Lemoie>	I did put it inside here sort of simpler.
[2021-05-17T22:24:37.750Z]	<Kerri_Lemoie>	more complicated, with all the embedded information, but still.
[2021-05-17T22:24:42.430Z]	<Kerri_Lemoie>	has realized the verifiable credential and then it has a badge class data inside of it.
[2021-05-17T22:24:49.390Z]	<Kerri_Lemoie>	Once again, just a reminder from last week that these examples of json ld are not perfect by any means they're they're just sort of set up as examples.
[2021-05-17T22:24:58.990Z]	<Kerri_Lemoie>	So I don't I pause there and see like let's talk about like this, like an open badge using a more vc native approach.
[2021-05-17T22:25:06.190Z]	<Kerri_Lemoie>	is like our second example.
[2021-05-17T22:25:08.650Z]	<kimhd>	need, can I ask you to sort of give some discussion of that I know you've you've sort of done it before Thank you.
[2021-05-17T22:25:18.340Z]	<kimhd>	Europe.
[2021-05-17T22:25:20.560Z]	<ottomomy>	Excellent and admitted same time.
[2021-05-17T22:25:23.830Z]	<ottomomy>	This is the approach that I would probably most like to see in the world and then ultimately may be blessed by.
[2021-05-17T22:25:31.090Z]	<ottomomy>	A standards body for medicine IMS global particularly.
[2021-05-17T22:25:36.280Z]	<ottomomy>	Because I think it does a great job at avoiding the information duplication and it fits most naturally with the idea.
[2021-05-17T22:25:44.110Z]	<ottomomy>	Of a verifiable credential this approach, you know would be compatible, you know complimentary to other approaches potentially as well, but for this use case of.
[2021-05-17T22:25:53.410Z]	<ottomomy>	A recipient has met the criteria of a defined credential I think this does a great job and it's much better than.
[2021-05-17T22:26:00.850Z]	<ottomomy>	Say saying with this user has an assertion of a defined credential which is kind of one of the other main branches of alternative for open badges because the idea of an issue date is already sort of.
[2021-05-17T22:26:14.620Z]	<ottomomy>	You know it's a native thing to verifiable credentials, the idea of that there is an issue where.
[2021-05-17T22:26:19.570Z]	<ottomomy>	that's native to verifiable credentials, if we go with this route it every all the pieces just fall into place, naturally, and we could make say a parallel claim that.
[2021-05-17T22:26:28.930Z]	<ottomomy>	This learner has met the criteria of badge class a and this learner has evidence be and those are just two separate claims that go into the single credential that shows why this learner has met.
[2021-05-17T22:26:42.850Z]	<ottomomy>	This example any other questions that you want me to dive into right away on came on to sort of the construction of what we're seeing here.
[2021-05-17T22:26:50.950Z]	<kimhd>	And she can you just clarify where evidence would be in this example.
[2021-05-17T22:26:56.380Z]	<ottomomy>	yeah, so I think that has credential claim is one claim that you make about a learner and then a evidence claim would go right parallel next to it.
[2021-05-17T22:27:07.420Z]	<ottomomy>	And so that this the the block of the credential subject actual you know set of claims of the credential is.
[2021-05-17T22:27:14.920Z]	<ottomomy>	The assertion essentially and the assertion makes a couple key claims about the learner one that they have met the criteria of a particular batch class and another that they have portfolio items that demonstrate.
[2021-05-17T22:27:29.770Z]	<ottomomy>	That they have.
[2021-05-17T22:27:42.310Z]	<Phil-T3>	The other key attributes in the badge things like the alignment to.
[2021-05-17T22:27:48.910Z]	<Phil-T3>	Or to an assessment rubric assessments set of assessment methods or the rubric and all that that would be also down there, along with the evidence.
[2021-05-17T22:28:03.940Z]	<ottomomy>	Right, so one of the new features of car.
[2021-05-17T22:28:08.080Z]	<ottomomy>	Which is IMS yes expect that has slightly leapfrogged open badges in terms of release date it has a data model release that's more recent.
[2021-05-17T22:28:16.420Z]	<ottomomy>	To now they added a feature where you can put a rubric in a badge class basically and then from within the assertion, you can point to.
[2021-05-17T22:28:23.650Z]	<ottomomy>	What for each criteria and on the rubric what was the criterion level at which the learner performed, and so, if we wanted to have that.
[2021-05-17T22:28:31.600Z]	<ottomomy>	capability, then i'd see there would be sort of three claims one is just the basic you have earned to this particular batch class and other would be you've got a particular piece of evidence and a third would be.
[2021-05-17T22:28:43.150Z]	<ottomomy>	that you have a result against the the requirements in the criteria of the batch class a particular rubric that you haven't result against.
[2021-05-17T22:28:54.580Z]	<Phil-T3>	Right so it's the degree to which you achieve that that performance.
[2021-05-17T22:29:00.160Z]	<ottomomy>	Right, and I think the same the other use case that's really near and dear to my heart and education is this skill claim use case where many different issuers might.
[2021-05-17T22:29:08.980Z]	<ottomomy>	claim a person has achieved to some degree, a particular skill and I think that construction of this learner has a result against a particular target would fit pretty nicely for the still claim this case as well, but it's not exactly the conversation for today.
[2021-05-17T22:29:26.920Z]	<kimhd>	I want to bring out something from the chat does this pattern allow for multiple issues phil Barker asked Kerry said it doesn't.
[2021-05-17T22:29:34.690Z]	<kimhd>	So then, in terms of the issue at the outer layer and the inner layer that does that basically mean we just have duplicate there's a duplication and it's just annoying that that's all sort of thing.
[2021-05-17T22:30:04.570Z]	<Kerri_Lemoie>	Let me elaborate but I was yes, so we have the issue in the batch class which described really matters right now described who created this badge.
[2021-05-17T22:30:14.860Z]	<Kerri_Lemoie>	know what the email address with their logo, is it there's all of this information, so it is more than just the did that's being pictured here.
[2021-05-17T22:30:23.320Z]	<Kerri_Lemoie>	So they could be different, there could be that scenario where that happens, right now, with this would you say that's right.
[2021-05-17T22:30:32.710Z]	<Kerri_Lemoie>	It could happen.
[2021-05-17T22:30:34.390Z]	<ottomomy>	Yes, so in open by just to point out, there is no ability to have the assertion be issued by a different entity from the badge class, the only entity that is trusted to.
[2021-05-17T22:30:44.800Z]	<ottomomy>	The authority on searching, so this batch class is the batch classes creator and at some point in the future, of course, the capability could be added, where.
[2021-05-17T22:30:54.520Z]	<ottomomy>	We update that extend that trust model to have things like I author I you know I the school district, who has defined this.
[2021-05-17T22:31:02.320Z]	<ottomomy>	Achievement authorize this building to it, you know this facility and its staff to recognize the sections of it and then tracking that that capabilities chain somehow out of band of an individual credential would have to come along with it.
[2021-05-17T22:31:21.580Z]	<>	yeah.
[2021-05-17T22:31:22.960Z]	<Kerri_Lemoie>	And I am putting some cons and, by the way, under example to they're not necessarily cons they're just sort of like.
[2021-05-17T22:31:29.290Z]	<Kerri_Lemoie>	I don't know, like, for instance, I put this recording I consequences when anything like this one requires an understanding of of badges properties which really that's true for any of the self contained once or any of these but.
[2021-05-17T22:31:42.430Z]	<Kerri_Lemoie>	listed there as a reminder.
[2021-05-17T22:31:48.160Z]	<kimhd>	I will we will come back to the discussions in the chat there's a lot of good stuff in there there's sort of cross cutting concerns, we want to get to but.
[2021-05-17T22:31:57.130Z]	<kimhd>	If it's okay we'll just keep plowing through and come go on to example three and and then after we get through example for we'll come back to the more cross cutting things.
[2021-05-17T22:32:08.260Z]	<Kerri_Lemoie>	Perfect things, this is actually like to a right, so this is also another model of a vc mad as a vc.
[2021-05-17T22:32:16.060Z]	<Kerri_Lemoie>	And what this does is it actually inserts the open badges properties sort of within the vc container part of the json ld.
[2021-05-17T22:32:25.390Z]	<Kerri_Lemoie>	That makes any sense seeing see here we have like to be able to do to create properties, so we have issued on an issue date issuance date the recipient up here, but we also have a recipient in here.
[2021-05-17T22:32:37.780Z]	<Kerri_Lemoie>	So that's one of the upper just sort of like include all of the open badges information with other verifiable credential information and then.
[2021-05-17T22:32:47.890Z]	<Kerri_Lemoie>	yeah that's not a Christian this one.
[2021-05-17T22:32:51.640Z]	<ottomomy>	and carry the other thing here to note is that this credential this blob of json is attempting, I wrote this one it's attempting to be an example of a blob of json.
[2021-05-17T22:33:00.730Z]	<ottomomy>	That is a valid open badges two point O existing version assertion, at the same time at which it expresses the same information in a vc so.
[2021-05-17T22:33:11.320Z]	<ottomomy>	If say the open badges spec advances and there isn't really a need to present a fully valid open badges a 2.0 like hosted assertion or something like that.
[2021-05-17T22:33:22.570Z]	<ottomomy>	Then we don't necessarily need to go to this extra effort, but if that's a use case that someone wants to do, I think it would be possible to do in the day, so i'm hoping.
[2021-05-17T22:33:33.340Z]	<Kerri_Lemoie>	Maybe that's my clarifying and how I just had this perfect, I made a big red circle around like the proof as an example of how it could be verified, either as a hosted or assigned badge right in this case in this example.
[2021-05-17T22:33:48.130Z]	<Kerri_Lemoie>	But either would make it a valid batch.
[2021-05-17T22:33:54.760Z]	<kimhd>	Okay, I would imagine that that property makes may lead to some kind of sources of confusion as well.
[2021-05-17T22:34:09.730Z]	<kimhd>	i'm struggling to articulate that.
[2021-05-17T22:34:16.060Z]	<Kerri_Lemoie>	I think what I might have put on the slide this one, let me see if I can get this.
[2021-05-17T22:34:29.260Z]	<Kerri_Lemoie>	yeah so the duplicates verification duplicates properties, as it as a potential for misaligned values is how I I was stating that I think.
[2021-05-17T22:34:38.710Z]	<kimhd>	Okay i'll make sure to copy in your.
[2021-05-17T22:34:41.920Z]	<kimhd>	pros and cons from the slide I forgot that you have those in there as well.
[2021-05-17T22:34:47.290Z]	<kimhd>	In Nice needs just a reminder, I think that uh right i'm pretty sure that to a to A to B were the ones in that paper rewrote ages ago right.
[2021-05-17T22:35:00.880Z]	<ottomomy>	I think so Okay, in general, the two approaches that we had in that paper one was.
[2021-05-17T22:35:07.390Z]	<ottomomy>	A claim that the assertion exists there is an idea of the assertion and that assertion is this, and then the other claim is what we just looked at, basically, which is.
[2021-05-17T22:35:17.110Z]	<ottomomy>	That here is a learner identified by some ID and they have a credential, which is the batch class of the reasonable part of the credential excellent.
[2021-05-17T22:35:28.300Z]	<Kerri_Lemoie>	yeah you know, and I actually I looked at that paper prior to looking at the modeling Doc and I think the modeling doctors just a little bit more modern pretty modern, but more credit.
[2021-05-17T22:35:37.450Z]	<Kerri_Lemoie>	than the White Paper you guys right, where it has like has credential and other properties has been discussed, since the White Paper.
[2021-05-17T22:35:46.150Z]	<Kerri_Lemoie>	But they were very similar.
[2021-05-17T22:35:50.170Z]	<kimhd>	Okay, shall we go through to example for yes.
[2021-05-17T22:35:55.720Z]	<Kerri_Lemoie>	i'm going to skip just just briefly again show the next example, which was the one that was very close to the other one who is prioritizing the match as a vc and that's what this one was this is very similar to the first of matches when we looked at.
[2021-05-17T22:36:11.830Z]	<Kerri_Lemoie>	So you might be able to combine this too.
[2021-05-17T22:36:20.620Z]	<Kerri_Lemoie>	And then i'll just go to the fourth reference, so you can skip that and and talk about it, some more so the fourth fourth one.
[2021-05-17T22:36:27.340Z]	<Kerri_Lemoie>	Was the simplest of them all.
[2021-05-17T22:36:30.790Z]	<Kerri_Lemoie>	And and require some work on the part of a wallet to actually go in and grab the data from the assertion.
[2021-05-17T22:36:38.260Z]	<Kerri_Lemoie>	So the fourth one just says hey post this assertion, this is a verifiable credential and it's pointing to this assertion, you can go grab all the data and the assertion.
[2021-05-17T22:36:47.200Z]	<Kerri_Lemoie>	And then, whatever you want about about this verifiable credential so it essentially says hey, this is a verifiable credential these are like who authorized this so it gives that party and then it says the rest of the data could be here.
[2021-05-17T22:37:01.900Z]	<Kerri_Lemoie>	In comparison, let me just go back up to this one to this one, where it has all of the data in here, so, while it wouldn't necessarily need to.
[2021-05-17T22:37:10.390Z]	<Kerri_Lemoie>	Go and grab that data, the wallet could grab all of the information and then the verify could decide if the information in the wallet is as current as the information in the assertion URL so in this way, you would have both.
[2021-05-17T22:37:25.870Z]	<Kerri_Lemoie>	versus the wallet having to understand how to go get the data.
[2021-05-17T22:37:36.640Z]	<kimhd>	Okay, so this is really helpful i'm still catching up going through and getting the pros and cons in there, but.
