[Tue 11:04:42] <dlongley>	scribe: dlongley
[Tue 11:34:48] <dlongley>	Eric: Financial payments made by students, I know Xerox, a major part of their business is collecting funds/tuition. Education being a big part of state economy, would benefit from credentials in payment space.
[Tue 11:35:34] <dlongley>	Ian: I'm hearing a couple of different threads in the conversation. One thread seems to be that, as industries converge and the Web serves as a bridge between multiple industries, the value of a common standard goes up. We're in strong agreement on that. It's helpful to hear those use cases that cross the boundaries among the different industries.
[Tue 11:36:16] <dlongley>	Ian: The second thread is how to strategically address the desire of the education/healthcare community and credential CG and how to move forward and how to address the use cases and the alignment of that and how to leverage the commonality in the work.
[Tue 11:36:59] <dlongley>	Ian: I'm happy to engage with you in that conversation, but I don't think that's the one we need to have today. My job is to find out what the payments industry needs, it's therefore premature to think of a strategy that doesn't involve the payments folks. In my role, we need the payments people involved.
[Tue 11:37:06] <dlongley>	Richard: I hope you weren't thinking we didn't want them involved.
[Tue 11:37:08] <dlongley>	Ian: No.
[Tue 11:37:13] <dlongley>	Ian: Not that.
[Tue 11:37:40] <dlongley>	Richard: Yeah, we need them. We need payments and identity to work correctly. We've been waiting a long time. We want to see that advance. We just think they can advance better together.
[Tue 11:40:19] <dlongley>	Ian: I apologize for the blinders I have on... my limited perspective is having a valuable and informed discussion on identity and credential needs. I need to hear more from you in historic pitfalls in what has been tried and how this work takes those into account and is different. For example, Richard/Eric said that the banks may resist change, is that something that is going to doom in the IG to failure or there's simply lessons learned so we can be sure to take the economics into account in our discussions so even with competing interests we can be explicit about them or even better find corresponding benefits for interested parties. Also, who is stepping up from the Web community for the particular approach being taken by the CG? It's possible even to have... to split the conversation to have the functionality we need and we're all in agreement in that, but it may be harder to get agreement on a particular solution because we have different communities within W3C like SemWeb who may want JSON-LD but that may be in conflict with the broader community.
[Tue 11:40:23] <manu>	q+ to say that one reason there was failure before was because the solutions were specific to each market vertical.
[Tue 11:40:23] <voip-cr>	manu has been added to the queue: manu
[Tue 11:40:33] <dlongley>	Ian: Those are all things I want to hear and get us on the same page.
[Tue 11:42:11] <manu>	ack manu
[Tue 11:42:12] <voip-cr>	manu has the floor (to say that one reason there was failure before was because the solutions were specific to each market vertical.).
[Tue 11:42:24] <Ian>	[Ian understands that mosaic of credentials will paint a picture of identity]
[Tue 11:42:28] <dlongley>	Richard: I was going to add that the one part of this about this that overlaps in the Identity space is the collection of credentials. In the way a wallet provides a set of evidence about who someone is, credentials does that, there's going to be a diversity of opinion on ways people will do that, we'd have one very hard to crack token and maybe people want that but that's unlikely and other people want to do more diverse things. We want to have credentials that are difficult to fake because they are based on a whole portfolio of things that are based on industries that issued them etc. (missed some)
[Tue 11:47:35] <dlongley>	Manu: So why have these other credentialing mechanisms failed? There are a lot of broad ID mechanisms like OpenID/Connect, and those have failed to address these use cases because they don't carry high-stakes credentials; they can establish you have an account with facebook but they are incapable of expressing information like citizenship, proof of age, etc. We have technologies that are fairly naive about the information they carry. They have attributes that are self-asserted, not countersigned by trusted authorities/issuers. We've seen this happen in healthcare and education: the solutions only take one industry into account, gov't have adopted piv tokens for federal security/buildings/etc. There's an entire ecosystem around credentials but that's never taken into account in these smaller solutions. Banking has focused on credentials only for banking, and then adopted proprietary and patent-encumbered tech, to get "latest greated" so that was really expensive. Then the orgs that actually exchanged the credentials were operating on a non-public network, so under 10K orgs worldwide able to use them. They were never deemed to be more broadly applicable. So different problems with previous solutions. The industries tend to try and address them in a fairly insular fashion and we just want to try and fix them in our industry and we're sure it will propagate out to others. And using proprietary and patent-encumbered tech has been a problem sometimes turning out to be snake oil. I think that's over simplifying it, if you look at any identity/credentialing systems before now. Problems: 1. No high-stakes creds in scope when building the tech out (OpenId/Connect), 2. Industry only took their market vertical into account., 3. Belief that proprietary tech was best, but patent-encumbered ruined scalability with cost, etc.
[Tue 11:47:50] <dlongley>	manu: I think those are the primary reasons
[Tue 11:48:43] <dlongley>	Richard: There came as an insistence that a privacy (missed) be agreed and enforced through the identity security mechanisms. I've had all kinds of discussions in different industries -- and trying to force identity/security/privacy all through the same mechanism it doesn't have to be the same.
[Tue 11:49:17] <manu>	q+ to speak to browser awareness and support in browsers.
[Tue 11:49:17] <voip-cr>	manu has been added to the queue: manu
[Tue 11:49:46] <dlongley>	Ian: Can you say more about the particular community/communities that have been involved in the development of this. It is often the case that without browser awareness, it becomes harder to get browser deployment. It may be that support in browsers is not a key piece in the deployment of this, in which case understanding that would be helpful. I don't know if in the Payments case browser support is a key piece of it, etc. I'd like to hear your views on the role of the browser and the ... support of this.
[Tue 11:50:08] <manu>	scribe: manu
[Tue 11:50:08] <manu>	dlongley: We've been having discussions with the WebAppSec group at W3C regarding a credential management API that they've been working on.
[Tue 11:50:41] <manu>	dlongley: They primarily started that spec to make it easier for browsers to manage passwords for people. People use a lot of tools to autofill passwords. They're taking  baby steps to get direct access to password manager for websites.
[Tue 11:51:20] <manu>	dlongley: They're also trying to make the system extensible and work with federated credentials - we saw the work happening, gave feedback. They had been creating something called a 'credential management API' - we saw lots of overlap.
[Tue 11:52:04] <manu>	dlongley: We had built out something similar - we thought that if we could build a credential agent in the browser, and we could hook that up to people's identity providers and we could hook that back to websites. We'd like to see an API in the browser to request credentials that the website needs.
[Tue 11:52:19] <manu>	dlongley: We wanted the browser to go fetch the credentials when asked - given permission by recipient - etc.
[Tue 11:52:39] <manu>	dlongley: Ultimately, that's the role we'd like the browser to play - to protect privacy of person using credentials.
[Tue 11:52:42] <eric_r_korb>	"Kill the password dead"
[Tue 11:52:58] <manu>	Ian: back up for a sec. I understand role of credential agent in the browser.
[Tue 11:53:04] <manu>	Ian: Is the IdP tracking you?
[Tue 11:53:12] <manu>	dlongley: No, we want to prevent it from tracking you.
[Tue 11:53:35] <manu>	dlongley: We want there to be a system that holds on to your credentials, but they don't know who you're giving those credentials to.
[Tue 11:54:20] *	manu can't - people have other calls after this one.
[Tue 11:54:27] <manu>	dlongley: The other piece in the browser is providing a mechanism for issuing websites to use to issue credentials via the browsers.
[Tue 11:55:15] <manu>	dlongley: To tie it back into credential management API - API that they designed allowed websites to ask for previously stored passwords or credential tokens... they had the same sort of idea of how the API would work, but their current spec is very narrowly focused on just the login case - primarily the password case.
[Tue 11:55:42] <manu>	dlongley: We'd like the scope to be broader - we see the future of the Web to be a bit less about login and more about having credential to get access to a particular portion of a website.
[Tue 11:56:02] <Ian>	q+
[Tue 11:56:02] <voip-cr>	Ian has been added to the queue: manu, Ian
[Tue 11:56:03] <manu>	dlongley: certainly, usernames and passwords  will continue to be used - but you can get more granular with community groups.
[Tue 11:56:07] <manu>	ack Ian 
[Tue 11:56:08] <voip-cr>	Ian has the floor.
[Tue 11:56:45] <manu>	Ian: I know there have been questions about identity management around domains - what in the conversations w/ WebAppSec and w/ browser vendors specifically - was there any feedback on lack of interest on this general approach?
[Tue 11:57:06] <manu>	Ian: Were there other questions around support or reluctance around this idea.
[Tue 11:57:50] <manu>	dlongley: There has been pushback - first was that the WebAppSec was not chartered to deal w/ our use cases in any way. We came up w/ a proposal to support generalized credential use case.
[Tue 11:58:36] <manu>	dlongley: The Chair of WebAppSec pushed back and questioned that the API was a good for both cross-origin and same-origin credentials.
[Tue 11:58:50] <manu>	dlongley: Mostly people want to stay w/ same origin policy - we don't want to touch that too much
[Tue 11:59:23] <manu>	dlongley: This is something that needs to happen on the Web, just because there is a secure way to secure certain types of data. We shouldn't say we're not going to look at it.
[Tue 11:59:51] <manu>	Ian: So, I think that's a big hurdle. I've been hearing that tracking is important in some ways, and in other cases we care about privacy.
[Tue 12:00:16] <manu>	Ian: The default expectation on the Web - the things that we enable that allow tracking is problematic.
[Tue 12:00:35] <manu>	Ian: So, I'm hearing two things - we want to support certain use cases that require tracking, but others we want to default to privacy.
[Tue 12:00:54] <manu>	Ian: We may need to do something about same origin vs. cross origin policy.
[Tue 12:01:04] <manu>	ack manu
[Tue 12:01:05] <voip-cr>	manu has the floor (to speak to browser awareness and support in browsers.).
[Tue 12:02:29] <eric_r_korb>	+1
[Tue 12:03:23] <dlongley>	scribe: dlongley
[Tue 12:03:23] <dlongley>	manu: I think there's one point I want to make before we hang up and that's the thing that we've found with the WebAppSec group is that the charter was very narrow on the type of credential they were looking at. That meant whenever we get close to talking about the meat of the discussion, the charter got in the way. In my personal opinion, we know that what they are trying to do is not the best thing for the Web. There are password managers out there, building that into the browser may cause lock in problems, then Chrome shares all passwords within Chrome and it's difficult to export to Firefox, etc. and that's being swept under the rug. And just because we understand the same origin policy very well, that doesn't mean there aren't very good use cases for cross-origin credentials and there are ways to secure some of that information. The problem is whenever we try to have a discussion about it it gets shut down. So charters or security people get nervous and it gets shutdown. So "this makes me nervous, stop talking."
[Tue 12:03:41] <dlongley>	Ian: Have you scheduled a chat with the security IG or TAG, etc.?
[Tue 12:04:06] <dlongley>	manu: Talking with the security group has resulted in people feeling nervous and not wanting to discuss and TAG would take a lot of time but it's something we have to do.
[Tue 12:06:43] <dlongley>	Ian: Raising awareness of the TAG needs to be considered because some of what you have heard may be "This is how the Web works for security" (I'm imagining that as something people might say). And we need to check in and see if the TAG really thinks that's true and we may need to push boundaries. Just like the Web has moved into a place where JS has a more prominent role vs. angled brackets. I think it's worth having the TAG there as an architectural grounding influence. Post IG meeting, that may be something to look into. With Wendy (Seltzer) she's our security lead and we can discuss with her. We didn't get to the economics of credentials and I imagine they are different for each industry or if not what's similar? I'd like to see who would want a vibrant open market for credential providers. What's the expectation for gov't agencies to step up, what about people who don't want to use these IDs, maybe there are countries that have done IDs successfully, how will the economics work and I'm particularly interested in the payments landscape.
[Tue 12:07:06] <eric_r_korb>	Thx Ian
[Tue 12:07:06] <dlongley>	Present+ brian, gregg, rob, arto, james, lehn, laura
[Tue 12:07:08] <dlongley>	manu: I know Richard has a tremendous amount of experience in that space and hopefully we can use his time in NYC to dig in deeper with that. Thank you, Ian for joining.
[Tue 12:07:29] <dlongley>	manu: We won't have a call next week because the Web Payments F2F will be going on and a number of us will be there. Thanks all!

