[Tue 11:06:59] <manu>	scribe: Mark
[Tue 11:39:57] <Mark>	Manu: We can handle this different ways.  In the payment group we tried this but there are 30-40 different flows, we couild approach this, 10-15 flows at least.  I think the right approach is phases/steps with some steps that can be skipped.  We won't know without trying more.  Nate agree?
[Tue 11:40:22] <Mark>	Nate: I think it is a matter of massaging the format, providing alternate  flows.
[Tue 11:40:55] <victoriano>	q+
[Tue 11:41:06] <Mark>	Nate: Did you look at the old document?  Manu: Yes, I copy/pasted and the portions will just go into different places.  Sunny are you on audio? :
[Tue 11:41:32] <Mark>	Sunny: unintelligible
[Tue 11:42:24] <SLee>	that's correct, i'm definitely open to the micro use case approach though
[Tue 11:42:27] <SLee>	just throwing caution out there
[Tue 11:42:32] <Mark>	Manu: I heard it feels like we doing UC all over again from scratch, that we are trying to fit into payments model rather than something that fits the Credentials work.  Manu: Sunny is that right?  Sunny: Yes
[Tue 11:43:43] <Mark>	Manu: Very valid points Sunny.  This is an experimental document, not decided by the group.   To address some of your concerns, we will use 80% of content from previous document.   I don't think we will lose the hard work from the original document.
[Tue 11:44:37] <Mark>	Manu: if we do lose content and it is redundant, that is a good thing.  Or if we lose things we need that will be bad and indicate we don't have the structure right yet.  If we can save the work from the other document we should be in pretty good shape.
[Tue 11:44:41] <SLee>	sounds good.
[Tue 11:44:58] <NateOtto>	Manu, can you summarize why you think this format is better in one sentence? Is it designed to appeal to a particular type of user at the W3C, for instance?
[Tue 11:45:53] <Mark>	Manu: other thoughts?  Should we stay with the current UC document?  Dave: I am in favor of reorganizing, makes it easier to use and organize.  We can call it a Credential Framework/with Operations and Phases.
[Tue 11:46:19] <Adrian_>	+1 for the doc and calling it a framework with operations and phases
[Tue 11:46:24] <Mark>	Manu: I see you have made edits to the documents.  Dave: yes to show how we can model it.
[Tue 11:46:56] <victoriano>	+1 to the doc and operations and phases, I do not know why but framework does string a chord with me
[Tue 11:47:08] <NateOtto>	+1 to "operations", which feels like it's at the right scale to have 4-5 steps.
[Tue 11:48:16] <Mark>	Manu: We stopped at the high level intro.  Sunny I hope this speaks to your concerns.  If you look at p1, a simple example of a credential.  The idea is to start with intro, basic framework, a simple example.  e.g. recipient receives and stores. Organization consumes, to ground how these phases work in the real world. Just one example.  Then we talk about the framework in detail, this is where the UC's come in.
[Tue 11:48:25] <victoriano>	may be stupid but it came to my mind: "credential minting process" with operations and steps?
[Tue 11:48:28] <manu>	Example of framework detailed micro-use case: https://docs.google.com/document/d/1GySrTXAYpwa4vDPsGE3BMA42FwIAqAyLGigKuKUTGks/edit#heading=h.1vcapgo841v6
[Tue 11:48:32] <Mark>	Manu: Look at the link in IRC.
[Tue 11:49:30] <dlongley>	to me, "credential minting process" only seems to cover the issuing of credentials, not their consumption (to go with the analogy, minting a currency doesn't really include actually using it to exchange for goods/serviecs)
[Tue 11:49:38] <Mark>	Manu: this is the first "micro use case", composed of fairly simple, broad category, specify the motivation.  Look at bottom of p4, where recipient earns credential.  Bottom of p6, top of p5.  For example micro use case Testing.
[Tue 11:49:47] <Mark>	Manu: example Sally takes a GRE.
[Tue 11:49:47] <victoriano>	agreed, that's why I said "might be stupid"
[Tue 11:49:51] <dlongley>	:)
[Tue 11:50:50] <Mark>	Manu: easy for people to grasp.  Top of p5, you can earn a credential by an action, .eg attended a conference, a real world action.  At its elemental level, these micro uc's are supposed to be very simple.
[Tue 11:52:18] <Mark>	Manu: Can be verbose as well, bottom of p5, a claims micro-use case.  Issuer can make a veriety of claims against a recipient, online course, driver's license, examples. But rest of the format stays the same, p5 point out security implications to verify who they are. Privacy implications, we must protect PII.
[Tue 11:53:03] <Mark>	Manu: this is an example of a verbose micro-use case. All this text came from the current document.  My hope is all UC's will migrate over.  Sunny, will that address your concern?
[Tue 11:53:23] <Mark>	Sunny: Yes.   
[Tue 11:53:23] <Mark>	Manu: OK
[Tue 11:54:28] <SLee>	sounds good
[Tue 11:54:35] <Mark>	Manu: only 7 minutes left.  Can we put this on hold unless anyone disagrees.  We will try to move all content into this experimental one to test it and we will discuss next week and if all are ok we can move on..
[Tue 11:54:49] <elf-pavlik>	+1
[Tue 11:54:54] <victoriano>	+1
[Tue 11:55:00] <KerriLemoie>	+1
[Tue 11:55:03] <Mark>	Manu: any last comments?  <None>.   Thank you Sunny, Kerri and Nate for your efforts.
[Tue 11:54:59] <manu>	Topic: Credentials/Badges Vocabulary Update
[Tue 11:55:21] <NateOtto>	Sorry I missed the top of the call -- I've drafted up a v1 badges context https://raw.githubusercontent.com/ottonomy/openbadges-specification/badges-context-separation/v1/context.json that incorporates some existing terms in a legacy context that is at the URL desired to be used for the badges context
[Tue 11:55:31] <Mark>	Manu: OK regarding the Vocabulary documents, Nate or Dave can you update us?
[Tue 11:55:32] <NateOtto>	Go ahead, Dave
[Tue 11:55:38] <dlongley>	<elf-pavlik> In "Credential or just a Statement?" I try to exercise view that we can pretty much make Credential out of any set of LD statements, so as long as one can create linked data for ownership, marriage, you name it it can also become a Credential.  https://lists.w3.org/Archives/Public/public-credentials/2015Mar/0007.html
[Tue 11:55:40] <NateOtto>	Yes, but I reiterated in text.
[Tue 11:55:41] <NateOtto>	:)
[Tue 11:56:18] *	elf-pavlik dlongley in case you summarize our yesterday's call, could you mention that credentials easily act as hosted and signed at the same time, most like issuer can sign hosted credential and we could look at working in similar way hosted endorsements as well
[Tue 11:56:35] <Mark>	Dave: Pasted in IRC comment from elf earlier.  elf had modeled to confirm it would work well with Open Badges 2.0,   Credentials are digitally signed and suitable for some purpose.  Very generic, any domain specific areas can use their own vocabular.
[Tue 11:56:41] *	elf-pavlik signe hosted credential afterwards
[Tue 11:57:10] <elf-pavlik>	https://gist.github.com/elf-pavlik/029917ccc535e889f693
[Tue 11:57:24] <Mark>	Dave: elf modeled it using the identity credentials spec.  It modeled well, could be used in a hosted way or ...way.   Can add a signature later, add a revocation date and resign.
[Tue 11:57:38] *	manu 's ears bleed.
[Tue 11:57:50] *	manu (due to the feedback, not due to anything anyone said) :P
[Tue 11:58:10] *	elf-pavlik i thought you really don't like hosted aspect of credential ;)
[Tue 11:58:39] <Mark>	Nate: Quick question, re: signed linked data.  If something is revoked and needs to be resigned, should the current version be fetchable in addition to the old version.  Dave: you would expect the new version to be what is retrieved.
[Tue 11:59:36] <NateOtto>	The draft context https://raw.githubusercontent.com/ottonomy/openbadges-specification/badges-context-separation/v1/context.json will actually push off the legacy terms to a separate, linked, clearly-marked legacy context, where humans can totally tell it's legacy/deprecated, but it's equivalent to computers.
[Tue 11:59:49] <Mark>	Nate: we are thinking about the very best way to model achievement data into the linked data form, aligned with the credentials spec.  Dave: elf has shown the importance of decentralized approach, not a rigid set of rules.
[Tue 12:00:13] <NateOtto>	Dave is talking about the gist elf-pavlik posted: https://gist.github.com/elf-pavlik/029917ccc535e889f693 Modeling a signed University Degree (a defined achievement)
[Tue 12:00:36] <Mark>	Dave: for example a University degree, signed and reused as a credential. General idea, keep modeled data true to it's original form but keep it general enough to mark up as a credential.
[Tue 12:00:52] <elf-pavlik>	please also look at revisions where i start from EXAMPLE5 from current vocabulary draft https://gist.github.com/elf-pavlik/029917ccc535e889f693/revisions
[Tue 12:01:07] <Mark>	Manu: do we need to change any direction in this group?  Dave: we think the model we are using can work well.
[Tue 12:02:16] <Mark>	Nate: one action is to confirm our current approach to the Context File.  Dave: we need to find a time to test on ...systems, my recommendation is to use the other URL and then switch it back once we confirmed it works.
[Tue 12:02:56] <elf-pavlik>	oh, we can use rawgit.com to server context directly from github repos e.g. http://tinyurl.com/ndzsvuv
[Tue 12:03:06] <Mark>	Nate: more than a week?  Dave: Yes, Manu: ASU-GSV this week.  Nate: Keep me updated.  Manu: we don't want to kill and important demo, but will try ASAP.
[Tue 12:04:31] <Mark>	Manu: Nate was your read same as Dave's.  Nate: we confirmed the current approach will work well.  The Badges spec for example, not all will follow the credentials spec.  I think it will work just fine to have the recipient be a different email address then the organization's IRI.
[Tue 12:05:04] <Mark>	Dave: One other thing, elf will throw together some temporary context in GIT to figure out what we want to do.
[Tue 12:05:39] <SLee>	thanks!
[Tue 12:05:42] <voip-cr>	Adrian [SIP/sip2sip.info-00000006] has left the conference.
[Tue 12:05:42] <elf-pavlik>	NateOtto, we can look together tomorrow/thursday how much of terms from OpenBadges2.0 you can already reuse in 1.1
[Tue 12:05:42] <voip-cr>	Dave Longley [SIP/6002-00000007] has left the conference.
[Tue 12:05:43] <voip-cr>	Manu Sporny [SIP/6000-00000005] has left the conference.
[Tue 12:05:45] <KerriLemoie>	Thank you!
[Tue 12:05:45] <voip-cr>	Sunny [SIP/104.173.54.237-00000009] has left the conference.
[Tue 12:05:46] <voip-cr>	Dave Lehn [SIP/6003-00000012] has left the conference.
[Tue 12:05:49] *	SLee has quit (Quit: Page closed)
[Tue 12:05:53] <Mark>	Manu: Anything else we need to discuss before the next call?  We will try to make progress on the experimental UC document and try to test out with Nate asap.
[Tue 12:06:04] *	Adrian_ has quit (Quit: Page closed)
[Tue 12:06:04] <manu>	voip: connections?
[Tue 12:06:04] <voip-cr>	Conference participants are: Mark [SIP/69.71.222.196-00000004], 14057083343 [SIP/69.71.222.196-0000000d], Kerri [SIP/69.71.222.196-00000013], NateOtto [SIP/192.168.1.106-00000014].
[Tue 12:06:09] <Mark>	Manu: Meeting ended.  Talk next Tuesday.
[Tue 12:06:09] <Mark>	Present+ dlehn
