[Tue 12:04:21] <manu>	scribe: mike-lodder
[Tue 12:20:14] <voip-ccg>	dlongley has the floor.
[Tue 12:20:30] <mike-lodder>	Dlongley: what are the reasons why your approach is easier
[Tue 12:20:46] <mike-lodder>	Dlongley: how does this stuff work on the web?
[Tue 12:21:01] <voip-ccg>	Markus Sabadello [SIP/sip.linphone.org-00000020] has joined the conference.
[Tue 12:21:06] *	manu what happens when someone loses their device?
[Tue 12:21:14] <mike-lodder>	DavidC: credentials are on the device
[Tue 12:21:26] <dlongley>	q+
[Tue 12:21:26] <voip-ccg>	dlongley has been added to the queue: rgrant, dlongley
[Tue 12:21:27] <kimhd_>	q+ to ask about complementary vs alternative -- can this be implemented in credentials API as is?
[Tue 12:21:27] <voip-ccg>	kimhd_ has been added to the queue: rgrant, dlongley, kimhd_
[Tue 12:21:28] <voip-ccg>	Markus Sabadello [SIP/sip.linphone.org-00000020] has left the conference.
[Tue 12:21:47] <dlongley>	q+ to say that the keys can still be on the device with the other model
[Tue 12:21:47] <voip-ccg>	dlongley has been added to the queue: rgrant, dlongley, kimhd_, dlongley
[Tue 12:21:49] <mike-lodder>	DavidC: its easier to use because there are less steps involved
[Tue 12:22:11] <mike-lodder>	DavidC: manu's was cumbersome and complex
[Tue 12:22:51] <mike-lodder>	DavidC: the phone handles the logic and allows the user to choose consent
[Tue 12:24:40] <mike-lodder>	Dlongley: credentials handler can potentially live on the device or can live on the web in a secure location
[Tue 12:25:05] <rgrant>	that was/is my question: how are credentials reestablished in case the device is lost?
[Tue 12:25:26] <mike-lodder>	Dlongley: the interface is dependent on the software implementer
[Tue 12:26:11] <mike-lodder>	Dlongley: the point is to have the browser do the minimum amount of work
[Tue 12:26:29] <kimhd_>	q?
[Tue 12:26:29] <voip-ccg>	The current speaker queue is: rgrant, dlongley, kimhd_, dlongley
[Tue 12:26:44] <dlongley>	q-
[Tue 12:26:44] <voip-ccg>	dlongley has been removed from the queue: rgrant, kimhd_, dlongley
[Tue 12:26:45] <dlongley>	q-
[Tue 12:26:45] <voip-ccg>	dlongley has been removed from the queue: rgrant, kimhd_
[Tue 12:26:50] <kimhd_>	ack rgrant
[Tue 12:26:50] <voip-ccg>	rgrant has the floor.
[Tue 12:26:51] <mike-lodder>	DavidC: the protocols need to be standardized to allow for mixing and matching
[Tue 12:27:07] <mike-lodder>	rgrant: where are the separation of concerns addressed?
[Tue 12:27:47] <mike-lodder>	DavidC: I would like the protocol between the inspector and holder to be standardized
[Tue 12:28:00] <dlongley>	+1 for standardizing the "policy"/"query" and response
[Tue 12:28:14] <dlongley>	q+ to say that the credential handler API is actually a lower layer than even that
[Tue 12:28:14] <voip-ccg>	dlongley has been added to the queue: kimhd_, dlongley
[Tue 12:28:42] <mike-lodder>	DavidC: whatever approach we choose should be compatible with how browsers are today
[Tue 12:29:06] <rgrant>	i understand the focus and will consider lost devices a problem to be solved by implementaitons.
[Tue 12:29:33] <manu>	Agree that the way to get browser adoption is to make the browser vendors do as little as possible.
[Tue 12:29:36] <mike-lodder>	lodder: +1 rgrant, that problem is up to the vendor To solve
[Tue 12:30:36] <mike-lodder>	dlongley: credential handler api is lower than the layer that DavidC was talking about
[Tue 12:30:39] <kimhd_>	ack kimhd
[Tue 12:30:39] <voip-ccg>	kimhd isn't on the speaker queue.
[Tue 12:30:47] <kimhd_>	ack kimhd_
[Tue 12:30:47] <voip-ccg>	kimhd_ has the floor (to ask about complementary vs alternative -- can this be implemented in credentials API as is?).
[Tue 12:30:48] <kimhd_>	q?
[Tue 12:30:48] <voip-ccg>	The current speaker queue is: dlongley
[Tue 12:30:52] *	MarkusSabadello_ has quit (Ping timeout: 180 seconds)
[Tue 12:32:45] <ChristopherA>	Time check. TPAC review is critical path.
[Tue 12:33:01] <mike-lodder>	DavidC: allowing multiple wallets adds lots of complexity
[Tue 12:34:13] <mike-lodder>	dlongley: different wallets can provide different credentials
[Tue 12:34:21] *	MarkusSabadello (~MarkusSabadello@public.cloak) has joined #ccg
[Tue 12:35:14] <mike-lodder>	kimhd: do we have any action items to close out this topic
[Tue 12:35:21] <rgrant>	do we have consensus that it fits?
[Tue 12:35:24] <rgrant>	i think so
[Tue 12:35:29] <mike-lodder>	Manu: I don't think this is an item that gets closed out
[Tue 12:36:32] <mike-lodder>	kimhd: Manu will guide us through TPAC
[Tue 12:36:58] <manu>	Topic: W3C TPAC Planning
[Tue 12:37:04] <mike-lodder>	manu: give a heads up to W3C group about what we are trying to do
[Tue 12:37:09] <manu>	A Vision for a Self-Sovereign Web: https://docs.google.com/presentation/d/1woq0pZD872NvhBIu90GIZMf8MQLWCtXM1NCx8n6s0VM/edit
[Tue 12:37:10] <JoeAndrieu>	+1 on slide deck, btw. That's my review. =)
[Tue 12:37:53] <mike-lodder>	Manu: this shows how to combine: credential handler, DIDs, and web payments
[Tue 12:38:05] <mike-lodder>	Manu: and addresses some use cases
[Tue 12:39:01] <mike-lodder>	manu: here's how we are doing it
[Tue 12:39:11] <kimhd_>	q?
[Tue 12:39:11] <voip-ccg>	The current speaker queue is: dlongley
[Tue 12:39:43] <dlongley>	q-
[Tue 12:39:43] <voip-ccg>	dlongley has been removed from the queue:
[Tue 12:40:38] <kimhd_>	q+
[Tue 12:40:38] <voip-ccg>	kimhd_ has been added to the queue: kimhd_
[Tue 12:40:39] <mike-lodder>	Manu: how to refine the pitch for self sovereign web
[Tue 12:41:12] <mike-lodder>	kimhd: what time constraints are there for the chairs to review our proposals
[Tue 12:41:14] <rgrant>	go Oma!
[Tue 12:41:20] <voip-ccg>	16617480240 [SIP/69.65.34.216-00000026] has joined the conference.
[Tue 12:41:25] *	kimhd_ Oma++
[Tue 12:43:08] <kimhd_>	ack kimhd_
[Tue 12:43:08] <voip-ccg>	kimhd_ has the floor.
[Tue 12:43:27] <mike-lodder>	kimhd: to start a slide deck to address the action items
[Tue 12:43:32] <kimhd_>	q?
[Tue 12:43:32] <voip-ccg>	The speaker queue is empty.
[Tue 12:43:53] <rgrant>	very visual slides, loved it
[Tue 12:44:34] <ChristopherA>	I'm limited on time. I'm hoping that I don't have to spend all day Wednesday.
[Tue 12:45:42] *	manu suggests we don't have a call 
[Tue 12:45:45] *	dlongley +1
[Tue 12:45:45] <rgrant>	meh
[Tue 12:45:56] <ChristopherA>	We said last week there will be no call next week.
[Tue 12:45:57] <DavidC>	+1
[Tue 12:45:58] *	mike-lodder I don't think we should have the call
[Tue 12:46:14] <manu>	Topic: Post RWoT DID Spec
[Tue 12:46:25] <ChristopherA>	We should first dive into post #RWOT spec first, then Post IIW DID spec.
[Tue 12:46:32] *	mike-lodder I believe Drummond will be at TPAC
[Tue 12:47:05] <Suedonym>	Drummond is confirmed to attend
[Tue 12:48:20] <mike-lodder>	kimhd: no meeting next week but we will dive into DID spec stuff after that
[Tue 12:48:20] <manu>	present+ christophera, rgrant, longley, lehn, suedonym, andrieu, gropper, duffy, chadwick
