[2020-08-04T15:59:10.066Z]	<oliver_>	present+ oliver_terbu
[2020-08-04T16:32:27.084Z]	<JoeAndrieu>	... Front End and Back End requirements for data use
[2020-08-04T16:33:10.727Z]	<JoeAndrieu>	... your name, personal information, can be bought and campaigns can use those for reaching voters (through voter files)
[2020-08-04T16:33:22.843Z]	<JoeAndrieu>	... Attack Surfaces (details in slide deck)
[2020-08-04T16:33:47.665Z]	<JoeAndrieu>	... Technical + Social attacks
[2020-08-04T16:34:02.648Z]	<JoeAndrieu>	... Technical attacks (chart in slide deck)
[2020-08-04T16:35:03.984Z]	<JoeAndrieu>	... You are probably already thinking about how technology can address technology attack surfaces
[2020-08-04T16:35:23.785Z]	<JoeAndrieu>	... the point of the report was not to use DIDs to solve these problems, but rather "these are the problems. this is the context"
[2020-08-04T16:35:47.249Z]	<JoeAndrieu>	... Technical attacks can lead to social attacks (chart in the slide deck)
[2020-08-04T16:37:17.565Z]	<JoeAndrieu>	... Familiarity with voting systems is important
[2020-08-04T16:37:26.732Z]	<ottonomy>	present+
[2020-08-04T16:37:38.274Z]	<JoeAndrieu>	... With dozens of different ballots, this can become a problem
[2020-08-04T16:38:16.788Z]	<JoeAndrieu>	... This is one reason vote-by-mail can be so useful: it gives people time to become familiar with the mechanism before finalizing voting decisions
[2020-08-04T16:38:26.390Z]	<moses>	present+
[2020-08-04T16:38:50.728Z]	<JoeAndrieu>	... Social fears about election resulted in increasing technical security, but this doesn't directly shift public perception of election validity
[2020-08-04T16:39:48.447Z]	<JoeAndrieu>	... There is a lot of sabotage going on
[2020-08-04T16:40:01.305Z]	<JoeAndrieu>	... Earlier this year, I wrote a book on espionage
[2020-08-04T16:40:24.110Z]	<JoeAndrieu>	... During WWII both US and Britain had the SOC and OSS, both of which were created to sabotage the Nazis in Europe
[2020-08-04T16:40:47.966Z]	<JoeAndrieu>	... I had imagined that didn't happen any more. But in fact, I was able to learn to recognize contemporary sabotage all around
[2020-08-04T16:41:03.766Z]	<JoeAndrieu>	... "Sorry, it's going to take 2 hours to vote because we only have one voting machine"
[2020-08-04T16:41:59.164Z]	<JoeAndrieu>	... These are the ways our election system is vulnerable
[2020-08-04T16:42:10.725Z]	<JoeAndrieu>	... the primary attack here is social, not technical
[2020-08-04T16:42:40.371Z]	<JoeAndrieu>	... Maskirovka: to camouflage the truth (details in slide deck)
[2020-08-04T16:43:00.125Z]	<JoeAndrieu>	... While I'm talking about this in terms of Russia, both China and the US do this as well
[2020-08-04T16:43:10.350Z]	<JoeAndrieu>	... in 2020 we have unlocked "entrepreneur mode"
[2020-08-04T16:43:29.866Z]	<JoeAndrieu>	... there is no directions from the Kremlin, but rather lots of activities that may or may not have govt. involvement
[2020-08-04T16:43:33.290Z]	<kimhd>	I'd be interested in having Heather come back to do the rest on a future call
[2020-08-04T16:43:36.025Z]	<JoeAndrieu>	... more like startups looking for VC funding
[2020-08-04T16:43:44.065Z]	<Orie_>	Report On The Investigation Into Russian Interference In The 2016 Presidential Election - Volume I (redacted): https://www.justice.gov/storage/report.pdf
[2020-08-04T16:44:17.750Z]	<JoeAndrieu>	... Information operations in 8 steps (Bruce Schneier)
[2020-08-04T16:44:21.353Z]	<manu>	I'd also be interested in how we can apply some of these learnings to how we design the technical specs...
[2020-08-04T16:44:31.385Z]	<manu>	That is, is there anything we can do to combat 1-8
[2020-08-04T16:44:33.445Z]	<kimhd>	q?
[2020-08-04T16:44:46.446Z]	<JoeAndrieu>	... This is not a short term agenda
[2020-08-04T16:44:59.672Z]	<JoeAndrieu>	... This is about changing beliefs and shifting power
[2020-08-04T16:45:10.965Z]	<JoeAndrieu>	... Skip forward to "what can we do"
[2020-08-04T16:45:21.768Z]	<JoeAndrieu>	... We need to have technical and social solutions that work together
[2020-08-04T16:45:32.994Z]	<JoeAndrieu>	... We need technical solutions on the platforms.
[2020-08-04T16:45:58.013Z]	<JoeAndrieu>	... Technical and Social suggestions in slide deck
[2020-08-04T16:46:46.665Z]	<JoeAndrieu>	... One thing I don't see talked about a lot is the need for increased emotional resilience.
[2020-08-04T16:46:51.515Z]	<JoeAndrieu>	... If triggered, chill
[2020-08-04T16:47:16.027Z]	<JoeAndrieu>	... Democracies *are* at a disadvantage. Authoritarian regimes don't have to follow data privacy rules.
[2020-08-04T16:47:27.285Z]	<JoeAndrieu>	... Realize you are a target. Yourself. Your company.
[2020-08-04T16:47:42.723Z]	<JoeAndrieu>	... that's it
[2020-08-04T16:47:46.924Z]	<by_caballero>	an SSI-adjacent org working on the DeepFake detection problem is the DeepTrustAlliance: https://www.deeptrustalliance.org/approach
[2020-08-04T16:47:49.365Z]	<JoeAndrieu>	kimhd: handing over to Manu
[2020-08-04T16:47:57.256Z]	<JoeAndrieu>	manu: that was super fascinating. thanks.
[2020-08-04T16:48:00.143Z]	<kimhd>	Topic: CBOR-LD
[2020-08-04T16:48:02.424Z]	<by_caballero>	they've attended the last two IIWs, FWIW
[2020-08-04T16:48:04.212Z]	<JoeAndrieu>	... CBOR-LD
[2020-08-04T16:48:05.132Z]	<manu>	https://docs.google.com/presentation/d/199svsHQXt2j1GqcvEXHgpENZIk1AZ53tEcUWuEYSsp4/edit
[2020-08-04T16:48:14.643Z]	<JoeAndrieu>	... This is going to be a fairly simple, non-technical interview
[2020-08-04T16:48:17.212Z]	<manu>	https://lists.w3.org/Archives/Public/public-credentials/2020Aug/att-0018/CBOR-LD_Overview.pdf
[2020-08-04T16:48:24.535Z]	<JoeAndrieu>	... There is a PDF as well as the google presentation
[2020-08-04T16:48:38.291Z]	<JoeAndrieu>	... This is a new data format that is meant to apply to VCs and DIDs.
[2020-08-04T16:48:56.963Z]	<JoeAndrieu>	... CBOR = Concise Binary Object Representation
[2020-08-04T16:49:19.072Z]	<JoeAndrieu>	... the problem: documents are too big!
[2020-08-04T16:49:40.870Z]	<JoeAndrieu>	... For example, just presented a VC with your mobile phone, using something like a QR code
[2020-08-04T16:50:14.923Z]	<JoeAndrieu>	... If we take a typical credential, ~1200 bytes. That's hard to scan as a QR code
[2020-08-04T16:50:29.923Z]	<JoeAndrieu>	... In contrast, a 400 byte QR code is MUCH MUCH simpler and easier to read
[2020-08-04T16:50:44.835Z]	<JoeAndrieu>	... If we can get our data sizes down to ~400 bytes a bunch of offline use cases become possible
[2020-08-04T16:51:06.303Z]	<JoeAndrieu>	... The goal: figure out how to compress
[2020-08-04T16:51:33.533Z]	<JoeAndrieu>	... Slide 6 shows the compression magic of various approaches
[2020-08-04T16:52:03.546Z]	<JoeAndrieu>	... We were able to go from 1200 to 325 bytes. That gets us below that magic 400 number
[2020-08-04T16:52:27.365Z]	<JoeAndrieu>	... So, if we want interactions off the network (arguably more secure because of that), we have options
[2020-08-04T16:52:44.048Z]	<JoeAndrieu>	... we can get them to about 1/5 of the original size with CBOR-LD
[2020-08-04T16:52:59.883Z]	<JoeAndrieu>	... This also matters *at scale*
[2020-08-04T16:53:26.528Z]	<JoeAndrieu>	... The storage of credentials for millions or billions of people, every byte matters
[2020-08-04T16:54:05.983Z]	<JoeAndrieu>	... How does this work?
[2020-08-04T16:54:22.747Z]	<JoeAndrieu>	... This is dictionary compression.
[2020-08-04T16:54:39.611Z]	<JoeAndrieu>	... The dictionary lets you turn long strings into compact representations
[2020-08-04T16:54:59.690Z]	<JoeAndrieu>	... You can build a compression dictionary from repetitions within the document
[2020-08-04T16:56:12.847Z]	<JoeAndrieu>	... Turns out the @context for VCs works great as a compression dictionary
[2020-08-04T16:56:35.786Z]	<JoeAndrieu>	... That's basically what CBOR-LD does: it uses the context to create a compression dictionary and compress the documents
[2020-08-04T16:57:08.202Z]	<JoeAndrieu>	... This is typically far better than best-of-class binary compression
[2020-08-04T16:57:54.362Z]	<JoeAndrieu>	... We also get additional benefits like btye-level semantic processing, semantic processing over fixed data structures, hardware optimizations, etc.
[2020-08-04T16:58:01.955Z]	<kimhd>	q?
[2020-08-04T16:58:26.203Z]	<jonathan_holt>	q+
[2020-08-04T16:58:26.828Z]	<JoeAndrieu>	.. with that we'll stop, and pick this up in after hours
[2020-08-04T16:58:32.170Z]	<JoeAndrieu>	kimhd: thank you, Manu
[2020-08-04T16:58:46.124Z]	<JoeAndrieu>	jonathon_holt: Where is this work being incubated?
[2020-08-04T16:58:46.893Z]	<kimhd>	ack jonathan_holt
[2020-08-04T16:58:58.203Z]	<JoeAndrieu>	manu: digital bazaar right now. probably the JSON-LD community group
[2020-08-04T16:59:20.152Z]	<JoeAndrieu>	kimhd: after hours!
[2020-08-04T16:59:27.051Z]	<JoeAndrieu>	manu: new conference system
[2020-08-04T16:59:39.452Z]	<JoeAndrieu>	... you'll get a URL. We are going to disconnect everything from this bridge
[2020-08-04T16:59:48.922Z]	<JoeAndrieu>	... please do NOT reconnect to the bridge we are on now
[2020-08-04T17:00:04.464Z]	<JoeAndrieu>	... We'll send URL. Disconnect. Then everyone connect at the new URL
[2020-08-04T17:00:06.644Z]	<identitywoman_>	good luck - I have another call :)
[2020-08-04T17:00:10.713Z]	<JoeAndrieu>	... This may be a disaster
[2020-08-04T17:00:11.431Z]	<Orie_>	smae
[2020-08-04T17:00:21.092Z]	<JoeAndrieu>	... We'll use IRC to track success while we try this out
[2020-08-04T17:00:35.367Z]	<JoeAndrieu>	... Everyone go ahead and disconnect.
[2020-08-04T17:00:59.859Z]	<manu>	voip: connections?
[2020-08-04T17:01:03.095Z]	<manu>	voip: disconnect 11cf
[2020-08-04T17:01:05.999Z]	<manu>	voip: disconnect 11d3
[2020-08-04T17:01:08.156Z]	<manu>	voip: disconnect 11ed
[2020-08-04T17:01:12.782Z]	<manu>	voip: disconnect 11ec
