[2024-06-03T14:54:09.188Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0000.html

[2024-06-03T14:54:19.188Z]	<Simone_Ravaioli> Good morning, good afternoon everyone. This is Simone speaking, today chairing our Monday call with the W3C Verifiable Credentials for Education task force. Today is June the 3rd. Let's just get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now we can move on to the main agenda topic, that is Learning and Employment Record Resume Standard (LER-RS).
[2024-06-03T15:10:25.749Z]	<Transcriber>	PL/T3: Structured data link data references to standards and Frameworks uh potentially 4 things like competencies and skills.
[2024-06-03T15:10:35.319Z]	<Nate_Otto>	present+
[2024-06-03T15:10:46.292Z]	<Transcriber>	PL/T3: Of asking for what sought in what scent meaning there's a mechanism by which a relying party can make a request for credentials and the the holder of the credentials can make a decision about whether to share them or not and that's sort of the core set of of attributes.
[2024-06-03T15:11:03.302Z]	<Transcriber>	PL/T3: The current state of these vrs is really uh sort of twofold 1 is the ability to send a group or stack of credentials 1 or more in a verifiable presentation to an endpoint such as a credential wallet or some other endpoint.
[2024-06-03T15:11:18.805Z]	<Transcriber>	PL/T3: On arrival they are an independent unordered set of in of credentials that is a verifiable credentials the relying party can ha does have agency to choose what gets put into the package that is sent.
[2024-06-03T15:11:28.800Z]	<Transcriber>	PL/T3: That's their their agency that they have the actual initiation of the request comes from the relying party themselves.
[2024-06-03T15:11:42.794Z]	<Transcriber>	PL/T3: The second alternative a poet for sending credentials um is that 1 can send a compound credential where that is credentials embedded within a credential and that's the model of the CLR V2.
[2024-06-03T15:11:45.282Z]	<Transcriber>	PL/T3: The outer credential envelope.
[2024-06-03T15:11:51.945Z]	<Transcriber>	PL/T3: Um is a signed document a signed credential which uh has metadata.
[2024-06-03T15:12:01.945Z]	<Transcriber>	PL/T3: Then there are embedded credential objects in this case with clrv 2 obv 3s open badge version 3s single assertion credentials.
[2024-06-03T15:12:09.446Z]	<Naomi>	present+
[2024-06-03T15:12:13.421Z]	<Transcriber>	PL/T3: Um they are used in the case of the crv20001.
[2024-06-03T15:12:13.792Z]	<Transcriber>	PL/T3:  the package.
[2024-06-03T15:12:19.943Z]	<Transcriber>	PL/T3: A hole can be signed and the obvious can be left unsigned if the institution wishes that's issuing.
[2024-06-03T15:12:22.913Z]	<Transcriber>	PL/T3: Or they can both be signed.
[2024-06-03T15:12:36.434Z]	<Transcriber>	PL/T3: Um as as in doing so allowing the individual obvious to be separately verified if they are uh if the individual who was a recipient of them wishes to do so.
[2024-06-03T15:12:44.427Z]	<Transcriber>	PL/T3: The composed credentials neither of these approaches.
[2024-06-03T15:12:46.421Z]	<Transcriber>	PL/T3: The holder or.
[2024-06-03T15:12:50.417Z]	<Transcriber>	PL/T3: Or the school at the job the holder.
[2024-06-03T15:13:04.487Z]	<Transcriber>	PL/T3: For either a job or a school application the ability to orchestrate the sequence of their credentials to the relying party highlighting what the holder may want to emphasize and I mentioned that simply because.
[2024-06-03T15:13:07.935Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-06-03T15:13:10.944Z]	<Transcriber>	PL/T3: That's the current state when you get a stack of obvious threes in a VP.
[2024-06-03T15:13:25.950Z]	<Transcriber>	PL/T3: Then those credentials are there for the individual relying party to look at as they wish or not in any order they wish or not and that's the same as uh a true of the uh of the compost conventional as well.
[2024-06-03T15:13:30.406Z]	<Transcriber>	PL/T3: Why does this matter now.
[2024-06-03T15:14:04.570Z]	<Transcriber>	PL/T3: Well because we're increasingly needing to use the capabilities of linked claim of verifiable credentials and Link claims is a particular framework for doing so for a particular population which I'll get to so there's the obvious concern today with respect to the of validity of credentials in terms of their are they actually from somebody that's real um to what extent are these credentials uh fabricated and not associated with the uh an issue or that uh that you can identify in some fashion.
[2024-06-03T15:14:09.923Z]	<Transcriber>	PL/T3: Um and most importantly from our perspective.
[2024-06-03T15:14:18.930Z]	<Transcriber>	PL/T3: There is an entire segment of the population that is likely not to have issued credentials from an institution or training body.
[2024-06-03T15:14:22.918Z]	<Transcriber>	PL/T3: Um or from an employer who has the ability.
[2024-06-03T15:14:29.419Z]	<Transcriber>	PL/T3: The present time none are exercising at this point to credential their own workers.
[2024-06-03T15:14:49.468Z]	<Transcriber>	PL/T3: So the self-employed the non-traditional workers those who are in small businesses that can't afford the infrastructure necessary to issue and or process verify the credentials um constitute a population for whom our current architecture and design essentially overlooks.
[2024-06-03T15:14:56.917Z]	<Transcriber>	PL/T3: So with the interest in skills-based hiring and advancement.
[2024-06-03T15:15:01.916Z]	<Transcriber>	PL/T3: We are interested in putting a surgeons of credentials.
[2024-06-03T15:15:11.434Z]	<Transcriber>	PL/T3: Endorsements in the same secure verifiable context as assertions of achievements licenses and other uh verifiable credentials like degrees.
[2024-06-03T15:15:17.947Z]	<Transcriber>	PL/T3: We want to mirror the pattern of social recommendations currently used for job applications and resumes.
[2024-06-03T15:15:24.971Z]	<Transcriber>	PL/T3: Where typically you send in a CV or a or a resume and at the bottom you list 4 or 5.
[2024-06-03T15:15:35.515Z]	<Transcriber>	PL/T3: Whom you suggest as recommendations to support the contents of your application and the validity of your of your resume or CV.
[2024-06-03T15:15:41.450Z]	<Transcriber>	PL/T3: But we'd like to do that with the same architectural framework that VCS and general possess.
[2024-06-03T15:16:04.499Z]	<Transcriber>	PL/T3: And more importantly we'd like to make sure that they're recommending credential is designed specifically for that purpose that is it contains bonafides so that the relying party can judge the recommenders knowledge and the value to uh that the recommender is suggesting in terms of the prediction of the ability of that particular applicant to do the work the job is that the job requires.
[2024-06-03T15:16:15.949Z]	<Transcriber>	PL/T3: So to do that we need recommendations that allow you to bind together 2 different verifiable credentials.
[2024-06-03T15:16:16.293Z]	<Transcriber>	PL/T3:  in a.
[2024-06-03T15:16:16.739Z]	<Transcriber>	PL/T3: Way that is.
[2024-06-03T15:16:20.617Z]	<David_Ward>	present+
[2024-06-03T15:16:23.474Z]	<Transcriber>	PL/T3: 1 credential to the other that that link between the 2 is tamper evident.
[2024-06-03T15:16:50.490Z]	<Transcriber>	PL/T3: We also want to be able to bind in a tamper evident fashion links to digital objects that are somewhere out on the internet for example evidence that you might have and you've placed it in say a Google Drive you'd like a link from your credential to that evidence in that Google Drive that is temporary evident in the sense that since that love that evidence was placed in that Google drive it has not been changed.
[2024-06-03T15:17:07.464Z]	<Transcriber>	PL/T3: And we'd like a method to provide confidence in the credential subject that that credential subject particularly the self issuer is who they say they are there's an asterisk by that because that is part of the future work which I'll get to at the very end.
[2024-06-03T15:17:18.173Z]	<Transcriber>	PL/T3: The general framework um I'll pause for a second so I can't see speaker notes if there are any questions at this stage.
[2024-06-03T15:17:22.407Z]	<Transcriber>	PL/T3: Um or common metric or Karen as to my intro.
[2024-06-03T15:17:28.904Z]	<Transcriber>	PL/T3: And I'm hearing nothing.
[2024-06-03T15:17:34.889Z]	<Dmitri_Zagidulin>	no questions so far
[2024-06-03T15:17:36.048Z]	<Transcriber>	Karen_Passmore: Nothing for me I thought that was a really good intro thank you.
[2024-06-03T15:17:37.135Z]	<Transcriber>	PL/T3: So maybe I should stop sharing.
[2024-06-03T15:17:40.219Z]	<Dmitri_Zagidulin>	we can hear you though
[2024-06-03T15:17:49.145Z]	<Transcriber>	PL/T3: Stop sharing for a second.
[2024-06-03T15:17:57.879Z]	<Transcriber>	PL/T3: Can you all was were you able to hear me through that.
[2024-06-03T15:17:59.474Z]	<Transcriber>	Dmitri_Zagidulin: We were able to hear you.
[2024-06-03T15:18:00.082Z]	<Simone_Ravaioli>	Yes we heard you.
[2024-06-03T15:18:00.665Z]	<Kayode_Ezike>	Yes, we can hear you Phil
[2024-06-03T15:18:03.947Z]	<Ildiko_Mazar>	Can you please explain Phil what the significance is of ordering/sequencing the credentials and what makes it not possible?
[2024-06-03T15:18:08.109Z]	<Transcriber>	PL/T3: Okay were there any questions because I'm not hearing audio from anybody at this point.
[2024-06-03T15:18:08.604Z]	<Simone_Ravaioli>	No questions
[2024-06-03T15:18:10.663Z]	<Karen_Passmore>	Nothing from me at this time
[2024-06-03T15:18:23.131Z]	<Transcriber>	PL/T3: Okay I see a question that eidos mentioned can you please explain what the significance is of ordering and sequencing the credentials and what what uh makes it not possible.
[2024-06-03T15:18:27.606Z]	<Transcriber>	PL/T3: Issue is not that they can't be.
[2024-06-03T15:18:31.346Z]	<Transcriber>	PL/T3: That an individual can't choose to click through them.
[2024-06-03T15:18:37.338Z]	<Transcriber>	PL/T3: Uh as they wish the issue is that the the um.
[2024-06-03T15:18:54.879Z]	<Transcriber>	PL/T3: The person that has sent the credentials that is to say the person who is the credential subject the person whom the credentials are about does not have a way for indicating to the relying party the order and the focus of the credentials that they're receiving.
[2024-06-03T15:18:56.831Z]	<Transcriber>	PL/T3: That is I can't.
[2024-06-03T15:19:01.355Z]	<Transcriber>	PL/T3: The relying party I'd like you to go in this order with these credentials.
[2024-06-03T15:19:30.887Z]	<Ildiko_Mazar>	Is that a credential FORMAT limitation or a DESIGN feature?
[2024-06-03T15:19:38.583Z]	<Transcriber>	PL/T3: Um I can't say that within a given credential I would like to highlight these particular elements potentially relevant in my view to the application that I am applying for or the position I'm applying for ETC none of that is possible I can simply present the credentials in the context of the combined credential uh in the CLR V2 fashion there may be the opportunity for these things to be grouped in a standard way based on some template that represents what we think of as a resume or a CV but I'm not in any way able to point.
[2024-06-03T15:19:50.843Z]	<Transcriber>	PL/T3: Sequence of going through those uh to the relying party or say anything about uh the evidence or other elements in those credentials I would like to highlight.
[2024-06-03T15:19:53.844Z]	<Transcriber>	PL/T3: I hope that addresses the question.
[2024-06-03T15:20:00.329Z]	<Transcriber>	PL/T3: What else do we have here uh.
[2024-06-03T15:20:05.845Z]	<Transcriber>	PL/T3: And these questions are coming in faster than I can respond to them.
[2024-06-03T15:20:12.072Z]	<Transcriber>	PL/T3: Demitri do you want to take some of these uh because I've got to get my audio fixed because I am hearing nothing.
[2024-06-03T15:20:12.485Z]	<Dmitri_Zagidulin>	sure
[2024-06-03T15:20:18.193Z]	<Transcriber>	Dmitri_Zagidulin: Sure yeah so uh the 1 Thing.
[2024-06-03T15:20:22.180Z]	<Transcriber>	Dmitri_Zagidulin: That I would mention.
[2024-06-03T15:20:35.808Z]	<Transcriber>	Dmitri_Zagidulin: Uh to iOS follow-up question of is this a credential format limitation or a design feature uh it's basically a a question of whether the issuer arranges it.
[2024-06-03T15:20:43.502Z]	<Transcriber>	Dmitri_Zagidulin: Or can the receiver arrange it right that's that's the main design question its.
[2024-06-03T15:20:43.572Z]	<Transcriber>	PL/T3: Because I question.
[2024-06-03T15:20:43.754Z]	<Transcriber>	Dmitri_Zagidulin:  this is the.
[2024-06-03T15:20:50.038Z]	<Transcriber>	Dmitri_Zagidulin: This is the general Choice design choice between.
[2024-06-03T15:20:55.050Z]	<Transcriber>	Dmitri_Zagidulin: Kitchen sink credentials like your full transcript versus.
[2024-06-03T15:21:01.045Z]	<Transcriber>	Dmitri_Zagidulin: Pending individual credentials of your courses and allowing you to.
[2024-06-03T15:21:08.584Z]	<Transcriber>	Dmitri_Zagidulin: Um compose them into some of them into resumes uh into other credentials right so it's just.
[2024-06-03T15:21:13.120Z]	<Transcriber>	Dmitri_Zagidulin: Uh uh single picture versus uh puzzle pieces.
[2024-06-03T15:21:16.616Z]	<Transcriber>	PL/T3: And I've got your audio now so I'm you can hear me.
[2024-06-03T15:21:17.387Z]	<Ildiko_Mazar>	:+1:
[2024-06-03T15:21:18.847Z]	<Transcriber>	Dmitri_Zagidulin: Oh good good yeah we can hear you welcome back.
[2024-06-03T15:21:31.649Z]	<Transcriber>	PL/T3: Okay weird um okay so I will go back is there anything else in the in the question list that that um hasn't been addressed that we need to respond to the deco.
[2024-06-03T15:21:38.596Z]	<Transcriber>	PL/T3: Okay so I'll go back to uh presenting.
[2024-06-03T15:21:42.262Z]	<Transcriber>	PL/T3: And go there.
[2024-06-03T15:21:42.559Z]	<Transcriber>	PL/T3:  that's where I.
[2024-06-03T15:21:46.925Z]	<Dmitri_Zagidulin>	present+
[2024-06-03T15:21:54.593Z]	<Alex_H>	present+
[2024-06-03T15:21:57.089Z]	<Jeff_O_/_HumanOS>	present+
[2024-06-03T15:22:02.642Z]	<David_Ward>	present+
[2024-06-03T15:22:03.301Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-06-03T15:22:04.298Z]	<Ildiko_Mazar>	present+
[2024-06-03T15:22:05.207Z]	<Susan_Stroud>	present+
[2024-06-03T15:22:14.588Z]	<Adam_Eunson_(Tangle_Labs)>	present+
[2024-06-03T15:22:15.691Z]	<Sharon_Leu>	present+
[2024-06-03T15:22:16.339Z]	<Andy_Griebel>	present+
[2024-06-03T15:22:21.256Z]	<Hiroyuki_Sano,_Japan>	present+
[2024-06-03T15:22:26.736Z]	<Danny_Done>	present+
[2024-06-03T15:22:34.973Z]	<Phil_Barker>	present+
[2024-06-03T15:22:35.371Z]	<Simone_Ravaioli>	present+
[2024-06-03T15:22:42.302Z]	<Laura_Paglione>	present+
[2024-06-03T15:23:04.907Z]	<Eric_Shepherd>	present+
[2024-06-03T15:23:16.790Z]	<Transcriber>	scribe+
[2024-06-03T15:23:16.790Z]	<Transcriber>	Meeting: education
[2024-06-03T15:23:17.299Z]	<Sharon_Leu>	Can you clarify - in the model with the CLRv2, where it's mixed VC/Non-VC, are links only the VCs or can you link a claim to a non-VC, too?
[2024-06-03T15:23:19.495Z]	<Transcriber>	PL/T3: And I would like to.
[2024-06-03T15:23:29.651Z]	<Transcriber>	PL/T3: Go off of sharing now and turn it over to Karen to go walk through briefly uh a view of what this might look like.
[2024-06-03T15:23:36.148Z]	<Transcriber>	PL/T3: Sure go ahead.
[2024-06-03T15:23:49.553Z]	<Transcriber>	Dmitri_Zagidulin: I I can I can take that uh and yeah go ahead Karen um if you could share your screen and say a few words of introduction But to answer Sharon uh you can link.
[2024-06-03T15:23:49.675Z]	<TimG>	present+
[2024-06-03T15:24:00.002Z]	<Chandi_Cumaranatunge>	present+
[2024-06-03T15:24:05.546Z]	<Transcriber>	Dmitri_Zagidulin: Uh the the general notion of hash links which is what which is a link plus a cryptographic hash of the destination can be applied to anything to credentials to PDFs to non VC documents and so on.
[2024-06-03T15:24:11.119Z]	<Transcriber>	Karen_Passmore: Okay can you all see my screen.
[2024-06-03T15:24:12.519Z]	<Transcriber>	Dmitri_Zagidulin: Uh not yet.
[2024-06-03T15:24:14.702Z]	<Transcriber>	Karen_Passmore: Not yet okay great let me try.
[2024-06-03T15:24:15.020Z]	<Transcriber>	Dmitri_Zagidulin: We can hear you clear though.
[2024-06-03T15:24:18.140Z]	<Transcriber>	Karen_Passmore: Thank you uh a lot of share screen.
[2024-06-03T15:24:23.743Z]	<Transcriber>	Karen_Passmore: Are you able to see my screen now.
[2024-06-03T15:24:24.627Z]	<Sharon_Leu>	@Dmitri, Is that useful if it's not verifiable though? In the context of this group?
[2024-06-03T15:24:28.250Z]	<Transcriber>	Dmitri_Zagidulin: Uh not yet I think you have to select uh the window or the table that you're sharing.
[2024-06-03T15:24:32.835Z]	<Transcriber>	Karen_Passmore: Let me see window share uh.
[2024-06-03T15:24:36.497Z]	<Transcriber>	Dmitri_Zagidulin: And now we can hear you now we can see your screen.
[2024-06-03T15:24:41.403Z]	<Transcriber>	Karen_Passmore: All right sorry I'm not familiar 1 second go ahead.
[2024-06-03T15:24:43.753Z]	<Nate_Otto>	present+
[2024-06-03T15:24:45.872Z]	<Transcriber>	Dmitri_Zagidulin: Okay oh no problem no problem yeah so Sharon uh you follow-up question uh is that useful when it's not verifiable though so the.
[2024-06-03T15:24:51.861Z]	<Dmitri_Zagidulin>	present+
[2024-06-03T15:24:55.835Z]	<Adam_Eunson_(Tangle_Labs)>	present+
[2024-06-03T15:24:57.216Z]	<Simone_Ravaioli>	present+
[2024-06-03T15:25:02.264Z]	<Stuart_Freeman>	present+
[2024-06-03T15:25:05.650Z]	<Andy_Griebel>	present+
[2024-06-03T15:25:05.696Z]	<Phil_Barker>	present+
[2024-06-03T15:25:05.981Z]	<David_Ward>	present+
[2024-06-03T15:25:10.113Z]	<Laura_Paglione>	present+
[2024-06-03T15:25:11.700Z]	<PL/T3>	present+
[2024-06-03T15:25:13.099Z]	<Eric_Shepherd>	present+
[2024-06-03T15:25:13.200Z]	<Sharon_Leu>	present+
[2024-06-03T15:25:18.196Z]	<Alex_H>	present+
[2024-06-03T15:25:18.372Z]	<TimG>	present+
[2024-06-03T15:25:22.746Z]	<Transcriber>	scribe+
[2024-06-03T15:25:22.746Z]	<Transcriber>	Meeting: education
[2024-06-03T15:25:25.570Z]	<Ildiko_Mazar>	present+
[2024-06-03T15:25:26.912Z]	<Hiroyuki_Sano,_Japan>	present+
[2024-06-03T15:25:30.248Z]	<Jeff_O_/_HumanOS>	present+
[2024-06-03T15:25:33.182Z]	<Danny_Done>	present+
[2024-06-03T15:25:33.591Z]	<Transcriber>	Dmitri_Zagidulin: To create a very simple very dumb credential that I read this PDF right that's the that's the self assured we see that I'm that I'm creating.
[2024-06-03T15:25:33.896Z]	<Transcriber>	Dmitri_Zagidulin:  and if.
[2024-06-03T15:25:51.179Z]	<Transcriber>	Dmitri_Zagidulin: I if I linked to that PDF without uh cryptographic component if I just linked to it all I'm all I'm putting in there is the URL somebody who's hosting that PDF could change it to a completely different contents uh you know after I issue this credential that that I read this thing.
[2024-06-03T15:25:56.177Z]	<Transcriber>	Dmitri_Zagidulin: Add any sort of cryptographic hash to your link.
[2024-06-03T15:26:06.714Z]	<Transcriber>	Dmitri_Zagidulin: You can say I read this specific version and if it gets changed afterwards then the signature the uh then the hash won't verify.
[2024-06-03T15:26:13.731Z]	<Transcriber>	Dmitri_Zagidulin: So that's that's all the assurance that it gives it doesn't hash links don't give Assurance of authorship.
[2024-06-03T15:26:24.458Z]	<Transcriber>	Dmitri_Zagidulin: Uh you need additional verified credential mechanisms for that so all they do is just lock down the version of the object that you're referring on referring to.
[2024-06-03T15:26:26.996Z]	<Transcriber>	Dmitri_Zagidulin: Uh over to you Karen.
[2024-06-03T15:26:35.377Z]	<Kayode_Ezike>	present+
[2024-06-03T15:26:49.073Z]	<Transcriber>	Karen_Passmore: Thank you thanks Dmitri so I'm going to show the experience of a user who is interested in creating a self-claimed credential or for a specific skill that they have and I'm going to be showing the mobile version of this experience although these are responsive designs that we've created so they would work across any any type of device and.
[2024-06-03T15:26:51.344Z]	<Transcriber>	Dmitri_Zagidulin: Karen do you wanna do you want to say a few words of introduction for yourself.
[2024-06-03T15:26:58.032Z]	<Transcriber>	Karen_Passmore: Oh sure yep thanks okay so my name pardon me right when you asked that of course my throat's all clogged.
[2024-06-03T15:27:21.087Z]	<Transcriber>	Karen_Passmore: Um my name is Karen Passmore I'm the CEO of predictive ux and I have a background in excuse me designing Enterprise applications and SAS applications and I was working most recently with Arizona State University on their digital wallet for um verifiable credentials which is where I met Demetri and then subsequently got introduced to Phil.
[2024-06-03T15:27:23.028Z]	<Transcriber>	Karen_Passmore: Pardon my goodness.
[2024-06-03T15:28:08.284Z]	<Transcriber>	Karen_Passmore: And we've been working together on the user experience of the linked claims app and our approach to this project has been to look at it from an inclusive design perspective to ensure that it's usable by very different types of people across various intersectionalities uh and paying close attention to things like internet connectivity so how can we create an experience where someone might be working on uh either their local machine with intermittent internet connectivity or perhaps they're working in a public environment and they can't save data to their local device so we've taken a lot of that into consideration as we've created these designs and we've also looked outward to research other people have done in this space to learn what we can about people who.
[2024-06-03T15:28:56.778Z]	<Transcriber>	Karen_Passmore: Might be creating some of these uh claims and our goal is to First create the experience for the user who would claim a skill and then we're going to move on to the user experience for getting a recommendation for a specific skill um but today uh we just have kind of our first iteration or pass at these Concepts and ideas and so as I show this um bear in mind that you know if you want to give some feedback on anything you see here today it would not hurt my feelings at all and whether it's positive or negative uh so we welcome your insights it all just we want to make the best app possible for uh everyone who might want to use it to include you know folks that are going to take this kind of Open Source platform and extended into an application that they can Envision for themselves.
[2024-06-03T15:29:05.544Z]	<Transcriber>	Karen_Passmore: Uh so to get us started uh this is the kind of landing page that a user would see when they come here to create a self asserted skill credential.
[2024-06-03T15:29:45.751Z]	<Transcriber>	Karen_Passmore: I've put some kind of marketing material content on here but of course anybody could put anything here it was just to help tell the story of why you might want to create a self asserted skill credential and the idea here is that this user can come here sign up in seconds to capture their skills and this would be a way for them to stand out from other people when they can say I have a verified skill and I potentially have these recommendations behind that skill to help validate it further and the pitch here is that they can now tell a verifiable story and we're suggesting they can capture volunteer work document their on to job training or claim the number of years of experience they have in their field.
[2024-06-03T15:29:50.542Z]	<Transcriber>	Karen_Passmore: They can also add their proof points request recommendations.
[2024-06-03T15:29:50.839Z]	<Transcriber>	Karen_Passmore:  and then.
[2024-06-03T15:30:03.083Z]	<Transcriber>	Karen_Passmore: Nice thing here is that the user keeps total control of their data which I think Demetri and both Phil were alluding to in their presentations and you can share only the information you want and you can revoke access at any time.
[2024-06-03T15:30:09.037Z]	<Transcriber>	Karen_Passmore: So from here if someone wants to get started they can click get started for free.
[2024-06-03T15:30:32.270Z]	<Dmitri_Zagidulin>	(this will be a free open-source web app, btw -- shown here in mobile browser view)
[2024-06-03T15:30:46.203Z]	<Transcriber>	Karen_Passmore: And we welcome them and you know we have this sort of friendly user interface like this person Tessa is going to walk them through the experience although we're not using any AI at this stage and we just asked them where they want to save their linked claims and the reason is that we wanted to make sure that people could get started and if they lose internet access their data could be saved somewhere that they choose or they could choose to save their data manually and then come back later because they may not be able to finish this entire thing end to end so for our demo today we're going to allow people to choose Google Drive.
[2024-06-03T15:30:46.699Z]	<Transcriber>	Karen_Passmore:  and then.
[2024-06-03T15:30:54.054Z]	<Transcriber>	Karen_Passmore: They want to connect to and then from here once they're validated with that account they can continue to.
[2024-06-03T15:30:56.021Z]	<Transcriber>	Karen_Passmore: Their linked claim.
[2024-06-03T15:30:56.242Z]	<Transcriber>	Karen_Passmore:  so the.
[2024-06-03T15:31:56.953Z]	<Transcriber>	Karen_Passmore: First thing we want to ask them is we can we're going to be able to get some information from them if they select something like Google Drive so we want to verify that we have the right name displayed here for how they want to present their uh linked claim and they could change this name if they want to but if everything looks good they can click next and then now we want to ask them about the skill that they want to claim so they can fill in a skill name and then they can describe how they earned this skill and we would provide some prompting text here so I have it already filled in with an example but we're mindful of the fact that some people might not know what to put in to these fields so in the screen before this we actually have prompting text and then on the bottom we have the duration and we chose duration specifically because research has shown that when actual dates are put in here it can create a sort of bias against people uh because it might show gaps in between make.
[2024-06-03T15:31:57.805Z]	<Transcriber>	Karen_Passmore:  maybe their earnings.
[2024-06-03T15:32:09.086Z]	<Transcriber>	Karen_Passmore: Their employment records so using duration actually decreases that sense of bias and instead focuses on the level of expertise someone has inquired around a specific skill.
[2024-06-03T15:32:27.602Z]	<Transcriber>	Karen_Passmore: So from here we choose next and they can describe the skill that they have and we do provide prompting text here in a future State iteration of this design we're going to be adding in the opportunity for people to use AI to generate a description here if they want to or they can simply type in their own description.
