[Tue 11:05:47] <m4nu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Nov/0014.html
[Tue 11:24:22] <dlongley>	m4nu: I think those are the politics being played but I don't think any of it is mean spirited, I just think it's people who aren't familiar with the work we're trying to do and jumping to conclusions. And then those people talk to W3C staff and say "You are on the brink of doing work that's being done elsewhere" And W3C doesn't want to do that and says we need to document what's different.
[Tue 11:24:49] <dlongley>	Rebecca: What you said makes sense, but as an outsider it's hard to say what needs to be done.
[Tue 11:25:00] <bblfish>	It would be itneresting to have a document to show how what you are doing goes beyond jose, for example.
[Tue 11:25:01] *	SLee__ (2d30124e@gateway/web/freenode/ip.45.48.18.78) has joined #credentials
[Tue 11:25:07] <dlongley>	m4nu: If we can answer all of the criticisms and make everyone happy then we can create a charter and go forward with the work.
[Tue 11:25:27] <bblfish>	I have some ideas, of how it goes beyond, but it is interesting to know it.
[Tue 11:26:09] <bsletten>	If we create a new CG, what's to stop them from throwing up obstacles to that CG?
[Tue 11:26:12] <dlongley>	m4nu: One primary question for this group: Do we want to push back and say "This CG you are proposing is the same thing we've already done. We'd rather have the people who are objecting make themselves known and join us and have the discussion in public." the other choice is "We'll create a new CG that doesn't talk technology at all and just talks capabilities and that group is going to go out and focus these people who are having issues and document their objections."
[Tue 11:26:18] <dlongley>	m4nu: Or there might be another option? Thoughts from the group?
[Tue 11:26:21] <voip-cr>	Sunny Lee [SIP/45.48.18.78-0000027e] has joined the conference.
[Tue 11:27:50] <dlongley>	gkellogg: It seems clear that this is just a mechanism to push through their own agenda to overwhelm a new group. Even though technology discussions are off the table there I can see how it would be phrased to push one tech over another. It seems like a big scheme to me. I do think that the work we've done over the last year is exactly what a new group would do. I'd like to know what would be in front of a new CG that would be different that might then lead to a different outcome; otherwise it's a lot of wasted effort of a lot of people's time for no good reason other than to satisfy a powerful minority that seems frustrated.
[Tue 11:29:07] <bblfish>	that makes sense to try to find out what these people want.
[Tue 11:29:12] <dlongley>	m4nu: To go back to Henry's point, you only need 20-25 member companies to say this work should start; but that is only after getting W3C Management approval. They have to agree there is consensus around what to work on. Right now ... I thought it was there, positive feedback from CEO and some staff contacts, but the person in charge of making the decision is unconvinced. We want to reach out to that person to find out what would convince them. I believe it's down to one person that is holding the process up.
[Tue 11:30:19] <dlongley>	m4nu: I think the general point that the W3C staff members in the IG were making was that, "yes, we realize that this is somewhat annoying, but you need to create a neutral playing field. If a group of people are saying there isn't a neutral field, you need to create one so they'll come in." One proposal is to create a new CG with the same calls and time as this one (just replace it) but tightly focus that group around the creation of a charter and answering the questions around what needs to be done.
[Tue 11:31:14] <dlongley>	m4nu: So there are maybe 8 people, at most, that we need to interview. We can say it has to be on the record and public on what needs to be done. Once we get all those interviews out of the way, we will clear those interviews with the W3C staff who are saying people are objecting; we'll get a list from them and interview those people, clearly document those concerns, etc. and then hope that the argument that those people feel they aren't being heard is addressed.
[Tue 11:31:17] *	NateOtto (~textual@c-76-115-176-198.hsd1.or.comcast.net) has joined #credentials
[Tue 11:31:32] <dlongley>	m4nu: The other approach is that we have way more than 20 orgs that want to start this work.
[Tue 11:32:13] <dlongley>	m4nu: We could, instead, and say "If you want something else done, you have to propose something. Everyone can't just stop because someone feels there's some nebulous better solution out there... if you feel it's out there, propose it so the group can talk about it."
[Tue 11:32:41] <voip-cr>	Nate Otto [SIP/sip2sip.info-0000027f] has joined the conference.
[Tue 11:32:43] <m4nu>	dlongley: It would be an option to invite them to this group. I know they don't think this group is a natural fit. We're going to bring together the same group of people w/ other people. Could we invite them specifically?
[Tue 11:33:01] <m4nu>	dlongley: Make it a more formal invitation to those that have concerns - we want them to talk about concerns - we want this to be a neutral group.
[Tue 11:33:30] <dlongley>	m4nu: I proposed that and they said "It doesn't matter, they don't think you have a neutral group so they won't participate."
[Tue 11:34:20] <dlongley>	m4nu: So we could say "ok, fine, people seem to think this isn't a neutral group, so let's just create a new group." But we'd have all the same people like you said, with a new group name. We'd just be going through new mailing list and set up and all that.
[Tue 11:35:08] <dlongley>	m4nu: I believe that the W3C staff wants to hear from the rest of this group. If they don't hear from the rest of the people in this CG, and no one else speaks up, their counter argument is going to be that it's just Digital Bazaar's opinion, not the groups.
[Tue 11:35:16] <dlongley>	m4nu: Gregg and Henry spoke up but we need more people to voice their opinions on where they want this group to go.
[Tue 11:36:13] <voip-cr>	Gregg Kellogg [SIP/sip2sip.info-00000275] has left the conference.
[Tue 11:36:15] <dlongley>	m4nu: If we say people can just join this group the counter argument will be that they won't join because it's not a neutral group. If we have people in this group clearly saying we should either "Create a new group" or "No, same people would join."
[Tue 11:36:28] <NateOtto>	Without all the context, I think creating a new group would be more work for uncertain gains.
[Tue 11:36:36] <dlongley>	bsletten: If we create a new group and they don't come ... procedurally what is our response? At some point they are just doing a denial of service attack.
[Tue 11:37:15] <erkorb_rm>	Why is the onus on us to do this work? How do we substantiate their claims?
[Tue 11:37:26] <dlongley>	m4nu: Procedurally, we'd have to write a new charter, get approval of the charter, create the group via W3C CG process, create new mailing list, new IRC channel, etc. About a week. Once we do all that it would be all of us on the call again, but hopefully 4-5 more people.
[Tue 11:37:35] <dlongley>	bsletten: If they still don't show up, what then?
[Tue 11:38:18] <dlongley>	m4nu: It helps if we can say there are some folks in the group that believe this won't help.
[Tue 11:38:31] <dlongley>	bsletten: At some point you need to be out in the open, you can't just hide behind anonymity and try to stop work that other people are working on.
[Tue 11:39:03] <dlongley>	JohnTib: We've done a lot of homework over the last few years and months, including the survey. It's time to start talking about the technology issues. Talking about the technology helps you think about the problem; it's time to be doing that. I think we need to push back on that.
[Tue 11:39:07] <dlongley>	JohnTib: We need to get on with it.
[Tue 11:39:37] <erkorb_rm>	so, lets object to their work!
[Tue 11:41:42] <dlongley>	m4nu: Eric asks "How do we substantiate their claims?" This is asymmetric. We do a lot of work to answer a concern and then there's an objection that says "No you didn't cover this other thing." This is coming from someone who cares about privacy/security, which is good, but they don't have a company that depends on the tech, they aren't going to deploy it, etc -- lower priority. One of the problems with that is that we went out and documented a bunch of the stuff we've been saying here in this group and doing an enormous amount of work which has moved things forward a bit, but not far enough. The onus is on us because we want to do something; all anyone else has to do is just object. One reason the onus has continued to be on us is because we've been very receptive to questions and concerns of people outside this group. It is getting to the point where we're wondering when we've done enough work.
[Tue 11:42:16] <dlongley>	m4nu: Eric, we can't object to their work because some of them aren't doing any, and others of them aren't working on the problems we're working on. They are just objecting to our work because they think we're working on the same stuff, but we're not.
[Tue 11:42:39] <bblfish>	q?
[Tue 11:42:39] <voip-cr>	The speaker queue is empty.
[Tue 11:42:53] <paroneayea>	q+
[Tue 11:42:54] <voip-cr>	paroneayea has been added to the queue: paroneayea
[Tue 11:43:22] <NateOtto>	I have found this group to have some members who have clear ideas about a technical direction to proceed in, but that those people are very open to making sure that we are building the right technology and formulating our use cases properly. We hope this effort moves forward. (Nate Otto, Director, Badge Alliance)
[Tue 11:43:35] <erkorb_rm>	manu, thx
[Tue 11:43:42] <m4nu>	ack paroneayea 
[Tue 11:43:42] <voip-cr>	paroneayea has the floor.
[Tue 11:43:52] <dlongley>	m4nu: The only work out there to "object" to would be things like OpenID Connect/OAuth/SAML/etc, but we don't even necessarily object to those technologies, some of them may work for their use cases, etc -- this again has to do with the misunderstandings. SAML and OpenID Connect doesn't work for our use cases, and that's the issue. There is work we're doing like the expression of a digital credential, there is no work out there that is as extensive as we've done. There are things like "here's how you can express an email address or a name" but there's no work about cryptographically verifiable claims like education credentials, doctor's licenses, where people work, etc. That is being proposed/created by this group.
[Tue 11:44:10] *	m4nu paroneayea you have the floor - type out your question/comment.
[Tue 11:44:31] <paroneayea>	So I'll speak up mainly so that I am on the record. For me, this work is very important because in order to really see federation succeed, I think we need to have clear authorization systems and methods of verifying that communication has come from one place to another.  We've already seen this in the ActivityPump spec, where we are basically forced to keep record of conversation forever in order so that clients can verify its source.
[Tue 11:44:45] <paroneayea>	this is bad if you are concerned with privacy.
[Tue 11:45:25] <bblfish>	though you need to be careful about authorization.
[Tue 11:45:27] <erkorb_rm>	+1 nate
[Tue 11:45:29] <paroneayea>	right
[Tue 11:45:47] <voip-cr>	19176480896 [SIP/69.71.222.196-00000280] has joined the conference.
[Tue 11:45:48] <paroneayea>	Authentication and credentials are one of the notoriously hardest parts to get working right in federated systems.  I have a lot of confidence in the members of this group to think things through well.
[Tue 11:45:52] <dlongley>	m4nu: So I'm going to play devil's advocate here; W3C staff would channel these other people and say "Yes, but, you need a clear set of use cases and you need buy in around that set of use cases and you need to talk about capabilities before you talking about specs or anything of that nature."
[Tue 11:46:16] <dlongley>	m4nu: I can take the minutes from today and push back. The group can say "We'd like to just do the interviews in the group and talk about it with them."
[Tue 11:46:52] <paroneayea>	q-
[Tue 11:46:52] <voip-cr>	undefined isn't on the speaker queue.
[Tue 11:47:07] <dlongley>	m4nu: It seems like there is consensus around the group that "creating a new CG wouldn't address the issues". People feel that they aren't being heard so let's bring them in and listen to them and write down those concerns... and maybe from that we can figure out if people think they are being heard or if we need a new group."
[Tue 11:47:29] <erkorb_rm>	+1 Chris
[Tue 11:47:39] <dlongley>	m4nu: I think we have high attendance in these calls because we've really tried to be open and transparent.
[Tue 11:48:41] <m4nu>	dlongley: I second the notion to figure out if the group is neutral - why don't people come to the group and receive their concerns - why don't we just try that instead of assuming this group is not neutral. They should come and try out the group - that hasn't even happened yet. The people that have these concerns haven't even come to the group to try it out. Let's give it a shot. If a new group needs to be created, so be it.
[Tue 11:48:51] <m4nu>	dlongley: I would expect that we'd give them a warm welcome and address their concerns.
[Tue 11:48:52] <erkorb_rm>	+1 dlongley
[Tue 11:49:01] <bblfish>	+1 I agree. I am new to the group, and it feels very friendly here.
[Tue 11:49:46] <dlongley>	m4nu: So I think consensus is that we should invite people who have concerns and we can spend 30 mins to 1 hour with them and clearly document their concerns and how they'd like to proceed. Once we've done that, we could talk to them and ask if they feel that they are being listened to.
[Tue 11:49:48] <paroneayea>	yes, I've experienced a lot of patience and thoughtful consideration with my questions here :)
[Tue 11:50:23] <dlongley>	m4nu: Then we can see where we are at that point. So let's not start a new group and instead invite people here and see what they have to say and we'll document and circle back around and see if they feel heard. If they are, there's no need to create a new group.
[Tue 11:50:24] <JohnTib>	I support the work in this group because it takes a higher-level semantic viewpoint for web security; that is, a concept of credential, rather than just focussing on the lower-level flows and protocols...This is what we need for the more semantically rich credentials to support something like an electronic transcript.  John Tibbetts, IMS Global Chief Product Architect.
[Tue 11:50:33] <erkorb_rm>	Q, if they don't show?
[Tue 11:50:35] <dlongley>	dlongley: +1 to that proposal
[Tue 11:50:59] <bblfish>	And I think the other is to speak about the size of the members support
[Tue 11:51:04] <dlongley>	bsletten: I think the other part of the response would be to just find out what the exact objections are that are keeping us from moving forward. If they don't act in good faith, what is our recourse?
[Tue 11:51:26] <bblfish>	( I don't actually know how big the support is being new to this group )
[Tue 11:51:29] <dlongley>	m4nu: Yes, to get that before we proceed. We want it to be clear to us that we aren't wasting our time and so it's clear to the others what is happening if they don't participate in the discussion.
[Tue 11:52:31] <dlongley>	m4nu: Eric, if they dont' show, we need to clearly negotiate what happens in that case. I'm going to strongly assert that the work should not stop if they don't show. We've got a number of people around the table that want the work to proceed; we don't want it held hostage by people who won't discuss.
[Tue 11:52:49] <erkorb_rm>	As CEO of Accreditrust, I echo Nate Otto's comments, "I have found this group to have some members who have clear ideas about a technical direction to proceed in, but that those people are very open to making sure that we are building the right technology and formulating our use cases properly."
[Tue 11:52:50] <dlongley>	m4nu: There's already enough member support to approve a charter and the hope is that it's growing.
[Tue 11:53:19] <dlongley>	m4nu: We have 44 organizations saying "Yes, we want this problem solved", 17 of them are W3C members, 7 of them are non-members that would join, and 16 of them are sitting on the fence.
[Tue 11:54:18] <erkorb_rm>	I also support the opinions of JohnTib, "I support the work in this group because it takes a higher-level semantic viewpoint for web security; that is, a concept of credential, rather than just focussing on the lower-level flows and protocols...This is what we need for the more semantically rich credentials to support something like an electronic transcript."
[Tue 11:54:31] <dlongley>	m4nu: I'm going to take what has been said in the call today back to W3C staff. Say that the group would like to start by interviewing all these folks that have not been necessarily supportive/critical of the work, etc and get all their thoughts down. And that specifically that we feel that creating a new group is unnecessary; that this is an open forum. People and their orgs can come in and we can document their concerns.
[Tue 11:54:52] <m4nu>	Topic: Tasks for Credentials CG
[Tue 11:54:54] <m4nu>	https://github.com/opencreds/website/issues/14
[Tue 11:55:48] <dlongley>	m4nu: The more people we have on these tasks and the faster we can get the list done the faster we can get to a charter for a WG. A lot of this is documentation work. We need to explain our thinking around each one of these items. Will anyone volunteer for what's on that list?
[Tue 11:56:06] <dlongley>	bsletten: What's the time frame?
[Tue 11:56:16] <NateOtto>	I can put some time in... looking
[Tue 11:56:27] <dlongley>	m4nu: ASAP. If we can get it all done in 4 months, we can potentially get a group started then. If it's 8 months, it's that long.
[Tue 11:56:40] <bblfish>	my guess is that January would be the fastest any work can be done.
[Tue 11:57:12] <dlongley>	m4nu: If you say, for example, say you sign up for "Create a comparison between Identity Credentials and OpenID Connect" then you'd write a paper/blog post on that.
[Tue 11:57:24] <dlongley>	bsletten: I'll commit to a couple of them.
[Tue 11:57:29] <NateOtto>	I can do one or two of the comparison blog posts at least.
[Tue 11:57:40] <dlongley>	m4nu: Just tell me offline what you're signing up for and I'll put your name beside it.
[Tue 11:57:59] <bblfish>	I am still too new to this work, but I'll be interested to review
[Tue 11:58:05] <erkorb_rm>	I updated doc
[Tue 11:58:07] <dlongley>	NateOtto: I can do both SAML and OpenID Connect.
[Tue 11:58:34] <voip-cr>	Brian Sletten [SIP/sip2sip.info-00000272] has left the conference.
[Tue 11:59:06] <m4nu>	Topic: Linked Data Fast Track WG Update
[Tue 12:00:04] *	bsletten has quit (Quit: Page closed)
[Tue 12:00:40] <dlongley>	m4nu: We demo'd the credentials work to Sir Tim Berners Lee's team at MIT. I know Henry is involved with that team as well. There is consensus to coordinate on RDF Dataset Normalization and Linked Data Signatures. I had a fairly in depth conversation with Tim about that. Right now there is a fast track proposal for the RDF Dataset Normalization work. We will work on a charter and still need 20 votes, but believe we can do it. There's no one pushing back, it's just a matter of writing the charter, get feedback, and then put in front of W3C staff and then membership for a vote.
[Tue 12:00:53] <dlongley>	m4nu: Any other concerns/comments on the direction we're taking over the next week or so?
[Tue 12:00:54] <bblfish>	Is that Linked Data Fast Track _Platform_ or  just Linked Data Fast Track?
[Tue 12:00:55] <dlongley>	none
[Tue 12:01:06] <voip-cr>	John Tibbetts [SIP/sip2sip.info-00000271] has left the conference.
[Tue 12:01:07] <voip-cr>	Rob Trainer [SIP/192.168.61.110-00000276] has left the conference.
[Tue 12:01:07] <voip-cr>	Sunny Lee [SIP/45.48.18.78-0000027e] has left the conference.
[Tue 12:01:08] <voip-cr>	Manu Sporny [SIP/6000-00000273] has left the conference.
[Tue 12:01:09] <voip-cr>	Dave Longley [SIP/6002-00000274] has left the conference.
[Tue 12:01:12] <voip-cr>	Dave Lehn [SIP/6003-0000027d] has left the conference.
[Tue 12:01:23] *	jonathanf__ (~jonathanf@pool-96-248-77-27.cmdnnj.fios.verizon.net) has left #credentials ("Leaving")
[Tue 12:01:25] *	m4nu bblfish I think just Linked Data Fast Track - but it's unclear.
[Tue 12:01:26] <voip-cr>	bblfish [SIP/sip2sip.info-0000027a] has left the conference.
[Tue 12:01:27] *	Guest86459 has quit (Quit: Page closed)
[Tue 12:01:29] <voip-cr>	Nate Otto [SIP/sip2sip.info-0000027f] has left the conference.
[Tue 12:01:32] *	NateOtto has quit (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[Tue 12:01:52] <m4nu>	Henry, it's really "Specification Fast Track" - one of the first specs might be the RDF Dataset Normalization spec.
[Tue 12:01:58] <bblfish>	what is the Fast track thing? Is it to do with LDP or with Linked Data?
[Tue 12:02:15] <bblfish>	ah cool
[Tue 12:02:32] <m4nu>	it's to do w/ general W3C process. A number of the member companies at W3C TPAC this year were trying to figure out a way to get a spec to REC faster than the 4+ year process it takes.
[Tue 12:02:38] <m4nu>	JSON-LD made it through in 2 years.
[Tue 12:02:46] <m4nu>	I think they're trying to speed it up to 1 year now.
[Tue 12:02:49] <bblfish>	btw. does your normalisation algorithm allow me to normalise rdf to disk, so as to minimize differences when someone edits a file?
[Tue 12:03:03] <m4nu>	The idea is that you start at CR (if you have a fully baked spec, at least two implementations, and a test suite)
[Tue 12:03:05] <bblfish>	nice
[Tue 12:03:24] <bblfish>	and here they want to do PATCH too?
[Tue 12:03:31] <m4nu>	the normalization algorithm that dlongley created does enable you to normalize RDF to disk
[Tue 12:03:41] <m4nu>	PATCH may be in a different fast track group
[Tue 12:03:57] <m4nu>	we're trying to focus on something that has an almost guaranteed chance of success.
[Tue 12:04:07] <bblfish>	yes. makes sense.
[Tue 12:04:10] <m4nu>	There are some that are saying that LD Patch isn't ready
[Tue 12:04:24] <m4nu>	I don't think anyone is saying RDF Dataset Normalization isn't ready.
[Tue 12:04:43] <m4nu>	we're just trying to reduce the number of variables that might create failure.
[Tue 12:04:44] <bblfish>	( I can imagine that it can be complex as new mathematical algorithms come out )
[Tue 12:05:29] <m4nu>	There are improvements that could be made (for example, memory consumption w/ large bnode graphs), but we have to cut version 1.0 at some point.
[Tue 12:05:45] <m4nu>	and the solutions that the algorithm creates aren't wrong, we just need to seek if we have consensus since a standardized solution doesn't exist right now.

