[Tue 11:05:20] <manu>	scribe: Bailey
[Tue 11:25:38] <Bailey>	Manu:Ask Jose people, why certificate signatures don't use... JWS (I might have missed that...)
[Tue 11:26:03] <Bailey>	Dave:JWS refers to JSON web signatures.
[Tue 11:26:16] <Bailey>	Nate:Those questions are going to be very related.
[Tue 11:27:19] <Bailey>	Manu:As far as the badge alliance vocabulary, Nate/Sunny do either of you have ... unaware where you are on the badge alliance spec. How did you want to proceed? Typicall you'd create a vocab doc to specify what you have in github. Put that in W3C format.
[Tue 11:27:32] <Bailey>	Manu:Was that a work item you'll be working on in near future? Status?
[Tue 11:27:37] <dlongley>	eg: rough draft vocab document: https://web-payments.org/specs/source/vocabs/security.html
[Tue 11:27:52] <Bailey>	Nate: Meeting soon. Start building that probably later today.
[Tue 11:28:28] <Bailey>	Manu:One thing to keep in mind, when you do stuff in W3C community group... patent protection and copyright protection might be needed?
[Tue 11:28:30] <NateOtto>	For reference, this is the existing Github repo Manu referenced: https://github.com/mozilla/openbadges-specification/blob/master/Assertion/latest.md
[Tue 11:28:51] <Bailey>	Nate: Talk about that. Do want to make sure with badges the patent protections follow.
[Tue 11:29:13] <SunnyLee>	BA has not gone through legal wrangling.
[Tue 11:29:33] <Bailey>	Manu:As far as roadmap concerned, does anyone has questions/comments what it is or should be?
[Tue 11:29:40] <manu>	http://opencreds.org/specs/source/roadmap/
[Tue 11:29:56] <Bailey>	Manu:Very lightweight. Intro to tech stack and timeline.
[Tue 11:30:20] <Bailey>	Manu:Mark and Mary aren't here so can't talk about this. Does anyone else have expectations about what the roadmap should do?
[Tue 11:31:08] <Bailey>	Nate: The badge alliance working groups have put in work on that question about how the credentials get put into higher education, etc.
[Tue 11:31:29] <Bailey>	Manu:Could be that because badge alliance is already working on that we don't need to take that on. Defer to badge alliance
[Tue 11:31:35] <Bailey>	Sunny: I agree with that.
[Tue 11:32:07] <Bailey>	Manu:If we keep this group as focused on tech as possible that's a fairly good path to success.
[Tue 11:32:23] <Bailey>	Manu:How do we get this stuff in front of W3C groups? Strategy for that/
[Tue 11:32:33] <manu>	Topic: Moving CG Documents onto REC-track at W3C
[Tue 11:32:46] <manu>	http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0006.html
[Tue 11:33:00] <Bailey>	Manu:In this email have a number of docuements that we've pointed to that are important.
[Tue 11:34:00] <Bailey>	Manu:Web Payments transitioning their use cases doc into Web Payments IG. Taking something from community group and moving it into official W3C group. Those web payments use cases were in worse shape than our use cases are. So there's a good chance for us...
[Tue 11:34:29] <Bailey>	Manu:Call this Thursday to talk about use cases. Question: Do we also want to start pushing the credentials use cases?
[Tue 11:34:33] <manu>	http://opencreds.org/specs/source/use-cases/
[Tue 11:34:35] <NateOtto>	The Badge Alliance may not serve to promote the identity credentials component of the tech stack diagram (as opposed to the accomplishment credentials that Open Badges are), but can work to integrate them into badges, when they're ready, so they will tangentially be promoting use of identity credentials. Web Payments IG may take on promoting identity credentials with the banking/financial type stakeholders they are involved with.
[Tue 11:34:49] <Bailey>	Manu:Or do we want to add something to the use cases document before pushing?
[Tue 11:35:11] <Bailey>	Manu: Nate basically sayign badge alliance may not promote the identity credentials directly.
[Tue 11:35:27] <Bailey>	Nate: But interested in using the coolest types of credentials.
[Tue 11:35:37] <SunnyLee>	Agree with Nate
[Tue 11:35:43] <Bailey>	Manu:What's the plan for federation?
[Tue 11:35:58] <NateOtto>	"Federation" will not happen as planned late 2013
[Tue 11:36:31] <NateOtto>	We need a transport mechanism for badges themselves, but focusing on the baked PNG/SVG badge image as unit of portability right now
[Tue 11:36:46] <NateOtto>	as opposed to focusing on federated APIs at the backpack appliance level
[Tue 11:36:52] <Bailey>	Sunny: If wefocus on badge thing we can accomplish more at that level. Shifting philosophy.
[Tue 11:37:48] <Bailey>	Manu:At least in credntials work its not a backpack, it's your identity provider. One of those you can read and write there are your identity credentials.
[Tue 11:38:50] <Bailey>	Manu:How are we coordinating on that? Coordination is basically badge alliance do SVGs to move data around, if credentials stuff takes hold than that would be another option for moving stuff aorund.
[Tue 11:39:32] <voip-cr>	11 (SIP/85.62.72.19-00000080) has left the conference.
[Tue 11:40:01] <Bailey>	Manu:What are everyone's thoughts on use cases stuff? Ready to put it in front of Web Payments IG?
[Tue 11:40:04] <voip-cr>	11 (SIP/85.62.72.19-00000081) has joined the conference.
[Tue 11:40:39] <Bailey>	eric: Addressed the endorsement use case or not?
[Tue 11:40:41] <dlongley>	http://opencreds.org/specs/source/use-cases/#endorsements
[Tue 11:40:42] <Bailey>	Manu:Have not.
[Tue 11:40:55] <Bailey>	eric: I think we need to add that and have talked about adding that.
[Tue 11:41:27] <Bailey>	Manu:The word we're using for endorsements is different than the badge alliance. When we're talking about endorsement we're talking about someone doing multiple signatures.
[Tue 11:41:41] <Bailey>	Manu:Need to support both but need to come up with vocabulary for explaining that.
[Tue 11:41:57] <Bailey>	eric: Hate to see us using vocabulary and not meaning the same thing.
[Tue 11:42:23] <Bailey>	eric: Then the question becomes does the badge alliance want to adopt that vocabulary. Bigger conversation but want to get it on the table.
[Tue 11:42:34] <Bailey>	Manu:Agenda item next week.
[Tue 11:43:04] <Bailey>	Manu:Out of all work items we have, use cases one is most important.
[Tue 11:43:21] <Bailey>	Manu:Get our use cases in there or first working draft won't say anything about badges or identity.
[Tue 11:43:38] <Bailey>	Manu:Use cases priority number one. In pretty good shape.
[Tue 11:43:52] <Bailey>	Manu:Next most important document is graph normalization one.
[Tue 11:45:09] <Bailey>	Manu:Then the third most important deliverable would be the JSON-LD context and vocabulary for badges. Document you'll be working on but get that finalized as quikcly as possible. In next month we should have something out there.
[Tue 11:45:16] <Bailey>	Nate and Sunny agree with path forward.
[Tue 11:45:43] <Bailey>	Manu:Secure messaging thing, have a pretty deep discussion on. Talked about strategy on getting that done. Compare and contrast pages
[Tue 11:46:10] <Bailey>	Manu:Nate JSON schema validation stuff, ongoing discussion on how to integrate JSON schema with JSON-LD
[Tue 11:46:31] <Bailey>	Manu:The way Nate is going about it in line with what we're wanting to do.
[Tue 11:46:56] <Bailey>	Manu:Identity credentials specification.
[Tue 11:47:20] <Bailey>	Manu:Sounds to me like we're not going to get into that discussion until January/February this year.
[Tue 11:47:30] <Bailey>	Manu:I think that's all the work items we have right now.
[Tue 11:47:39] <Bailey>	Manu:Are there any other work items we're missing?
[Tue 11:48:13] <Bailey>	Manu:Those are the communities marching orders and we should all start working as soon as possible.
[Tue 11:48:25] <NateOtto>	Anybody else on the call want to assign themselves to one of these priorities?
[Tue 11:48:27] <Bailey>	Manu:Anything else folks are concerned about? Or should talk about?
[Tue 11:48:54] <Bailey>	Manu:If you want to work on one of these things please put your name down
[Tue 11:49:02] <Bailey>	Manu:Nothing else, close the call for this week.
[Tue 11:49:15] <Bailey>	Manu: Call next week will pick up one of these work items.
[Tue 11:49:15] <Bailey>	Present+ Victoriano, taaz
