[Tue 11:04:27] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0012.html
[Tue 11:52:19] <m4nu>	Use Case: A requestor can (cryptographically) verify that an issuer has made a particular set of claims about an entity (such as a qualification, achievement, or quality).
[Tue 11:52:23] <dlongley>	+1
[Tue 11:52:49] <Bailley>	Manu: Anything else before we move on?
[Tue 11:52:49] <m4nu>	Topic: Media Rights
[Tue 11:53:24] <m4nu>	Tim said: CREATIVE COMMONS (MEDIA) I offer this content freely for civic use.  If you seek to print this photo, then i charge you $2 amount / Value. (take to printer, printer software sees credential  / claim, charges customer for print + fee / cost).
[Tue 11:54:18] <Bailley>	Manu: If your name is John Smith it'd be a very particular J. Smith associated with the copyrgiht.
[Tue 11:54:40] <Bailley>	Manu: That part seems to be payments use case.
[Tue 11:55:07] <Bailley>	Manu: Given the prvious use case, i think we have this one covered. Any thoughts?
[Tue 11:55:28] <Bailley>	Dave: This is just an example in sub-section. I'm in agreement
[Tue 11:55:42] *	dlongley thanks bailey
[Tue 11:55:47] <voip-cr>	Bill (SIP/144.81.85.9:56026-000000b9) has left the conference.
[Tue 11:55:52] *	Bailley has quit (Quit: Page closed)
[Tue 11:56:32] <m4nu>	Topic: Data Rights
[Tue 11:56:19] <m4nu>	scribe: SunnyLee
[Tue 11:56:37] <SunnyLee>	Manu: next up, we have data rights
[Tue 11:56:54] <m4nu>	Tim says: How do we protect the person before they send their credentials?
[Tue 11:56:55] <SunnyLee>	Manu: Tim is saying, how do we protect the person before they send in their credentials
[Tue 11:57:25] <m4nu>	For example - I need to receive a credential from a trusted authority that you keep to your data agreements. ie: anti-malware company xyz actively scans websites to identify what tracking data they’re using on the relevant pages, generating RDF about these website behaviours as a means to provide arbitration capabilities surrounding the use of credentials for payments or other purpose.
[Tue 11:58:29] <SunnyLee>	Manu: Basically an org wants to say that you are a trustworthy org. Like a better Business bureau seal on the website. Thinks this use case is already covered by the basic credential use case and the verifiability use case.
[Tue 11:58:37] <SunnyLee>	Manu: Does anyone think this hasn't been covered already?
[Tue 11:59:32] <SunnyLee>	Dave:  Think Tim was referring to making assertions when sending credentials to places.
[Tue 11:59:53] <SunnyLee>	Manu: That's covered in another one. If Tim is referring to that, we have a data rights use case covered in another design document.
[Tue 12:00:12] <SunnyLee>	Dave: I think we have got this covered. Should figure out where this example should go.
[Tue 12:00:43] <SunnyLee>	Dave: Think Tim was partially get at the idea of creating a system that could automatically assert that certain companies can be trusted with your data. You can know that company will comply with that.
[Tue 12:00:58] <SunnyLee>	Manu: Think this use case is covered.
[Tue 12:01:02] <m4nu>	Topic: Proof of Pseudo-anonymity
[Tue 12:01:35] <m4nu>	Tim said: If the website claims a type of pseudo-anonymity is provided by the site; this is verified by the anti-malware organisation, who counter-signs the credential at the time of transmission; therein reinforcing a position of trust for the merchant through a trusted 3rd party.
[Tue 12:02:45] <SunnyLee>	Manu: Basically means that the customer trusts some 3rd party, say google, and merchant trusts 3rd party, say google, customer would like to say merchant is providing pseudo anonymous transaction. They'll try to crack who you are.
[Tue 12:03:33] <SunnyLee>	Manu: Some kind of claim being made by a 3rd party. Merchant has pseudo anonymous transcaction claim. Customer that wants to make a purchase is going to ask, that that credential is counter signed by google before they do that transaction. Like 2 signs of that credential.
[Tue 12:03:45] <SunnyLee>	Manu: Think this might be covered via composibility use case.
[Tue 12:04:29] <SunnyLee>	Manu: Or we use endorsement where merchant continuously endorses the pseudo anonymous credential, google resigns it every single hour and give it to the buyer to prove it's an up to date credential
[Tue 12:04:40] <SunnyLee>	Manu: Or it can be re-issued every hour by google and the bank.
[Tue 12:04:46] <SunnyLee>	Manu: Any other thoughts on this use case?
[Tue 12:05:07] <SunnyLee>	Dave: thumbsup
[Tue 12:05:20] <voip-cr>	Mary (IAX2/diamondcard-12688) has left the conference.
[Tue 12:05:47] <m4nu>	Topic: Data Rights Agreement Before Transmission of Data
[Tue 12:06:11] <m4nu>	Tim said: I agree to providing you this information on the following terms  Terms are stipulated using RDF (some form of linked-data) and that these terms be agreed to prior to transmission of payload data.
[Tue 12:06:58] <SunnyLee>	Manu: This use case says that a credential that you send to requestor, the requestor needs to agree to certain data rights agreement. Say, I'm going to send you my driver's license but you have to agree you're not going to send any of my info before I send it to you.
[Tue 12:07:15] <SunnyLee>	Manu: After agreement, credentialee sends credential. Falls into data rights.
[Tue 12:08:37] <SunnyLee>	Manu: Any thoughts on this? What we can do today is we can ship off credential and attach a bunch of metadata like saying you can't use this for advertisement.
[Tue 12:09:06] <SunnyLee>	Dave: Initial thought is that this is out of scope
[Tue 12:09:35] <SunnyLee>	Dave: You can ask for one or more potential agreeements. Will the two documents be linked so that they're inseparable?
[Tue 12:10:54] <SunnyLee>	Manu: They can be using linked data but that's a big question mark. What's the term of the agreement? I think that's what Dave means, wrt lots of things to consider.
[Tue 12:11:19] <SunnyLee>	Manu: For example requestor may have intended agreement to only apply to driver's license, not email or other data.
[Tue 12:11:42] <SunnyLee>	Dave: Sending information over to them and getting signature saying this is the only way they'll use it requires another round trip.
[Tue 12:12:08] *	m4nu SunnyLee - Mark Leuba
[Tue 12:12:30] <SunnyLee>	Mark: A lot of chasing around of proof that there was in fact this commitment
[Tue 12:12:49] <SunnyLee>	Mark: From long term liability perspective, having an implied constraint in the request as to the use of the material is very importnat. Having that request and constraint is part and parcel to the actual credential is valuable.
[Tue 12:14:13] <SunnyLee>	Dave: Trying to say how to ensure the data is linked. The requestor specification's information can be included. Requestor's original statement on how they would use the credential and signature could be used without round trip
[Tue 12:14:56] <SunnyLee>	Manu: First step of requesting a credential is these are the properties that I want to konw about you. Included is I promise not to use your info for advertisement purposes and here's my signature.
[Tue 12:15:23] <SunnyLee>	Manu: Identity provides adds all those claims in there and adds claim that they won't use it for advertisement purposes, digitally signs it as a bundle and sends it back
[Tue 12:15:35] <SunnyLee>	Mark: Has all the components of a contract in here.
[Tue 12:16:04] <SunnyLee>	Dave: We would need to look into whether we want to say your signature needs to be on it as well
[Tue 12:16:11] <SunnyLee>	Mark: Or a link to the 3rd party.
[Tue 12:16:36] <SunnyLee>	Dave: We would have to start saying person that provides the credential must countersign the 3rd party
[Tue 12:16:55] <SunnyLee>	Dave: Even if there is no data right agreement. Your signature still needs to exist on there. Needs to be a part of the protocol.
[Tue 12:17:17] <SunnyLee>	Manu: This does allow another layer of complexity. Saying there needs to be 2 signatures. We don't want these credentials to be copied and used.
[Tue 12:17:37] <SunnyLee>	Dave: You do place your signature on a message. For secure messaging procotol. This includes the domain that the credential is intended for.
[Tue 12:17:45] <SunnyLee>	Manu: Short time frame that that credential is valid for.
[Tue 12:17:57] <SunnyLee>	Dave: Data rights agreement needs to persist longer than the 5 minutes.
[Tue 12:18:33] <SunnyLee>	Manu: With all that said, we have a solid solution that fits with the current architecture. How does use case document change based on this discussion. This is prior transmission of payload data.
[Tue 12:19:04] <SunnyLee>	Manu: We're getting into digital contract stuff which is great for web payment use cases but question is do we need this for credentials use case as well? Are there serious legal and business reasons to do this?
[Tue 12:19:38] <SunnyLee>	Dave: One of the other things we can build into this is if you're requesting a credential could have a linked data property that if this credential is given to anyone else, needs to have a signature from the owner.
[Tue 12:19:44] <SunnyLee>	Mark: Think this is a great idea.
[Tue 12:20:07] <SunnyLee>	Dave: We can do this more complicated digital contract stuff in version 2 or at least have design criteria on how it can be implemented in this version.
[Tue 12:20:37] <SunnyLee>	Dave: we want to ensure that a countersign is required if someone wants to use it.
[Tue 12:22:07] <SunnyLee>	Dave: Requiring a credential to be signed by credentialee such that a requestor can transmit a data rights agreement that can be bundled with a credential that the credentialee grants them access to
[Tue 12:22:19] <m4nu>	Design Criteria: Support the idea of requiring a credential to be signed by the credentilee such that a requestor can transmit a data rights agreement that can be bundled with any credential that the credentilee grants them access to
[Tue 12:22:55] <SunnyLee>	Dave: And the thing that's important is that we have a mechanism built in that a credential requires this when giving it to a requstor. That way you can know ahead of time, whether you need to see a data rights agreement or a signature from the credentialee to know you're not violating the agreement
[Tue 12:23:54] <SunnyLee>	Dave: I think we should have this in there and say we should allow this to happen in the future. We should keep this in mind so future versions can use this idea easily with the existing version of what we've got.
[Tue 12:24:37] <SunnyLee>	Manu: We'll put this in the doc with the caveat that the language isn't complete but that we're thinking about this.
[Tue 12:24:44] <m4nu>	Topic: Access Revocation
[Tue 12:25:02] <m4nu>	Tim said: I have reason to believe you’ve broken your terms and i seek to rescind access - how is that supported?
[Tue 12:26:14] <m4nu>	Use Case: Access Revocation - Pre-authorized access to credentials may be revoked at any time by the credentilee.
[Tue 12:26:21] <SunnyLee>	Manu: We have preauthorization use case but don't have mechanism where we revoke that access. So the use case is access revocation, pre-authorized access can be revoked anytime by credentialee?
[Tue 12:26:36] <SunnyLee>	Dave: Doesn't this fall under access control list? What part of standard does this need to be a part of?
[Tue 12:26:58] <SunnyLee>	Manu: It is something that only a credential that a vault or identiy provider will implement but will be good to have in the doc that this exists.
[Tue 12:27:32] <SunnyLee>	Dave: This should be a design criteria to ensure these things could be implemented by credential vaults or identity providers
[Tue 12:27:42] <SunnyLee>	Dave: It's another one of the value add for services.
[Tue 12:27:50] <SunnyLee>	Manu: Is the preauth use case one of those too?
[Tue 12:27:55] <SunnyLee>	Dave: Thought it was originally.
[Tue 12:28:34] <SunnyLee>	Manu: Access control list would be a design criteria and preauth will move over to design criteria
[Tue 12:28:36] <SunnyLee>	Dave: Yes
[Tue 12:29:36] <SunnyLee>	Dave: There is a component that goes into the standard but having access control list and implementation details don't actually go in standard.
[Tue 12:29:52] <SunnyLee>	Manu: We need to have a use case stick around but ACL and preauth be design criteria
[Tue 12:30:24] <SunnyLee>	Dave: In essense preauth is a use case but it's really about being able to access after pre auth has happened, in terms of where tech is concerned
[Tue 12:30:49] <SunnyLee>	Dave: You should have preauth language in there somewhere because someone will bring it up
[Tue 12:31:18] <m4nu>	Use Case: Non-interactive Credential Transmission - Ability for requestors to request pre-authorized access to a credential through a non-interactive channel.
[Tue 12:32:01] <dlongley>	"Ability for requestors to request credentials that they have been pre-authorized to access through a non-interactive channel."
[Tue 12:32:26] <SunnyLee>	Manu: In general we'll move ACL and permissions to design criteria and that's something vaults and identity provides as value add
[Tue 12:32:46] <SunnyLee>	Dave: We can say this is optional. That identity providers don't have to provide this.
[Tue 12:33:04] <SunnyLee>	Manu: Any thoughts on access revocation, ACL, etc?
[Tue 12:33:34] <SunnyLee>	Manu: Use case we want to have is that identity providers have ability to request credentials they've been pre-authorized to access through non interactive channels.
[Tue 12:33:44] <m4nu>	Tim also said: I have the right to change my mind (in certain instances)
[Tue 12:33:59] <m4nu>	Tim also said: I have the right to revokation of access to my data
[Tue 12:34:22] <m4nu>	Topic: Access Audit
[Tue 12:34:41] <m4nu>	That's all ACL stuff, we already have it for a design criteria. 
[Tue 12:34:47] <SunnyLee>	Manu: In general right to change my mind, right to revoke is all access control related. We've got this covered.
[Tue 12:34:51] <m4nu>	Topic: Access Credential Audit Information
[Tue 12:35:00] <m4nu>	Tim said: I would like to audit who has access to what data
[Tue 12:35:18] <m4nu>	This is a facility that doesn't need to be standardized, the identity provider could expose this feature in interesting ways as a competitive advantage.
[Tue 12:35:28] <SunnyLee>	Manu: Think this is a facility that we don'tn need to standardize, this is a value add that an id provider or credential service can provide.
[Tue 12:35:31] <SunnyLee>	Dave: Agree.
[Tue 12:35:38] <SunnyLee>	Manu: Any other comments?
[Tue 12:35:51] <SunnyLee>	Manu: Who is tracking me is a not specific to credentials
[Tue 12:36:11] <m4nu>	Tim also said: I want to store a copy of any data relating to me with respect to the use of this credential, on a service that is available to me.
[Tue 12:36:58] <SunnyLee>	DAve: My read is if someone associates data with credentials, want to see what that data is. Think this is out of scope. Can see how this is interesting. This isn'tn enforceble by a technical standard.
[Tue 12:37:04] <SunnyLee>	Manu: Agree this is out of scope.
[Tue 12:37:45] <m4nu>	Tim said: Provider of these services declares it will not be providing you a copy of this information pertaining to you.   I would therefore like a record of this declaration as a constituent of providing my details.
[Tue 12:39:18] <SunnyLee>	Dave: If you go visit a website and give them your creds the website will store some info about you related to that cred that you don't have access to, he would like the website would like to make a declaration so you can have access to it. If a g+ service asks for a different email address, google stores a bunch of info related to that email, google stores that info and says we're storing this info related to that email, is tha
[Tue 12:39:27] <SunnyLee>	Manu: Don't know why we need to support this.
[Tue 12:39:38] <SunnyLee>	Dave: This might be a complicated data rights agreements.
[Tue 12:39:52] <SunnyLee>	Dave: Companies can make that declaration using design we discussed earlier for the future.
[Tue 12:40:09] <SunnyLee>	Manu: Does anyone feel strongly about putting this in use cases doc? Would like to get more info from Tim.
[Tue 12:40:33] <SunnyLee>	Manu: think Dave you're right but feels vague and complex. Doesn't feel version 1. Let him object on why not to put in use case doc.
[Tue 12:41:16] <m4nu>	Topic: Education Use Cases
[Tue 12:41:44] <SunnyLee>	Mark: This represents a process that is very standard in education these days. In paper, pdf world.
[Tue 12:42:11] <SunnyLee>	Mark: Exchanging data that goes against where we are with rdf and linked data and the possiblity of a more elegant way of sharing data.
[Tue 12:42:57] <SunnyLee>	Mark: Main reason for being a part of committee is trying to put this out there that in some future point, by adding these design criteria that some process like this can be realized.
[Tue 12:44:16] <SunnyLee>	Manu: We want to say something really general but then get more detailed about supporting specific use cases.
[Tue 12:44:17] <m4nu>	So, Mark Leuba starts off: Louisa is a college student who has completed her first two years at Central Community College and wants to transfer to a four year university to continue her bachelor’s degree in accounting.  Louisa is also in the job market and wants her future employers to see the types of courses and skills she has learned.
[Tue 12:44:34] <SunnyLee>	Manu: Start off by grounding set of use cases with persona Luisa.
[Tue 12:45:08] <m4nu>	Topic: Access to Transcripts
[Tue 12:45:25] <m4nu>	Mark says: Louisa has applied to two colleges and she wants to provide access to her transcripts from CCC to these new colleges to satisfy their prerequisite requirements.
[Tue 12:45:59] <SunnyLee>	Manu: This can be covered by pre auth and ACL, non interactive one and the transmission use cases.
[Tue 12:46:27] <SunnyLee>	Manu: Any disagreement that we don't have this covered in the spec including changes we've talked about today?
