[2024-02-26T16:01:03.367Z]	<Ildiko_Mazar_(ELM)> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Feb/0002.html

[2024-02-26T16:01:03.367Z]	<Dmitri_Zagidulin> Hello everyone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand, or type “q+” in the chat to add yourself to the queue.
[2024-02-26T16:06:28.443Z]	<Transcriber>	Kaliya_Identity_Woman: June 18 to 20th in Zurich which is not the most expensive city in the world we make sure we have good cheap places for people to say 1 Guy even camped on the lake last time and took the tram to the conference which was cool.
[2024-02-26T16:06:31.352Z]	<Ildiko_Mazar_(ELM)>	:D
[2024-02-26T16:06:38.963Z]	<Transcriber>	Kaliya_Identity_Woman: A regional event in South Africa the third week or fourth week of september unfortunately it conflicts with TPAC.
[2024-02-26T16:06:47.446Z]	<Transcriber>	Kaliya_Identity_Woman: And uh we're working on an event in Thailand for the APAC region in January 2025 so.
[2024-02-26T16:06:53.410Z]	<Transcriber>	Kaliya_Identity_Woman: Reporting Regional conversations the.
[2024-02-26T16:07:00.387Z]	<Transcriber>	Kaliya_Identity_Woman: Conversation that was still at IBEW twice a year so that's it that's it for me.
[2024-02-26T16:07:05.407Z]	<Transcriber>	Dmitri_Zagidulin: Thank you Kalia excellent.
[2024-02-26T16:07:20.518Z]	<Transcriber>	Dmitri_Zagidulin: In that case uh let's proceed to our main event so we're excited to have ildico who uh is our new co-chair at the VC edu task force.
[2024-02-26T16:07:21.701Z]	<Kaliya_Identity_Woman>	https://internetidentityworkshop.com/regional-events/
[2024-02-26T16:07:26.262Z]	<Transcriber>	Dmitri_Zagidulin: On some of her work in the European learning model.
[2024-02-26T16:07:29.786Z]	<Transcriber>	Dmitri_Zagidulin: Over to you.
[2024-02-26T16:07:34.067Z]	<Alex_H>	present+
[2024-02-26T16:07:49.396Z]	<Marc_Fajula_(NTT_Data)>	present+
[2024-02-26T16:08:00.814Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:08:03.762Z]	<Dmitri_Zagidulin>	ack kaliya
[2024-02-26T16:08:05.393Z]	<Kerri_Lemoie>	present+
[2024-02-26T16:08:08.043Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:08:25.037Z]	<Transcriber>	Dmitri_Zagidulin: Can yes we can.
[2024-02-26T16:08:52.073Z]	<Keith_Hackett>	present+
[2024-02-26T16:09:00.162Z]	<Dmitri_Z._(pres.)>	present+
[2024-02-26T16:09:11.787Z]	<Transcriber>	Dmitri_Zagidulin: Wait wait uh before uh before you dive into the detail can I don't think uh or rather uh I'm fairly sure several of the people on the call are unfamiliar with the mapping project so if you want to say a few words about it no worries.
[2024-02-26T16:09:13.633Z]	<Deb_Everhart_(Credential_Engine)>	here's info on the mapping project https://docs.google.com/presentation/d/15C0ADBSACQ-ZYF1PnHNjndp0kJYUATFWSf_iYSTOQmg/edit?usp=sharing
[2024-02-26T16:09:14.382Z]	<Laura_Paglione>	Thank you!! Yes some background!!
[2024-02-26T16:09:34.328Z]	<Jeff_O_-_HumanOS>	present+
[2024-02-26T16:10:23.178Z]	<Deb_Everhart_(Credential_Engine)>	and a link directly to the mapping, which is all open https://desm.credentialengine.org/mappings-list
[2024-02-26T16:10:30.608Z]	<Chandi_Cumaranatunge>	present+
[2024-02-26T16:10:44.839Z]	<Jeanne_Kitchens,_Credential_Engine>	If you want to see the mapping that Ildiko is referring to visit https://desm.credentialengine.org/mappings-list and select "Microcredential Mapping" and Submit.  There's five abstract classes mapped.  Use the buttons/navigation to see the related mappings for Assertion, Micro-credential Claimd etc..
[2024-02-26T16:11:22.950Z]	<Deb_Everhart_(Credential_Engine)>	Phil is on the call, and so is Jeanne, who are leading the mapping
[2024-02-26T16:11:23.532Z]	<Phil_Barker>	I am here :) I don't see Nate O.
[2024-02-26T16:11:43.371Z]	<Dmitri_Zagidulin>	present+
[2024-02-26T16:11:45.573Z]	<Jeanne_Kitchens,_Credential_Engine>	The Credential Transparency Description Language (CTDL) is mapped with the Micro-Credential Specification and Owner/Offerer abstract classes.
[2024-02-26T16:11:56.900Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:13:35.088Z]	<David_Ward>	present+
[2024-02-26T16:13:41.028Z]	<Jeanne_Kitchens,_Credential_Engine>	The global micro-credential schema mapping is a CTDL Advisory Group project.  The CAG came up with examples of benefits of this mapping https://docs.google.com/document/d/1KtSnAKM6QnFw_qmdp1lASei05MkRDf5BQlWox7Xnzp0/edit#heading=h.54wym9lf3ygc
[2024-02-26T16:16:59.724Z]	<Sara>	present+
[2024-02-26T16:19:41.565Z]	<Rachel_Donahue_(she/they)_-_Digital_Promise>	present+
[2024-02-26T16:21:53.124Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-02-26T16:22:34.810Z]	<Kayode_Ezike>	present+
[2024-02-26T16:22:36.726Z]	<Deb_Everhart_(Credential_Engine)>	q+
[2024-02-26T16:22:48.659Z]	<Ildiko_Mazar_(ELM)>	Challenging for sure, but very interesting and educational.
[2024-02-26T16:23:48.718Z]	<Xavi_ESpañol_(NTTDATA)>	present+
[2024-02-26T16:24:28.754Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:24:32.136Z]	<Dmitri_Zagidulin>	q+
[2024-02-26T16:25:09.317Z]	<Phil_(T3)>	q+
[2024-02-26T16:25:23.028Z]	<Dmitri_Zagidulin>	q-
[2024-02-26T16:25:24.674Z]	<Dmitri_Zagidulin>	q+
[2024-02-26T16:26:17.975Z]	<Ildiko_Mazar_(ELM)>	q+
[2024-02-26T16:27:50.367Z]	<Dmitri_Zagidulin>	ack deb
[2024-02-26T16:30:21.162Z]	<TimG>	present+
[2024-02-26T16:30:26.131Z]	<Jeanne_Kitchens,_Credential_Engine>	There is a group in the U.S. proposing a US Qualifications Framework. However, it is not within government.
[2024-02-26T16:30:59.406Z]	<Dmitri_Zagidulin>	ack phil
[2024-02-26T16:31:01.622Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:31:17.128Z]	<Jeanne_Kitchens,_Credential_Engine>	Hot off the press, Navigating the Micro-Credential Landscape: A Global Mapping Initiative https://credentialengine.org/2024/02/26/navigating-the-micro-credential-landscape-a-global-mapping-initiative/
[2024-02-26T16:31:20.510Z]	<Deb_Everhart_(Credential_Engine)>	there is work underway for a US qualification framework https://usqf.org/
[2024-02-26T16:32:52.702Z]	<Phil_(T3)>	LOL - yes change in HE in the US is challenging
[2024-02-26T16:34:54.217Z]	<Dmitri_Zagidulin>	q-
[2024-02-26T16:35:27.488Z]	<Jeanne_Kitchens,_Credential_Engine>	Great conversation.  I have to leave for another meeting.  The Credential Engine team is happy to answer any questions about the mapping and how the DESM tool works after this meeting jkitchens@credentialengine.org.
[2024-02-26T16:37:24.146Z]	<Laura_Paglione>	is the DESM tool only intended for VC/ decentralized identity schema, or is the intention for it to be used for any data schema used across multiple domains.
[2024-02-26T16:37:27.526Z]	<Deb_Everhart_(Credential_Engine)>	q+
[2024-02-26T16:38:29.155Z]	<Deb_Everhart_(Credential_Engine)>	@Laura any schemas in any domains, and the tool is open source
[2024-02-26T16:38:47.110Z]	<Xavi_ESpañol_(NTTDATA)>	Does this spine grow with the addition of attributes? Not sure if I understand the mechanics.
[2024-02-26T16:39:04.993Z]	<Laura_Paglione>	thx
[2024-02-26T16:39:43.456Z]	<Phil_Barker>	Yes, Xavi the spine grows as terms are added from schemas as & when they are needed
[2024-02-26T16:39:59.437Z]	<Dmitri_Zagidulin>	я?
[2024-02-26T16:40:07.097Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:40:11.148Z]	<Dmitri_Zagidulin>	ack deb
[2024-02-26T16:40:13.395Z]	<Dmitri_Zagidulin>	ack ildiko
[2024-02-26T16:41:13.701Z]	<Kerri_Lemoie>	Should Verifiable Credentials be added to the Microcredentials framework?
[2024-02-26T16:42:12.409Z]	<Phil_(T3)>	That's a really important point Phil B. Ildiko really made that clear.
[2024-02-26T16:42:18.131Z]	<Phil_(T3)>	q+
[2024-02-26T16:44:43.561Z]	<Ildiko_Mazar_(ELM)>	Exactly, @Phil (T3)
[2024-02-26T16:44:52.646Z]	<Dmitri_Zagidulin>	q?
[2024-02-26T16:44:56.279Z]	<Dmitri_Zagidulin>	ack phil
[2024-02-26T16:44:57.172Z]	<Keith_Hackett>	present+
[2024-02-26T16:45:02.100Z]	<Dmitri_Zagidulin>	ack kerri
[2024-02-26T16:46:03.597Z]	<Deb_Everhart_(Credential_Engine)>	it also does not need to be "standards"- It can be any schema
[2024-02-26T16:46:42.043Z]	<Kerri_Lemoie>	Thanks!
