[Tue 11:05:05] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Aug/0001.html
[Tue 11:24:15] <dlongley>	pindar: if you can't make the calls the minutes are usually scribed well
[Tue 11:25:29] <dlongley>	m4nu: we try to run this group in a fair way. So everyone gets a chance to scribe, you'll know well in advance when to scribe. Dave longley volunteered today, but we'll alternate throughout, everything in this call is recorded, audio, detailed minutes, we are as transparent as possible, this is fairly unique, not every group records the audio and the minutes. If, for whatever reason, if you say something in the audio for whatever reason that is supposed to be a trade secret (or not widely publicized) we can go and cut it from the audio, you have to let us know and we'll do that, but it takes some time to do it
[Tue 11:25:39] <dlongley>	m4nu: the minutes we try to get up shortly after the telecons
[Tue 11:25:49] <dlongley>	m4nu: any questions?
[Tue 11:25:51] <dlongley>	No other questions.
[Tue 11:26:08] <m4nu>	Topic: Charter Review
[Tue 11:26:14] <m4nu>	http://www.w3.org/community/credentials/charter/
[Tue 11:27:15] <dlongley>	m4nu: there is a draft charter that is up, we've gotten input from a number of orgs that want to participate including most of the folks on the call today, the charter has basically been taken from the Web Payments group and JSON-LD group, been slightly modified, is battle tested, works fairly well, never had an issue with how decisions are made, etc. charter outlines our scope of work, focuses on digitally verifiable credentials
[Tue 11:27:31] <dlongley>	m4nu: identity credentials work started in web payments and badge alliance work is in scope
[Tue 11:27:36] <dlongley>	m4nu: we are trying to be focused yet inclusive
[Tue 11:27:50] <dlongley>	m4nu: i didn't hear anyone introduce themselves today that might be doing stuff that wouldn't fit into the scope of work for the charter
[Tue 11:27:53] <dlongley>	m4nu: any questions on scope of work?
[Tue 11:27:54] <dlongley>	No question on scope of work.
[Tue 11:28:54] <dlongley>	m4nu: there is a section on work items in the charter, right now we only have three items, to be clear this charter hasn't been ratified by the group so proposals can be made to change it, the three items now are HTTP signature specification, that is being pushed through IETF, it is expected to be co-owned by Web Payments group and Credentials group and IETF and is low-level can be used in a number of use cases
[Tue 11:29:26] <dlongley>	m4nu: the HTTP signature spec lets you verify that a piece of software that sent you a message is operating on a particular entity's behalf behalf, so if someone sends you a credential then you can know that the person on the other end is who you think they are (the US Government, for instance)
[Tue 11:29:32] <dlongley>	m4nu: it verifies that the message channel is secure over just plain old HTTPS.
[Tue 11:30:06] <dlongley>	m4nu: another spec is secure messaging, that allows you to put your stamp of approval on a particular credential, that is being shared with Web Payments CG, Credentials CG, the Social Web group may pick up the work
[Tue 11:30:21] <dlongley>	m4nu: the last one is the Identity Credentials spec that tells you how to express a credential in JSON-LD
[Tue 11:30:52] <dlongley>	m4nu: the reason we are starting with those, DB created the vast majority of the specs, we have handed all IP over to W3C which must happen for a worldwide standard, it's good to start these groups with some tech from some company to ground the discusison
[Tue 11:31:00] <dlongley>	m4nu: otherwise you go in circles about what the group is building
[Tue 11:31:29] <dlongley>	m4nu: i certainly don't want to put anyone on the spot today on tech that their orgs may contribute to the work we're doing here, that said, does anyone want to raise any other work items to pick up in this group?
[Tue 11:31:35] <dlongley>	m4nu: any other tech to pick up?
[Tue 11:32:14] <dlongley>	pindar: given that this group is just getting going, what is important is to let people know this group exists to let people know about the question you just asked, as this group becomes more well known I expect others to answer, it's important to get the word out
[Tue 11:32:24] <dlongley>	m4nu: yes, thank you, and we've got a number of events coming up where we can do that
[Tue 11:32:40] <dlongley>	m4nu: moving down the charter, we have dependencies, liaisons, etc.
[Tue 11:33:01] <dlongley>	m4nu: there are a number of other W3C tech groups, etc. to talk to to make sure orgs such as IMF global, etc. know what's going on
[Tue 11:33:18] <dlongley>	m4nu: we're very interested in reaching out and making sure they know that we're doing work that relates to work they are doing as well
[Tue 11:33:46] <dlongley>	m4nu: Next week, Mary, Pindar, myself, folks from EFF, and other educational/payment-related orgs, are going to be at the Internet Governance Forum, put on by the UN, to talk about what we're doing.
[Tue 11:34:24] <dlongley>	m4nu: the work that we're doing here is meant to be purely technical, any policy should be moved out of the group to venues like the IGF. W3C works well by keeping policy discussion out of technical groups, IGF and forums like it are the right place for policy discussions.
[Tue 11:34:43] <dlongley>	m4nu: we are primary focused on technology, not rule of law, regulation, etc. though it will certainly affect this work
[Tue 11:34:55] <dlongley>	m4nu: If we can identify good external groups to pick up non-technical conversations, we should do that.
[Tue 11:34:58] <dlongley>	m4nu: any questions on scope of work?
[Tue 11:35:00] <dlongley>	No questions.
[Tue 11:35:27] <dlongley>	m4nu: W3C operates by consensus; groups operating under and near it try and make sure as many people as possible are happy with the technical discussions we're making
[Tue 11:35:51] <dlongley>	m4nu: in lieu of that, if there are objections, we ask the objector if they see it as a blocking issue ... meaning whether or not we can continue without fully addressing their concerns
[Tue 11:36:22] <dlongley>	m4nu: usually takes a week or two to deal with it objections. If we can't resolve an objection then we move to a chair decision or a vote which is very rare.
[Tue 11:36:35] <dlongley>	m4nu: having a formal vote is very rare, it's a multiweek process that slows everything down
[Tue 11:36:49] <dlongley>	m4nu: we're trying to effectively build the same capability and we're all working together
[Tue 11:37:11] <dlongley>	m4nu: the decision making process is outline in the charter, we go to working consensus, if no consensus, chair makes a decision if [missed] then it goes to a formal vote
[Tue 11:37:16] <dlongley>	m4nu: speaking of chair we don't have one yet
[Tue 11:37:50] <dlongley>	m4nu: the group will need to decide who the chair will be over the next couple of weeks, we can operate without one for a while, but W3C wants us to name one, can be up to 3 chairs, if we have this many people on the call i'd expect at least two chairs to share the load of running the group
[Tue 11:38:10] <dlongley>	m4nu: as far as process is concerned we are very transparent, everything minuted, general public can see the whole process
[Tue 11:38:30] <dlongley>	m4nu: don't say anything to put your org in a tough position, but since we focus on technology usually not an issue
[Tue 11:38:43] <dlongley>	m4nu: that's effectively the charter, any concerns about how this group runs or the decision process?
[Tue 11:39:14] <dlongley>	pindar: a vote on the charter is expected by September 15th? can we discuss that?
[Tue 11:40:30] <dlongley>	m4nu: we needed to have this call to make sure people knew about it could discuss it, we hope to have a vote by then, really we don't need one but it makes things go more smoothly with W3C. For example, an org could come in that wants the group to fail and say the process isn't formal enough because there isn't an agreed upon charter and thus the entire output of the work should be ignored. So, the sooner we get a charter in place the better.
[Tue 11:40:41] <dlongley>	m4nu: Sept 15th is the hope, but it could be longer, October, etc.
[Tue 11:41:25] <dlongley>	mary: to pick up on Pindar's point, if we use the calendar to anchor this decision, would it be wise to have chairs and charter before TPAC? We can advance the work there and it's several days prior to Halloween in US, that's the last week of October.
[Tue 11:41:55] <dlongley>	mary: could we talk about having several weeks with charter endorsements and a couple of co-chairs so we have that show of strength in the next couple months?
[Tue 11:42:08] <dlongley>	mary: give us a couple of weeks to locate willing co-chairs to bring us some stature
[Tue 11:42:23] <dlongley>	m4nu: yes, and the sooner we get all that process out of the way the sooner we can discuss the technology which is the main reason we're here.
[Tue 11:42:33] <dlongley>	m4nu: it's really only limited by how quickly everyone in the group can move.
[Tue 11:43:00] <dlongley>	m4nu: next week a number of people will be at IGF, but maybe by next call we can put forth a proposal to get things adopted
[Tue 11:43:15] <dlongley>	m4nu: other option is to do it over the mailing list.
[Tue 11:43:37] <dlongley>	m4nu: today or tomorrow or the day after we can start a vote on the charter and have two weeks for voting and then we'll have an operational charter if it passes
[Tue 11:43:44] <dlongley>	m4nu: other people on the call will have to give their preference.
[Tue 11:44:23] <dlongley>	m4nu: my personal preference would be to do it as quickly as possible, it's not a very controversial charter, we've used it in other groups and gotten their experimental tech all the way through the W3C process
[Tue 11:44:41] <dlongley>	pindar: i'd been in favor in started as soon as possible
[Tue 11:45:13] <dlongley>	m4nu: chairs will be whomever volunteers. I'll be way too busy to chair, but I can support by doing the administrative stuff, taking of minutes, posting them, etc. i can help there as well as make sure we're staying within CG and W3C process.
[Tue 11:45:28] <dlongley>	m4nu: if you've never chaired a W3C group in the past don't let that prevent you here, you'll have plenty of help
[Tue 11:45:40] <dlongley>	m4nu: any other comments for voting on the charter?
[Tue 11:45:49] <dlongley>	m4nu: if there are no objections I'll put it up for a vote this week
[Tue 11:46:02] <dlongley>	No objections.
[Tue 11:47:20] <m4nu>	PROPOSAL: Hold a vote on the Credentials CG Charter starting Friday, August 29th 2014 with the vote open for 2 weeks. Accept the charter if 2/3rds majority of votes cast are in favor.
[Tue 11:47:28] <dlongley>	+1
[Tue 11:47:39] <cmcavoy>	+1
[Tue 11:47:41] <SunnyLee>	+1
[Tue 11:47:46] <m4nu>	+1
[Tue 11:47:51] <bailey>	+1
[Tue 11:47:53] <richard>	 +1
[Tue 11:47:56] <pindar>	 +1
[Tue 11:47:57] <taaz>	+1
[Tue 11:47:58] <mary>	+1
[Tue 11:48:02] <bill>	+1
[Tue 11:48:15] <m4nu>	RESOLVED: Hold a vote on the Credentials CG Charter starting Friday, August 29th 2014 with the vote open for 2 weeks. Accept the charter if 2/3rds majority of votes cast are in favor.
[Tue 11:49:16] <dlongley>	m4nu: any questions related to the charter?
[Tue 11:49:16] <dlongley>	No questions related to the Charter.
[Tue 11:49:08] <m4nu>	Topic: Questions Related to CG Operation
[Tue 11:49:30] <dlongley>	pindar: All the work is in English?
[Tue 11:49:51] <dlongley>	m4nu: all W3C work is required to be in English, if our technical work makes it all the way through the W3C process then there will be translations from English to other languages
[Tue 11:50:12] <dlongley>	m4nu: yes, Pindar, it's a part of the W3C that all work, meetings, documents written in English
[Tue 11:50:20] <dlongley>	m4nu: any other questions related to CG operation?
[Tue 11:51:54] *	pindarhk (77ec01ce@gateway/web/freenode/ip.119.236.1.206) has joined #credentials
[Tue 11:51:57] <dlongley>	m4nu: for those of you not on the IRC channel, you definitely want to be on it in later meetings, you can connect with a web browser, it's important for a variety of reasons. The first is ensuring the minutes are correct, so if you see the scribe misrepresent what you said you can correct what you said at that point, we share links in there on the topics we're discussing, you can control the voice channel so you can tell what's going on, there's a voip-bot you can tell to mute you, disconnect/alias you, tell it that you want to speak, if there was a heated discussion we ask people to put themselves on a speaking queue and we'll go through the order in the queue, very useful if lots of people join
[Tue 11:52:16] <dlongley>	m4nu: you put yourself on the queue by saying "q+" and take yourself off by saying "q-"
[Tue 11:53:07] <m4nu>	Topic: Use Case Review
[Tue 11:53:14] <m4nu>	https://www.w3.org/community/webpayments/wiki/UseCases#Identity
[Tue 11:54:09] <dlongley>	m4nu: we had lots of orgs at Web Payments Workshop like Bloomberg, Google, US Federal Reserve, AT&T, Telefonica, PCI Security Standards Council, etc. A lot of companies there outlining use cases around identity.
[Tue 11:54:22] <dlongley>	m4nu: The Web Payments CG has been refining these identity use cases over the past couple of months, but is handing the identity use cases over to this group to make sure this group takes those use cases into account.
[Tue 11:54:45] <dlongley>	m4nu: throwing that out there so if people didn't know about those use cases they do now, and we'll need to add more use cases around credentials in education and those sort sof things in this group
[Tue 11:54:51] <dlongley>	m4nu: any questions on the use cases?
[Tue 11:55:02] <dlongley>	No questions about use cases
[Tue 11:56:28] <dlongley>	m4nu: if there are no other comments or questions, we'll go ahead and end the call now, the next call will not be next week because a number of us will be at IGF talking about credentials, policy, law all around this stuff, we'll post the results of that to the credentials CG mailing list
[Tue 11:56:37] <dlongley>	m4nu: but the next call will be the week after that same time and day, etc. (September 9th, 2014).
[Tue 11:56:41] <dlongley>	m4nu: any other questions?
[Tue 11:56:48] <SunnyLee>	thank you everyone!
[Tue 11:56:49] <dlongley>	none, lots of "thank you"s
[Tue 11:57:06] <dlongley>	m4nu: The sooner we get through this administrative stuff, the sooner we can focus on the tech.
