[2024-07-01T14:53:05.220Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0004.html
[2024-07-01T15:08:54.768Z]	<Transcriber>	Nate_Otto: Badge Alliance um which was the interim organization that Mozilla spun up to start bringing the open badges movement to a broader audience Beyond just those who are involved with Mozilla um.
[2024-07-01T15:09:08.267Z]	<Transcriber>	Nate_Otto: In 2015 I worked um with um Carrie lamoy and others on the open badges uh 1.1 um implementation was the first time we added Json LD into the spec.
[2024-07-01T15:09:15.777Z]	<Transcriber>	Nate_Otto: Then um helped Shepherd open badges specification into the um what was then the IMs Global standards body.
[2024-07-01T15:09:16.448Z]	<Transcriber>	Nate_Otto:  uh now.
[2024-07-01T15:09:41.313Z]	<Transcriber>	Nate_Otto: Which is the standards body for um the open badges credential type today and I've been contributing to that standard um there since then and in the meantime I was also um leading product development at uh concentric sky on the badger product um from 2014 to 2022 uh and grew that team from just myself up to 54 people before it was acquired by instructure where it now is the uh.
[2024-07-01T15:09:42.787Z]	<Simone_Ravaioli>	I might prompt everyone on the call here to think about 1 question about OB3 you might have had on your mind.  Add to chat, thanks.
[2024-07-01T15:10:18.067Z]	<Stuart_Freeman>	present+
[2024-07-01T15:10:39.450Z]	<Transcriber>	Nate_Otto: Canvas credentials product um at in structure so I've had some amount of experience with open badges mostly on the technical side and I'm really excited that we are now at a final release of the open badges 3.0 version um I contributed to the um proposal to launch that phase um at the 1 at Tech work group um with a long and Cary Loy and um we just got through the voting process in June and it was launched as a final version of the spec ready to use fully compatible with um verifiable credentials 1.1 and uh 2.0 so um my expertise here is mostly on the um the technical side but also with a Keen Eye toward product development and how an ecosystem of decentralized interoperable products can grow up around uh this open data standard um and to some nice question what are the most frequently questions asked questions about open badges 3.0 I'd start us off with um a couple.
[2024-07-01T15:10:41.503Z]	<Transcriber>	Nate_Otto:  are people.
[2024-07-01T15:11:32.475Z]	<Transcriber>	Nate_Otto: Asked all the time how do we get started with this uh the hype is real people see a lot of really cool use cases in education particularly um for verifiable credentials open badges is a great um flexible credential type that offers support for a whole lot of different uh learning claims that you might make and so people are excited about it they want to know like how do we get started what are the products that are available on the market that can issue this uh credential type and then they are advocating on behalf of their users and wondering what can you do with badges uh with these credentials once you've got them um do they get accepted as part of job applications what do employers think of them are they integrated with uh employment uh applicant tracking systems and HR information systems for in for instance.
[2024-07-01T15:12:14.382Z]	<Transcriber>	Nate_Otto: And the answer is to a lot of these questions are that it's pretty early days within this um version of the spec and even open badges 2.0 the non-verbal credentials uh compatible version that came before uh there was a lot of implementation on the issuer side but not a huge amount of implementation on the consumption side so my recent focus in open badges has really been to try and push development towards the consumption verifying side for these credentials and to put them in products where they can actually become meaningful and um start providing real value for users rather than just being a digital token that's fun to look at nice visual symbol of achievement.
[2024-07-01T15:12:34.031Z]	<Sharon_Leu>	q+
[2024-07-01T15:13:01.240Z]	<Transcriber>	Nate_Otto: Yeah that that's that's an interesting Dynamic uh to be in in a market where there is demand for your product and you know there's like large institutions that are seeking Solutions there's large advertising budgets uh among some of the the products that are on the market but there's not a huge um.
[2024-07-01T15:13:01.670Z]	<Transcriber>	Nate_Otto:  you know.
[2024-07-01T15:13:31.406Z]	<Transcriber>	Nate_Otto: Is not super well educated as to like what are the actual capabilities are and so there is a little bit of like a hype cycle dynamic um that happens in this space people are excited about the use cases they hear some big statements saying this is really useful for hiring you can represent all kinds of things with it and they you know fit their own imagination and their own use cases into these capabilities um they see oh yeah I want to recognize skills I want to recognize competencies.
[2024-07-01T15:13:51.087Z]	<Adam_Eunson_(AuvoDigital)>	present+
[2024-07-01T15:14:02.329Z]	<Transcriber>	Nate_Otto: Um and I you know I think you can see a lot of the need for open badges in your own life and in the communities that you participate in um you can see that our communities could be better if we could better understand what the employment growth pathways are that go through them you know what are the roles here what skills are associated with those roles what learning opportunities can we access that would recognize those skills and the open badges uh credential type.
[2024-07-01T15:14:14.256Z]	<Transcriber>	Nate_Otto: Into a lot of those uh those stories you can see like oh yeah if only we had some badges that were um able to recognize the skills that were aligned to the same.
[2024-07-01T15:14:14.461Z]	<Transcriber>	Nate_Otto:  you know.
[2024-07-01T15:14:15.934Z]	<Naomi>	That's a GREAT question... I'd like to offer some of the "why's" in a future session... we're seeing some really interesting applications and tangible benefits within Velocity Network. !!!
[2024-07-01T15:14:47.922Z]	<Transcriber>	Nate_Otto: The jobs that people are looking for then people could see what the progression was between job a and job B and they could see where they could go get um education in order to be able to qualify for those jobs and so I think the power of the use cases is what's really driving the um excitement and now it's up to us as people who are implementing this technology to bring the products and to bring the ecosystem um to the level where it's really delivering on those use cases end to end providing value um for those users in the ways that they're excited about.
[2024-07-01T15:15:01.581Z]	<Simone_Ravaioli>	ask Sharon_Leu
[2024-07-01T15:15:07.831Z]	<Simone_Ravaioli>	ack Sharon_Leu
[2024-07-01T15:15:57.357Z]	<Transcriber>	Sharon_Leu: Hi um I'm really excited for this AMA so I I think that like sort of bridging Bridging the old and the new is um something that I have a question about um both for not just like the like sort of like the why should we do this but the technically of the house and I'm a little bit curious like what is the plan sort of moving forward on um you know whether version 3 is compatible with um bcdm version 2 or any future versions like what is like the workflow for making sure that um the open badges um specification remains compatible with the verifiable credentials um data model as it becomes like updated in the future and then sort of like reaching to the Past I'm a little bit curious about um like you know like the badge connect API versus like BC API and like ways like if you're already issuing open batch version 2.
[2024-07-01T15:15:58.207Z]	<Transcriber>	Sharon_Leu:  to become a.
[2024-07-01T15:16:16.238Z]	<Michal_Jarmolkowicz>	present+
[2024-07-01T15:16:26.548Z]	<Transcriber>	Nate_Otto: Thank you Sharon great cluster of questions there uh let me tackle the sort of future looking ones first and then I'll um switch my my focus and kind of look back at at this version transition that we've made between major version 2 and major version 3 so looking ahead open badges is now a credential type that's compatible with verifiable credentials that will continue to be the case uh the the work group has done.
[2024-07-01T15:16:44.149Z]	<Eric_Shepherd>	present+
[2024-07-01T15:17:06.791Z]	<Transcriber>	Nate_Otto: The the work that they needed to to make it so that the open badges schema is compatible with both both VC 1.1 and VC 2.0 and if there is a a VC 3.0 the structure changes at some point in the future then um I would fully expect that the um the 1 at Tech group would make a necessary update to open badges so that you can express um the claims that you can make with open badges in whatever verifiable credential wrapper format that there is um a great example of how we're doing this recently um right before the finalization of of this new version open badges 3.0 we um.
[2024-07-01T15:17:52.798Z]	<Transcriber>	Nate_Otto: The uh various different pieces of the verifiable credentials data model and how we can make sure to stay as interoperable with the different choices that different implementation communities would be making as possible so we relaxed a few of the initial drafted um schema requirements in open Mages to make sure that um organizations that were implementing with verifiable credentials in ways that we hadn't quite foreseen would still be able to use more or less the full power of the verifiable credentials data model which means flexibility for um adding additional credential schema entries different evidence types different signature types and did types and um.
[2024-07-01T15:17:53.459Z]	<Transcriber>	Nate_Otto:  and all.
[2024-07-01T15:18:02.644Z]	<Transcriber>	Nate_Otto: Like layers that you can plug in um we want to make it so that there is some pretty strong compatibility across the implementers in the ecosystem.
[2024-07-01T15:18:24.762Z]	<Transcriber>	Nate_Otto: Also um enable the ecosystem to grow and to continue to be able to choose open badges as a um a schema for how to make learning claims about the types of things that open badges can cover you know everything from degrees down to competency recognition to attendance Badges and and participation and and peer endorsement.
[2024-07-01T15:19:13.347Z]	<Transcriber>	Nate_Otto: Um so I think these these Technologies are together now um open badges has really found its Niche within the verifiable credentials data model it's a credential type you know the open values of community is not too particular about which cryptographic signature proof types should be used um Etc other than to try and push common implementers toward um implementing common solutions for compatibility we really want to make sure the badges that are issued can flow to where they need to go um but beyond that um a lot of the other layers of the text stack are in great hands uh in the the w3c and um in the various different parts of the credentials community group that are drafting new uh cool capabilities that we might be able to um put into Market.
[2024-07-01T15:19:20.386Z]	<Ildiko_Mazar>	@Nate, do you know how many/what proportion of OB issuers reference skills in the badge metadata from skill or competence frameworks (as opposed to using free text descriptions)?
[2024-07-01T15:19:21.186Z]	<Transcriber>	Nate_Otto: Sharon do you have any uh reaction or or anything there um before I jump to kind of look at back at the past.
[2024-07-01T15:19:35.647Z]	<Transcriber>	Sharon_Leu: Um no that's cool so what I'm hearing you say is that there's actually ongoing work um at 1 and Tech on um sort of updating and refining the standards so that it always remains consistent is that right.
[2024-07-01T15:20:15.009Z]	<Transcriber>	Nate_Otto: Yeah absolutely and so uh I can go into a tiny bit more kind of on that which is that there is this uh 18-month cooling cycle at 1 Ed Tech before we can produce a new version of open badges but certain changes are Exempted from that so um we want there to be some stability in the market so we're not going to do a new revision right away um but when a new did method comes along or a new um proof type that we want to take a look at um the work group can add those as an additional recommendation of something that could be used um in a fairly lightweight Manner and so the work group will continue its work meeting twice a month.
[2024-07-01T15:20:23.080Z]	<Transcriber>	Nate_Otto: To discuss you know what are the use cases that are out there that we're seeing in the implementation landscape and to be able to make that type of small adjustments.
[2024-07-01T15:20:37.953Z]	<Transcriber>	Sharon_Leu: Cool and is there a way that um you know other people from the outside can be observers of that process just to you know see what you all are up to other than you know sort of like inviting you for an AMA every now and again.
[2024-07-01T15:21:01.376Z]	<Transcriber>	Nate_Otto: Well I I do appreciate the invitation to join for an AMA uh and there are a number of other members of the the work group who are on these these calls regularly so there is a lot of information sharing so I wanted Tech is a member organization and um most of the official deliberations are members-only voting as member is only for instance however we have um.
[2024-07-01T15:21:45.992Z]	<Transcriber>	Nate_Otto: This community opened Badgers Community has advocated for very long time that the work on open badges should be done in the public and so our GitHub repository um for the open badges specification is a public repository and issues are discussed their poll requests are discussed there so you can follow along the actual issues and pull requests and anyone may open an issue um or comment on an issue so a lot of the the actual nitty-gritty work does have that Avenue of of visibility and then in addition there are some conferences um wanted to take puts on um a number of them they had they just got through the learning impact Conference in June and then um the big 1 for digital credentials every year is their digital credentials Summit which next year will be in Phoenix I think in March.
[2024-07-01T15:21:53.777Z]	<Transcriber>	Nate_Otto: Cool well thanks for the question let me let me get to the other half of your question which is um.
[2024-07-01T15:22:02.305Z]	<Nate_Otto>	https://www.imsglobal.org/spec/ob/v3p0/impl/#how-to-support-both-ob-2-0-and-ob-3-0-as-an-issuer
[2024-07-01T15:22:03.535Z]	<Transcriber>	Nate_Otto: Happens for open badges 2.0 issuers um previously what do they do we actually have a section of the open badges implementation guide that.
[2024-07-01T15:22:52.300Z]	<Transcriber>	Nate_Otto: Covers a handful of scenarios for what such an issue or could do and the Crux of the difference is that open badges 2.0 largely relied on a phone home approach where the issuer would host a verification file on their own website and that URL of that file would which was the up-to-date version of the credential would be um included in the credential and then a verifier the instructions were instead of verifying a signature you just throw away everything else you have go fetch that the URL to the thing and that is the canonical copy of the um the credential and so if it was revoked he'll be able to see that if it um had changed uh since it was originally issued um you you would be able to see that as well.
[2024-07-01T15:23:00.046Z]	<Transcriber>	Nate_Otto: Bad is 3.0 largely we're uses the um cryptographic proofs that are familiar to verifiable credentials.
[2024-07-01T15:24:00.881Z]	<Transcriber>	Nate_Otto: And um that is a very different model because it's not just built in that you have the revocation checking and the status checking um but also that there's a lot of issued badges there's millions of issued open badges in those 2.0 formats largely held within um a small number of software platforms that implemented them and I think the that they can continue to coexist that the the open badge is 2.0 and 3.0 versions can be considered 2 different serialized of the same achievement and there will be some products that don't yet support 3.0 for a little while uh yet so in some cases you may still want to like share and download the the 2.0 version um and then for newer wallets and use cases you can get the 3.0 version but the Crux of what makes it possible for you to do both these versions together is that sharing by URL is going to continue to be a really.
[2024-07-01T15:24:01.639Z]	<Transcriber>	Nate_Otto:  important use case.
[2024-07-01T15:24:11.023Z]	<Transcriber>	Nate_Otto: Open badges when you want to share a credential to your LinkedIn profile to show a qualification that you have or some experience that you have um.
[2024-07-01T15:25:02.358Z]	<Transcriber>	Nate_Otto: Pretty much the only thing LinkedIn can accept besides a few metadata Fields within what they call certifications is a URL and there's no way to put a cryptographic signature into LinkedIn you have to have this URL to share and so because open badge is 2.0 is built on your url based sharing um you can build an experience where you still implement the URL based sharing um in 2.0 formats and probably also have your open graph tags on there to make it really easy for for um social platform Bots to get a sense of what the content is and render a preview card and then you can also deliver the 3.0 credential uh maybe downloaded to a user's wallet um in the new format for when they need it so we have a guide specifically on how you could do that at a technical level built into the implementation guide.
[2024-07-01T15:25:03.107Z]	<Transcriber>	Nate_Otto:  and then there.
[2024-07-01T15:25:03.291Z]	<Transcriber>	Nate_Otto: A couple other little.
[2024-07-01T15:26:03.986Z]	<Transcriber>	Nate_Otto: Tidbits to your question asked about the the badge connect API um which is a server to server method of uh transmitting badges from issuers to um hosts was the term in that API um also kind of thought of as a backpack or a wallet um and then from those hosts out to verifiers using an ooth based um authorization code redirect Grant structures the users in the browser authorizing a connection and then once they've done so those 2 servers can talk to each other on behalf of the user until in the future even if the user is not there so like if a new credentials awarded the issuer can to throw it right over into the um the house without the user um showing up in the browser to click buttons and accept it there is another version of this API brought forward in the open badge is 3.0 and so it's basically the same thing but uses the 3.04 formats instead of the 2.0 formats and so um we will see as far as what protocols open badges.
[2024-07-01T15:26:33.059Z]	<Transcriber>	Nate_Otto: To send the the badges around I'm building a product myself the open source Orca platform that so far has implemented chappie to um send credentials to same device wallets for users in browsers but I'm also implementing the open badges 3.0 API um so that um Learners can say where they want their credentials to go authorize that flow and then it just happens in the background automatically on their behalf.
[2024-07-01T15:26:39.549Z]	<Transcriber>	Nate_Otto: So we'll see how how the implementation landscape lines up and and which um options uh people choose their.
[2024-07-01T15:26:43.924Z]	<Sharon_Leu>	Thanks!
[2024-07-01T15:27:50.398Z]	<Transcriber>	Nate_Otto: That's a really good question um skill and competency recognition is 1 of the key use cases for open Badges and um open badges has the capability to align to a skill um particularly those that are identified by URL within a competency framework so for example if there's a um a competency framework that is published to the credential engine registry and each of the items within it has a unique URL a badge could align to that URL and say hey this badge this is achievement completes that uh competency.
[2024-07-01T15:27:51.106Z]	<Transcriber>	Nate_Otto: I don't have.
[2024-07-01T15:28:02.273Z]	<Transcriber>	Nate_Otto: On how much this is used and it really varies widely by issuers um there are some issuers like Western Governors University that has awarded um.
[2024-07-01T15:28:10.063Z]	<TimG>	present+
[2024-07-01T15:28:41.640Z]	<Sharon_Leu>	@ildiko I think it's not only an issuer issue, since the relying parties
[2024-07-01T15:29:03.002Z]	<Transcriber>	Nate_Otto: Me tens of thousands hundreds of thousands of credentials and each of them aligns to a large number of skills and then there are um a large number of longtail issuers that um aligned to you know 1 skill or don't align to um a skill URL at all and then there are a number of issuers that they don't have a a competency framework with URLs so there's nothing out there beyond the badge to align to but the badge itself represents a skill or a competency and that's another use case covered by open badges um but it's a little bit hard to get um hard data on this um instantly I think that as that ecosystem develops we will start to get better data about what achievements are in use which issuers are awarding them uh and the you know the prevalence of different choices around the the metadata um partly just because we absolutely need to build services that can answer those questions for the the basic trust model um.
[2024-07-01T15:29:26.964Z]	<Transcriber>	Nate_Otto: Because there's a lot of issuers out there tens or hundreds of thousands of different issuers that could be using open badges most consumers will not know which issuer they are going to receive badges from when they you know a new job applicant walks in the door to share them and so we will need services that help verifiers such as employers make sense of the badges that they're being present.
[2024-07-01T15:29:39.066Z]	<Transcriber>	Nate_Otto: Um and that means having services that answer questions about like what achievements are out there which issuers are out there and which is issuers our trusted to issue like achievements for which skills.
[2024-07-01T15:29:41.774Z]	<Transcriber>	Nate_Otto: Do you have a follow-up.
[2024-07-01T15:29:57.501Z]	<Transcriber>	Nate_Otto: Yeah and I I think um largely.
[2024-07-01T15:30:10.028Z]	<Transcriber>	Nate_Otto: I mean first of all we do see a lot of skill and competency badges it's 1 of the core use cases and so that that's 1 of the most important things that we we have but in this stage of the ecosystem most badges that get awarded.
[2024-07-01T15:30:10.512Z]	<Transcriber>	Nate_Otto:  sort of.
[2024-07-01T15:30:20.244Z]	<Transcriber>	Nate_Otto: Tell tell a story of an accomplishment and that their intended for human eyeballs and the aura screen reader and a human brain to make sense of.
[2024-07-01T15:30:23.292Z]	<Transcriber>	Nate_Otto: As we advance our.
[2024-07-01T15:30:50.405Z]	<Transcriber>	Nate_Otto: Addresses and the maturity of the ecosystem grows we'll start having more capabilities for kind of machines to act on badges um automatically and to be able to do things but right now um these are great storytelling tools for expressing skills and competencies and uh you'll kind of like know the quality of it when you see the the badge come across your desk and it'll be accompanied by say a job applicant so they'll say hey here's the badge.
[2024-07-01T15:30:50.823Z]	<Transcriber>	Nate_Otto:  here's the.
[2024-07-01T15:31:05.006Z]	<Transcriber>	Nate_Otto: In my previous experience and here's why it matters and how it applies to how I would um work in this new position and that's like exactly the same type of thing that people are doing with cover letters and resumes for uh many years.
[2024-07-01T15:31:06.939Z]	<Transcriber>	Nate_Otto: So it's not.
[2024-07-01T15:31:42.192Z]	<Simone_Ravaioli>	q-
[2024-07-01T15:31:46.361Z]	<Deb_Everhart_(Credential_Engine)>	Credential Engine is seeking data sets from badge platforms for analysis in the next version of our Counting Credentials  report, to analyze the data for better clarity around credential types and skills included
[2024-07-01T15:32:08.031Z]	<Transcriber>	Nate_Otto: Good question okay so alignment um the concept of here's an external thing identified by URL that this achievement aligns to it's basically unchanged from open badges I think 1.0 was sort of when we we implemented it originally back in like 2013 um the idea is that there's a URL to a thing it we have a name and a description and maybe a name of the framework that it's within we've had uh 1 new.
[2024-07-01T15:32:32.933Z]	<Transcriber>	Nate_Otto: Option which is really cool in 3.0 though we have the alignment Target type we can tell you now in the badge what is the type of the thing on the other end of the the URL here is it a competency or is it um something else and I can uh look up you know what those what those alignment types are in in the spec there's a whole bunch of different um like 20 uh different types of things that might be on the other end of the alignment.
[2024-07-01T15:32:35.629Z]	<Transcriber>	Nate_Otto: What was the other half of your question.
[2024-07-01T15:32:38.442Z]	<Deb_Everhart_(Credential_Engine)>	q+
[2024-07-01T15:33:13.235Z]	<Transcriber>	Nate_Otto: Yeah yeah so um let me offer 2 illustrations um the first category of things that has largely changed in data elements is that open badges 3.0 is a lot richer and Fuller there's a lot more optional stuff that you can put in there than there was in open badges 2.0 and largely these fields came from um 1 Ed texts other related digital credentials spec uh the comprehensive learner record.
[2024-07-01T15:33:24.877Z]	<Transcriber>	Nate_Otto: CLR offered a bunch of different data fields about like what an achievement meant and um 1 of them is this.
[2024-07-01T15:33:37.400Z]	<Transcriber>	Nate_Otto: Concept that there might be a rubric associated with an achievement and this is um implemented in the concept of a result description in open badges 3.0 and CLR 2.0.
[2024-07-01T15:33:39.879Z]	<Transcriber>	Nate_Otto: Which have a shared data model.
[2024-07-01T15:34:15.009Z]	<Transcriber>	Nate_Otto: That's the other element of this uh is that we're not only bringing open Badges and verifiable credentials together we're bringing open Badges and CLR together into a common data model it's a nice cluster of stuff but there's this concept called a result description which could include a rubric could include a description that says hey this is a scored assignment and the scores range from zero to 100 and then within the credential there is a result against that result description so the result description says maximum score is 100 and then the results says you got a 85.
[2024-07-01T15:34:15.497Z]	<Transcriber>	Nate_Otto:  it's not.
[2024-07-01T15:35:02.078Z]	<Transcriber>	Nate_Otto: Put a grade directly in achievement sometimes there's um privacy rules that govern how you can include that information or not um but the capabilities there and so that first example categories there's a lot of expanded um data elements a bunch more stuff that you can say about the achievement another example there is achievement type uh where you can say that oh this is a competency or this is a degree this is a course completion or a participation um badge you can more explicitly say in a um Regular controlled vocabulary uh which of several types or extensions um the the achievement represents the second major data model change is that.
[2024-07-01T15:35:05.881Z]	<Transcriber>	Nate_Otto: Now with the definer of the achievement.
[2024-07-01T15:35:53.049Z]	<Transcriber>	Nate_Otto: Is no longer the only party that might be able to recognize it uh in open badges 2.0 the way that the the structures were related there was a Structure called the assertion and then that linked to the badge class which we now call achievement and then the badge class linked to the issuer there was not a direct link between the assertion and the the issuer of it but now in verifiable credentials um the credential goes straight to the issuer it says who is my issuer and then also through credential subject it's what claim is this issue we're making an open badges the core claim is that the subject has met the criteria of an achievement and now the definition of who created that achievement and who is making this claim the possibility opens that these might be different entities.
[2024-07-01T15:36:11.915Z]	<Transcriber>	Nate_Otto: What it actually means in practice uh for someone to process a credential that has a difference there is much more of an open question and so some of my um ongoing work uh with the bit of trust organization is around answering like what are the real use cases for when we Define.
[2024-07-01T15:36:36.437Z]	<Transcriber>	Nate_Otto: Achievements that are possible to be issued by other issuers when do we want to say that they're not possible to be issued by other issuers and uh you know how might we we actually like shuttle all the information to the verifier so that they can decide in the case of 1 of these mismatches is it permissible for this particular credential issuer to recognize achievement of the achievement that is defined here.
[2024-07-01T15:36:49.965Z]	<Simone_Ravaioli>	ack Deb_Everhart_(Credential_Engine)
[2024-07-01T15:37:09.849Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Hey Nate thank you so much for all your work on this front um and a lot of that uh better Clarity um that you're describing in terms of the data structure that can be in ob3 and CLR 2 is thanks to the efforts of um.
[2024-07-01T15:37:22.398Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): Nate and Carrie and and a bunch of people are who are also on this call to get that in there thank you for including CDL in that structure and.
[2024-07-01T15:37:22.744Z]	<Transcriber>	Deb_Everhart_(Credential_Engine):  I just.
[2024-07-01T15:37:44.718Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): I put a note in the chat but it's a ways back so I'll just restate it um 1 of the things that credential engine is aiming to do if we can get the data we need is to bring better Clarity to badges that are in the field the badges that don't have all that rich data that can be expressed in CLR.
[2024-07-01T15:37:48.624Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): I'm sorry an ob3 CLR 2.
[2024-07-01T15:38:38.375Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): As part of our next counting credential report 1 of the things we're seeking is badge sets not any personally identifiable information um but the badge classes from badge platforms so that we can um use some tools to analyze those to see how we can determine what data is inside not on a badge by badge um basis but in aggregate to give is all a better sense of the field and this kind of usage and you know 1 of the incentives for the badge platforms to do that is that we'll share back everything we can including the tools for an instructions for how we did that if they want to take it even further.
[2024-07-01T15:38:50.924Z]	<Transcriber>	Deb_Everhart_(Credential_Engine): So I just wanted to put that out there as um an effort for better Clarity and a request if you know any badge platform providers or badge data sets that we could be working with.
[2024-07-01T15:39:16.599Z]	<Transcriber>	Nate_Otto: Great yeah thanks for plugging the good work um it's worth noting that you can extend any open bad achievement with additional CDL data if you would like and um yeah plus 1 to reporting data for the counting credentials report and generally publishing your achievements to the credential registry is a great place to share information about the credentials that are issued by various different organizations.
[2024-07-01T15:39:22.506Z]	<Simone_Ravaioli>	ack Ildiko_Mazar
[2024-07-01T15:39:30.016Z]	<Stuart_Freeman>	present+
[2024-07-01T15:39:52.319Z]	<Transcriber>	Nate_Otto: So I didn't bring any visual aids with me unfortunately but um you've got the model right uh we previously had this concept called the badge class and now this has been renamed achievement.
[2024-07-01T15:40:43.995Z]	<Transcriber>	Nate_Otto: And the idea is that there's a defined set of things that go together it's named there's a symbolic image perhaps the descriptive of this achievement there's a criteria describing how it will be assessed whether someone has met the um the threshold or not that alignment skills Etc all that bundle of information that applies to everyone who Awards there is awarded the same achievement is part of that packet that we call the achievement and So within a verifiable credential the structure is that the credential subject um claim in an open badges um credential type has an achievement property and then the achievement property is 1 single entity bundle of this stuff and so many different individual Learners can have a credential uh that recognizes the same achievement as 1 another.
[2024-07-01T15:41:12.713Z]	<Transcriber>	Nate_Otto: I got to unpack that a little bit uh you know and explain for the audience like what is a traditional backpack um.
[2024-07-01T15:41:17.872Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-07-01T15:41:47.562Z]	<Transcriber>	Nate_Otto: Back in 2012 2011 um the Mozilla Foundation uh worked on what they call the reference implementation of an open badges backpack and that was a web service in which an individual would have an account and it was possible to upload the badges that that user had earned uh to that account um only badges uploaded to the account email address would be allowed within the backpack but then within the backpack uh you could share individual badges by a URL on the the backpack domain or you could.
[2024-07-01T15:41:51.054Z]	<Transcriber>	Nate_Otto: Getting a little background noise from some of these mic please be.
[2024-07-01T15:41:53.957Z]	<Transcriber>	Nate_Otto: Um or you could.
