[Tue 11:04:11] <manu>	scribe: ottonomy
[Tue 11:28:26] <ottonomy>	manu: Not sure where we go with this. Two things we have to do in WG: Enable a privacy-enhancing non-correlatable way of doing this (minimum bar in the data model). Question: can we suggest any standard way to do this -- while these technologies are still in development, haven't gone through security review.
[Tue 11:28:49] <ottonomy>	manu: Best we may do is say in the spec that it is desired that these be non-correlatable, but provide a warning for pitfalls that make them correlatable.
[Tue 11:29:20] <ottonomy>	manu: Then outside the group, work on things like group signatures, anonymous signatures, ... things that plug into the spec and without any modification to the spec improve people's privacy.
[Tue 11:29:37] <jonnycrunch>	q+
[Tue 11:29:37] <voip-vctf>	jonnycrunch has been added to the queue: jonnycrunch
[Tue 11:29:41] <ottonomy>	manu: For now, we should specifically point out what actions lead to correlatability.
[Tue 11:29:41] <dlongley>	we should say "unintentionally correlated"
[Tue 11:29:56] <ottonomy>	burn: Adrian are you on the call?
[Tue 11:30:02] <dlongley>	since correlation is both a goal and something to avoid
[Tue 11:30:07] <burn>	s/burn/JoeAndrieu/
[Tue 11:30:33] <burn>	ack jonnycrunch
[Tue 11:30:33] <voip-vctf>	jonnycrunch has the floor.
[Tue 11:30:34] <ottonomy>	gropper: I'm tracking what's being said. Glad to try to help. Not at a point where I can relate this in terms of the technology, but let's keep at it.
[Tue 11:31:00] <ottonomy>	jonnycrunch: Great use case, well documented. While this is my niche, it's a heavy lift.
[Tue 11:31:16] <burn>	q?
[Tue 11:31:16] <voip-vctf>	The speaker queue is empty.
[Tue 11:31:39] <burn>	q?
[Tue 11:31:39] <voip-vctf>	The speaker queue is empty.
[Tue 11:31:42] <ottonomy>	jonnycrunch: Let's start off with a simple use case, with this global vision in mind. This is less of a use case than a "use domain" or a "vision". We're not quite there to apply this technology to make sure we completely enable privacy from the get-go.
[Tue 11:32:33] <ottonomy>	JoeAndrieu: I mentioned that in both the issues we talked about, a desire to have some straw man architecture/protocol, even though that's outside of scope. Maybe we can do what we did for revocation about how we talk about this within the documents.
[Tue 11:33:22] <ottonomy>	JoeAndrieu: Vision: This pharmacy has its domain of trust, this doctor has its domain of trust. We want the Pharmacy to not be able to make certain correlations, but others might need to... Need a description of architecture in this document.
[Tue 11:33:30] <ottonomy>	manu: What type of architecture, and which document?
[Tue 11:34:00] <manu>	q+ to propose security analysis for specific scenarios, and generalize from there.
[Tue 11:34:00] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:34:24] <burn>	ack manu
[Tue 11:34:24] <voip-vctf>	manu has the floor (to propose security analysis for specific scenarios, and generalize from there.).
[Tue 11:34:29] <ottonomy>	JoeAndrieu: I have asked for an architecture in general for all verifiable claims (what are our assumptions about all verifiable claims). For revocation, I can address what I need by using a "url, where there may be something". Some of these other use domains need some circles and arrows to explain the different actors, or the different domains of trust.
[Tue 11:34:33] <agropper>	q+
[Tue 11:34:33] <voip-vctf>	agropper has been added to the queue: agropper
[Tue 11:36:16] <jonnycrunch>	+1
[Tue 11:36:30] <ottonomy>	manu: Trying to get to next step here. Last thing you said hit the nail on the head. We haven't documented the privacy domains. I don't think we're there yet, but we can do a privacy-and-security analysis on Adrian (agropper's) use case. We're all pushing toward something where you're not correlatable, but if we take specific scenarios and apply the spec as we have it, we'll be able to say what the privacy implcations are. If we do this enough times, we may come up with a general case, but let's only generalize after we start to see patterns from specific cases based on the VC spec we have now.
[Tue 11:36:39] <burn>	ack agropper
[Tue 11:36:39] <voip-vctf>	agropper has the floor.
[Tue 11:38:09] <ottonomy>	agropper: I think in terms of privacy engineering -- to your comment about this being a "use domain": given that privacy engineering is a field, it would be useful to bring that document into the conversation that joe introduced us to whether we're developing a use case or use domain.
[Tue 11:38:43] <dlongley>	+1 to manu's suggestion
[Tue 11:38:46] <ottonomy>	burn: Any objections to proceeding with manu's suggestion, starting with agropper's use case?
[Tue 11:38:50] <ottonomy>	+1
[Tue 11:39:07] <jonnycrunch>	q+
[Tue 11:39:07] <voip-vctf>	jonnycrunch has been added to the queue: jonnycrunch
[Tue 11:39:08] *	manu the royal "We"
[Tue 11:39:17] <ottonomy>	burn: We do need people to do that though. The discussion was "We could do this"... Who would be willing to work on that?
[Tue 11:39:17] <jonnycrunch>	I do
[Tue 11:39:29] <agropper>	http://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8062.pdf
[Tue 11:39:36] *	manu can volunteer to do that...
[Tue 11:39:41] <burn>	ack jonnycrunch
[Tue 11:39:41] <voip-vctf>	jonnycrunch has the floor.
[Tue 11:39:44] <amigus>	sign me up
[Tue 11:39:54] <ottonomy>	JoeAndrieu: I can help, this is the next step to this work, but I'm not familiar with agropper's term of privacy engineering
[Tue 11:39:56] <manu>	I volunteer to help w/ the privacy analysis for Adrian Gropper's use case.
[Tue 11:40:16] <amigus>	(I know enough about NIST privacy engineering to be *very* dangerous). :-)
[Tue 11:40:41] <ottonomy>	jonnycrunch: It's about documenting the stakeholders. Understanding the technology that's used in a position. I'm with the american board of medical specialties, and this is a cumbersome process right now. Need first understanding the landscape of players, then the technical landscape.
[Tue 11:41:21] <agropper>	I volunteer as well
[Tue 11:41:53] <ottonomy>	jonnycrunch: I can help understand the stakeholders and document that. The privacy engineering field will have specific angle. I can help with documenting the stakeholders, but this is a heavy lift. There are background players, like employers (providers of health insurance..). It' s about understanding the flow of information in the state of the art and identifying opportunities for privacy enhancement.
[Tue 11:42:00] <nage>	I've been through all these data flows before (developed medical data products prior to my work at Evernym), and can also participate as needed
[Tue 11:42:03] <ottonomy>	burn: JoeAndrieu, will you oversee this and get it started?
[Tue 11:42:16] <ottonomy>	JoeAndrieu: I think this is going to be more than a one hour chat and we're done.
[Tue 11:42:25] <ottonomy>	JoeAndrieu: should we set up a call?
[Tue 11:43:00] <ottonomy>	burn: Every time we talk about privacy, there are other aspects that come up? Worry that we wouldn't have the right person on a breakout call when that happens.
[Tue 11:43:23] <ottonomy>	JoeAndrieu: Meant to propose a call on "Use Cases" generally, not just this task.
[Tue 11:43:27] <jonnycrunch>	+1
[Tue 11:44:05] <ottonomy>	burn: We have what we need to proceed for this issue? Thoughts on proposal from Joe for separate Use Cases call?
[Tue 11:44:13] <jonnycrunch>	q+
[Tue 11:44:13] <voip-vctf>	jonnycrunch has been added to the queue: jonnycrunch
[Tue 11:44:16] <ottonomy>	manu: We're suffering from telecon-itis. Though we want to help......
[Tue 11:45:11] <ottonomy>	manu: See your point, want to agree. Will have trouble carving out time on a regular basis. Wondering how to help without volunteering to attend another telecon. Could we just continue in GitHub and just tag a bunch of people who volunteered? Or just one call to make a gameplan then move to async in the issue tracker?
[Tue 11:45:18] <ottonomy>	JoeAndrieu: I take your point.
[Tue 11:46:19] <jonnycrunch>	+1
[Tue 11:46:20] <burn>	ack jonnycrunch
[Tue 11:46:20] <voip-vctf>	jonnycrunch has the floor.
[Tue 11:46:26] <ottonomy>	JoeAndrieu: You guys have lots of calls, looking at the larger community of conversations going on here. We could try moving this forward on GitHub, or have an initiating call to establish a framework and then tease out the details on GitHub. I'd like to (at least) do that. As part of my conversation with agropper there was some good back and forth, but I'm not sure I've grasped the whole domain. Maybe take a call to frame the domain and then move to GitHub.
[Tue 11:46:29] <ottonomy>	jonnycrunch: Great solution.
[Tue 11:46:44] <burn>	q+ to say that we can dedicate next week's call for this if Joe wants
[Tue 11:46:44] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:46:54] <burn>	ack burn
[Tue 11:46:54] <voip-vctf>	burn has the floor (to say that we can dedicate next week's call for this if Joe wants).
[Tue 11:46:55] <ottonomy>	jonnycrunch: If we have one call to hash out details, then move to github. This is a great domain to "solve", if we solve this one, other solutions may come from it.
[Tue 11:47:08] <ShaneM>	"A Repo-Man's life is always intense"
[Tue 11:47:21] <ottonomy>	burn: Do you need something longer than an hour? We could dedicate next week's call to this for the kickoff meeting.
[Tue 11:47:33] <manu>	I noted volunteers here: https://github.com/opencreds/vc-data-model/issues/12#issuecomment-274862221
[Tue 11:47:40] <ottonomy>	JoeAndrieu: that would be great. Save me the trouble of organizing a different time on people's calendar.
[Tue 11:47:49] <manu>	q+ to ask about technical progress/implementation (new Agenda topic)
[Tue 11:47:49] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:47:52] <ottonomy>	burn: Any objections to using next week's telecon for that?
[Tue 11:47:59] <JoeAndrieu>	And lets keep the github moving forward as well
[Tue 11:48:03] <ottonomy>	burn: will connect with you on agenda, to let you take it over.
[Tue 11:48:08] <burn>	ack manu
[Tue 11:48:09] <voip-vctf>	manu has the floor (to ask about technical progress/implementation (new Agenda topic)).
[Tue 11:48:42] <ottonomy>	manu: question for you, Dan: At some point, we should talk about those of us who will be implementing over the next 6 months... test suite... requirements.
[Tue 11:49:02] <ottonomy>	burn: I'll be talking with the other chairs later this week about what would be a good way to address that. We'll be sending some thoughts out to the list within a week or so.
[Tue 11:49:24] <ottonomy>	burn: We're at the end of our "above-the-line" items for the agenda.
[Tue 11:49:28] *	manu has changed the topic to: Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Jan/0024.html
[Tue 11:49:46] <ottonomy>	burn: JoeAndrieu, is there anything else you're aware of in the issues that would be good for productive discussion for 10 minutes?
[Tue 11:50:44] <burn>	Topic: Filtering, Focusing use cases
[Tue 11:50:55] <ottonomy>	andrieu: In vc-data-model privacy issues, several are near duplicates: #11 & #12, #6 & #7
[Tue 11:51:06] <manu>	q+ to talk about digital offers, digital coupons, digital receipts, etc...
[Tue 11:51:06] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:51:07] <burn>	q?
[Tue 11:51:07] <voip-vctf>	The current speaker queue is: manu
[Tue 11:51:13] <burn>	ack manu
[Tue 11:51:13] <voip-vctf>	manu has the floor (to talk about digital offers, digital coupons, digital receipts, etc...).
[Tue 11:51:19] <ottonomy>	JoeAndrieu: make sure we get everyone's pet use case on the list of what's dealt with.
[Tue 11:51:21] <burn>	q+
[Tue 11:51:21] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:51:58] <ShaneM>	+1 to that
[Tue 11:53:00] <ottonomy>	manu: Along those lines, JoeAndrieu, I think we've been talking about healthcare and education for a bit, but the VC work was kicked off and started by the Web Payments IG. They care about things like digital loyalty, coupons, offers. From my perspective those are all verifiable claims. JoeAndrieu, do you feel these retail use cases are well represented in the doc? I'd hate to get into the group and not have these use cases present for people who are not yet at the table (in some cases, they  have their own group for Digital Offers). Those have been use cases for a long while, the reshuffling to focus on focal use cases, we may have lost a few of those retail/commerce use cases.
[Tue 11:53:34] <ShaneM>	we had lots of use cases about finance in the document I edited...
[Tue 11:53:36] <jonnycrunch>	That is my concern as well that we are doing a "push" into healthcare, when there currently is a "pull" in the web payments domain.
[Tue 11:53:45] <ottonomy>	JoeAndrieu: Yes we did; The only two retail we have are young use cases. Adult beverages... Manu what I'm hearing is we need to overall review whether we have the domains we want to focus on. In those domains, do we have the use cases that matter to those domains?
[Tue 11:54:01] <ottonomy>	JoeAndrieu: Under retail, we only have address verification and adult beverages.
[Tue 11:55:01] *	dezell is hearing you.
[Tue 11:55:10] <ottonomy>	manu: This is a problem to only have so little for our organization. I want to at least want some of these (loyalty, offers) in the document so people can't say we ignored it. We're not coordinating with the Digital Offers group enough. Would like to cross pollenate, so we can hear their use cases. Get more of those people into this group beyond dezell and myself.
[Tue 11:55:25] *	dezell agrees that DO should be front/center in terms of use cases.
[Tue 11:55:46] <dezell>	q?
[Tue 11:55:46] <voip-vctf>	The current speaker queue is: burn
[Tue 11:56:04] <dlongley>	offers: "you can buy this for X", loyalty: "you are loyalty member X", receipts: "you bought this for X, it's your proof-of-purchase", discounts/coupons: "you can buy this thing at a reduced rate" or "you can buy two of these for the price of one"
[Tue 11:56:04] <JoeAndrieu>	q+
[Tue 11:56:04] <voip-vctf>	JoeAndrieu has been added to the queue: burn, JoeAndrieu
[Tue 11:56:07] <ottonomy>	manu: It's Digtial Offers (this thing, this price), digital coupons, loyalty cards, digital receipts (which will be raised soon in WP IG as point of interest). Web Payments IG working on 2017 vision now, having face-to-face in Chicago in March. Would be good to get some of this work fed back to the WP IG especially on digital offers.
[Tue 11:56:14] <burn>	ack burn
[Tue 11:56:14] <voip-vctf>	burn has the floor.
[Tue 11:57:06] <dezell>	I agree that Digital Offers should be front/center in terms of use cases.
[Tue 11:57:09] <ottonomy>	burn: I want to hear some of the comments from others, as we're getting short on time. Want to make general statement that it's easy sometimes when (this effort spun out of payments, so payments group may think we know what they need), but at some point soon we need to prioritize what we work on. Priority is likely to be based on those who are participating in the group.
[Tue 11:58:00] <burn>	q?
[Tue 11:58:00] <voip-vctf>	The current speaker queue is: JoeAndrieu
[Tue 11:58:02] <ottonomy>	burn: Before dezell panics, this is not saying use cases from payments are not important, but more of a motivation for that group to keep participating. Participation will be what ensures we can focus on that work when we start prioritizing. Any prioritization we do now will be redone/reshuffled when the WG starts anyway.
[Tue 11:58:09] <burn>	ack JoeAndrieu
[Tue 11:58:09] <voip-vctf>	JoeAndrieu has the floor.
[Tue 11:58:55] <ottonomy>	JoeAndrieu: Previously, I suggested bringing in domain experts in each of these domains. Is there a way to do that for the domains we're addressing in healthcare, finance, retail, (education). Is it a good process idea to try to corral specific people?
[Tue 11:59:28] <ottonomy>	burn: It's fine to invite people you think will help us move forward. If they're difficult to get, find a week they might be able to attend and let's work it into the agenda then.
[Tue 12:00:00] <ottonomy>	JoeAndrieu: More like identifying people who are already in the conversation. "I want to work with YOU on HEALTHCARE" "I want to work with YOU on FINANCE". Are there people in our conversation already we can earmark?
[Tue 12:00:09] <amigus>	Please consider me an SME for financial services
[Tue 12:00:14] <ottonomy>	burn: Good discussion; we're at the end of the hour.
[Tue 12:00:39] <ottonomy>	burn: Let's table that for the moment. Not quite sure where to put it. Very important question about how that should work. Let's talk offline, JoeAndrieu about a good way to incorporate.
[Tue 12:00:46] <ottonomy>	burn: Thank you very much.
[Tue 12:00:46] <ottonomy>	Present: Lake, sporny, andrieu, lehn, longley, mccarron, burn,  migus, ottonomy, holt, nage, gropper, dezell, chasen, korb

